Bhartrhari: Vakyapadiya


Input by Yves Ramseier



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarmakatve saty evaü  BVaky_3,14.67a
lakùaõatvaü prakalpate  BVaky_2.168b
lakùaõaü tasya kathyate  BVaky_3,14.322b
lakùaõaü taü pracakùate  BVaky_3,9.57d
lakùaõàd vyavatiùñhante  BVaky_2.440a
lakùaõàyàü na bàdhyate  BVaky_3,1.70d
lakùaõàrthà kriyà÷rutiş  BVaky_3,14.452d
lakùaõàrthà ÷rutir yeùàü  BVaky_2.384a
lakùaõà ÷abdasaüskàre  BVaky_3,1.50a
lakùaõe lakùaõaü viduş  BVaky_3,7.24d
lakùite 'rthe prayujyate  BVaky_2.153b
lakùyante pariõàmena  BVaky_3,9.13c
lakùyasya lokasiddhatvàc  BVaky_2.381a
laghvartham upadar÷itàş  BVaky_3,13.26d
labdhakrame tirobhàve  BVaky_3,1.38c
labdhakriyàş prayatnena  BVaky_1.111a
labdhapàkàsu ÷aktiùu  BVaky_3,9.16b
labdhàkàraparigrahà  BVaky_1.136b
labhate viùayàntare  BVaky_3,7.161d
labhate saüpradànatàm  BVaky_3,7.129d
labhante bhedam åhavat  BVaky_2.258d
lasya karmaõi bhàve ca  BVaky_3,7.69c
làde÷aiş sa kriyàbhedo  BVaky_3,12.3c
likhàv anupasargatà  BVaky_2.200d
liïgatvenànudar÷itàş  BVaky_3,13.13d
liïgapratyavamar÷ena  BVaky_3,14.190c
liïgabhedàt tathà siddhàt  BVaky_3,13.22c
liïgam evaü prakalpate  BVaky_3,11.11d
liïgam evaü samarthyate  BVaky_3,14.590d
liïgam liïgaparityàge  BVaky_3,14.152a
liïgasaükhyànimittasya  BVaky_3,14.229c
liïgasaükhyàbhidhàyinàm  BVaky_3,14.228d
liïgasaükhyàvi÷eùaõam  BVaky_3,14.246b
liïgasaükhye guõànàü te  BVaky_3,14.140c
liïgasaükhye na sidhyataş  BVaky_3,14.316b
liïgasaükhye prapadyate  BVaky_3,14.190d
liïgasaükhye prapadyate  BVaky_3,14.210d
liïgasaükhye prapadyate  BVaky_3,14.248d
liïgasaükhye prasidhyataş  BVaky_3,14.342d
liïgasaükhye vyavasthite  BVaky_3,14.203d
liïgasaükhye svabhàvataş  BVaky_3,14.146b
liïgasaükhye svabhàvataş  BVaky_3,14.200b
liïgasyànà÷raye sati  BVaky_3,14.327d
liïgasyaikasya siddhaye  BVaky_3,14.594d
liïgaü tat tat pracakùate  BVaky_3,13.21d
liïgaü na vyatikãryate  BVaky_3,6.22d
liïgaü na saübhavaty eva  BVaky_3,14.321c
liïgaü prati na bhedo 'sti  BVaky_3,14.329a
liïgaü bhàve 'vivaksitam  BVaky_3,8.61b
liïgàt tu syàt dvitãyàdes  BVaky_3,1.56a
liïgàd bhedo 'numãyate  BVaky_2.86b
liïgàd và tantradharmàd và  BVaky_2.478c
liïgànàü liïgatattvaj¤air  BVaky_3,13.2c
liïgànàü sapta varõitàş  BVaky_3,13.3b
liïgàni càsya bhidyante  BVaky_3,8.63c
liïgàbhàvo hi liïgasya  BVaky_3,14.242c
liïgàbhyàü varõavàkyayoş  BVaky_2.479b
liïgebhyo vihità smçtiş  BVaky_1.173d
liïgeùv api ca saübhavaş  BVaky_3,13.7b
liïgair vàkyai÷ ca såcitàş  BVaky_2.347b
liïgopavya¤janàd çte  BVaky_3,14.84b
lingeùu niyamas tathà  BVaky_3,13.20d
luk tatràpy upalakùaõam  BVaky_3,14.183d
luk taddhitalukãti syàl  BVaky_3,14.183c
lug anvàkhyàyate tasmàd  BVaky_3,14.149c
lugàdi na virudhyate  BVaky_3,14.45b
luptopamàni tàny àhus  BVaky_3,14.381c
lubantapracayo bhavet  BVaky_3,14.597d
lubantasya pradhànatvàt  BVaky_3,14.158c
lubante saünipatitaü  BVaky_3,14.158a
lum manuùye tathoktaü syàl  BVaky_3,14.594c
lçluñor grahaõe bhedo  BVaky_2.99c
lokaråóhà svabhàvataş  BVaky_3,14.155b
lokaliïgaparigrahe  BVaky_3,14.320b
lokas tatrànugamyate  BVaky_3,6.25d
loke yatropalabhyate  BVaky_3,13.23b
loke yad abhidhãyate  BVaky_3,14.577b
loke 'rtharåpatàü ÷abdaş  BVaky_2.130a
loke ÷àstre ca kàryàrthaü  BVaky_2.345c
loke saükhyànibandhanaş  BVaky_3,11.1d
loko na vyativartate  BVaky_1.149d
loko 'py àgamam à÷ritaş  BVaky_3,11.6b
lopa ity upapadyate  BVaky_2.70d
lopas tasyàbhidhãyate  BVaky_3,14.583d
loùñàdiùu viparyayàt  BVaky_3,14.281d
laukikaş kva cid uccaran  BVaky_2.374b
laukikaş pravibhajyate  BVaky_3,3.88d
laukike vartmani sthitau  BVaky_3,3.55b
laukiko 'rtho na bhidyate  BVaky_3,14.249b
laukiko 'rtho na vidyate  BVaky_2.210d
vaktavyaü kena dharmeõa  BVaky_3,14.491c
vaktavyà savibhaktità  BVaky_3,14.587d
vaktà dvandvas tu tadvatàm  BVaky_3,14.195d
vaktà vàcyaü prayojanam  BVaky_3,2.17b
vaktum iùñe kriyàvatà  BVaky_3,14.505b
vaktur icccànuvartinà  BVaky_1.111b
vaktrànyathaiva prakrànto  BVaky_2.135a
vakùyati bràhmaõa÷rutiş  BVaky_3,14.540d
vacanaü kuõóalà÷rayam  BVaky_3,7.115d
vacanaü kùatriyà÷rayam  BVaky_3,14.385d
vacanaü ca prasajyate  BVaky_3,14.138d
vacanàd anugamyate  BVaky_3,14.418b
vacanàd avasãyatàm  BVaky_3,7.165b
vacanàd à÷rayasya ye  BVaky_3,14.140b
vacanànàü ca saübhavaş  BVaky_3,14.333d
vacanàntarayoge hi  BVaky_3,14.288c
vacanàyànibandhanam  BVaky_3,3.80b
vacane niyamaş ÷àstràd  BVaky_3,14.330a
vajràdar÷atalàdiùu  BVaky_1.103b
vatiprakaraõaü tad dhi  BVaky_3,14.590c
vati÷eùo 'bhidhãyate  BVaky_3,14.579b
vatiş svàrthe vidhãyate  BVaky_3,14.584d
vatyantàvayave vàkye  BVaky_3,14.434a
vatyanteùv anugamyate  BVaky_3,14.587b
vatyarthaü na¤sna¤àv iti  BVaky_3,14.589b
vatyarthaü nàvagàhete  BVaky_3,14.588a
vatyarthenàpadi÷yate  BVaky_3,14.523b
vadaty audumbaràyaõaş  BVaky_2.344d
vadhàdir upameye 'rthe  BVaky_3,14.611c
vadho yasya tu dasyunà  BVaky_3,14.615b
vanam vçkùà iti yathà  BVaky_3,8.59a
vaprapràkàrakalpai÷ ca  BVaky_2.292a
vayasvini paricchedaş  BVaky_3,14.127a
varaõàdiùu ÷iùyate  BVaky_3,14.111b
varõatvenopacaryate  BVaky_3,14.19d
varõabhàgeùu dçùyate  BVaky_2.11b
varõavàkyapadàdiùu  BVaky_1.104b
varõavàkyapadeùu ye  BVaky_1.91b
varõavàkyapadeùv evaü  BVaky_2.21a
varõaş pratyàyakaş kva cit  BVaky_2.40d
varõaş syàd abhidhàyakaş  BVaky_2.213d
varõàdipariõàmena  BVaky_2.185c
varõànàm api sàünidhyàt  BVaky_2.63c
varõànàm arthavattàyàü  BVaky_2.400a
varõànàm arthavattvaü tu  BVaky_2.357a
varõànàü ca padànàü ca  BVaky_2.52a
varõànàü padam arthena  BVaky_2.205c
varõàntarasaråpatvaü  BVaky_2.11a
varõàs te ca pade yadi  BVaky_2.28b
varõena kena cin nyånaş  BVaky_2.214a
varõebhyaş padavàkyayoş  BVaky_2.213b
varõeùu varõabhàgànàü  BVaky_2.28c
varõeùv avayavà na ca  BVaky_1.74b
varõeùv evopalãyate  BVaky_1.118d
varõo 'py anyena varõena  BVaky_2.62c
vartate kutsita÷rutiş  BVaky_3,14.2b
vartate gçhatulye ca  BVaky_3,14.531c
vartate niùpadir yadà  BVaky_3,9.106b
vartate paradharmeõa  BVaky_3,14.350c
vartate bràhmaõa÷rutiş  BVaky_3,14.490b
vartate bràhmaõàdivat  BVaky_3,14.286d
vartate yo bahuùv artho  BVaky_3,14.331a
vartate 'vayave nàpi  BVaky_3,14.476c
vartante bràhmaõàdayaş  BVaky_3,14.483d
vartamànatvam àgataş  BVaky_3,9.55b
vartamàno dvidhàkhyàta  BVaky_3,9.38c
vartamàno 'bhidhãyate  BVaky_3,14.415b
vartayantaş prakalpitàm  BVaky_3,14.95b
vartmanàm atra keùàm cid  BVaky_2.488a
vasatàv aprayukte 'pi  BVaky_3,7.155a
vastu kiü cana vidyate  BVaky_3,9.6d
vastutas tad anirde÷yaü  BVaky_3,7.91a
vastuno grahanàd vinà  BVaky_3,8.32b
vastumàtranive÷itvàt  BVaky_2.123c
vastumàtram udàhçtam  BVaky_2.488b
vastu và tadvirodhi yat  BVaky_3,8.31b
vastu saüsargaråpeõa  BVaky_2.426c
vaståpalakùaõaü yatra  BVaky_3,4.3a
vaståpalakùaõaü sattve  BVaky_3,14.343c
vaståpalakùaõaş ÷abdo  BVaky_2.438a
vaståpalakùaõe tatra  BVaky_3,5.5a
vastràdiùv api gçhyate  BVaky_3,1.7d
vastvantaranibandhanaş  BVaky_3,9.112d
vastvantaram upakùiptam  BVaky_3,14.232c
vastv anyad anugamyate  BVaky_3,8.32d
vastvàkàraniråpaõà  BVaky_1.142d
vastvà÷ritam idaü punaş  BVaky_3,3.79b
vàkya eva prayujyate  BVaky_3,14.73d
vàkyanàü tena saügrahaş  BVaky_2.393d
vàkyabhedàn na vidyate  BVaky_2.448d
vàkyabhede 'vatiùñhate  BVaky_2.471d
vàkyam apy evam iùyate  BVaky_2.54d
vàkyam ity abhidhãyate  BVaky_2.327d
vàkyaråpasya vàkyàrthe  BVaky_2.262c
vàkya÷eùaş samarthyate  BVaky_3,14.464b
vàkya÷eùo 'numãyate  BVaky_2.353b
vàkya÷eùo '÷ruto bhavet  BVaky_3,14.523d
vàkyasthaü tàvato 'rthasya  BVaky_2.41c
vàkyasya buddhau nityatvam  BVaky_2.344a
vàkyasyàrthaş prayojanam  BVaky_2.113b
vàkyasyàrthàt padàrthànàm  BVaky_2.269a
vàkyasyàvyabhicàriõãm  BVaky_2.56d
vàkyaü tad api manyante  BVaky_2.326a
vàkyaü nyàyàpavàdayoş  BVaky_2.350b
vàkyaü prati matir bhinnà  BVaky_2.2c
vàkyaü varõapadàbhyàü ca  BVaky_1.73c
vàkyaü vàkyàrtha eva ca  BVaky_2.419d
vàkyaü và syàd vibhàùitam  BVaky_3,14.86b
vàkyàt padànàm atyantaü  BVaky_1.74c
vàkyàt prakaraõàd arthàd  BVaky_2.314a
vàkyàder dvitvadar÷anàt  BVaky_2.326d
vàkyànàm upapadyate  BVaky_2.113d
vàkyànàü samudàya÷ ca  BVaky_2.76a
vàkyànàü saübhavaş pçthak  BVaky_2.112b
vàkyàntaravibhàgena  BVaky_2.88c
vàkyàntaràõàü pratyekaü  BVaky_2.393a
vàkyàbhivyaktihetubhiş  BVaky_1.93b
vàkyàrtam eva taü pràhur  BVaky_2.42c
vàkyàrtha iti tàm àhuş  BVaky_2.143c
vàkyàrthasya tadaiko 'pi  BVaky_2.40c
vàkyàrthasya niråpaõam  BVaky_2.60d
vàkyàrthasyàbhyupàyo 'sàv  BVaky_2.248c
vàkyàrthaü bhinnalakùaõam  BVaky_2.55d
vàkyàrthaş parikalpyate  BVaky_2.71b
vàkyàrthaş saünivi÷ate  BVaky_2.61a
vàkyàrthàt samapoddhçtàş  BVaky_3,7.164d
vàkyàrthàd atadartheùu  BVaky_3,9.94c
vàkyàrthàvagamas tathà  BVaky_2.7d
vàkyàrthopanibandhanam  BVaky_2.325b
vàkyàrtho 'pi na vidyate  BVaky_2.76d
vàkyàrtho yo 'bhisaübandho  BVaky_2.441a
vàkye caivaü vi÷iùyate  BVaky_2.402b
vàkye 'tyantavilakùaõe  BVaky_2.92b
vàkye dçùñaü yad atyantam  BVaky_3,14.130c
vàkyenàvacanàt tathà  BVaky_3,14.41b
vàkye 'pi tena naikatva-  BVaky_3,14.295c
vàkye 'pi niyatà dharmàş  BVaky_3,14.37a
vàkye prakramyate tadà  BVaky_3,14.146d
vàkyebhyaş pravibhaktànàm  BVaky_2.424c
vàkye yady api dç÷yate  BVaky_3,14.237b
vàkye ÷abdaş prayujyate  BVaky_3,14.466d
vàkyeùu arthàntaragataş  BVaky_2.37a
vàkyeùu padam ekaü ca  BVaky_1.72c
vàkyeùv api niyamyate  BVaky_3,12.3d
vàkyeùv artho na tàdç÷aş  BVaky_2.247b
vàkye sakçd api ÷rute  BVaky_2.478b
vàkye samàpte vàkyàrtham  BVaky_2.246c
vàkye saüpadyateş kartà  BVaky_3,7.116a
vàg eva prakçtiş parà  BVaky_1.136d
vàgråpatà cet utkràmed  BVaky_1.132a
vàgvibhàgà gavàdayaş  BVaky_1.137d
vàïnetrà vàïnibandhanàş  BVaky_1.137b
vàïmalànàü cikitsitam  BVaky_1.14b
vàcakatvaü nivartate  BVaky_2.341b
vàcakatvàvi÷eùe và  BVaky_3,3.30c
vàcakaş kai÷cid iùyate  BVaky_3,3.30b
vàcakaş salilàdiùu  BVaky_2.158d
vàcako nànuvartate  BVaky_3,14.207b
vàcakau madhyamottamau  BVaky_3,10.1d
vàcam àpyàyayan punaş  BVaky_1.162d
vàca÷ caivàtra saübhavaş  BVaky_3,14.323d
vàca÷ copaplavo dhruvaş  BVaky_1.88b
vàcas tattve vyavasthitaş  BVaky_1.145b
vàcaü j¤àne nive÷ya ca  BVaky_1.146b
vàcaş saüskàram àdhàya  BVaky_1.146a
vàcikà dyotikà va syur  BVaky_2.164a
vàcikà dyotikà vàpi  BVaky_3,14.99a
vàcyadharmàtivartinãm  BVaky_3,3.19b
vàcyam abhyudayàrthinàm  BVaky_1.156d
vàcyam ityavasãyeta  BVaky_3,3.20c
vàcyam eva tadà bhavet  BVaky_3,3.20d
vàcyaü tenaiva ÷abdena  BVaky_3,14.356c
vàcyà và sarvanàmabhiş  BVaky_3,14.315b
vàcyà sà sarva÷abdànàü  BVaky_3,2.16a
vàcyàs te liïgasaükhyayoş  BVaky_3,14.159d
vàde buddhiviparyayaş  BVaky_1.182d
vàyum àvi÷ati pràõam  BVaky_1.116c
vàyur à÷rayatàü gataş  BVaky_1.117b
vàyus tatraiva kàlàtmà  BVaky_3,9.42c
vàyor aõånàü j¤ànasya  BVaky_1.110a
vàhãke 'pi vyavasthitaş  BVaky_2.252d
vàhãko na dvir ucyate  BVaky_3,14.625d
vikalparåpaü bhajate  BVaky_3,2.8a
vikalpavati và vçttir  BVaky_3,14.192a
vikalpasaüniyogàbhyàü  BVaky_3,13.3c
vikalpaş kai÷cid iùyate  BVaky_3,1.80b
vikalpàtãtatattveùu  BVaky_3,6.25a
vikalpàdyabhidheyasya  BVaky_3,14.196a
vikalpà bhàvanà÷rayàş  BVaky_2.116b
vikalpàbhyuccayàbhyàü và  BVaky_3,14.97c
vikalpàş sapta dar÷itàş  BVaky_3,13.2d
vikalpenaiva sarvatra  BVaky_3,7.134a
vikalpotthàpitenaiva  BVaky_3,3.82a
vikàràpagame satyaü  BVaky_3,2.15a
vikàràpagame satyàü  BVaky_3,2.15c
vikàre kùãrabãjayoş  BVaky_1.94b
vikàro janmanaş kartà  BVaky_3,7.114a
vikàryaü kai÷ cid anyathà  BVaky_3,7.48b
vikçtaü tat tad anyathà  BVaky_3,2.13d
vikçtaü na ca nànyathà  BVaky_3,2.12d
viguõeùv abhidhàtçùu  BVaky_1.181b
vigrahàntarakalpanàt  BVaky_3,14.552b
vigrahe na prayujyate  BVaky_3,14.468b
vicitràş pratipattaye  BVaky_3,14.50b
vicitraivopalabhyate  BVaky_3,3.65d
vicchinnaü spç÷yate hi tat  BVaky_2.291d
vicchedagrahaõe 'rthànàü  BVaky_2.143a
vicchedapratipattau ca  BVaky_2.242a
vitarkitaş purà buddhyà  BVaky_1.48a
vidyate dar÷anàdibhiş  BVaky_3,7.52b
vidyate lakùaõàrthatvaü  BVaky_3,14.519c
vidyante vàcakàş ÷abdà  BVaky_3,1.102c
vidyamànàsu saükhyàsu  BVaky_3,14.113a
vidyamànàş pradhàneùu  BVaky_3,5.4a
vidyà nàtiprasãdati  BVaky_2.490d
vidyàbhedàş pratàyante  BVaky_1.10c
vidyàyàü pravilãyate  BVaky_1.128d
vidyaivekapadàgamà  BVaky_1.9b
vidvàn ãkùeta yuktitaş  BVaky_2.141b
vidvàn ka÷ cit pravartate  BVaky_2.322d
vidhatte kramaråpatàm  BVaky_3,9.42d
vidhàtavyena vastunà  BVaky_3,10.5b
vidhàtus tasya lokànàm  BVaky_1.10a
vidhibhiş pratiùedhai÷ ca  BVaky_3,14.43a
vidhivàkyàntare saükhyà  BVaky_3,1.71a
vidhivàkye ÷rutà saükhyà  BVaky_3,1.70c
vidhi÷eùas tathà sati  BVaky_2.351b
vidhãyamànaü yat krarma  BVaky_2.320a
vidheyatvàn na gamyate  BVaky_3,14.607b
vidheyavan nivartye 'rthe  BVaky_2.353c
vidheyas tatra làdayaş  BVaky_3,3.46b
vidhau và pratiùedhe và  BVaky_3,1.28a
vidhyaty adhanuùety atra  BVaky_2.311a
vinà tena na saükhyànàm  BVaky_3,11.15c
vinàdravyàbhidhàyitàm  BVaky_3,14.337b
vinàpàyavivakùayà  BVaky_3,7.145b
vinàpi tatprayogeõa  BVaky_2.451c
vinà pràõena vartate  BVaky_1.162b
vinà buddhiş pravartate  BVaky_3,6.2d
vinàbhisaüdhinà ÷abdaş  BVaky_2.476c
vinà vàcyena kena cit  BVaky_2.54b
vinà vibhaktyà saübandho  BVaky_3,14.230c
vinà÷àyaiva tat ÷çùñam  BVaky_3,9.22c
vinà÷e càpi tadvatàm  BVaky_3,9.3b
vinà÷e 'py apadàrthatà  BVaky_3,8.28b
vinà sattvàbhidhànena  BVaky_2.430c
vinà saükhyàbhidhànàd và  BVaky_2.165a
vinipàto na durlabhaş  BVaky_1.42d
viniyogakramas tv ayam  BVaky_2.82b
viniyogavi÷eùàü÷ ca  BVaky_3,7.92c
viniyogàd çte ÷abdo  BVaky_2.403a
vinivçtte kriyàpade  BVaky_2.199b
vinaikatvena netarat  BVaky_3,6.26b
vinaiva putrànugamàd  BVaky_3,14.70c
vinaiva pratyayair vçttau  BVaky_3,14.82a
vinaivà÷vena gamyate  BVaky_2.36b
viparãtaü ca sarvatra  BVaky_1.157c
viparãtàrthavçttitvaü  BVaky_3,7.120a
viparãtàs tv asàdhavaş  BVaky_1.27d
viparyayam abhàvaü và  BVaky_3,3.52c
viparyaye và bhinnasya  BVaky_2.389c
viparyàsàd ivàrthasya  BVaky_2.274a
viprakarùe 'pi saüsargàd  BVaky_3,1.49c
viprayoge pravartate  BVaky_2.162d
viplavair anuùaïgibhiş  BVaky_1.170b
vipsàsàdç÷yayor vçttir  BVaky_3,14.622a
vibhakta iva dç÷yate  BVaky_3,14.312d
vibhaktayoni yat kàryaü  BVaky_3,7.108a
vibhaktaü pratipattçbhiş  BVaky_3,14.44d
vibhaktàş kalpitàtmàno  BVaky_3,14.69c
vibhaktàş pratipadyate  BVaky_3,9.37d
vibhaktipariõàme ca  BVaky_3,14.459c
vibhaktipariõàmena  BVaky_3,14.467c
vibhaktibhir niyogaş syàd  BVaky_3,14.586c
vibhaktibhedo niyamàd  BVaky_3,14.8a
vibhaktir yà vidhãyate  BVaky_3,1.90b
vibhaktivàcyaş svàrthatvàn  BVaky_3,14.116c
vibhakti÷ravaõàd çte  BVaky_3,11.29b
vibhaktis tatra vartate  BVaky_3,11.27d
vibhaktenàtmanà sthitam  BVaky_3,9.3d
vibhakte÷ càvatiùñhate  BVaky_3,14.510d
vibhaktyantarayogo hi  BVaky_3,14.460a
vibhaktyantarasaübandhaş  BVaky_3,14.460c
vibhaktyantaraü à÷ritam  BVaky_3,14.547d
vibhaktyarthapradhànatvàt  BVaky_3,14.221a
vibhaktyarthapradhàne ca  BVaky_3,14.220c
vibhaktyarthàbhidhànàd và  BVaky_3,14.218a
vibhaktyarthena càviùñaü  BVaky_3,14.244a
vibhaktyarthena bhidyate  BVaky_3,11.31d
vibhaktyarthe 'vyayãbhàva-  BVaky_3,7.165a
vibhaktyartho 'nya iùyate  BVaky_3,7.43d
vibhaktyà tu sahocyate  BVaky_3,11.29d
vibhaktyàdibhir evàsàv  BVaky_3,7.13c
vibhaktyà nàbhidhãyate  BVaky_3,11.27b
vibhaktyà vidyate vinà  BVaky_3,14.230d
vibhaktyà vyajyate vinà  BVaky_3,14.125d
vibhajan svàtmano granthã¤  BVaky_1.118a
vibhajya bandhanàny asyàş  BVaky_1.146c
vibhajya bahudhàtmànaü  BVaky_1.125a
vibhavanti na ÷aktayaş  BVaky_2.276b
vibhàgam iva manyante  BVaky_3,14.94c
vibhàgaş paramàrthataş  BVaky_3,8.46d
vibhàgaş parikalpitaş  BVaky_3,14.585d
vibhàgena samàkhyàne  BVaky_3,14.36c
vibhàgenaiva kalpitaş  BVaky_2.345d
vibhàge pravibhakte tu  BVaky_3,7.140c
vibhàgaiş prakriyàbhedam  BVaky_2.13c
vibhàgo vyavatiùñhate  BVaky_2.478d
vibhàùà luï na kalpate  BVaky_3,14.123b
vibhutvam etad evàhur  BVaky_3,6.17c
vim÷atyàdisu sànyasva  BVaky_3,11.19c
viruddha iva dç÷yate  BVaky_2.402d
viruddhaparimàõeùu  BVaky_1.103a
viruddham upalabhyate  BVaky_3,2.18d
viruddhaü càbhisaübandham  BVaky_2.246a
viruddhàni yathaikasya  BVaky_3,2.17c
viruddhàv anuùaïgiõau  BVaky_2.218d
viruddhà÷rayaråpatàm  BVaky_3,9.101d
viruddhe 'rthe svabhàvataş  BVaky_3,14.275b
viråpàvayavakriyàş  BVaky_3,9.81b
virodham anavasthàü và  BVaky_3,3.28c
virodhaş saha và sthitiş  BVaky_2.396d
virodhàt kriyayà tasmàt  BVaky_3,14.442c
virodhàd anyasaükhyayà  BVaky_2.391b
virodhàn na tadà÷raye  BVaky_3,11.23d
virodhikhyàpanàyaiva  BVaky_3,3.49c
virodhitvàt prasajyeta  BVaky_3,14.320c
virodhitvena vartate  BVaky_3,14.242d
virodhiùv avirodhinãm  BVaky_3,3.49b
virodhã và nivartate  BVaky_3,14.96b
vivakùà ca vyavasthità  BVaky_3,13.24d
vivakùà dç÷yate yataş  BVaky_3,7.91d
vivakùàniyamà÷rayaş  BVaky_3,13.19b
vivakùitanibandhanà  BVaky_3,12.5d
vivakùitàsya yàvasthà  BVaky_3,3.21c
vivakùyate yadà tatra  BVaky_3,7.90c
vivartate 'rthabhàvena  BVaky_1.1c
vivartamànà sthàniùu  BVaky_1.121c
vivibhaktiş prakçtyarthaü  BVaky_3,14.459a
viveke j¤àta÷aktayaş  BVaky_2.166b
vi÷iùña eva candrastho  BVaky_3,14.416c
vi÷iùñakàlatà pårvaü  BVaky_3,9.96a
vi÷iùñakàlasaübandhàd  BVaky_3,9.9a
vi÷iùñakàlasaübandhàl  BVaky_3,9.16a
vi÷iùñaguõabhinne 'rthe  BVaky_3,14.417c
vi÷iùñagrahaõe sati  BVaky_3,14.341d
vi÷iùñatvaü na sidhyati  BVaky_3,9.94d
vi÷iùñadravyasaübandhe  BVaky_1.33c
vi÷iùñam avadhiü taü tam  BVaky_3,9.68a
vi÷iùñam upalabhyate  BVaky_3,14.131d
vi÷iùñaråpà sà saüj¤à  BVaky_2.354c
vi÷iùñaü sàdhanaü viduş  BVaky_3,7.17d
vi÷iùñàbhàvalakùaõam  BVaky_2.241b
vi÷iùñàrthanibandhanam  BVaky_2.220d
vi÷iùñàrthanive÷inam  BVaky_1.175d
vi÷iùñàrthànupàtini  BVaky_3,14.247d
vi÷iùñàrthàbhidhàyinàm  BVaky_2.196b
vi÷iùñà và stanàdayaş  BVaky_3,13.1b
vi÷iùñà÷rayavàcinàm  BVaky_3,14.224b
vi÷iùñe 'rthe prayujyate  BVaky_2.155b
vi÷iùñe 'rthe vyavasthitam  BVaky_3,14.54b
vi÷iùñaiva kriyà yena  BVaky_2.71a
vi÷iùñopahitàü ceti  BVaky_2.152c
vi÷iùño 'rthaş pratãyate  BVaky_3,14.4d
vi÷iùño 'rtho 'bhidhãyate  BVaky_2.413b
vi÷iùño 'rtho 'bhidhãyate  BVaky_2.413d
vi÷e÷a÷abdàş keùàü cit  BVaky_2.17a
vi÷e÷àõàü prakà÷akaş  BVaky_2.153d
vi÷eùa iti gamyate  BVaky_3,14.399d
vi÷eùa eva prakràntà  BVaky_3,14.260c
vi÷eùa eva sàmànyaü  BVaky_3,14.142a
vi÷eùakarmasaübandhe  BVaky_3,14.66a
vi÷eùaõavi÷eùyatvam  BVaky_3,14.64c
vi÷eùaõavi÷eùyatvaü  BVaky_3,14.6a
vi÷eùaõavi÷eùyatvaü  BVaky_3,14.21c
vi÷eùaõavi÷eùyatvaü  BVaky_3,14.255c
vi÷eùaõavi÷eùyatvaü  BVaky_3,14.258c
vi÷eùaõavi÷eùyayoş  BVaky_3,14.94d
vi÷eùaõavi÷eùyavat  BVaky_2.369d
vi÷eùaõavi÷esyatvaü  BVaky_3,14.53a
vi÷eùaõaü tato dharmà¤  BVaky_3,14.157c
vi÷eùaõaü tadàkùepàt  BVaky_3,9.99c
vi÷eùaõaü bràhmaõàdi  BVaky_3,14.306a
vi÷eùaõàd vi÷eùye 'rthe  BVaky_3,14.89a
vi÷eùaõànàü càjàter  BVaky_3,14.153c
vi÷eùadar÷anaü yatra  BVaky_3,7.66a
vi÷eùanirapekùo 'nyaş  BVaky_3,14.66c
vi÷eùam anurudhyate  BVaky_3,7.154b
vi÷eùalàbhaş sarvatra  BVaky_3,7.52a
vi÷eùavidhinàrthitvàd  BVaky_2.353a
vi÷eùaviùayà ca yà  BVaky_3,14.57b
vi÷eùavçttiü taü sarvam  BVaky_3,14.499c
vi÷eùavçtter api ca  BVaky_3,14.141a
vi÷eùa÷abdair ucyante  BVaky_3,5.4c
vi÷eùasmçtihetavaş  BVaky_2.316d
vi÷eùasyàprayoge tu  BVaky_3,14.316a
vi÷eùaş ÷råyamàõo 'pi  BVaky_3,14.65a
vi÷eùà iti varõyante  BVaky_3,14.500c
vi÷eùàd bhidyate yathà  BVaky_3,7.100d
vi÷eùà na hi sarveùàü  BVaky_2.68c
vi÷eùà yady api ÷rutàş  BVaky_3,14.137b
vi÷eùà yady api ÷rutàş  BVaky_3,14.214b
vi÷eùà ye vyavasthitàş  BVaky_3,1.103b
vi÷eùàvacanàt tatra  BVaky_3,14.270c
