Bhartrhari: Vakyapadiya


Input by Yves Ramseier



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akarmakatve saty evaæ  BVaky_3,14.67a
vigrahe na prayujyate  BVaky_3,14.468b
vicitrÃ÷ pratipattaye  BVaky_3,14.50b
vicitraivopalabhyate  BVaky_3,3.65d
vicchinnaæ sp­Óyate hi tat  BVaky_2.291d
vicchedagrahaïe 'rthÃnÃæ  BVaky_2.143a
vicchedapratipattau ca  BVaky_2.242a
vitarkita÷ purÃ buddhyÃ  BVaky_1.48a
vidyate darÓanÃdibhi÷  BVaky_3,7.52b
vidyate lak«aïÃrthatvaæ  BVaky_3,14.519c
vidyante vÃcakÃ÷ ÓabdÃ  BVaky_3,1.102c
vidyamÃnÃsu saækhyÃsu  BVaky_3,14.113a
vidyamÃnÃ÷ pradhÃne«u  BVaky_3,5.4a
vidyÃ nÃtiprasÅdati  BVaky_2.490d
vidyÃbhedÃ÷ pratÃyante  BVaky_1.10c
vidyÃyÃæ pravilÅyate  BVaky_1.128d
vidyaivekapadÃgamÃ  BVaky_1.9b
vidvÃn Åk«eta yuktita÷  BVaky_2.141b
vidvÃn kaÓ cit pravartate  BVaky_2.322d
vidhatte kramarÆpatÃm  BVaky_3,9.42d
vidhÃtavyena vastunÃ  BVaky_3,10.5b
vidhÃtus tasya lokÃnÃm  BVaky_1.10a
vidhibhi÷ prati«edhaiÓ ca  BVaky_3,14.43a
vidhivÃkyÃntare saækhyÃ  BVaky_3,1.71a
vidhivÃkye ÓrutÃ saækhyÃ  BVaky_3,1.70c
vidhiÓe«as tathÃ sati  BVaky_2.351b
vidhÅyamÃnaæ yat krarma  BVaky_2.320a
vidheyatvÃn na gamyate  BVaky_3,14.607b
vidheyavan nivartye 'rthe  BVaky_2.353c
vidheyas tatra lÃdaya÷  BVaky_3,3.46b
vidhau vÃ prati«edhe vÃ  BVaky_3,1.28a
vidhyaty adhanu«ety atra  BVaky_2.311a
vinÃ tena na saækhyÃnÃm  BVaky_3,11.15c
vinÃdravyÃbhidhÃyitÃm  BVaky_3,14.337b
vinÃpÃyavivak«ayÃ  BVaky_3,7.145b
vinÃpi tatprayogeïa  BVaky_2.451c
vinÃ prÃïena vartate  BVaky_1.162b
vinÃ buddhi÷ pravartate  BVaky_3,6.2d
vinÃbhisaædhinÃ Óabda÷  BVaky_2.476c
vinÃ vÃcyena kena cit  BVaky_2.54b
vinÃ vibhaktyÃ saæbandho  BVaky_3,14.230c
vinÃÓÃyaiva tat Ó­«Âam  BVaky_3,9.22c
vinÃÓe cÃpi tadvatÃm  BVaky_3,9.3b
vinÃÓe 'py apadÃrthatÃ  BVaky_3,8.28b
vinÃ sattvÃbhidhÃnena  BVaky_2.430c
vinÃ saækhyÃbhidhÃnÃd vÃ  BVaky_2.165a
vinipÃto na durlabha÷  BVaky_1.42d
viniyogakramas tv ayam  BVaky_2.82b
viniyogaviÓe«ÃæÓ ca  BVaky_3,7.92c
viniyogÃd ­te Óabdo  BVaky_2.403a
viniv­tte kriyÃpade  BVaky_2.199b
vinaikatvena netarat  BVaky_3,6.26b
vinaiva putrÃnugamÃd  BVaky_3,14.70c
vinaiva pratyayair v­ttau  BVaky_3,14.82a
vinaivÃÓvena gamyate  BVaky_2.36b
viparÅtaæ ca sarvatra  BVaky_1.157c
viparÅtÃrthav­ttitvaæ  BVaky_3,7.120a
viparÅtÃs tv asÃdhava÷  BVaky_1.27d
viparyayam abhÃvaæ vÃ  BVaky_3,3.52c
viparyaye vÃ bhinnasya  BVaky_2.389c
viparyÃsÃd ivÃrthasya  BVaky_2.274a
viprakar«e 'pi saæsargÃd  BVaky_3,1.49c
viprayoge pravartate  BVaky_2.162d
viplavair anu«aÇgibhi÷  BVaky_1.170b
vipsÃsÃd­Óyayor v­ttir  BVaky_3,14.622a
vibhakta iva d­Óyate  BVaky_3,14.312d
vibhaktayoni yat kÃryaæ  BVaky_3,7.108a
vibhaktaæ pratipatt­bhi÷  BVaky_3,14.44d
vibhaktÃ÷ kalpitÃtmÃno  BVaky_3,14.69c
vibhaktÃ÷ pratipadyate  BVaky_3,9.37d
vibhaktipariïÃme ca  BVaky_3,14.459c
vibhaktipariïÃmena  BVaky_3,14.467c
vibhaktibhir niyoga÷ syÃd  BVaky_3,14.586c
vibhaktibhedo niyamÃd  BVaky_3,14.8a
vibhaktir yÃ vidhÅyate  BVaky_3,1.90b
vibhaktivÃcya÷ svÃrthatvÃn  BVaky_3,14.116c
vibhaktiÓravaïÃd ­te  BVaky_3,11.29b
vibhaktis tatra vartate  BVaky_3,11.27d
vibhaktenÃtmanÃ sthitam  BVaky_3,9.3d
vibhakteÓ cÃvati«Âhate  BVaky_3,14.510d
vibhaktyantarayogo hi  BVaky_3,14.460a
vibhaktyantarasaæbandha÷  BVaky_3,14.460c
vibhaktyantaraæ ÃÓritam  BVaky_3,14.547d
vibhaktyarthapradhÃnatvÃt  BVaky_3,14.221a
vibhaktyarthapradhÃne ca  BVaky_3,14.220c
vibhaktyarthÃbhidhÃnÃd vÃ  BVaky_3,14.218a
vibhaktyarthena cÃvi«Âaæ  BVaky_3,14.244a
vibhaktyarthena bhidyate  BVaky_3,11.31d
vibhaktyarthe 'vyayÅbhÃva-  BVaky_3,7.165a
vibhaktyartho 'nya i«yate  BVaky_3,7.43d
vibhaktyÃ tu sahocyate  BVaky_3,11.29d
vibhaktyÃdibhir evÃsÃv  BVaky_3,7.13c
vibhaktyÃ nÃbhidhÅyate  BVaky_3,11.27b
vibhaktyÃ vidyate vinÃ  BVaky_3,14.230d
vibhaktyÃ vyajyate vinÃ  BVaky_3,14.125d
vibhajan svÃtmano granthÅ¤  BVaky_1.118a
vibhajya bandhanÃny asyÃ÷  BVaky_1.146c
vibhajya bahudhÃtmÃnaæ  BVaky_1.125a
vibhavanti na Óaktaya÷  BVaky_2.276b
vibhÃgam iva manyante  BVaky_3,14.94c
vibhÃga÷ paramÃrthata÷  BVaky_3,8.46d
vibhÃga÷ parikalpita÷  BVaky_3,14.585d
vibhÃgena samÃkhyÃne  BVaky_3,14.36c
vibhÃgenaiva kalpita÷  BVaky_2.345d
vibhÃge pravibhakte tu  BVaky_3,7.140c
vibhÃgai÷ prakriyÃbhedam  BVaky_2.13c
vibhÃgo vyavati«Âhate  BVaky_2.478d
vibhÃ«Ã luÇ na kalpate  BVaky_3,14.123b
vibhutvam etad evÃhur  BVaky_3,6.17c
vimÓatyÃdisu sÃnyasva  BVaky_3,11.19c
viruddha iva d­Óyate  BVaky_2.402d
viruddhaparimÃïe«u  BVaky_1.103a
viruddham upalabhyate  BVaky_3,2.18d
viruddhaæ cÃbhisaæbandham  BVaky_2.246a
viruddhÃni yathaikasya  BVaky_3,2.17c
viruddhÃv anu«aÇgiïau  BVaky_2.218d
viruddhÃÓrayarÆpatÃm  BVaky_3,9.101d
viruddhe 'rthe svabhÃvata÷  BVaky_3,14.275b
virÆpÃvayavakriyÃ÷  BVaky_3,9.81b
virodham anavasthÃæ vÃ  BVaky_3,3.28c
virodha÷ saha vÃ sthiti÷  BVaky_2.396d
virodhÃt kriyayÃ tasmÃt  BVaky_3,14.442c
virodhÃd anyasaækhyayÃ  BVaky_2.391b
virodhÃn na tadÃÓraye  BVaky_3,11.23d
virodhikhyÃpanÃyaiva  BVaky_3,3.49c
virodhitvÃt prasajyeta  BVaky_3,14.320c
virodhitvena vartate  BVaky_3,14.242d
virodhi«v avirodhinÅm  BVaky_3,3.49b
virodhÅ vÃ nivartate  BVaky_3,14.96b
vivak«Ã ca vyavasthitÃ  BVaky_3,13.24d
vivak«Ã d­Óyate yata÷  BVaky_3,7.91d
vivak«ÃniyamÃÓraya÷  BVaky_3,13.19b
vivak«itanibandhanÃ  BVaky_3,12.5d
vivak«itÃsya yÃvasthÃ  BVaky_3,3.21c
vivak«yate yadÃ tatra  BVaky_3,7.90c
vivartate 'rthabhÃvena  BVaky_1.1c
vivartamÃnÃ sthÃni«u  BVaky_1.121c
vivibhakti÷ prak­tyarthaæ  BVaky_3,14.459a
viveke j¤ÃtaÓaktaya÷  BVaky_2.166b
viÓi«Âa eva candrastho  BVaky_3,14.416c
viÓi«ÂakÃlatÃ pÆrvaæ  BVaky_3,9.96a
viÓi«ÂakÃlasaæbandhÃd  BVaky_3,9.9a
viÓi«ÂakÃlasaæbandhÃl  BVaky_3,9.16a
viÓi«Âaguïabhinne 'rthe  BVaky_3,14.417c
viÓi«Âagrahaïe sati  BVaky_3,14.341d
viÓi«Âatvaæ na sidhyati  BVaky_3,9.94d
viÓi«Âadravyasaæbandhe  BVaky_1.33c
viÓi«Âam avadhiæ taæ tam  BVaky_3,9.68a
viÓi«Âam upalabhyate  BVaky_3,14.131d
viÓi«ÂarÆpÃ sÃ saæj¤Ã  BVaky_2.354c
viÓi«Âaæ sÃdhanaæ vidu÷  BVaky_3,7.17d
viÓi«ÂÃbhÃvalak«aïam  BVaky_2.241b
viÓi«ÂÃrthanibandhanam  BVaky_2.220d
viÓi«ÂÃrthaniveÓinam  BVaky_1.175d
viÓi«ÂÃrthÃnupÃtini  BVaky_3,14.247d
viÓi«ÂÃrthÃbhidhÃyinÃm  BVaky_2.196b
viÓi«ÂÃ vÃ stanÃdaya÷  BVaky_3,13.1b
viÓi«ÂÃÓrayavÃcinÃm  BVaky_3,14.224b
viÓi«Âe 'rthe prayujyate  BVaky_2.155b
viÓi«Âe 'rthe vyavasthitam  BVaky_3,14.54b
viÓi«Âaiva kriyÃ yena  BVaky_2.71a
viÓi«ÂopahitÃæ ceti  BVaky_2.152c
viÓi«Âo 'rtha÷ pratÅyate  BVaky_3,14.4d
viÓi«Âo 'rtho 'bhidhÅyate  BVaky_2.413b
viÓi«Âo 'rtho 'bhidhÅyate  BVaky_2.413d
viÓeÓaÓabdÃ÷ ke«Ãæ cit  BVaky_2.17a
viÓeÓÃïÃæ prakÃÓaka÷  BVaky_2.153d
viÓe«a iti gamyate  BVaky_3,14.399d
viÓe«a eva prakrÃntÃ  BVaky_3,14.260c
viÓe«a eva sÃmÃnyaæ  BVaky_3,14.142a
viÓe«akarmasaæbandhe  BVaky_3,14.66a
viÓe«aïaviÓe«yatvam  BVaky_3,14.64c
viÓe«aïaviÓe«yatvaæ  BVaky_3,14.6a
viÓe«aïaviÓe«yatvaæ  BVaky_3,14.21c
viÓe«aïaviÓe«yatvaæ  BVaky_3,14.255c
viÓe«aïaviÓe«yatvaæ  BVaky_3,14.258c
viÓe«aïaviÓe«yayo÷  BVaky_3,14.94d
viÓe«aïaviÓe«yavat  BVaky_2.369d
viÓe«aïaviÓesyatvaæ  BVaky_3,14.53a
viÓe«aïaæ tato dharmÃ¤  BVaky_3,14.157c
viÓe«aïaæ tadÃk«epÃt  BVaky_3,9.99c
viÓe«aïaæ brÃhmaïÃdi  BVaky_3,14.306a
viÓe«aïÃd viÓe«ye 'rthe  BVaky_3,14.89a
viÓe«aïÃnÃæ cÃjÃter  BVaky_3,14.153c
viÓe«adarÓanaæ yatra  BVaky_3,7.66a
viÓe«anirapek«o 'nya÷  BVaky_3,14.66c
viÓe«am anurudhyate  BVaky_3,7.154b
viÓe«alÃbha÷ sarvatra  BVaky_3,7.52a
viÓe«avidhinÃrthitvÃd  BVaky_2.353a
viÓe«avi«ayÃ ca yÃ  BVaky_3,14.57b
viÓe«av­ttiæ taæ sarvam  BVaky_3,14.499c
viÓe«av­tter api ca  BVaky_3,14.141a
viÓe«aÓabdair ucyante  BVaky_3,5.4c
viÓe«asm­tihetava÷  BVaky_2.316d
viÓe«asyÃprayoge tu  BVaky_3,14.316a
viÓe«a÷ ÓrÆyamÃïo 'pi  BVaky_3,14.65a
viÓe«Ã iti varïyante  BVaky_3,14.500c
viÓe«Ãd bhidyate yathÃ  BVaky_3,7.100d
viÓe«Ã na hi sarve«Ãæ  BVaky_2.68c
viÓe«Ã yady api ÓrutÃ÷  BVaky_3,14.137b
viÓe«Ã yady api ÓrutÃ÷  BVaky_3,14.214b
viÓe«Ã ye vyavasthitÃ÷  BVaky_3,1.103b
viÓe«ÃvacanÃt tatra  BVaky_3,14.270c
viÓe«Ãs ta ihÃÓritÃ÷  BVaky_3,14.400d
viÓe«Ãs tasya te matÃ÷  BVaky_3,9.8b
viÓe«Ã÷ pratipÃdakÃ÷  BVaky_2.176d
viÓe«Ã÷ prÃpyamÃïasya  BVaky_3,7.53c
viÓe«e 'ÇgÅk­te tathÃ  BVaky_3,14.85b
viÓe«ecchÃ tu tÃd­ÓÅ  BVaky_3,14.70b
viÓe«e jÃtir i«yate  BVaky_3,1.14d
viÓe«eïa nidarÓyate  BVaky_2.311b
viÓe«e«u viÓi«ÂatÃ  BVaky_3,11.11b
viÓe«e«v iva tadvidÃm  BVaky_3,1.46d
viÓe«e samavasthita÷  BVaky_3,14.426b
viÓe«esu vyavasthitam  BVaky_3,14.166b
viÓe«air bhinnarÆpais tad  BVaky_3,14.165c
viÓe«ai÷ k«atriyÃdibhi÷  BVaky_3,14.311b
viÓe«o 'trÃtidiÓyate  BVaky_2.78d
viÓe«o vÃpi jÃtivat  BVaky_3,1.12b
viÓe«o vyÃp­to yadi  BVaky_3,5.5b
viÓe«au tatra hi Órutau  BVaky_3,14.208b
viÓe«yaæ syÃd anirj¤Ãtaæ  BVaky_3,14.7a
viÓe«ye«u yathÃbhÆta÷  BVaky_3,14.273a
viÓesÃd bhidyate yata÷  BVaky_3,14.142b
viÓvasyÃnekadharmaïa÷  BVaky_3,7.2b
viÓvasyÃsya nibandhanÅ  BVaky_1.122b
vi«ame pathi dhÃvatÃ  BVaky_1.42b
vi«ayatvam anÃpannai÷  BVaky_1.57a
vi«ayatvaæ prati kriye  BVaky_3,7.64d
vi«ayatvena vartate  BVaky_2.145d
vi«ayas tatra bhidyate  BVaky_3,9.92d
vi«ayasya tu saæskÃra÷  BVaky_1.81c
vi«ayaæ k­trimasyÃpi  BVaky_2.374a
vi«ayÃntaravartinÃ  BVaky_3,14.73b
vi«ayeïa bhavi«yatÃ  BVaky_3,9.103b
vi«aye 'darÓanÃt tatra  BVaky_3,14.583c
vi«ayendriyayor i«ÂÃ  BVaky_1.82c
vi«aye yataÓaktitvÃt  BVaky_2.410c
vi«aye vidyate vate÷  BVaky_3,14.564d
vi«aye 'smin vibhaktaya÷  BVaky_3,14.549b
vi«ayopanipÃti tat  BVaky_3,1.109d
vi«ayo 'py upapadyate  BVaky_3,14.570d
vi«ÃïÃt samavÃyina÷  BVaky_3,14.234b
vi«Ãdi«u bhayÃdibhyas  BVaky_3,7.80c
vi«ÃpaharaïÃdi«u  BVaky_1.155d
vihitasya parÃrthatvÃc  BVaky_3,1.69c
vihitÃ darÓanÃrthaæ tu  BVaky_2.198c
vihitÃs te ca saæskÃryÃ÷  BVaky_3,1.61c
vÅpsÃyÃ vi«ayÃbhÃvÃd  BVaky_2.391a
v­k«avalmÅkaparvatai÷  BVaky_2.172b
v­k«asya parïaæ patatÅty  BVaky_3,7.143c
v­k«ÃdyarthÃnvayas tasmÃd  BVaky_3,7.43c
v­k«o nÃstÅti vÃkyaæ ca  BVaky_2.241a
v­ttaæ v­ttau prayujyate  BVaky_3,14.409b
v­ttÃv api na hÅyate  BVaky_3,14.48d
v­ttÃv avayavasyÃttvaæ  BVaky_3,14.61c
v­ttÃv ÃkhyÃtasad­Óaæ  BVaky_2.35c
v­ttikÃla÷ svakÃlaÓ ca  BVaky_1.104c
v­ttibhedaæ tu vaik­ta÷  BVaky_1.79b
v­ttibhedaæ pracak«ate  BVaky_1.76d
v­ttibhedena varïyate  BVaky_2.58b
v­ttim eke pracak«ate  BVaky_3,14.89d
v­ttir anyapadÃrthe yÃ  BVaky_3,14.39a
v­ttir anyÃnapek«ayÃ  BVaky_2.262d
v­ttir abhyupagamyate  BVaky_3,14.278d
v­ttir abhyupagamyate  BVaky_3,14.614d
v­ttir janmavatÃæ sm­tÃ  BVaky_3,9.23d
v­ttir na syÃd gavÃdi«u  BVaky_3,14.451d
v­ttir yÃ tasya ÓÃsvatÅ  BVaky_3,9.30b
v­ttilÃbha÷ prakalpate  BVaky_3,9.9b
v­ttiÓabdo 'nya evÃyaæ  BVaky_3,14.214c
v­tti«u pratipadyate  BVaky_3,14.136b
v­ttis tasya kriyÃrÆpÃ  BVaky_1.52c
v­ttis tasya na vidyate  BVaky_3,14.252d
v­ttiæ vartayatÃm evam  BVaky_3,14.98a
v­tti÷ k­«ïatile«v i«ÂÃ  BVaky_3,14.22c
v­tter abhinnarÆpatvÃt  BVaky_3,14.137c
v­tto 'ktaparimÃïake  BVaky_3,14.485b
v­ttau tac copajÃyate  BVaky_3,14.113d
v­ttau tasya pradhÃnatvÃt  BVaky_3,14.287c
v­ttau nityaæ na vidyate  BVaky_3,14.65d
v­ttau nityaæ prayujyate  BVaky_3,14.118b
v­ttau nirÃdibhiÓ caivaæ  BVaky_2.331c
v­ttau padÃrthabhedena  BVaky_2.226c
v­ttau yathÃ gatÃdyartham  BVaky_3,14.257a
v­ttau yo yuktavadbhÃvo  BVaky_3,14.111a
v­ttau viÓi«ÂarÆpatvÃc  BVaky_3,14.193a
v­ttau viÓe«aïÃkÃÇk«Ã-  BVaky_3,14.47c
v­ttau viÓe«av­ttitvÃd  BVaky_3,14.38a
v­ttau saÇghÅbhavantÅti  BVaky_3,7.116c
v­ttau saækhyÃviÓe«ÃïÃæ  BVaky_3,14.112c
v­ttyav­ttyo÷ prayogaj¤air  BVaky_3,14.44c
v­ddhisaæj¤Ã samÃpyate  BVaky_2.381d
v­ddhyÃdayo yathÃ ÓabdÃ÷  BVaky_1.60a
v­ddhyÃdÅnÃæ ca ÓÃstre 'smi¤  BVaky_2.369a
v­«abhodakayÃvakÃ÷  BVaky_2.12b
v­«alair na prave«Âavyam  BVaky_2.385a
vegapracayadharmaïa÷  BVaky_1.112b
vedavidbhi÷ prakalpitÃ÷  BVaky_1.7d
vedaÓÃstrÃvirodhÅ ca  BVaky_1.151a
vaik­taæ samati krÃntÃ  BVaky_1.19a
vaik­ta÷ pratipadyate  BVaky_1.78d
vaikharÅ vÃk prayoktÌïÃæ  BVaky_1.165c
vaikharÅ sattvamÃtreva  BVaky_1.170c
vaikharyÃ madhyamÃyÃÓ ca  BVaky_1.159a
vaicitreïopadarÓakaæ  BVaky_2.134b
vaijisaubhavaharyak«ai÷  BVaky_2.484a
vainateyena hastinÃm  BVaky_3,14.604d
vaiyÃkaraïavad brÆte  BVaky_3,14.575a
vaiyÃkaraïavad brÆ«vety  BVaky_3,14.575c
vairavÃsi«ÂhagiriÓÃs  BVaky_2.171a
vaiÓyÃyety evamÃdi«u  BVaky_3,14.494b
vyaktaye svasya rÆpasya  BVaky_1.115c
vyaktavÃco viÓe«aïam  BVaky_3,12.2d
vyaktaæ tal liÇgadarÓanam  BVaky_3,1.86d
vyaktibhÃgÃÓrayÃ buddhis  BVaky_3,14.404c
vyaktir apy upajÃyate  BVaky_3,14.346d
vyaktir arthasya laiÇgikÅ  BVaky_1.152b
vyaktirÆpÃÓraye tata÷  BVaky_3,14.190b
vyaktiÓakte÷ samÃsannÃ  BVaky_3,1.79a
vyaktism­tinibandhanÃ÷  BVaky_2.133b
vyakti÷ saæj¤opadiÓyate  BVaky_1.69b
vyaktÅnÃm Ãtmadharmo 'sÃv  BVaky_3,14.188c
vyakte«u vyaktarÆpÃïÃæ  BVaky_3,13.10a
vyaktopavya¤janÃ siddhir  BVaky_2.18c
vyakto bheda÷ sa d­Óyate  BVaky_1.107d
vyaktau padÃrthe ÓabdÃder  BVaky_3,7.7a
vyaktau bhavati niÓcaya÷  BVaky_1.179d
vyaktyartham anu«ajyate  BVaky_2.73b
vyaktyÃtmaiva tadÃ tatra  BVaky_3,1.96c
vyaktyÃÓritÃsritÃ jÃte÷  BVaky_3,1.28c
vyagrÃïÃæ vÃ samagratÃ  BVaky_3,7.107b
vyaÇgyavya¤jakabhÃve 'pi  BVaky_1.100c
vyajanÃd vÃyur iva sa  BVaky_1.120c
vyajyante pratipatt­«u  BVaky_2.17d
vyajyante pranirÃdinÃ  BVaky_2.187d
vyajyante vijigÅ«ÆïÃæ  BVaky_3,7.30c
vyajyamÃne tathÃ vÃkye  BVaky_1.93a
vyatikÅrïena vartate  BVaky_3,14.368d
vyatikrame 'pi mÃtrÃïÃæ  BVaky_3,9.74a
vyatikramya vyavasthitÃ÷  BVaky_1.36b
vyatiriktasya sÃdhutve  BVaky_3,14.87a
vyatiriktaæ tad ucyate  BVaky_3,7.38b
vyatireka ivÃÓraya÷  BVaky_3,14.545d
vyatirekam upÃÓritya  BVaky_3,7.15c
vyatirekasya darÓanÃt  BVaky_3,14.88b
vyatirekasya yo hetur  BVaky_3,6.2a
vyatireka÷ sa dharmau dvau  BVaky_3,7.161c
vyatireke ca saty evaæ  BVaky_3,14.149a
vyatireke vater bhÃvo  BVaky_3,14.546c
vyatireko na vidyate  BVaky_2.195b
vyatireko 'nugamyate  BVaky_3,3.85d
vyatireko 'nvaye 'sati  BVaky_3,7.43b
vyatihÃro viÓe«aïam  BVaky_3,12.4d
vyatÅtyÃlokatamasÅ  BVaky_1.19c
vyapadi«Âa÷ svasÃdhanai÷  BVaky_3,14.292b
vyapadeÓas tam ÃkÃÓa-  BVaky_3,7.152c
vyapadeÓivad ekasmin  BVaky_3,14.16a
vyapadeÓe padÃrthÃnÃm  BVaky_3,3.39a
vyapadeÓe 'rthajÃtÅnÃæ  BVaky_3,1.8c
vyapadeÓo na vidyate  BVaky_3,14.608d
vyapadeÓo 'bhidheyena  BVaky_3,14.335a
vyapadeÓyam aneneti  BVaky_3,14.379c
vyapek«a na nivartate  BVaky_3,14.455d
vyapek«ante parasparam  BVaky_2.114b
vyapek«aiva yata÷ sthitÃ  BVaky_3,14.42b
vyabhicÃraæ pradarÓayet  BVaky_3,14.549d
vyabhicÃrÃn nimittasya  BVaky_3,14.132c
vyabhicÃrÅ tu saæbandhas  BVaky_2.397c
vyabhicÃre tathÃ siddhe  BVaky_3,14.550a
vyabhicÃre nimittasya  BVaky_3,9.93a
vyabhicÃre 'pi d­Óyate  BVaky_2.162b
vyabhicÃre svadharmo 'pi  BVaky_3,14.576c
vyabhicÃro na d­Óyate  BVaky_3,7.133d
vyabhicÃro na vidyate  BVaky_3,3.2d
vyarthÃ bÃhyÃrthakalpanÃ  BVaky_3,14.92b
vyavadhÃnam ivopaiti  BVaky_3,9.82a
vyavasÃyas tathÃrambhe  BVaky_3,7.16c
vyavasÃye tv anantarÃ  BVaky_3,7.16b
vyavasÃyo grahÅtÌïÃm  BVaky_1.54c
vyavasthÃnaæ dvayor api  BVaky_2.373d
vyavasthÃnityatocyate  BVaky_1.28d
vyavasthÃæ kartum arhati  BVaky_1.29b
vyavasthitavibhÃ«Ã ca  BVaky_3,14.46a
vyavahartuæ na Óakyate  BVaky_3,9.58d
vyavahÃranibandhanam  BVaky_2.12d
vyavahÃranibandhanÅ  BVaky_1.163b
vyavahÃranibandhane  BVaky_2.33d
vyavahÃraÓ ca lokasya  BVaky_3,3.88a
vyavahÃrasya gocaram  BVaky_3,3.77b
vyavahÃrasya siddhatvÃn  BVaky_3,8.13a
vyavahÃra÷ padÃÓraya÷  BVaky_2.345b
vyavahÃra÷ samÃÓrita÷  BVaky_3,14.368b
vyavahÃra÷ sa varïyate  BVaky_3,11.9d
vyavahÃrÃtmani sthita÷  BVaky_3,9.69b
vyavahÃrÃdidarÓane  BVaky_2.380b
vyavahÃrÃnupÃtinau  BVaky_3,3.59d
vyavahÃrÃya niyama÷  BVaky_2.366a
vyavahÃrÃya manyante  BVaky_2.232c
vyavahÃrÃrtham ÃÓritÃ  BVaky_3,14.35d
vyavahÃrÃs tathaupamyam  BVaky_3,14.408c
vyavahÃre kriyÃk­tÃ÷  BVaky_3,9.48b
vyavahÃre na so 'sty ata÷  BVaky_2.428d
vyavahÃre padÃrthÃnÃæ  BVaky_2.441c
vyavahÃre 'vati«Âhate  BVaky_1.89b
vyavahÃre samÃkhyÃnaæ  BVaky_2.142c
vyavahÃro na kalpate  BVaky_3,1.95d
vyavahÃro na vidyate  BVaky_3,7.110d
vyavahÃro nivartate  BVaky_3,3.71d
vyavahÃro 'nugamyate  BVaky_1.75b
vyavahÃro 'nuvartate  BVaky_3,3.52d
vyavahÃro vidhÅyate  BVaky_3,3.82d
vyavahÃro vibhajyate  BVaky_2.340d
vyavÃyalak«aïÃrthÃtvÃd  BVaky_2.387a
vyÃkhyÃtÃro vibhajyÃrthÃæs  BVaky_3,14.93c
vyÃkhyÃto rÆpyate yata÷  BVaky_1.123b
vyÃkhyÃto v­ttivÃkyayo÷  BVaky_3,14.133b
vyÃghraÓabdo m­ge sthita÷  BVaky_3,14.430b
vyÃghraÓabdo yadÃ ÓauryÃt  BVaky_3,14.429a
vyÃghrÃdivyapadeÓena  BVaky_2.321a
vyÃghrÃdau liÇgadarÓanam  BVaky_3,14.413d
vyÃca«Âe pratipattaye  BVaky_3,11.6d
vyÃpÃra iti kathyate  BVaky_3,9.12d
vyÃpÃrabheda÷ saækhyÃyÃs  BVaky_3,14.115c
vyÃpÃrabhedÃpek«ÃyÃæ  BVaky_3,7.18c
vyÃpÃralak«aïÃ yasmÃt  BVaky_3,1.11c
vyÃpÃravÃn na k­tsnasya  BVaky_3,14.450c
vyÃpÃravyatirekeïa  BVaky_3,9.1a
vyÃpÃrasamudÃyasya  BVaky_3,14.31a
vyÃpÃrasya vivak«ite  BVaky_3,14.504b
vyÃpÃrasyÃparo yasmÃn  BVaky_3,3.28a
vyÃpÃraæ jÃtibhÃgasya  BVaky_3,14.403c
vyÃpÃraæ yÃti bhedÃkhyais  BVaky_3,14.114a
vyÃpÃra÷ kÃryasiddhaye  BVaky_3,1.50b
vyÃpÃra÷ kva cid i«yate  BVaky_3,13.19d
vyÃpÃrÃj jÃtibhÃgasya  BVaky_3,14.102c
vyÃpÃrÃïÃæ tato 'nyatvam  BVaky_3,8.39c
vyÃpÃrÃïÃæ pacÃdaya÷  BVaky_3,7.58b
vyÃpÃrÃ÷ siddhasÃdhanÃ÷  BVaky_3,8.41b
vyÃpÃreïaiva sÃd­Óye  BVaky_3,14.504a
vyÃpÃre tannimittÃnÃæ  BVaky_3,14.91c
vyÃpÃre tu vivak«ite  BVaky_3,14.396b
vyÃpÃre phalasiddhaye  BVaky_3,9.108b
vyÃpÃre 'vadhibhedena  BVaky_3,9.92c
vyÃpÃro jÃtibhÃgasya  BVaky_3,14.428a
vyÃpÃro 'tra vyavasthita÷  BVaky_3,9.12b
