Rasarnava, Patalas 1-12
Based on the ed. by Praphulla Chandra Ray
Calcutta : Asiatic Society 1908-1910
(Bibliotheca Indica, 175)


Input by Oliver Hellwig


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________



akathyamapi deve÷i  Ras_1.13c
vandhyàcårõaü tu vaikràntaü  Ras_6.133a
vayaşstambhakaro bhavet  Ras_7.44d
vayaşstambhaü karoti ca  Ras_6.76d
varamåùà prakãrtità  Ras_4.37d
varàhakarõã sañirã  Ras_5.24c
varàhasya kalevaràt  Ras_12.290b
varjayettàn prayatnataş  Ras_2.14d
varjayet surasundari  Ras_6.50b
varjyà÷ca rasakarmaõi  Ras_6.73b
varõapa¤cakasaüyutàm  Ras_2.84b
varõikàdvayagandhayoş  Ras_11.178b
varõitàni sure÷vari  Ras_4.65b
varõito rasabhairavaş  Ras_2.110b
varõotkarùastu kauberyàm  Ras_2.108c
varõotkarùaü mçdutvaü ca  Ras_2.6a
vartãü mantrai÷ca mantrayet  Ras_2.99b
vartulaü kàrayenmukham  Ras_4.17b
vartulàvartaromakau  Ras_2.23d
vardhanyàbhyukùya sàdhakam  Ras_2.80d
varùatrayaparaü devi  Ras_12.360c
varùamekaü nirantaram  Ras_12.356d
varùamekaü pibet toyaü  Ras_12.265a
varùamekaü prayu¤jãta  Ras_12.264a
varùàdvarùa÷atàyuùam  Ras_12.275d
varùàpuryàü dinaikataş  Ras_12.283d
varùàbhåkadalãkanda-  Ras_8.25a
valãpalitanà÷anam  Ras_12.307d
valãpalitanirmuktaş  Ras_12.300c
valãpalitanirmukto  Ras_12.264c
valãpalitanirmukto  Ras_12.309c
valãpalitameva saş  Ras_10.5d
valãpalitarugjaràş  Ras_7.151f
valãpalitarogahà  Ras_6.75d
valãpalitavarjitaş  Ras_12.18b
valãpalitavarjitaş  Ras_12.294d
valãpalitavarjitaş  Ras_12.301d
valãpalitavarjitaş  Ras_12.306f
valãpalitavarjitaş  Ras_12.321b
valkalaü såkùmacårõaü tu  Ras_12.19a
valmãka÷ikharàkàraü  Ras_7.53a
valmãkasya mçdà saha  Ras_4.33b
vallãvitànabahulà  Ras_12.144c
vaùàbhånmattakodravàş  Ras_6.79b
vasanaü kà¤jikam vióam  Ras_4.2b
vasayà caikayà yuktaü  Ras_8.84c
vasà pa¤cavidhà matsya-  Ras_5.37a
vasubhaõñàdibhirdevi  Ras_10.24c
vasuhañña÷ca ràgiõã  Ras_11.86b
vastrapoñalikàgatam  Ras_6.113b
vastraü ca veùñayet sadyaş  Ras_7.25c
vastreõa baddhvà capalaü  Ras_7.25a
vahnikçt kàlanà÷anaş  Ras_7.44b
vahnimadhye tadà såto  Ras_2.117c
vahnimadhye na tiùñhati  Ras_12.75d
vahnimàragvadhaş priye  Ras_10.43b
vahnilakùyam avij¤àya  Ras_4.26a
vahnivarõaü yadà bhavet  Ras_8.75d
vahni÷igru÷iphàrasaiş  Ras_7.89b
vahnisåtakayor vairaü  Ras_11.85c
vahnisthaü dhàrayet priye  Ras_7.130d
vahnisthànyakùayàõi ca  Ras_7.146b
vahnau kuùñhã bhavennaraş  Ras_10.32d
vahnau niùkampanaü rasam  Ras_11.195d
vaü÷akhàdiramàdhåka-  Ras_4.57a
vaü÷anàóãlohanàóãm  Ras_4.5a
vàkucã brahmabãjàni  Ras_5.14c
vàkucãsaptabhàgaü ca  Ras_12.359c
vàgbhavaü bhuvane÷ãü ca  Ras_2.72c
vàjaraü ca paóàlakam  Ras_11.162b
vàtakçt ÷leùmanà÷anaş  Ras_7.38b
vàtàyanasamopetam  Ras_2.44c
vàtàritailena puñena tàpyaü  Ras_7.12c
vàdikaiş supra÷asyate  Ras_4.39d
vàdyairnànàvidhaistathà  Ras_7.59d
vàpàttanmåtrasecanàt  Ras_7.112b
vàpitaü tàpyarasaka-  Ras_8.39a
vàpitaü daradena ca  Ras_8.45b
vàpitaü pãtatàü tãkùõaü  Ras_8.68c
vàpitaü sakçd ekena  Ras_6.121c
vàpitaü sevitaü rakta-  Ras_8.44a
vàpo niùekaş snapanaü  Ras_4.54a
vàmadevaü tu guhyakam  Ras_2.110d
vàyavye dhamanaü priye  Ras_2.108b
vàriõà saha mardayet  Ras_12.302b
vàrimadhye nidhàpayet  Ras_12.319d
vàruõãmålasaüyutaiş  Ras_7.117b
vàsakasya ca pattràõi  Ras_4.33a
vàsakena vibhãtena  Ras_8.76a
vàsakena vibhãtena  Ras_10.49a
vàsanàmukhameva ca  Ras_11.15b
vàsaraü màlyavanteùu  Ras_12.285a
vàsasà pariveùñayet  Ras_6.51b
vàsaste raktatàü yayau  Ras_7.61b
vàsaü tatraiva kàrayet  Ras_12.259d
vàsà palà÷aniculaü  Ras_9.10c
vàsobhiş pariveùñitam  Ras_2.79b
vàstukairaõóakadalã-  Ras_9.10a
vàhayet suravandite  Ras_8.60f
vàhayedvaïgapannagàn  Ras_8.56d
vikçntayati lohàni  Ras_6.126c
vikrãtaü tattu kà¤canam  Ras_12.78b
vikhyàtaş kùitimaõóale  Ras_7.66d
vigatasakaladoùaş sarvadigdivyacakùuş  Ras_12.366c
vighnopadravanà÷anam  Ras_2.76d
vij¤ànaü muktikàraõam  Ras_11.2d
vij¤eyaü niùparãhàraü  Ras_12.358c
vij¤eyàste napuüsakàş  Ras_6.70d
vióacårõaü tato dattvà  Ras_11.89c
vióayogena pàrvati  Ras_11.111d
vióavargeõa sammi÷rà  Ras_4.46a
vióaü dattvàpi jàrayet  Ras_11.70b
vióaş piõóàùñamàü÷ataş  Ras_11.191b
vióaş syàddhemajàraõe  Ras_9.18d
vióo 'yaü sarvajàraõaş  Ras_9.2f
vióo 'yaü hemajàraõaş  Ras_9.16f
vióo 'yaü hemajàraõe  Ras_9.17d
vióo vahnimukhàkhyo 'yaü  Ras_9.6c
viddhaü bhavati kà¤canam  Ras_12.126d
vidyayà pa¤cabãjayà  Ras_2.72b
vidyayà saha mantavyaü  Ras_2.91a
vidyàdharapatirbhavet  Ras_12.257b
vidyàdharãbhirmukhyàbhir  Ras_7.58a
vidyàdhareõa yantreõa  Ras_10.45a
vidyà paramadurlabhà  Ras_2.73b
vidyàmupadi÷eddevi  Ras_2.82a
vidyàmeva rasàïku÷ãm  Ras_2.77b
vidyàratnamanuttamam  Ras_12.148b
vidhiü kuryàd yathoditaş  Ras_12.262f
vidhiü vakùyàmi tatparam  Ras_12.179b
vidhiü vakùyàmi pàrvati  Ras_12.232b
vinàyakaü ca sampåjya  Ras_6.129c
vindhyasya dakùiõe càsti  Ras_6.126a
vindhye tu kùaõavedhakam  Ras_12.284f
vinyasettuùagomaye  Ras_3.24d
vinyaset divase ÷ubhe  Ras_4.63b
vinyaset pårvvavat kùitau  Ras_6.51d
vinyasya puñapàcanam  Ras_11.173d
vipacedàyase pàtre  Ras_7.86c
viplàvakàş pàparatàş  Ras_2.14c
vipluùa÷ caiva mu¤cati  Ras_11.76b
vibhãtakaphale caiva  Ras_12.376c
vibhãtakàdisambhåta-  Ras_12.350c
vibhåtiş khecarã caiva  Ras_2.58a
vimalastrividho devi  Ras_7.5c
vimalaü ÷igrutoyena  Ras_7.16a
vimalo gairikaü caiùàm  Ras_8.3c
vilavàdastu madhyamaş  Ras_1.44b
vi÷uddhenàntaràtmanà  Ras_1.54b
vi÷eùàddeharakùaõam  Ras_7.153d
vi÷eùàdrasabandhakaş  Ras_7.23d
vi÷eùàdrasabandhanam  Ras_7.26d
vi÷eùàdvyàdhi÷amano  Ras_11.220a
vi÷eùeõa ca sàdhanam  Ras_9.1b
vi÷eùeõopalabhyate  Ras_10.9d
vi÷vabheùajasaüyutam  Ras_12.158d
viùagandhakañaïkaõam  Ras_7.141d
viùagandhakatàpyàbhra-  Ras_11.197a
viùañaïkaõagu¤jàbhiş  Ras_4.47a
viùañaïkaõayojitam  Ras_8.34b
viùañaïkaõalàïgalã  Ras_12.228:1d
viùatçõavidhiü vakùye  Ras_12.229a
viùatçõasamàyuktaü  Ras_12.230c
viùatoyena marditam  Ras_12.223:2b
viùatoyena medhàvã  Ras_12.223:2c
viùapànãyamàdàya  Ras_12.227a
viùapànãyamàdàya  Ras_12.228:1a
viùaü vahnirmalas tathà  Ras_10.32b
viùàõi ca tamoghnàni  Ras_5.43c
viùàõyupaviùàõi ca  Ras_4.5d
viùeõa saviùaü vidyàt  Ras_10.32c
viùodakaü gandhakaü ca  Ras_12.216c
viùodakaü viùasamaü  Ras_12.213a
viùodarasabandhanam  Ras_12.212b
viùñaràmudrayà tàü tu  Ras_12.210c
viùñhà ca samabhàgakam  Ras_7.127d
viùõukràntà ca såtakam  Ras_12.181b
viùõukràntàrasena ca  Ras_11.109d
viùõukràntà sahacarà  Ras_5.4a
viùõunà ca sudar÷anam  Ras_12.204b
vihàya ghanacàpalam  Ras_11.199b
vihàya jalukàkçti  Ras_11.208b
vãrà vartulaparõikà  Ras_5.20b
vãryyavanta÷ca te jyeùñhà  Ras_6.74e
vçkùakùàràş prakãrtitàş  Ras_5.30f
vçtà devàïganàbhistvaü  Ras_7.62a
vçttàş phalakasaüpårõàs  Ras_6.69a
vçthà syàt kevalaü ÷ramaş  Ras_11.217f
vçddhastu ùaóguõaü jãrõaş  Ras_11.77c
vçddho vidhyati lohàni  Ras_11.78c
vç÷cikàpattrikàbãjaü  Ras_12.100a
vç÷cikàlyà ca tatpattraü  Ras_12.94c
vçùabhagativiceùñaş snigdhagambhãraghoùaş  Ras_12.367c
vçhatãtrayasaüyuktaü  Ras_6.35c
vegàphalasya cårõena  Ras_6.30a
vetasàmlaprayogeõa  Ras_11.66c
vetasàmlena peùayat  Ras_6.87d
vetasàmlena bhàvitam  Ras_6.122b
vedhakaü tat prakãrtitam  Ras_12.279d
vedhakaü yastu jànàti  Ras_11.214a
vedhanàni mahãtale  Ras_12.278d
vedhayet sapta lohàni  Ras_12.116a
vedhayet sarvalohàni  Ras_12.114c
vedhayeddehalohàni  Ras_11.209c
vedhayedvyàpayecchãghraü  Ras_6.56c
vedhayennàtra saüdeho  Ras_11.141c
vedhyaü jàmbunadaü bhavet  Ras_12.119:1d
veùñayitvà prayatnataş  Ras_12.330b
veùñayedvç÷cikàlyà ca  Ras_12.93a
veùñitaü kuli÷aü devi  Ras_6.101c
veùñitaü bçhatãphale  Ras_6.100b
vaikràntakaü kàntamukhyaü  Ras_8.58c
vaikràntamiti saptadhà  Ras_6.128f
vaikràntavajrasaüspar÷àd  Ras_11.16a
vaikràntasambhavaü cårõaü  Ras_6.135a
vaikràntaü cårõitaü såkùmaü  Ras_6.130a
vaikràntaü tatra bhairavam  Ras_6.129b
vaikràntaü tàlakaü càpi  Ras_6.85c
vaikràntaü tàlakaü såtaü  Ras_12.346c
vaikràntaü rasasaünibham  Ras_6.137d
vaikràntaü vajrakandaü ca  Ras_6.136a
vaikràntàkhyaü mahàrasam  Ras_6.123b
vaikràntàbhrakakàntaü tu  Ras_12.350a
vaióåryasphañikàdãni  Ras_6.120e
vaiùõavàyur bhavennaraş  Ras_12.276f
vyàghracarmadharaü nàgo-  Ras_2.65c
vyàghrapuryàü tu vàsaram  Ras_12.284b
vyàghrãkandasya madhyasthaü  Ras_6.130c
vyàghrã cavã kuravakaş  Ras_5.25e
vyàdhighàtaphalakùàraü  Ras_7.76a
vyàdhinà÷e pra÷asyate  Ras_6.48b
vyàdhipra÷amanaü ÷ådro  Ras_6.76c
vyàdhiü kuryàd bhagaüdaram  Ras_6.7d
vyàdhena mçga÷aïkayà  Ras_7.3d
vyàpakatvena sarve ca  Ras_8.86c
vyàpakaü ce÷agocare  Ras_2.56f
vyàpitvaü sàraõàt tasya  Ras_10.13c
vyàpinã brahmarandhrasthà  Ras_2.113a
vyåóhaü tàraü tu vedhayet  Ras_8.71b
vyåóhe ÷ataguõe hemni  Ras_8.63a
vyomajàraõam uttamam  Ras_11.14b
vyomajãrõasya lakùaõam  Ras_11.76d
vyomabhàsàni kànicit  Ras_12.191d
vyoma màkùikasattvaü ca  Ras_12.346a
vyomasattvaü mahàrasam  Ras_11.153b
vyomasattvaü samàü÷ena  Ras_11.47a
vyomasattvàdibãjàni  Ras_10.61a
vyoma sauvarcalànvitam  Ras_6.31b
vyoma sauvarcalànvitam  Ras_11.37b
vyomasthàyi paràtparam  Ras_2.114b
vrãhimadhye nidhàpayet  Ras_6.27d
÷aktaya÷ca mahàrasàş  Ras_5.44d
÷aktimàn gatamatsaraş  Ras_2.3b
÷aktirghorasya kartarã  Ras_12.206d
÷aktistatraiva saüsthità  Ras_2.112d
÷aktãnàü lakùaõaü katham  Ras_6.1b
÷akyate na mayà vaktuü  Ras_10.3c
÷akragopanibhaü bhavet  Ras_12.93d
÷akranãle vyavasthitàş  Ras_8.9b
÷aïkhakàhalanirghoùaiş  Ras_11.106a
÷aïkhanàbhiü tathaiva ca  Ras_11.126b
÷aïkhapuùpyagnidhamanã  Ras_5.8c
÷aïkha÷uktivaràñikàş  Ras_5.40b
÷aïkhe saptàhabhàvitam  Ras_7.124b
÷atakoñipramàõena  Ras_8.15c
÷atakoñistu vidhyate  Ras_8.15f
÷atadhà ka¤cukãcårõaü  Ras_6.20a
÷atapalam abhayànàm akùadhàtryos tathaiva  Ras_12.364a
÷atabhàgena vedhayet  Ras_8.63d
÷atamaùñottaraü caivam  Ras_2.81a
÷atavedhã bhavet priye  Ras_11.70d
÷atavedhã bhavedrasaş  Ras_12.7d
÷atavedhã raso bhavet  Ras_12.9d
÷ata÷o vàpayedetat  Ras_8.52a
÷ata÷o và plutaü cårõaü  Ras_9.4a
÷ata÷o viùasindhåttha-  Ras_9.5c
÷atahãnaü sahasraü tu  Ras_8.7c
÷ataü vedhayate lakùaü  Ras_12.26a
÷atàvarã gadà rambhà  Ras_11.24a
÷atàvarã bhçïgaràjaş  Ras_5.2c
÷atàü÷aü vedhakartàyaü  Ras_12.105a
÷atàü÷ena tu lepayet  Ras_11.138b
÷atàü÷ena tu lohànàü  Ras_12.324c
÷atàü÷enaiva deve÷i  Ras_12.217e
÷atàü÷enaiva vedhena  Ras_12.29c
÷anairmçdvagninà pacet  Ras_4.28d
÷anaiş ÷anairhaüsapàdyà  Ras_11.37c
÷abda÷ ciñiciñir bhavet  Ras_6.4d
÷abdaş kukkuñavadbhavet  Ras_6.5b
÷aradgrãùmavasanteùu  Ras_12.293a
÷arapuïkhasya pa¤càïgaü  Ras_6.91a
÷arapuïkhà punarnavà  Ras_5.2d
÷aràvayugalàntaşsthaü  Ras_7.125a
÷aràvasaüpuñe dhmàto  Ras_6.29c
÷aràvasaüùuñe paktvà  Ras_6.31c
÷aràvaü taõóulaiş saha  Ras_2.98d
÷aràvàkàrasaüyutà  Ras_4.39b
÷arãrakàntijananàş  Ras_6.72a
÷arãram ajaràmaram  Ras_1.21b
÷arãraü dçóhatàü nayet  Ras_6.76b
÷arãre hemni kartà ca  Ras_10.6c
÷arvarãm uùitastatra  Ras_12.263a
÷alàkàjàraõàdvàpi  Ras_11.203a
÷alàkàü grasate kùaõàt  Ras_11.149b
÷a÷akasya ca dantàü÷ca  Ras_6.87c
÷a÷a÷oõitamadhye và  Ras_7.40c
÷astracchinnà mahàdevi  Ras_12.150a
÷asyate dehakarmaõi  Ras_7.152b
÷asyate dehalohayoş  Ras_7.101d
÷asyate rasabandhane  Ras_12.97d
÷asyate surasundari  Ras_4.31d
÷àkakiü÷uka÷igrubhiş  Ras_8.76b
÷àkapallavasàreõa  Ras_11.109c
÷àkavçkùasya deve÷i  Ras_12.172a
÷àkavçkùasya niryàsaü  Ras_12.175a
÷àkhoñakã dagdharuhà  Ras_5.17c
÷àntipàñhasya nirghoùaiş  Ras_2.74a
÷ikhikaõñhasamàkçtiş  Ras_7.43d
÷ikhikukkuñayo÷ca viñ  Ras_5.38b
÷ikhipittena bhàvayet  Ras_7.48d
÷ikhimadhye dhçtaü tiùñhet  Ras_11.202c
÷ikhi÷oõitamàtritam  Ras_11.128b
÷igruko yavaci¤cà ca  Ras_11.24c
÷igrumåladraveõa ca  Ras_9.15b
÷igrumålamadhåcchiùñaü  Ras_7.91c
÷igrumålarasaiş sikto  Ras_9.2e
÷igrumålasya cårõaü tu  Ras_12.175c
÷igrumålàmbubhàvitam  Ras_9.5b
÷irorogàü÷ca nà÷ayet  Ras_12.12f
÷ilayà ca triguõayà  Ras_8.77c
÷ilayà màkùikeõa ca  Ras_8.49b
÷ilayà la÷unena ca  Ras_6.105b
÷ilayà vàpitaü bhåyo 'py  Ras_6.26c
÷ilaü ceti caturvidham  Ras_12.277d
÷ilàgandhakañaïkaõam  Ras_6.85b
÷ilàjatu ca sauvãraü  Ras_7.141c
÷ilàjatupalaü punaş  Ras_12.354d
÷ilàpaññaü samutkãrya  Ras_2.51a
÷ilàpaññàrgalaü priye  Ras_2.51b
÷ilàbhàgadvayaü caikaü  Ras_11.190c
÷ilàmàkùikagairikam  Ras_7.126b
÷ilà màkùikameva ca  Ras_12.318b
÷ilàyà÷ca puñatrayàt  Ras_8.21b
÷ilàyàü dvisahasrakam  Ras_8.5d
÷ilàvad dhàtukaü dhmàtaü  Ras_7.20a
÷ilàsaindhavayojitam  Ras_6.27f
÷ivatàdàtmyavedanam  Ras_1.8b
÷ivatvaü yena labhyate  Ras_1.31b
÷ivadehàt samutpannà  Ras_12.66a
÷ivapa¤camukhãkàryyà  Ras_6.63a
÷ivamårtimanusmaret  Ras_4.63d
÷ivaloke mahãyate  Ras_11.5d
÷iva÷akti÷ca deve÷i  Ras_12.347e
÷iva÷àstrakathàpriyà  Ras_2.21b
÷ivasàünidhyasiddhaye  Ras_1.39d
÷ivaü pa÷cimabhàge tu  Ras_2.56c
÷iùya÷caiva kathaü deva  Ras_2.1c
÷iùyo vinãtastantraj¤aş  Ras_2.8e
÷ãghradràvã mçdurguruş  Ras_7.111b
÷ãghradràvau tu niùphalau  Ras_7.24b
÷ãtalaü na ca và¤chati  Ras_4.54d
÷ãlanànnà÷ayantyeva  Ras_7.151e
÷ãlavàn guõavàn ÷uciş  Ras_2.3d
÷ukaca¤cugataü såtaü  Ras_12.104c
÷ukaca¤cunibho varaş  Ras_7.67b
÷ukatuõóasya saünibham  Ras_12.113b
÷ukapicchanibhàni ca  Ras_12.113d
÷ukramåtrapurãùàõàü  Ras_1.11c
÷ukraü pårve 'bhisaüpåjya  Ras_2.55c
÷ukreõàràdhito devi  Ras_12.233a
÷ukladãptiş sa÷abda÷ca  Ras_4.55a
÷uklapakùe çtumatã  Ras_2.19a
÷uklapakùe pårõamàsyàü  Ras_12.190a
÷uklapuùpagaõaiş sekaü  Ras_8.72e
÷uklamàlyànulepanaş  Ras_2.48d
÷uklavargakçtàlepà  Ras_4.45c
÷uklavargapariplutà  Ras_4.45b
÷uklavargaş sudhàkårma-  Ras_5.40a
÷uklavargeõa sammi÷rà  Ras_4.45a
÷uklavarõà ca mçttikà  Ras_4.30b
÷ukla÷uddhiùu ÷obhanà  Ras_4.45d
÷uklaü ca tàrakçùõaü ca  Ras_7.103a
÷uklaş pãta÷ca lohitaş  Ras_7.5d
÷uklo vyàdhipra÷amane  Ras_12.133c
÷uddhabaddharasendrastu  Ras_12.339a
÷uddhami÷ravibhedataş  Ras_8.18b
÷uddha÷ulvaü tu saügçhya  Ras_12.187a
÷uddhasphañikasaükà÷aü  Ras_2.63c
÷uddhaü mi÷raü tu saüyogàt  Ras_8.19c
÷uddhàni hemapattràõi  Ras_11.138a
÷uddhimàyànti bhàvitàş  Ras_7.90f
÷uddhimeti sure÷vari  Ras_6.80d
÷uddho doùavinirmuktaş  Ras_7.30c
÷uddho bhavati såtakaş  Ras_10.56d
÷udrà÷caivamanekadhà  Ras_6.67d
÷udhyate ca ÷ilàjatu  Ras_7.21b
÷ubhasya tu sahasre dve  Ras_10.36c
÷ubhaü tu parikãrtitam  Ras_10.36b
÷ulbapattraü viliptaü tu  Ras_12.110c
÷ulbavedhaü pradàpayet  Ras_12.95d
÷ulvacårõena ra¤jitam  Ras_8.42b
÷ulvapattràõi lepayet  Ras_12.217b
÷ulvamadhye vyavasthitàş  Ras_8.8b
÷ulvavàsanayà saha  Ras_11.55d
÷ulvavedhaü tu dàpayet  Ras_12.15b
÷ulvasya pa¤cabhàgaü ca  Ras_12.163c
÷ulvaü ca jàyate hema  Ras_12.268c
÷ulvaü ca mardayet sarvaü  Ras_12.267a
÷ulvaü tãkùõaü ca và mçtam  Ras_8.60d
÷ulvaü tu dàpayettàre  Ras_12.15c
÷ulvaü bhavati kà¤canam  Ras_12.20b
÷ulvaü bhavati kà¤canam  Ras_12.251b
÷ulvaü bhavati kà¤canam  Ras_12.265d
÷ulvaü bhavati kà¤canam  Ras_12.267d
÷ulvaü bhavati kà¤canam  Ras_12.274f
÷ulvaü ÷uddhaü bhaviùyati  Ras_12.139d
÷ulvaü ùoóa÷avarõakam  Ras_12.272d
÷ulvaü hema karoti ca  Ras_12.181d
÷ulvaü hemasamaü bhavet  Ras_8.64b
÷ulve tãkùõaü yadà cårõaü  Ras_11.92a
÷ulve tãkùõe ca melayet  Ras_11.91b
÷ulve nãlanibhà tãkùõe  Ras_4.49c
÷uùiranalinikà syànmçnmayã dãrghavçttà  Ras_4.58d
÷uùkàste vajratàü yàtà  Ras_6.66c
÷åkakandodare kùipet  Ras_12.106b
÷ådràü÷cànukrameõa tu  Ras_2.12d
÷ådro 'pi mriyate kùaõàt  Ras_6.105d
÷ånyapàpo mantrayàjã  Ras_1.14a
÷ånyaü ÷ånyaü punaş ÷ånyaü  Ras_2.114c
÷årà÷ca kçtavidyà÷ca  Ras_2.13c
÷ålinaü ÷aktisaüyuktaü  Ras_12.345a
÷ålinã ÷årpaparõã ca  Ras_10.55a
÷çgàlajihvà bçhatã  Ras_5.9c
÷çïgataila÷amãrasaiş  Ras_6.12d
÷çïgaverarase tathà  Ras_7.72d
÷çïgaveraü rasàïku÷aş  Ras_10.53d
÷çïgã kçùõaviùaü caiva  Ras_5.33c
÷çõu divyauùadhã priye  Ras_12.109b
÷çõu devi paraü guhyaü  Ras_2.31a
÷çõu devi pravakùyàmi  Ras_10.31a
÷çõu devi pravakùyàmi  Ras_11.14a
÷çõu devi pravakùyàmi  Ras_11.90a
÷çõu devi mahàbhàge  Ras_6.123a
÷çõu bhairavi yatnena  Ras_12.2a
÷çõu bhairavi yadbhàvam  Ras_2.37a
÷çõu lohànyataş param  Ras_7.96b
÷çõuùvoparasàn priye  Ras_7.55b
÷eùe dve niùphale varjye  Ras_6.128e
÷eùau madhyau ca làkùàvat  Ras_7.24a
÷ailajaü girisànujam  Ras_7.20b
÷ailatàü gatamathàhitaü mukhe  Ras_12.370e
÷ailavàrikçtasundarãrasaü  Ras_12.371c
÷ailavàriõi nikùipet  Ras_12.315b
÷ailavàrivarasiddhagolakaü  Ras_12.369c
÷ailaü tutthoragaü tàmraü  Ras_11.192a
÷ailaü vicårõayitvà tu  Ras_7.22a
÷ailàmbuculukatrayam  Ras_12.301b
÷ailàmbunikùiptapalà÷abãjaü  Ras_12.372a
÷ailàmbupalamaùñau tu  Ras_12.293e
÷ailãkçtaü kùaudraghçtena khàdet  Ras_12.372b
÷ailãbhåtaü kulatthaü và  Ras_12.310a
÷ailãbhåtaü ca dç÷yate  Ras_12.279b
÷ailãbhåtàni bhakùayet  Ras_12.311d
÷ailãbhåtàü haridràü tu  Ras_12.322a
÷aile tu dhåsarà devi  Ras_4.50c
÷ailodakavidhiü priye  Ras_12.277b
÷ailodakaü koñivedhi  Ras_12.287c
÷ailodake vinikùipya  Ras_12.323a
÷odhanatritayaü priye  Ras_5.42b
÷odhanaü såtakasyàdau  Ras_11.210a
÷odhayanti bhujaügamam  Ras_7.114d
÷odhayitvà dhamet sattvam  Ras_6.136e
÷odhayettattu yatnataş  Ras_7.21f
÷odhayettridinaü vajraü  Ras_6.80c
÷odhayet puñapàkataş  Ras_7.102d
÷odhitaü kàcañaïkaõaiş  Ras_8.20b
÷odhitaş saptavàràõi  Ras_7.73c
÷oùayettasya vàpena  Ras_7.122c
÷yàmà ca madhye kùàmà ca  Ras_2.24a
÷yàmà ÷amã ghanaravo  Ras_6.79a
÷rãbãjaü ca sure÷vari  Ras_2.72d
÷rã÷aile ÷rãvanaprànte  Ras_12.282a
÷reùñho madhyaş kanãyasaş  Ras_12.133d
÷rotumicchàmi deve÷a  Ras_1.32c
÷rotumicchàmi bhairava  Ras_11.1d
÷lakùõam alpàlpamabhrakam  Ras_11.18b
÷va÷çgàlatarakùåõàü  Ras_7.127a
÷vàna÷åkarajàtayaş  Ras_1.12b
÷vàno 'yaü jàyate devi  Ras_1.50a
÷vetakçùõavibhedataş  Ras_7.110b
÷vetagu¤jàvidhiü priye  Ras_12.183b
÷vetagu¤jà sitàïkolaş  Ras_5.16c
÷vetacàmarayormadhye  Ras_2.70a
÷vetadvãpe purà devi  Ras_7.57a
÷vetapãtàruõaş site  Ras_8.4d
÷vetaü pãtaü guru tathà  Ras_11.204a
÷vetaü laghu mçdu snigdham  Ras_7.110c
÷vetaş pãtastathà rakto  Ras_6.127a
÷vetà ca girikarõikà  Ras_5.7b
÷vetà raktàstathà pãtà  Ras_6.68a
÷vetàrkaü ca pipãlijam  Ras_5.15b
÷vetendurekhàpuùpàmbu-  Ras_6.101a
ùañkoõe devatàùañkaü  Ras_2.96c
ùañtruñya÷caikalikùà syàt  Ras_10.33a
ùañ saptàùñau ca varùàõi  Ras_12.361a
ùañsahasràõi vàrije  Ras_8.11b
ùañsiddhàrthà÷ca deve÷i  Ras_10.34c
ùaóaïgaü yojayet tàü tu  Ras_3.22c
ùaógu¤jà÷caikamàùakaş  Ras_10.35b
ùaóguõaü gaganaü priye  Ras_11.74b
ùaóguõaü vàpi jàrayet  Ras_11.83d
ùaóguõenàbhrakena tu  Ras_11.73b
ùaóguõe spar÷avedhakaş  Ras_12.70b
ùaódar÷ane 'pi muktistu  Ras_1.12c
ùaóbindurdvimukhã tathà  Ras_7.139d
ùaóbhàgaü såtakendrasya  Ras_11.103c
ùaóbhiş koñi÷ataü bhavet  Ras_12.335b
ùaóbhedà kàkiõã nàmnà  Ras_2.25c
ùaóyavairekagu¤jà syàt  Ras_10.35a
ùaóyåkàstu rajaşsaüj¤àş  Ras_10.33c
ùaórajaş sarùapaş sàkùàt  Ras_10.34a
ùaólikùà yåka eva ca  Ras_10.33b
ùaóvàrànsuravandite  Ras_7.134b
ùaõmàsamaparàïge ca  Ras_12.291e
