Skandapurana (Adhyayas 1 - 31.14; to be continued)
Based on the edition by Rob Adriaensen, Hans T. Bakker and Harunaga Isaacson,
Groningen : Egbert Forsten 1998-
(Groningen Oriental Studies)


Input by R. Adriaensen, H.T. Bakker and H. Isaacson


The transliteration emulates the conventions of Nagari script.
Therefore, many word boundaries are not marked by blanks.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________






akarotkiæ mahÃdeva  SkP_26.2c
rÃjÃ saæcintya tattadÃ  SkP_17.25b
rÃtrau candrasya bhÃsÃ kusumitatilakairekatÃæ samprayÃtaæ  SkP_30.34c
rÃmayacca rarÃma ca  SkP_26.4b
rudatÅ ÓvaÓuraæ tadÃ  SkP_18.9d
rudrajapyakarÃya ca  SkP_24.50b
rudradeve mamÃtyantaæ  SkP_29.26c
rudrabhaktÃya devÃya  SkP_24.50c
rudrabhÃvÃrpitasya ca  SkP_20.66b
rudramevÃnucintayat  SkP_30.6d
rudramevÃnucintayan  SkP_21.6d
rudralokamavÃpnuyÃt  SkP_10.40f
rudralokamavÃpnoti  SkP_7.32c
rudraloke mahÅyate  SkP_5.67d
rudraloke mahÅyate  SkP_21.56d
rudraloke mahÅyate  SkP_22.19d
rudraloke mahÅyate  SkP_28.52d
rudraÓca tÃn­«ÅnÃha  SkP_9.21c
rudrasya gaïapo 'bhavat  SkP_11.17d
rudrasya cÃtra sÃænidhyaæ  SkP_2.10a
rudrasya nÅlakaïÂhatvaæ  SkP_2.23c
rudrasya paramÃtmana÷  SkP_2.4b
rudrasyÃyatanaæ Óubham  SkP_7.31d
rudra÷ sarvagata÷ prabhu÷  SkP_5.33b
rudra÷ sra«ÂÃ hi sarve«Ãæ  SkP_3.27a
rudrÃïÃmamitaujasÃm  SkP_10.8d
rudrÃïÃæ tadbhavi«yati  SkP_22.14b
rudrÃïÃæ tvaæ mahÃbala÷  SkP_25.30b
rudrÃïÃæ pataye nama÷  SkP_21.25d
rudrÃïyai ca namo nama÷  SkP_29.189d
rudrÃ rak«Ãæsi yak«ÃÓca  SkP_24.29c
rudreïa samatÃæ labdhvÃ  SkP_20.3c
rudreti tri÷ plutaæ vaca÷  SkP_4.32f
rudro vigrahavÃnbhÆtvÃ  SkP_4.7c
rudhireïa durÃtmanÃ  SkP_17.16b
rÆpavantaæ samuts­jya  SkP_12.16c
rÆpaæ cÃpnoti pu«kalam  SkP_28.21b
rÆpaæ vik­tamÃsthita÷  SkP_6.2b
rÆpaæ vik­tamÃsthita÷  SkP_7.34b
rÆpiïÅ darÓanaæ prÃdÃd  SkP_8.17c
rejire ÓÃlasaæÓritÃ÷  SkP_13.108b
reme navendÅvaraphullanetrÃ  SkP_26.68c
rocate me sadÃvÃso  SkP_30.49c
rocanÃrucakaæ tathÃ  SkP_24.26b
romabhiÓchÃndasai÷ Óubhai÷  SkP_5.14d
romarÃjÅpari«k­tÃ  SkP_13.85d
lak«yÃlak«yaæ tamÅÓvaram  SkP_5.61d
laghimÃyai namo nama÷  SkP_29.194d
latÃkusumasaæcayÃ÷  SkP_13.109b
latÃdrumÃbhyudgatacÃrupallavÃ  SkP_13.76b
latÃpratÃnÃvanataæ manoharam  SkP_30.23b
latÃv­k«ak«upÃkulam  SkP_9.26f
latopagÆ¬haistilakaiÓca gÆ¬ham  SkP_30.27d
labdhavyaæ yatra manyase  SkP_17.10f
labdhastvaæ me yata÷ suta÷  SkP_20.59d
labhate dehabhede tu  SkP_29.19c
labhante bhaktavatsala  SkP_27.4b
labheddhuttÆrakasya tu  SkP_28.36d
lambabhrÆ÷ sthÆlanÃsika÷  SkP_23.16b
lambamÃnÃ hyadhomukhÃ÷  SkP_11.10b
lambamÃnÃæstadÃ munÅn  SkP_11.9b
lalÃÂanayanÃya ca  SkP_14.13b
lalÃÂanayanÃya ca  SkP_21.32d
lalÃÂanayanÃya ca  SkP_24.52b
lalÃÂaæ pramamÃrja ha  SkP_4.12d
lÃÇgalena cakar«a tÃm  SkP_20.27d
liÇgapÆjÃæ tu ya÷ kuryÃn  SkP_28.30a
liÇgaæ me sthÃpayecca ya÷  SkP_27.13b
liÇgaæ yo 'rcayatÅha me  SkP_28.45d
liÇgÃni sthÃpitÃni ha  SkP_29.36b
liÇge 'rcite yathÃtyarthaæ  SkP_28.44c
lÅyamÃnÃ iveÓvare  SkP_29.64d
lokavedaÓarÅrÃ ca  SkP_5.14c
lokasya mÃtaraÓcaiva  SkP_24.32a
lokasyodbhramasambhramau  SkP_31.13d
lokÃnÃæ hitakÃmyayÃ  SkP_10.33b
lokÃnÃæ hitakÃmyayÃ  SkP_28.48d
lokÃntakaÓca dÅptÃtmÃ  SkP_23.60c
lokÃndadÃnyahaæ tasmai  SkP_27.15c
lokÃndhak«yÃmi pÃvakai÷  SkP_18.29b
lokÃnyathe«Âaæ lokeÓa  SkP_29.170c
lokÃnsarvÃnsamÃviÓya  SkP_4.20c
lokÃnsarvÃæstÃpayÃnaæ  SkP_15.2c
lokÃstasyÃk«ayÃ devi  SkP_28.7c
lokÃæÓca pramathai÷ sÃrdhaæ  SkP_14.28c
lokÃæÓcaiva tathÃk«ayÃn  SkP_20.47d
lokÃ÷ saja¬apaï¬itÃ÷  SkP_27.37b
loke khyÃtikaraæ nu kim  SkP_11.1d
loke khyÃtiæ gami«yati  SkP_3.21d
loke khyÃtiæ gami«yasi  SkP_7.8d
vaktavyo nÃsmi te puna÷  SkP_10.11d
vak«ye skandodbhavaæ Óubham  SkP_2.3d
vaca etaduvÃca ha  SkP_29.182d
vacanaæ vacanÃraïi÷  SkP_10.23d
vacasÃpyÃyayanniva  SkP_22.3b
vacastatpariniÓcintya  SkP_16.13c
vaca÷ provÃca bhagavÃæl  SkP_28.48c
vacÃæsi pratyapÆjayat  SkP_18.35b
vaco bhÆtÃrthavÃcakam  SkP_1.13d
vajramÃkÃrayattasya  SkP_13.33a
vajrasÆcÅmukhairvyÃsa  SkP_30.17c
vajraæ k«eptuæ na ÓaÓÃka  SkP_13.34c
vajraæ caiva varÃyudham  SkP_24.24d
vajrodyatakarÃya ca  SkP_24.49b
va¤cayi«yasi kathyatÃm  SkP_20.56d
va¤cayi«ye na vidyayÃ  SkP_20.57b
va¬avÃmukhasaænibham  SkP_5.42b
vadhaÓca tÃrakasyogro  SkP_2.26c
vadha÷ sundanisundayo÷  SkP_2.13d
vanaæ viveÓa tatrÃbhÆt  SkP_18.1c
vanaæ vaibhrÃjasaænibham  SkP_29.7f
vapuÓcakÃra deveÓas  SkP_13.53c
vayameva hi rÃjÃnam  SkP_8.15a
vayaæ te 'k­tapuïyasya  SkP_11.11a
vayaæ sadevÃ yasyeÓe  SkP_11.40c
vara Ãbhya÷ pradÅyatÃm  SkP_29.181f
vara e«o 'vati«ÂhatÃm  SkP_14.27d
vara e«o 'stu me vibho  SkP_29.168d
varadaæ cÃbhidhatsva na÷  SkP_4.35d
varada÷ sarvapÆjita÷  SkP_31.10d
varadÃtre ca rudrÃya  SkP_9.6a
varadÃnamathÃpi ca  SkP_2.14d
varadÃnamaÓe«ata÷  SkP_29.176b
varadÃnaæ tathaiva ca  SkP_2.11d
varadÃnaæ tathaiva ca  SkP_25.58b
varadÃnÃya deveÓo  SkP_29.126c
varadÃya ca bhaktÃnÃæ  SkP_20.13c
varadÃya vari«ÂhÃya  SkP_9.8e
varado bhava viÓvak­t  SkP_20.20d
varado varadÃrcita÷  SkP_25.34b
varado 'smi tavÃdya vai  SkP_6.8d
varado 'smÅti codita÷  SkP_31.8b
varado 'smÅtyabhÃ«ata  SkP_7.3b
varado 'smÅtyabhÃ«ata  SkP_11.20b
varado 'smÅtyabhÃ«ata  SkP_16.4d
varado 'smÅtyabhÃ«ata  SkP_20.8d
varado 'smÅtyabhÃ«ata  SkP_21.7d
varado 'smÅtyuvÃca ha  SkP_3.12b
varametaæ v­ïe deva  SkP_21.14c
varayÃmi manoratham  SkP_12.19d
varayedyaæ svayaæ tatra  SkP_12.13c
varaæ tasmÃddadÃmi te  SkP_12.53d
varaæ dattvÃ mahÃtapÃ÷  SkP_19.12b
varaæ dadÃmi te vatsa  SkP_25.14c
varaæ dadurmahÃsattvÃ÷  SkP_25.27c
varaæ brÆta pradÃsyÃmi  SkP_9.12c
varaæ brÆta yathe«Âaæ ca  SkP_14.26c
varaæ bhaktÃya bhÃvini  SkP_31.1d
varaæ varaya bhadraæ te  SkP_6.8c
varaæ varasahasradau  SkP_25.25f
varaæ v­ïÅ«va putra tvaæ  SkP_25.14a
varaæ v­ïu yathepsitam  SkP_21.4d
varaæ v­ïu yathe«Âaæ vai  SkP_25.24c
varÃnurÆpaæ pravidhÃya ve«aæ  SkP_13.20c
varÃnsa labdhvÃ bhagavÃn  SkP_16.1a
varÃrthamÃjagmurato vimÆ¬hÃ  SkP_13.25c
vari«Âhaæ tapatÃæ varam  SkP_15.16b
varuïa÷ sadhaneÓvara÷  SkP_24.28b
varuïebhyastathaiva ca  SkP_25.48b
varo 'dattastvayÃ prabho  SkP_26.42d
varo daÓabhirabhyÃgÃt  SkP_23.48a
varo varasahasrada  SkP_9.16d
varïÃÓramavyavasthÃnaæ  SkP_5.8e
vartayi«yÃmi taccÃpi  SkP_11.4c
vardhamÃnaæ tadÃ tattu  SkP_5.42a
var«akoÂiÓatÃnya«Âau  SkP_28.18a
var«aæ kaÇkaïimeva ca{}  SkP_24.26d
var«Ãïi girayastathÃ  SkP_24.30d
valmÅkena samÃkrÃnto  SkP_30.17a
vallabhatvaæ ca nityaÓa÷  SkP_28.26d
vavande caraïau Óambhor  SkP_13.40c
vavande parayÃ bhaktyÃ  SkP_1.20c
vavuramaragaïeÓvarÃmbarÃïi  SkP_13.99c
vavu÷ pÃÂalavistÅrïa-  SkP_13.122c
vavu÷ sugandhÃ÷ subhagÃ÷ suÓÅtÃ  SkP_13.102a
vaÓagÃ÷ sarvathÃpi ca  SkP_29.226d
vaÓÅkaraïameva ca  SkP_2.25b
vaÓyÃÓca yÆyaæ sarve me  SkP_25.28c
vaÓyÃ÷ kiækaravÃdina÷  SkP_11.40d
va«aÂprak­taye nama÷  SkP_29.205b
vasantakÃlaÓca tamadriputrÅ-  SkP_13.100c
vasÃrudhiradigdhÃÇgaæ  SkP_18.13c
vasi«ÂhakauÓikÃbhyÃæ ca  SkP_2.9a
vasi«Âham­«iÓÃrdÆlaæ  SkP_15.16c
vasi«ÂhayÃjyo rÃjÃsÅn  SkP_17.2a
vasi«Âhasahita÷ prabhu÷  SkP_18.27b
vasi«Âhasya ca tÃæ k«Ãntiæ  SkP_19.24c
vasi«Âhasya ca dhÅmata÷  SkP_2.8b
vasi«Âhasya mahÃbhÃga  SkP_18.33c
vasi«Âhasya munervibhu÷  SkP_15.15d
vasi«ÂhasyÃpi kÃlena  SkP_18.23a
vasi«Âhasyaiva paÓyata÷  SkP_18.2d
vasi«Âhaæ tu tadÃ dhÅmÃæs  SkP_18.24a
vasi«Âhaæ prÃha du÷khitÃ  SkP_19.18b
vasi«Âhaæ me mahÃpage  SkP_19.17d
vasi«Âhaæ srotasÃ ÓubhÃ  SkP_19.20d
vasi«Âha÷ kauÓikaæ prati  SkP_18.3d
vasi«ÂhÃya namo 'stu te  SkP_21.46b
vasi«ÂhÃ÷ kratavastathÃ  SkP_4.24d
vasi«ÂhenÃmitÃtmanÃ  SkP_15.30b
vasi«ÂhenÃmitÃtmanÃ  SkP_19.7b
vasi«Âhe vairamatyajat  SkP_19.25b
vasi«Âho nÃma viprendro  SkP_15.14a
vasi«Âho 'smatpitÃmaha÷  SkP_16.1b
vasudevasuta÷ Óubhe  SkP_15.11b
vasÆnÃæ pataye nama÷  SkP_21.26d
vasorbÅjÃÓanÃtpurÃ  SkP_19.11b
vahnigaÇgÃsuta÷ katham  SkP_1.25b
vahnibhÃskarayoriva  SkP_29.61f
vahniliÇgÃya vai nama÷  SkP_15.19d
vahni÷ samabhyetya surendramadhye  SkP_13.14c
vahnyarkateja÷pratime vimÃne  SkP_13.11b
vahnyarkaÓakrÃnilatulyabhÃsÃm  SkP_13.20b
vaæÓasya cÃk«atirvipra  SkP_15.34c
vaæÓÃnucaritaæ k­tsnaæ  SkP_5.6c
vaæÓÃæÓca païavÃæÓcaiva  SkP_24.60c
vÃgiyaæ divyarÆpiïÅ  SkP_7.6b
vÃgbhistu«Âuvire tadÃ  SkP_18.34d
vÃÇmanodo«avarjitÃ÷  SkP_4.36b
vÃcÃ saæjÅvayanniva  SkP_7.7b
vÃcÃ saæjÅvayanniva  SkP_12.21d
vÃce 'tha vÃgmine caiva  SkP_21.41c
vÃ¬valeryoganÃÓÃya  SkP_14.12c
vÃditrairvividhaiÓcaiva  SkP_23.66c
vÃdyamÃnairmahÃyogÃ  SkP_23.68c
vÃpyastatrÃbhavanramyÃ÷  SkP_13.112a
vÃpya÷ praphullapadmaughÃ÷  SkP_13.123a
vÃmadeva sudeveti  SkP_28.61a
vÃmadeva÷ praÓÃntaÓca  SkP_28.67a
vÃmamak«i sudÅptimat  SkP_29.136b
vÃmarÆpebhya eva ca  SkP_25.49d
vÃmaæ tathaiva bhavatu  SkP_29.148c
vÃmenÃvaj¤ayaiva hi  SkP_5.43b
vÃyava÷ sumanoharÃ÷  SkP_13.122b
vÃyunÃ saha saægatÃ÷  SkP_5.16b
vÃyubhak«astadÃ tasthau  SkP_18.6c
vÃyumarkaÂavÃhanÃ÷  SkP_23.64b
vÃyurvyajanameva ca  SkP_24.48b
vÃyuvegaæ mahÃhÃsaæ  SkP_23.22c
vÃyuæ devaæ mahÃdhiyam  SkP_5.16d
vÃyvÃhÃrÃ punaÓcÃpi  SkP_10.1e
vÃrÃïasÅti bhuvanatrayasÃrabhÆtÃ  SkP_30.74a
vÃrÃïasÅmahaæ gacchann  SkP_11.5a
vÃrÃïasÅæ samÃsÃdya  SkP_30.14c
vÃrÃïasyÃÓca ÓÆnyatvaæ  SkP_2.9c
vÃrÃïasyÃæ tu jÃhnavÅm  SkP_29.77b
vÃrÃïasyÃæ niketanam  SkP_29.1b
vÃrÃïasyÃæ mamÃspade  SkP_29.75d
vÃrÃïasyÃæ mamÃspade  SkP_29.93b
vÃrÃïasyÃæ mahÃdyuti÷  SkP_30.1d
vÃrÃïasyÃæ v­«adhvaja÷  SkP_29.4b
vÃruïyai ca ÓaraïyÃyai  SkP_29.193a
vÃsamanyatra Óobhane  SkP_26.12b
vÃsaæ tasya supÆjitam  SkP_27.20d
vÃsi«Âhasya mahÃtmana÷  SkP_16.3b
vÃsobhi÷ samalaæk­tÃ  SkP_13.88d
vÃsoyugaæ ca taddivyaæ  SkP_24.47a
vÃsoyugaæ v­k«ajaæ ca  SkP_24.23c
vikampayantÅ pavanairmanoharai÷  SkP_13.79c
vikÃrÃïÃæ guïai÷ saha  SkP_20.14b
vik­taæ rÆpamÃsthÃya  SkP_12.4c
vik­tebhyastathaiva ca  SkP_25.43d
vikhyÃtÃ surapÆjitÃ  SkP_11.28d
vigatabhayavi«Ãda÷ sarvabhÆtapracetÃ÷  SkP_9.33b
vigatÃsuæ ca cakrire  SkP_7.20d
vighnaæ taccaiva saætÅrya  SkP_8.4a
vicacÃra tadÃ puna÷  SkP_29.96d
vicacÃra samantata÷  SkP_29.4d
vicaransa tadÃ lokÃn  SkP_1.16c
vicarÃmi gaïairnagnair  SkP_26.17e
vicareyaæ sukhaæ deva  SkP_10.3c
vicitrapu«pasparÓÃtsugandhibhir  SkP_13.79a
vicitrapu«pÃgrarajotkarÃÇgÃ÷  SkP_13.102b
vicitrasÃraÇgakulÃkulÃsu  SkP_13.98b
vicchinnasaætatÅnghoraæ  SkP_20.6c
vijane lokabhÃvanÅ  SkP_26.13d
vij¤aptiæ brahmaïa÷ ÓrutvÃ  SkP_5.64a
vij¤Ãpitastena mahÅdhrarÃj¤Ã  SkP_13.8c
vij¤Ãpya parameÓvaram  SkP_13.46b
viÂpatiÓca mahÃbala÷  SkP_23.57d
vitarÃmi Óubhaæ lokaæ  SkP_28.29c
vittaæ ca te pradÃsyÃmi  SkP_26.30a
vittaæ yadyatsamÅhitam  SkP_26.35b
vidadhÃtyekapÃÂalÃ  SkP_11.26d
vidadhÃmyarjunaæ tasya  SkP_27.12c
vidu«e viÓvakarmaïe  SkP_21.44d
vidyÃyai ca namo nama÷  SkP_29.207b
vidyujjihvo mahÃkÃyas  SkP_23.8a
vidyutkeÓo 'tihÃsaÓca  SkP_23.35c
vidyutkeÓo mahÃbala÷  SkP_23.39b
vidyullekhÃvabhÃsitÃ  SkP_13.75b
vidhÃnena yathoktena  SkP_27.13a
vidhyamÃnastathaiva ca  SkP_30.17d
vinatÃyai tathÃ lak«myai  SkP_29.212a
vinatÃyai namo nama÷  SkP_29.210d
vinÃditaæ sÃrasahaæsanÃdibhi÷  SkP_30.25c
vinÃyakaÓcatu÷«a«ÂyÃ  SkP_23.45e
vinÃÓayitumÃÓvapi  SkP_8.13d
vinÃÓÃya bhavi«yati  SkP_5.27f
vinÃÓo nÃtra saæÓaya÷  SkP_21.53b
viniyuktaÓca sarvaÓa÷  SkP_7.22b
vinendunÃ indusamÃnavaktro  SkP_11.42c
vindhyasÆryasamÃgama÷  SkP_2.13b
vipannasyÃm­taæ padam  SkP_29.86d
viparÅto narÃdhama÷  SkP_10.37b
vipÃÓÃ sÃbhavattata÷  SkP_18.5d
vipratvaæ gÃdhije gate  SkP_19.15b
viprasyÃrtasya ÓobhanÃ  SkP_12.36b
vipraiÓca dÃntai÷ Óamayogayuktais  SkP_4.41a
vipro niyamavÃ¤chuci÷  SkP_11.7b
vibhÅ«aïaæ rÆpamihÃsthito 'gram  SkP_11.42d
vibhugnanÃsiko bhÆtvÃ  SkP_12.5a
vibhutvaæ caiva lokÃnÃm  SkP_3.7c
vibhrÃjitaæ tridaÓadevakulairanekai÷  SkP_30.32d
vimalasaliladhÃrÃpÃtanamrotpalÃgrÃ  SkP_13.82b
vimÃnap­«Âhe maïihemacitre  SkP_13.27a
vimÃnamÃruhya ÓaÓÅ samÃgÃt  SkP_13.16d
vimÃnamÃruhya samabhyagÃcca  SkP_13.19d
vimÃnamÃruhya samabhyagÃddhi  SkP_13.13d
vimÃnavaravÃhÃya  SkP_9.8c
vimÃnaÓatasaækule  SkP_13.1b
vimÃnaæ merusaækÃÓaæ  SkP_8.30c
vimÃnaæ sÆryavarcasam  SkP_26.65b
vimÃnaæ svanavaddivyam  SkP_11.5c
vimÃne caiva modate  SkP_27.33d
vimÃnenÃrkatejasÃ  SkP_8.27d
vimÃne ravisaækÃÓe  SkP_1.18a
vimÃne«u tathÃrÆ¬hÃ  SkP_23.65c
vimÃne sÆryasaækÃÓe  SkP_5.55c
vimÃne sÆryasaækÃÓe  SkP_29.216c
vimuktaæ na mayÃ yasmÃn  SkP_30.52a
vimukta÷ sarvapÃtakai÷  SkP_27.22b
vimok«asaæsiddhiphalapradaæ hi  SkP_29.90c
viyatÅÓvaradattacak«u«a÷  SkP_8.36c
viyoniæ na sa gacchati  SkP_28.60f
viraja÷ sÆk«mameva ca  SkP_24.23d
virarÃma mahÃtejÃ  SkP_10.38c
virarÃma ÓubhÃnanÃ  SkP_29.151b
virÆ¬hapu«pai÷ parita÷ priyaÇgubhi÷  SkP_30.23c
virÆpanayanÃya ca  SkP_14.4d
virÆpÃyÃjitÃya ca  SkP_14.2d
vilalÃpa sudu÷khitÃ  SkP_15.8b
vilokya saæsthite paÓcÃd  SkP_29.60c
vilocanamanoharÃ  SkP_13.84d
vilolapiÇgalaspa«Âa-  SkP_13.75a
vivÃhastasya dhÅmata÷  SkP_25.12b
vividhakaraïayukta÷ khecara÷ pÃdacÃrÅ  SkP_9.32d
vividhataruviÓÃlaæ mattah­«ÂÃnyapu«Âam  SkP_30.43c
vividhavihaægamanÃdaramyadeÓÃ÷  SkP_13.126b
viviÓurh­dayaæ sarve  SkP_29.69c
viviÓu÷ sarvadÃÇganÃ÷  SkP_29.235d
viv­«aistuïavairapi  SkP_23.67d
viveÓa taæ tadÃ deÓaæ  SkP_11.8c
viveÓa bhavanaæ tata÷  SkP_14.28d
viÓadÃæ putra putreti  SkP_5.56e
viÓÃkhaÓÃkhayoÓcaiva  SkP_29.200a
viÓÃle«u mahÅbh­ta÷  SkP_13.125b
viÓuddhavÃkkarmavidhÃnasambhavam  SkP_18.41b
viÓuddhÃ m­gasevitÃ  SkP_26.63d
viÓu«kaæ kak«amÃdÅptÃ  SkP_29.136c
viÓe«ÃÓcendriyai÷ saha  SkP_3.23d
viÓrÃmastava vidyate  SkP_20.19b
viÓruta÷ samahÃdyuti÷  SkP_23.42d
viÓruto gaï¬amaï¬aka÷  SkP_25.10b
viÓvasya jagata÷ patim  SkP_2.1d
viÓvÃmitravasi«Âhayo÷  SkP_19.14b
viÓvÃmitravasi«Âhayo÷  SkP_19.28b
viÓvÃmitrasamÅrita÷  SkP_17.15b
viÓvÃmitrasya paÓyata÷  SkP_18.32d
viÓvÃmitrasya mi«ata  SkP_18.35c
viÓvÃmitra÷ pratÃpavÃn  SkP_19.17b
viÓvÃmitreïa dhÅmatÃ  SkP_19.16b
viÓvÃmitreïa sÃ ÓaptÃ  SkP_19.22a
viÓvÃmitro mahÃtejÃ  SkP_19.25a
viÓvÃvasÆ ruciÓcaiva  SkP_25.9c
viÓvedevÃya vai nama÷  SkP_14.18b
viÓveÓamekÃk«aramavyayaæ ca  SkP_23.69b
vi«ayagrÃhiïe caiva  SkP_3.17a
vi«ayÃsaktacitto 'pi  SkP_30.67a
vi«aye mama vÃsÅ ca  SkP_26.55c
vi«aye«vatisaktÃtmÃ  SkP_8.14a
vi«uve«vayane«u ca  SkP_29.76d
vi«ÂambhanÃya Óakrasya  SkP_14.6a
vi«ïave ca dadÃvekam  SkP_24.44c
vi«ïave lokatantrÃya  SkP_21.43a
vi«ïukrÃntÃæ punarnavÃm  SkP_24.37d
vi«ïudehodbhavÃsu ca  SkP_6.12b
vi«ïunÃ sthÃpita÷ puna÷  SkP_29.24d
vi«ïurvÃyurdivÃkara÷  SkP_30.62b
vi«ïurvai yogacak«u«Ã  SkP_6.5b
vi«ïuloke mahÅyate  SkP_6.14d
vi«ïu÷ sÃnucarastathÃ  SkP_24.34f
vi«ïordehÃrdhadattÃya  SkP_21.37a
vi«ïo÷ sad­ÓamÆrjitam  SkP_6.10d
vi«vaksena÷ sahasreïa  SkP_23.48c
visasarja mahÃtapÃ÷  SkP_22.15d
vis­jÃÓu tatastu mÃm  SkP_20.62d
vis­jainaæ mahÃdaæ«Âra  SkP_12.40c
vis­jya ­«iÓÃrdÆlÃv  SkP_20.51c
vis­jya ca surÃnhara÷  SkP_14.28b
vis­jya nandinaæ bhÅta÷  SkP_20.48c
vis­«ÂÃ sÃ tadÃ mÃtrÃ  SkP_26.10a
vistareïa prakÅrtyate  SkP_2.28f
vistÅrïapulinaÓroïÅ  SkP_13.84a
vist­te himavatp­«Âhe  SkP_13.1a
vihatya tapaso yogÃd  SkP_18.37c
vihaægamaiÓcÃrukalapraïÃdibhi÷  SkP_30.25b
vihitaæ yadyathÃ mayÃ  SkP_15.37b
vihito lokakart­bhi÷  SkP_12.41d
vihÅna÷ prajayÃ vibho  SkP_19.5d
vÅk«ate 'vinayÃtprabho  SkP_29.140b
vÅk«amÃïasya Óobhane  SkP_29.144b
vÅrabhadraÓcatu÷«a«ÂyÃ  SkP_23.56c
vÅryaæ ca tridaÓÃdhikam  SkP_1.14d
v­k«ÃÓca vÅrudhaÓcaiva  SkP_24.31a
v­ïÅthÃ mÃd­Óaæ katham  SkP_12.16d
v­ïÅ«va varamavyagro  SkP_7.3c
v­ïuyÃtparameÓÃnaæ  SkP_13.4c
v­ta÷ koÂÅÓatena sa÷  SkP_23.36b
v­ta÷ koÂÅÓatenaiva  SkP_23.18c
v­ta÷ koÂÅÓatenaiva  SkP_23.29a
v­ta÷ samanudhÃvata  SkP_23.44d
v­to 'mbhojavilocane  SkP_26.17f
v­ttasya kathanaæ tathÃ  SkP_2.19b
v­ttÃsyaÓca mahÃk«aÓca  SkP_23.16c
v­tti÷ ÓubhÃ bhavitrÅ ca  SkP_29.234a
v­tti÷ svayambhuvÃ s­«ÂÃ  SkP_30.10c
v­tte udvÃhakÃle tu  SkP_13.134e
v­thÃdhikaæ yatnamupÃcakÃra  SkP_13.23d
v­ddhÃ iva samÃgatÃ÷  SkP_13.107d
v­ndaæ samÃgÃtpurata÷ surÃïÃm  SkP_13.20d
v­«adhvaja iti Óruta÷  SkP_29.17b
v­«adhvajamimaæ d­«ÂvÃ  SkP_29.18c
v­«abhaÓca mahÃbala÷  SkP_23.56d
v­«abhaæ cÃpi pÃrÓvata÷  SkP_24.16b
v­«abhaæ ya÷ prayaccheta  SkP_27.16a
v­«aæ caiva-m-upÃÓritam  SkP_31.5d
v­«a÷ paramahar«ita÷  SkP_22.23b
vegenÃpah­tastvayÃ  SkP_19.21d
vedagÅtÃæstapodhanÃ÷  SkP_13.71b
vedanÃyai namaste 'stu  SkP_29.206a
vedamÃtre namo nama÷  SkP_29.188d
vedaliÇgÃya vai nama÷  SkP_15.19b
vedavedÃÇgatattvaj¤ai÷  SkP_1.19a
vedasaæsthÃpravartaka÷  SkP_30.61d
veda÷ paramadÅptimÃn  SkP_5.31b
vedÃÇgÃya namo nama÷  SkP_14.5d
vedÃnÃæ pataye caiva  SkP_20.12c
vedÃnsÃÇgÃnaÓe«ata÷  SkP_20.35b
vedÅmadhyÃdvini÷s­tya  SkP_5.15c
vedÅmadhyÃdvyavartata  SkP_8.1d
veddhukÃmaæ sureÓvaram  SkP_15.4b
vepamÃnamavasthitam  SkP_12.37d
veÓma vi«ïormahÃtmana÷  SkP_6.4b
ve«ÂayitvÃ ca sÆtreïa  SkP_24.43c
vaidikyo 'psarasa÷ ÓubhÃ÷  SkP_29.184b
vaidikyo 'psaraso hyetÃ÷  SkP_29.181c
vaidÆryanÃlÃni sara÷su ke«ucit  SkP_13.111c
vairaæ samÃptaæ lokÃnÃæ  SkP_19.28c
vairodbhavasamÃpanam  SkP_2.9b
vyagrÃïÃmasurÃïÃæ sÃ  SkP_8.21a
vyajanaæ candraÓubhraæ ca  SkP_24.18a
vyaj¤Ãpayata Óaækaram  SkP_30.19b
vyalÅkÃnyapi kurvantyo  SkP_29.227a
vyasarjayadadÅnÃtmÃ  SkP_20.67c
vyas­jatsarvayogavit  SkP_9.17d
vyÃkhyÃtaæ phalametÃsÃæ  SkP_22.29c
vyÃghracarmadharÃya ca  SkP_9.5b
vyÃghracarmÃjinÃmbaram  SkP_23.22b
