Santideva: Bodhicaryavatara


Input by Richard Mahoney



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akasmànmçtyuràyàto  Bca_7.8c
dravyanà÷e yathodvegaþ  Bca_8.25c
draùñavya÷ca punaþ punaþ  Bca_5.105b
draùñavyaü punarantarà  Bca_5.39d
draùñavyo na punaþ priyaþ  Bca_8.5d
draùñuü spraùñuü ca và¤chasi  Bca_8.54b
draùñuü spraùñuü ca ÷akyate  Bca_8.55b
drumà÷ca ye satphalanamra÷àkhàþ  Bca_2.3d
dvayamanyonyani÷ritam  Bca_9.109b
dvayaü duþkhasya kàraõam  Bca_6.43b
dvayorapi bibuddhayoþ  Bca_6.58b
dvayorapyàvayoþ siddhe  Bca_9.72a
dvitãyaü ca prayatnataþ  Bca_5.106d
dvisvabhàvaprasaïgataþ  Bca_9.149d
dveùa÷alye hçdi sthite  Bca_6.3d
dveùasteùu kathaü mama  Bca_6.100d
dveùasteùu kathaü mama  Bca_6.101d
dveùeõa preritaþ so 'pi  Bca_6.41c
dveùeõànunayena và  Bca_8.180d
dveùe dveùo 'stu me varam  Bca_6.41d
dveùo dçpto nihanti màm  Bca_6.7d
dhanyànàü gurusaüvàsàt  Bca_5.30c
dhanyaiþ ÷a÷àïkakaracandana÷ãtaleùu  Bca_8.86a
dharmacintàmahàstambhe  Bca_5.40c
dharmacchandaviyogena  Bca_7.39a
dharmadhvanimanoharaiþ  Bca_10.34d
dharmadhvaniravi÷ràmaü  Bca_10.37c
dharmapradãpaü kurvantu  Bca_3.4c
dharmaü gacchàmi ÷araõaü  Bca_2.26c
dharmaü nirgaurave svasthe  Bca_5.88a
dharmàrthamàtramàdàya  Bca_8.16a
dharmo bhra÷yati ÷à÷vataþ  Bca_8.8d
dhàrayàmãdç÷aü cittam  Bca_5.58c
dhàrayàmyeùa mànasam  Bca_5.57d
dhàryate karmabhàõóavat  Bca_8.184d
dhigasthànasahiùõutàü  Bca_4.29d
dhiïmàmatyantamohitam  Bca_2.57d
dhãmataþ svàrthavedinaþ  Bca_6.91b
dhãyate bhàvavàsanà  Bca_9.33b
dhãraü sàdaragauravam  Bca_5.55b
dhçtimanto bhavantu ca  Bca_10.21d
dhairyaü kçtvà pratãkùatàm  Bca_8.19d
dhnanti màmeva susthitàþ  Bca_4.29b
dhyànàhàrà hi yoginaþ  Bca_9.93d
dhvàntaü dhvastaü samantàt sukharatijananã kasya saumyà prabheyam  Bca_10.11b
na kakùau nàüsalakùaõaþ  Bca_9.80b
na karotyanyathà kàyaþ  Bca_5.59c
na karomi kùamàmiha  Bca_6.103b
na kartavyamidaü tvayà  Bca_8.167b
na kartavyaü na vaktavyaü  Bca_5.48c
na kartavyàtmani prãtir  Bca_8.173a
na kartuü tadabhàvataþ  Bca_9.125d
na karttavyaü punarmayà  Bca_2.66d
na karttavyàþ kadàcana  Bca_5.35b
na karmaphalasaübandho  Bca_9.71a
na ka÷cidaparàdhyati  Bca_6.106d
na ka÷cid bhàga÷aþ kçtaþ  Bca_9.75b
na kiücidasti tadvastu  Bca_6.14a
na kurvantãha tàü vyathàm  Bca_5.2b
na kçtà ÷àsane kàrà  Bca_7.37c
na kevalamamedhyatvam  Bca_8.61a
na kevalaü tvamàtmànaü  Bca_6.86a
na kevalaü dayà nàsti  Bca_6.38c
na kle÷ava÷ago bhavet  Bca_7.61d
na kle÷a÷atrorgatirãdç÷ã tu  Bca_4.45d
na kle÷à viùayeùu nendriyagaõe nàpyantaràle sthità  Bca_4.47a
na kle÷ebhyo vimocitaþ  Bca_4.41d
na kùamaü sarvakarmasu  Bca_5.24d
na kùamaþ sarvakarmasu  Bca_5.24b
na kùamaþ svàrthasàdhane  Bca_7.50b
na kùobhyà mudità mayà  Bca_6.9b
na khàditavyama÷uci  Bca_5.65a
na grãvà na ÷iraþ kàyaþ  Bca_9.80c
naïkùyatãhaiva me làbhaþ  Bca_6.55c
na ca kàyasukhàya me  Bca_6.90d
na ca kùàntisamaü tapaþ  Bca_6.2b
na ca chidràõyahaü nàpi  Bca_9.60c
na ca tanmàtramevàsau  Bca_4.22a
na ca tasmàtpañàdayaþ  Bca_9.131d
na ca tçpyati dçùñvàpi  Bca_8.6c
na ca dveùasamaü pàpaü  Bca_6.2a
na ca pàpamakãrttirvà  Bca_8.41c
na ca pratyayasàmagryà  Bca_6.26a
na ca pravràjake pràpte  Bca_6.105c
na ca bodhirbhaviùyati  Bca_7.21d
na ca bhàvo 'sti sarvadà  Bca_9.150b
na ca moho 'styataþparaþ  Bca_4.23b
na ca yàtyàgataü punaþ  Bca_5.33b
na ca vyastasamasteùu  Bca_9.142c
na ca saügrathanakau÷alaü mamàsti  Bca_1.2b
na ca sneho na ca dveùas  Bca_8.181c
na càcàraü parityajya  Bca_5.90c
na càtra me vyayaþ ka÷cit  Bca_5.78a
na cànapagate 'bhàve  Bca_9.149a
na càntikacaràþ kecic  Bca_8.37a
na cànyenànubhåyate  Bca_9.101d
na càpi janitasyàsti  Bca_6.26c
na càràdhyàþ prayatnataþ  Bca_8.26b
na càsti vedakaþ ka÷cid  Bca_9.102a
na càhamantranirguõóã  Bca_9.59c
na càheturbhaviùyati  Bca_6.87d
na cetprayojanaü tena  Bca_8.51c
na cedaü tàdç÷aü duþkhaü  Bca_6.75a
na cedàtmani sarvavat  Bca_8.103d
na cennàstyeva saüvçtiþ  Bca_9.108d
na cchinatti yathàtmànam  Bca_9.18a
na jàne kena muhyàmi  Bca_4.27c
na j¤àtàþ kva gatà iti  Bca_8.20d
nañavatso 'pya÷à÷vataþ  Bca_9.66b
na tadasti na yatpuõyam  Bca_5.100c
na tiùñhati na gacchati  Bca_9.143b
na tu buddhaiþ samàþ kecid  Bca_6.116c
na tu màyàvadityatra  Bca_9.5c
na tvavicchinnapuõyatvaü  Bca_1.17c
na tvàrabhya nivartanam  Bca_7.47d
na tvevàvanatiü yàmi  Bca_4.44c
na duþkhaü ka÷cidicchati  Bca_6.34d
na duþkhã tyaktapàpatvàt  Bca_7.27a
na dçùñaü sàramatra te  Bca_5.64b
na doùo yogisaüvçtyà  Bca_9.8a
na dviùetkastamàtmànaü  Bca_8.121c
na naràmaralokavandanãyo  Bca_1.9c
na nàma sàdhyaü buddhatvaü  Bca_8.131a
na nidràü na dhçtiü yàti  Bca_6.3c
nanu tatpramitaü mçùà  Bca_9.139b
nanu nivartate saukhyaü  Bca_6.58a
nanu bhàvà vicàritàþ  Bca_9.131b
nanvasiddhaü mahàyànaü  Bca_9.42a
nanvetattadupasthitam  Bca_6.102d
na pa÷yati yathàbhåtaü  Bca_8.7a
na pa÷yecchatruvaccainaü  Bca_8.124c
na pãñhàdãn vinikùipet  Bca_5.72b
na puõyàya na càyuùe  Bca_6.90b
na putro na pità yataþ  Bca_9.65b
na påyaü lasikàpi và  Bca_9.58d
na prapàto na vairiõaþ  Bca_8.84b
na pràptaü bhagavatpåjà-  Bca_7.37a
na prãtisukhama÷nute  Bca_6.3b
na prãtyupàyo 'sti dayàmayànàm  Bca_6.123d
na balàrthaü na càrogye  Bca_6.90c
na bàlaþ kasyacinmitram  Bca_8.24a
na bàhåtkùepakaü kaücic  Bca_5.95a
na bàhå mardayetsamam  Bca_5.92d
na bhadrakamidaü nàthà  Bca_2.66c
na bhaviùyàmyahaü yadà  Bca_2.59d
na bhavetkasyacidduþkhaü  Bca_6.34c
na bhavettattvamãdç÷am  Bca_9.158d
na bhasmàpyupalabhyate  Bca_4.31b
na bhàvayati tàü katham  Bca_9.55d
na mado na ca vismayaþ  Bca_8.109b
na mado na ca vismayaþ  Bca_8.116b
na mayà pratyavekùitaü  Bca_2.39b
na mariùyàmi kiü nvaham  Bca_2.40d
namaþ karomyupàdhyàyàn  Bca_2.25c
na màyàcittasaübhavaþ  Bca_9.12b
na mithyàjãvitaü ciram  Bca_6.56b
na mi÷raü na pçthak kvacit  Bca_9.104b
na medo 'ntràõi nàpyaham  Bca_9.59b
na yàmi narakànyadi  Bca_6.50b
na yuktaü syandituü svàrtham  Bca_8.138c
na yuktaü svàrthadçùñyàdi  Bca_8.138a
na yuktà me sukhàsikà  Bca_2.59b
na yujyate mama dveùo  Bca_6.64c
narakàdiprapàtinaþ  Bca_8.82b
narakàdivyathàsmçteþ  Bca_8.84d
narakàdiùu ca vyathà  Bca_8.71d
narakàdiùu pacyate  Bca_8.126b
narakàdiùvapi vadhyaghàtakàþ  Bca_4.35b
narakàdau paratra ca  Bca_8.40d
narakàn dãrghavedanàn  Bca_6.48d
narakeùu sahasra÷aþ  Bca_6.74b
narakeùvàvasatãti nàtha àha  Bca_1.34d
na rasaü cakùurãkùate  Bca_7.61b
navanãtaü samutthitaü  Bca_3.31d
na vastràdi pradãyate  Bca_5.68b
na và¤chasya÷uciü kçmim  Bca_8.60b
na vàritaü ca guõibhiþ  Bca_6.77c
na vinànena màrgeõa  Bca_9.41c
na vipàkaphalàkàïkùà  Bca_8.109c
na vimukhatàmupayàntyasàdhayitvà  Bca_4.37d
na vimocyaü hi sadaiva bodhicittaü  Bca_1.8d
na ÷akyaü kenacit kvacit  Bca_6.52b
na ÷astraü na viùaü nàgnir  Bca_8.84a
na ÷ikùà rakùituü ÷akyà  Bca_5.1c
na ÷iroveùñhite vadet  Bca_5.88b
na ÷iüghànaü na ca ÷leùmà  Bca_9.58c
na ÷urà na ca te pràj¤àþ  Bca_4.28c
na÷yatvanyacca ku÷alaü  Bca_5.22c
na÷yanti yeùàü bhaiùajyaü  Bca_2.56c
na ÷roùyantyapi kecana  Bca_8.148d
naùña÷alyavyathàpohe  Bca_7.22c
naùñe 'sminnàstyahaü punaþ  Bca_9.74d
na sattveùviti kaþ kramaþ  Bca_6.113d
na sarvakàmairapi saumanasyam  Bca_6.123b
na saücintyopajàyate  Bca_6.27d
na saüstavànubandhena  Bca_8.15c
na siddho 'sau tavàditaþ  Bca_9.42d
na strãùu puruùaü vinà  Bca_5.89b
na sthàsyatãti bhçtyàya  Bca_5.68a
na sthaulyaü cetsukhàdanyat  Bca_9.135a
na smçtàvavatiùñhate  Bca_5.25d
na svataþ kiü tu kàryataþ  Bca_6.114b
na svàrthena vinà prãtir  Bca_8.24c
na svàrthe 'pyupajàyate  Bca_1.25d
na svãkaroùi he måóha  Bca_5.61a
na hastau nàpyayaü pàr÷vau  Bca_9.80a
na hi kàlopapannena  Bca_6.105a
na hi kiücidapårvamatra vàcyaü  Bca_1.2a
na hi tadvidyate kiücid  Bca_5.100a
na hi vãryaü vinà puõyaü  Bca_7.1c
nahi vaitanikopàttaü  Bca_5.69c
nahi sarvànya÷atråõàü  Bca_4.32a
na hi so 'nyamapekùate  Bca_9.124b
na hi sphañikavannãlaü  Bca_9.19c
nahãdç÷airmaccaritair  Bca_4.17a
na hçùyasi prakupyasi  Bca_6.82d
nàkartumã÷aþ sàmagryàü  Bca_9.125c
nàkà÷amã÷o 'ceùñatvàt  Bca_9.121a
nàgantukaguõàü÷ena  Bca_8.164a
nàgàmikàyaduþkhànme  Bca_8.97c
nàïgulyà kàrayetkiücid  Bca_5.94a
nàjàtena hi bhàvena  Bca_9.148c
nàõoraõau prave÷o 'sti  Bca_9.95a
nàtaþparà va¤canàsti  Bca_4.23a
nàto 'nyatra kuhasthitàþ punarime mathnanti kçtsnaü jagat  Bca_4.47b
nàtmà pårvaniùedhataþ  Bca_9.121b
nàthanirvàõa÷ayyàvac  Bca_5.96a
nàthànàmagrataþ sthitaþ  Bca_2.65b
nàdya cetkriyate yatnas  Bca_4.12c
nànàdhimuktikàþ sattvà  Bca_8.22a
nànàpratyayasaübhavà  Bca_9.12d
nànàvidhapralàpeùu  Bca_5.45a
nànopakaraõàkàrair  Bca_3.9c
nàntaràle manaþ sthitam  Bca_9.103b
nàntràõi cåùitavyàni  Bca_5.65c
nànyacca pàpaü prakaromi bhåyaþ  Bca_2.9d
nànyaccintyaü tvayàdhunà  Bca_8.137d
nànyasya tadvyathàbhàgaþ  Bca_8.33c
nàpaneyà kadàcana  Bca_5.29b
nàpyananyeti kalpyate  Bca_9.27b
nàpyantarna bahi÷cittam  Bca_9.103c
nàbhaviùyadiyaü da÷à  Bca_8.157d
nàbhàvakàle bhàva÷cet  Bca_9.148a
nàbhàvasya vikàro 'sti  Bca_9.147a
nàbhyastaü ku÷alaü mayà  Bca_4.23d
nàmamàtre 'pi kiü ÷ramaþ  Bca_9.119d
nàmedhyamayamanyasya  Bca_8.56a
nàrakàgniþ suduþsahaþ  Bca_4.25b
nàrakàõàü bhayàni ca  Bca_10.16b
nàlaü pårayituü và¤chàü  Bca_8.175c
nàvakà÷aþ pradàtavyaþ  Bca_5.82c
nàvaguõñhitamastake  Bca_5.88d
nàvadhyàyanti taravo  Bca_8.26a
nàvasaro bhavaduþkhavimukteþ  Bca_8.79d
nà÷akàkro÷akeùu ca  Bca_6.64b
nà÷akto 'haü yathà janaþ  Bca_7.50d
nà÷ayatyapi saümohaü  Bca_1.30a
nà÷ayàmãti cintayan  Bca_1.21b
nà÷rãyate tatkathamaj¤asattvaiþ  Bca_1.13d
nàsadutpadyate kiücid  Bca_9.135c
nàsti kiücidahetutaþ  Bca_9.142b
nàsti cet saüpradhàryate  Bca_9.47b
nàsti sattvàrthadhàtinaþ  Bca_4.9d
nàsti saümohavat satã  Bca_9.47d
nàsthi nàpyasmi ÷oõitam  Bca_9.58b
nàsphàlayetkapàñaü ca  Bca_5.72c
nàhaü taddhi na vidyate  Bca_9.74b
nàhaü màüsaü na ca snàyur  Bca_9.60a
nàhaü vasà na ca svedo  Bca_9.59a
nikçùñadàsavaccainaü  Bca_8.163c
nigçhõãyàd dçóhaü ÷åraþ  Bca_5.54c
nigràhyastadatikrame  Bca_8.167d
nighnanti kecidàtmànam  Bca_6.36c
nijaü tadråpamucyatàm  Bca_9.67b
nityaü jãvantu sukhità  Bca_10.33c
nityaü lokasya kàraõam  Bca_9.127d
nityaü sarvàrthasiddhaye  Bca_3.15d
nityaü smitamukho bhavet  Bca_5.71b
nityaü syàt saüghasàmagrã  Bca_10.42c
nityodvego 'smi nàyakàþ  Bca_2.32b
nityo hyacetana÷càtmà  Bca_6.29a
nidrayopadravairbàla-  Bca_9.160c
nidràpà÷rayatçùõayà  Bca_7.3b
nidràlasyàgame tadvat  Bca_7.71c
nidhànamidamakùayaü  Bca_3.28d
nidhiþ syàmahamakùayaþ  Bca_3.9b
nidhyàyantãva satataü  Bca_5.35c
nindantyalàbhinaü sattvam  Bca_8.23a
nindyamànamitastataþ  Bca_8.150d
nimajjettatra karmaõi  Bca_7.65b
niyataü tàvadàcaret  Bca_5.97d
niyataü yàti durgatim  Bca_8.9b
niyamastatra kiükçtaþ  Bca_8.102d
niyojayati nàyakaþ  Bca_7.25b
nirantaratve 'pyekatvaü  Bca_9.94c
nirapekùastyajàmyeùa  Bca_3.10c
niravadyaü sukhodayam  Bca_6.77b
niravadhikàlamanuprayacchataþ  Bca_1.33b
niraü÷asya ca saüsargaþ  Bca_9.96a
niràkà÷aþ sama÷ca saþ  Bca_9.95b
niràtmake kalàpe 'smin  Bca_9.102c
niràyàsà ÷ivodayà  Bca_8.38b
niràlambà pra÷àmyate  Bca_9.35d
nirà÷o yastu sarvatra  Bca_8.176c
nirà÷rayatvànnodeti  Bca_9.111c
nirindriyeõeva mayà  Bca_5.34c
nirudyamaphalàkàïkùin  Bca_7.13a
niråpyaþ sarvayatnena  Bca_5.40a
niroddhumapi nehate  Bca_6.28d
nirdvandvà nirupàyàstàþ  Bca_10.28c
nirbhayo vihariùyàmi  Bca_8.29c
nirbhãrbhave sattvahitaü karomi  Bca_2.9b
nirmalasya kulasyàsya  Bca_3.26c
nirmàõamiva nirmànaü  Bca_5.57c
nirmàõavadaceùñeùu  Bca_6.31c
niryàtayàmyeùa saputrakebhyaþ  Bca_2.6b
nirvàõamapi duþsthitam  Bca_9.45d
nirvàõàrthi ca me manaþ  Bca_3.11b
nirvàtukàmàü÷ca jinàn  Bca_3.5a
nirvàsitasyàpi tu nàma ÷atror  Bca_4.45a
nirvikalpyena cetasà  Bca_8.140d
nirvikàrasya kà kriyà  Bca_6.29d
nirvçtaþ paramàrthena  Bca_9.13c
nirvçtànirvçtànàü ca  Bca_9.151c
nirvyàpàra÷ca tatràtmety  Bca_9.72c
nivàraõagatiþ kutaþ  Bca_9.161d
ni÷cayaü kuru me manaþ  Bca_8.137b
ni÷calàdapi te tràsaþ  Bca_8.48a
ni÷ceùñà na ca devatàþ  Bca_9.120b
ni÷ceùñànyena càlyate  Bca_8.178b
niùiddhamapyanuj¤àtaü  Bca_5.84c
niùãdantu sva÷obhàmir  Bca_10.36c
niùkarmà sa sukhã katham  Bca_7.63d
niùkçtiþ kà parà bhavet  Bca_6.119d
niùphalà netravikùepà  Bca_5.35a
niùphalàrambhi và manaþ  Bca_5.54b
nihanmi svàrthaceñaü tvàü  Bca_8.172c
niþkle÷asyàpi karmaõaþ  Bca_9.46d
niþ÷abdasaumyavanamàrutavãjyamànaiþ  Bca_8.86c
niþ÷abdo nibhçta÷caran  Bca_5.73b
niþ÷eùàkà÷avàsinàü  Bca_3.20b
niþsariùyàmi và kathaü  Bca_2.60b
niþsareyaü tataþ katham  Bca_2.63d
nãcaü karma karotyanyaþ  Bca_7.51a
nãcairanyo 'yamuccakaiþ  Bca_8.160b
nãco 'haü kila nirguõaþ  Bca_8.142d
nãtaü tu parakarmaõà  Bca_8.75d
nãyamànamadho hriyà  Bca_8.44b
nãyamàno vi÷uùyati  Bca_2.44b
nãlatve 'nyamapekùate  Bca_9.19d
nãlameva hi ko nãlaü  Bca_9.21a
nçhe nidhirivotthitaþ  Bca_6.107b
netaràrthaü tyajecchreùñhàm  Bca_5.83c
nendriyeùu na råpàdau  Bca_9.103a
neùñaü jale sthale bhogye  Bca_5.91c
neùyate viùabhàga÷ca  Bca_8.9c
naikayà'nyastriyà kuryàd  Bca_5.93a
naikasya sarvasàmarthyaü  Bca_9.13a
naiva prakà÷yate dãpo  Bca_9.19a
naivàntarna bahiþ kàyaþ  Bca_9.83a
naivàvasàdaþ kartavyaþ  Bca_7.17a
-naivàsya karuõà jane  Bca_8.146b
naiveha pratiùidhyate  Bca_9.26b
naivotsàho 'sya dàtavyo  Bca_8.166a
naiùàmahaü svadoùeõa  Bca_4.13c
notpannapårvaþ svapne 'pi  Bca_1.24c
nodaraü nàpyayaü pçùñhaü  Bca_9.79c
nodàradharmapàtraü ca  Bca_5.90a
nodyogo me kevalaü mandabuddheþ  Bca_4.46c
nopasarpeyurantikam  Bca_8.31d
noraþ sphuñati me katham  Bca_7.34d
norå kàyaþ kañirna ca  Bca_9.79b
noro bàhå na càpi saþ  Bca_9.79d
noùmà vàyurahaü na ca  Bca_9.60b
nauyànayàtràråóhà÷ca  Bca_10.24a
nyakvàraþ paruùaü vàkyam  Bca_6.53a
pakùibhyaþ sarvavçkùebhyo  Bca_10.37a
pakùimatsyamçgàn hanti  Bca_8.122c
païktisenàdivanmçùà  Bca_8.101b
pañàdestu sukhàdi syàt  Bca_9.132a
pañàrgheõaiva karpàsa-  Bca_9.137a
paõóitatvànna durmanàþ  Bca_7.27b
paõóitànanuyàmyaham  Bca_8.185b
paõóitàn vijigãùate  Bca_8.146d
paõóitàþ satkçtàþ santu  Bca_10.46a
patati sutaptalohadharaõãùva÷ubhairbahu÷aþ  Bca_7.45d
patatu kamalavçùñirgandhapànãyami÷ràc  Bca_10.12a
patatyeva tathà tathà  Bca_8.174d
patitasakalamàüsàþ kundavarõàsthidehà  Bca_10.10a
padmanàlàdibhedo hi  Bca_9.117c
paracakùurnipàtebhyo  Bca_8.46a
paracittavikalpo 'sau  Bca_9.108a
paracodanadakùàõàm  Bca_5.74a
paratra ca mahatsukham  Bca_5.78b
paratvamapi càtmani  Bca_8.140b
paratvaü tu svakàyasya  Bca_8.112c
paraduþkha÷amàya ca  Bca_8.136b
paraduþkhasamapriyàþ  Bca_8.107b
paraduþkhe niyojaya  Bca_8.161b
parapaüsanameva ca  Bca_5.50b
parapiõóà÷ino dàsà  Bca_7.57c
para÷oõitamapyeke  Bca_6.17c
para÷ramakçtairguõaiþ  Bca_5.77d
parasaukhyamapãcchasi  Bca_6.79b
parasparaviruddhàbhir  Bca_5.56a
paraþ karotyayaü neti  Bca_8.160c
paraþ kila mayi prãta  Bca_6.94c
paràtmaparivartanam  Bca_7.16d
paràtmaparivartanam  Bca_8.120d
paràtmasamatà caiva  Bca_7.16c
paràtmasamatàmàdau  Bca_8.90a
paràdànaü ca bhàvayet  Bca_8.113d
parànapi guõodadhãn  Bca_8.113b
paràn gçhõàmi càtmavat  Bca_8.136d
paràyattaþ prasajyate  Bca_9.126b
paràyattàprasàdatvàd  Bca_6.63a
paràya÷askare 'pyevaü  Bca_6.62c
paràràdhanatatparam  Bca_5.55d
paràrtharåkùaü svàrthàrthi  Bca_5.52a
paràrthaü tvenamàj¤apya  Bca_8.128c
paràrthaü sarvasaüpadaþ  Bca_8.126d
paràrthe devaràjatà  Bca_8.125d
paràrthe saübhavaþ kutaþ  Bca_1.24d
paràrthaikàntatçùõayà  Bca_8.109d
paràrtho và kçto mayà  Bca_6.74d
paràvarjanamuttamam  Bca_6.77d
paràvçtyeva pçùñhataþ  Bca_5.37d
parigçhõantu madvidhàþ  Bca_9.155b
parigraharakùaõakhedamuktaþ  Bca_8.87c
parigrahaü me kurutàgrasattvàþ  Bca_2.8c
parigraheõàsmi bhavatkçtena  Bca_2.9a
paritapya vicintayet  Bca_7.72b
paritràyata satvaraü  Bca_2.33b
paripanthaü ca tiùñhati  Bca_8.122d
paribhokùye sukhotsavam  Bca_8.152d
parivartamakurvataþ  Bca_8.131d
parivàràrthi và punaþ  Bca_5.51b
pari÷ràntàþ kukàminaþ  Bca_8.73b
pariùatkàmameva và  Bca_5.52b
parihàraþ kathaü bhavet  Bca_6.37d
parebhyo hitamàcara  Bca_8.139d
parebhyo hitamàcara  Bca_8.159d
pareùvapakçtaü tvayà  Bca_8.165b
pareùvapi tathàtmatvaü  Bca_8.115c
parokùaü ca guõàn bråyàd  Bca_5.76a
paropadravakàrità  Bca_6.39b
parvàpi svàü÷abhedataþ  Bca_9.86d
parùacchàradyabhayamapy  Bca_8.118c
palàyante caturdi÷aü  Bca_2.53b
pa÷orghàsalavagrahaþ  Bca_8.80d
pa÷càttàpànala÷cittaü  Bca_4.25c
pa÷càttàpena tàpitaþ  Bca_2.29d
pa÷yantvenaü bhavantaþ sura÷atamukuñairarcyamànàïghripadmaü  Bca_10.14a
pa÷ya majjànamantataþ  Bca_5.63b
pa÷yàmo muditàstàvac  Bca_8.150a
pa÷yetsåtrasamuccayam  Bca_5.106b
pàñhasvàdhyàyakalilà  Bca_10.42a
pàõóityena manaþ sukhi  Bca_7.28b
pàtayàsyaiva mastake  Bca_8.162b
pàdaduþkhaü na hastasya  Bca_8.99c
pàdo 'pi kataro bhavet  Bca_9.86b
pàpakàrisukhecchà tu  Bca_7.43a
pàpakùayaratàþ sadà  Bca_10.45b
pàpakùayaü ca puõyaü ca  Bca_6.60a
pàpacittasamudbhåtaü  Bca_5.8a
pàpapuõyasamudbhavaþ  Bca_9.11d
pàpamanyatprasåyate  Bca_4.22d
pàpameva kutaþ ÷ubhaü  Bca_4.17d
pàpaü kçtamanekadhà  Bca_2.35b
pàpaü càpyupacinvataþ  Bca_4.19b
pàpaü tu sthàsyati dhruvam  Bca_6.55d
pàpàtkàye yato vyathà  Bca_7.27d
pàpàtkà sugatau kathà  Bca_4.21d
pàpàdduþkhaü ca vardhate  Bca_7.48b
pàpàdbhãtirjine spçhà  Bca_6.21d
pàpàni yannirdahati kùaõena  Bca_1.14b
pàpàni vividhàni ca  Bca_6.25b
pàpairàtmasukhecchavaþ  Bca_9.156d
pàramparyeõa sàkùàdvà  Bca_5.101a
pàrepsånàü ca naubhåtaþ  Bca_3.17c
pàlanãyà mayàtmavat  Bca_8.90d
pitaràvapi màrayet  Bca_8.123b
pità cenna vinà putràt  Bca_9.114a
pittàdiùu na me kopo  Bca_6.22a
pipàsito dãnadçùñir  Bca_2.44c
pãóàpyaïgãkçtà mayà  Bca_8.144d
pãóitànàmaneka÷aþ  Bca_1.29b
puõyakàriõamàlokya  Bca_5.75c
puõyakùaya÷ca pàpaü ca  Bca_6.60c
puõyamekaü tadà tràõaü  Bca_2.42c
puõyameghasamudbhåtaiþ  Bca_9.167c
puõyavighnaü kariùyati  Bca_4.9b
puõyavighnaþ kçto 'nenety  Bca_6.102a
puõyasaübhàramàdaràt  Bca_9.168d
puõyahetàvupasthite  Bca_6.103d
puõyaü và tàdç÷aü kutaþ  Bca_1.30d
puõyàtmoddàha÷aïkayà  Bca_6.71d
puõyàmçtaiþ kathaü tçptir  Bca_7.64c
puõyena kàyaþ sukhitaþ  Bca_7.28a
putradàràüstadarthinaþ  Bca_8.74d
putràbhàve pità nàsti  Bca_9.114c
punarapyeùa samàgamaþ kutaþ  Bca_1.4d
punarutpadyate ratiþ  Bca_8.64d
punarme na bhavediti  Bca_7.72d
puna÷ca kùaõadaurlamyaü  Bca_9.163a
puna÷ca ma¤jughoùàya  Bca_2.50c
punaþ kartuü parityajet  Bca_7.66b
punaþ pçùñhasya puùñyarthaü  Bca_3.24c
punaþ saümohamàgataþ  Bca_2.47b
punaþ sãdàmi mohitaþ  Bca_4.24b
purataþ khalu sarvatàyinàm  Bca_3.33c
puraþ pa÷cànniråpya ca  Bca_5.38b
purà dçùñamadçùñaü và  Bca_8.44c
purãùotsargaveùñitaþ  Bca_2.45d
puruùatvaü vrajantu tàþ  Bca_10.30b
puùõàti yastvayà poùyaü  Bca_6.82a
puùparatnàdivarùà÷ca  Bca_2.21c
puüsàmaikyaü prasajyate  Bca_9.67d
påjayatyarthamànairyàn  Bca_6.4a
påjayanti yathà jinàn  Bca_2.22b
påjayantu jagadgurum  Bca_10.38d
påjàmeghà manoramàþ  Bca_2.20b
påjàmeghairanantai÷ca  Bca_10.38c
påjàrthamanyanmama nàsti kiücit  Bca_2.7b
påjàvimànàþ sugataprapårõàþ  Bca_10.8d
påjàü karomyeùa tathàgatànàü  Bca_2.1b
påjito 'hamayaü na tu  Bca_8.149d
påjyantàü sarvasaübuddhàþ  Bca_10.48a
påjyamànàþ sagauravaiþ  Bca_10.50d
påjyaþ saddharmavanmayà  Bca_6.111d
pårvameva mçto loke  Bca_8.36c
pårvavatpratyayotpàdaü  Bca_6.65c
