Santideva: Bodhicaryavatara


Input by Richard Mahoney



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akasmÃnm­tyurÃyÃto  Bca_7.8c
trikÃlaæ ca pravartayet  Bca_5.98b
tricÅvarabahistyajet  Bca_5.85d
tri«u mÃno vidhÃtavya÷  Bca_7.49a
trailokyapÆjyaæ buddhatvaæ  Bca_6.81a
trailokyamapi na k«amam  Bca_6.117d
trailokyavijigÅ«utvaæ  Bca_7.54c
tvattaÓcetp­thagevÃyaæ  Bca_5.60c
tvattu«ÂhyÃ kiæ punarbhavet  Bca_6.87b
tvadÃÓaæsanamÃtreïa  Bca_6.87c
tvayÃ peyaæ na Óoïitam  Bca_5.65b
tvayÃ yatrÃsmi nÃÓita÷  Bca_8.169d
tvayÃhaæ vyathitaÓciram  Bca_8.172b
tvaæ mÃæ narakapÃle«u  Bca_8.171c
tvaæ vikrÅto mayÃnye«u  Bca_8.170c
tvÃmeva nigrahÅ«yÃmi  Bca_8.168c
tvÃæ sattve«u na dÃsyÃmi  Bca_8.171a
dak«a utthÃnasaæpanna÷  Bca_5.82a
dak«iïena tu sÃdaram  Bca_5.94b
daï¬ayÃtrÃbhirapare  Bca_8.74a
dattastebhyo mayÃ kÃyaÓ  Bca_3.13c
dattÃdattena tena kim  Bca_6.84d
dattvÃsmai vetanaæ tasmÃt  Bca_5.69a
datvÃsmai yÃpanÃmÃtram  Bca_8.153c
dadÃti na ca sevyate  Bca_6.5b
dadÃmi cÃtmÃnamahaæ jinebhya÷  Bca_2.8a
dadÃmi tebhyo varacÅvarÃïi  Bca_2.12d
dadÃmi bhayavihvala÷  Bca_2.50b
dadÃmyanyebhya ÃtmÃnaæ  Bca_8.136c
dadÃmyÃtmÃnamÃtmanÃ  Bca_2.50d
dantakÃ«Âhasya kheÂasya  Bca_5.91a
dantakeÓanakhÃ nÃhaæ  Bca_9.58a
dantai÷ samalapÃï¬urai÷  Bca_8.68b
daridrÃïÃæ ca sattvÃnÃæ  Bca_3.9a
daridrÃÓÃ na pÆritÃ  Bca_7.37d
darÓanÃt svaæ prakÃÓate  Bca_9.25b
daÓadigvyomaparyanta-  Bca_4.41a
daÓadigvyomaparyanta-  Bca_10.54a
dahanasamajalÃyÃæ vaitaraïyÃæ nimagnÃ÷  Bca_10.10b
dahyate tena Óokena  Bca_8.7c
dahyate dve«avahninÃ  Bca_6.71b
dahyamÃne g­he yadvad  Bca_6.70a
dÃtavyamiti me bhayam  Bca_7.20b
dÃtyÆhakÃraï¬avacakravÃka-  Bca_10.7a
dÃnakÃle tu ÓÅlasya  Bca_5.42c
dÃnapÃramitÃdaya÷  Bca_5.83b
dÃnapÃramitÃ proktÃ  Bca_5.10c
dÃnapÃramitÃ yadi  Bca_5.9b
dÃnavighna÷ k­to 'rthinÃ  Bca_6.105b
dÃnaæ sugatapÆjanam  Bca_6.1b
dÃsatvÃdyanubhÆyate  Bca_8.128b
dÃsÃrthinÃmahaæ dÃso  Bca_3.18c
dÃhacchedÃdivedanÃm  Bca_6.13b
dÃhaæ tyaktuæ na Óakyate  Bca_8.135d
dÃhya÷ pÃÂyo 'pyanekaÓa÷  Bca_7.21b
digvibhÃgo niraæÓatvÃd  Bca_9.87c
divyenaikena kÃyena  Bca_10.47c
divyairm­duÓlak«ïavicitraÓobhair  Bca_2.13a
diÓa÷ paÓyetkadÃcana  Bca_5.36b
diÓa÷ sarvÃ bhavantu ca  Bca_10.34b
diÓo viÓramya vÅk«eta  Bca_5.37c
dÅnÃstu vada kÅd­ÓÃ÷  Bca_7.58d
dÅpa÷ prakÃÓata iti  Bca_9.22a
dÅpÃrthinÃmahaæ dÅpa÷  Bca_3.18a
dÅrghakÃlak­tÃnyapi  Bca_5.16b
dÅrghatÅvravyathe«u ca  Bca_9.157b
dÅrghadarÓÅ mahÃjana÷  Bca_6.128d
dÅrghamÃyurapÅd­Óaæ  Bca_4.32b
dÅrghasaætÃnamÃtreïa  Bca_9.10c
durÃpastryÃdilipsayÃ  Bca_6.35d
durÃpÃ bodhiruttamÃ  Bca_7.18d
durÃrÃdhÃ÷ p­thagjanÃ÷  Bca_8.10d
durgatibhyo vimucyantÃæ  Bca_10.16c
durgatirnÅcatÃ maurkhyaæ  Bca_8.127a
durgativyÃ¬avaktrasthe-  Bca_8.146a
durgativyÃdhimaraïa-  Bca_4.14c
durgatyuttaraïe setu÷  Bca_3.30a
durgandhaæ na sravantÅti  Bca_8.50c
durgÃputrakakarïÃÂÃ  Bca_6.13a
durjanÃn gaganopamÃn  Bca_5.12b
durbalÃ balina÷ santu  Bca_10.22c
durbalÃ ÓÆnyavÃsanÃ  Bca_9.32d
durbhik«Ãntarakalpe«u  Bca_3.8c
duryodhana÷ kleÓagaïai÷  Bca_7.60c
durlabhÃstvapakÃriïa÷  Bca_6.106b
du«karÃnna nivarteta  Bca_8.119a
du÷khatvÃdÃtmadu÷khavat  Bca_8.94b
du÷khatvÃdeva vÃryÃïi  Bca_8.102c
du÷khaduryodhanastasmÃd  Bca_6.18c
du÷khaniv­ttikÃÇk«ayÃ  Bca_9.1d
du÷khani÷saraïÃÓayÃ  Bca_1.28b
du÷khameva tvayÃrjitam  Bca_8.155d
du÷khamevÃbhidhÃvanti  Bca_1.28a
du÷khavyupaÓamÃrthaæ tu  Bca_9.77c
du÷khaÓastrairvihanyate  Bca_7.43d
du÷khasyÃnudayo yadi  Bca_9.92b
du÷khasyoparatirmatÃ  Bca_6.32d
du÷khaheturahaækÃra  Bca_9.78a
du÷khaheturnivÃryate  Bca_9.26d
du÷khahetau kathaæ tava  Bca_7.15d
du÷khaæ kasmÃnnivÃryaæ cet  Bca_8.103a
du÷khaæ k­taæ sarvamahÃk­pÃïÃm  Bca_6.124b
du÷khaæ g­hïanti mohitÃ÷  Bca_8.133d
du÷khaæ tyaktuæ na Óakyate  Bca_8.135b
du÷khaæ necchÃmi du÷khasya  Bca_6.45a
du÷khaæ nyakkÃrapÃru«yam  Bca_6.11a
du÷khaæ prave«ÂukÃmasya  Bca_6.101a
du÷khaæ bhÆtvopati«Âhati  Bca_8.18d
du÷khaæ saæbodhisÃdhanam  Bca_7.22b
du÷khaæ so¬huæ na pÃryate  Bca_6.73b
du÷khaæ sthitamayantata÷  Bca_6.12b
du÷khaæ hantuæ sukhaæ prÃptuæ  Bca_5.17a
du÷khÃni kasmÃnmama bÃdhakÃni  Bca_4.39d
du÷khÃni daurmanasyÃni  Bca_7.41a
du÷khÃnyapramitÃni ca  Bca_5.6b
du÷khÃya kevalaæ mÃtur  Bca_7.38c
du÷khite ca mahacchubham  Bca_5.81d
du÷khito 'hamayaæ sukhÅ  Bca_8.141d
du÷khenaiva ca ni÷sÃraÓ  Bca_6.12c
du÷khe 'pi naiva cittasya  Bca_6.19a
du÷ÓÅlÃ÷ santu saævignÃ÷  Bca_10.45a
dÆ«aïaæ nopapadyate  Bca_9.54b
d­ÓyatÃmidamantaram  Bca_8.130b
d­Óyate tasya pÆjÃrthaæ  Bca_6.117c
d­Óyate nai«a saæbhava÷  Bca_9.73b
d­Óyate sp­Óyate cÃpi  Bca_9.100a
d­Óyanta ete nanu sattvarÆpÃs  Bca_6.126c
d­Óyante dahyamÃnÃÓca  Bca_8.78c
d­ÓyÃ dra«Â­ tathÃ mana÷  Bca_9.28b
d­«Âaæ ca te«u sÃmarthyaæ  Bca_9.46c
d­«Âaæ na tadabhÃvata÷  Bca_9.145b
d­«Âaæ munÅndrairhitametadeva  Bca_1.7b
d­«ÂÃd­«Âasukhotsavam  Bca_8.133b
d­«ÂÃd­«Âaæ hataæ bhavet  Bca_6.78d
d­«ÂÃntenobhaye«Âena  Bca_9.4c
d­«ÂiviÓrÃmahetostu  Bca_5.36a
d­«Âo 'pyartho na sidhyati  Bca_8.132b
d­«ÂvÃ kopaæ nivÃrayet  Bca_6.65d
d­«ÂvÃgre ma¤jugho«aæ bhavatu kalakala÷ sÃæprataæ nÃrakÃïÃm  Bca_10.14d
d­«ÂvÃ p­«ÂvÃ ca varjayet  Bca_5.93d
d­«ÂvÃpyanyÃyakÃriïam  Bca_6.33b
d­«ÂvÃ prÃmodyavegÃd vyapagataduritÃ yÃætu tenaiva sÃrdham  Bca_10.11d
d­«ÂvÃ mÆrcchÃæ vrajanti yat  Bca_6.17d
devatÃnÃm­«ÅïÃæ vÃ  Bca_1.23c
devÃdiloke«u ca gandhadhÆpÃ÷  Bca_2.4a
devÃsuranarairnityaæ  Bca_10.50c
devo var«atu kÃlena  Bca_10.39a
deÓayi«yÃmi ÓÆnyatÃm  Bca_9.168b
deÓÃntare sthÃnaparigraha÷ syÃt  Bca_4.45b
dehinÃæ niyatÃ vyathÃ  Bca_6.66b
dolÃyamÃna÷ saæsÃre  Bca_4.11c
do«aÓcitte prasarpati  Bca_7.69d
daurmanasyÃÓanaæ prÃpya  Bca_6.7c
daurmanasyena tatra kim  Bca_6.10b
daurmanasyena tatra kim  Bca_6.10d
daurmanasye 'pi nÃstÅ«Âaæ  Bca_6.9c
drak«yasyetadguïÃn paÓcÃd  Bca_8.156c
draviïaæ ca vyayÅk­tam  Bca_8.42b
dravyanÃÓe yathodvega÷  Bca_8.25c
dra«ÂavyaÓca puna÷ puna÷  Bca_5.105b
dra«Âavyaæ punarantarÃ  Bca_5.39d
dra«Âavyo na puna÷ priya÷  Bca_8.5d
dra«Âuæ spra«Âuæ ca vÃ¤chasi  Bca_8.54b
dra«Âuæ spra«Âuæ ca Óakyate  Bca_8.55b
drumÃÓca ye satphalanamraÓÃkhÃ÷  Bca_2.3d
dvayamanyonyaniÓritam  Bca_9.109b
dvayaæ du÷khasya kÃraïam  Bca_6.43b
dvayorapi bibuddhayo÷  Bca_6.58b
dvayorapyÃvayo÷ siddhe  Bca_9.72a
dvitÅyaæ ca prayatnata÷  Bca_5.106d
dvisvabhÃvaprasaÇgata÷  Bca_9.149d
dve«aÓalye h­di sthite  Bca_6.3d
dve«aste«u kathaæ mama  Bca_6.100d
dve«aste«u kathaæ mama  Bca_6.101d
dve«eïa prerita÷ so 'pi  Bca_6.41c
dve«eïÃnunayena vÃ  Bca_8.180d
dve«e dve«o 'stu me varam  Bca_6.41d
dve«o d­pto nihanti mÃm  Bca_6.7d
dhanyÃnÃæ gurusaævÃsÃt  Bca_5.30c
dhanyai÷ ÓaÓÃÇkakaracandanaÓÅtale«u  Bca_8.86a
dharmacintÃmahÃstambhe  Bca_5.40c
dharmacchandaviyogena  Bca_7.39a
dharmadhvanimanoharai÷  Bca_10.34d
dharmadhvaniraviÓrÃmaæ  Bca_10.37c
dharmapradÅpaæ kurvantu  Bca_3.4c
dharmaæ gacchÃmi Óaraïaæ  Bca_2.26c
dharmaæ nirgaurave svasthe  Bca_5.88a
dharmÃrthamÃtramÃdÃya  Bca_8.16a
dharmo bhraÓyati ÓÃÓvata÷  Bca_8.8d
dhÃrayÃmÅd­Óaæ cittam  Bca_5.58c
dhÃrayÃmye«a mÃnasam  Bca_5.57d
dhÃryate karmabhÃï¬avat  Bca_8.184d
dhigasthÃnasahi«ïutÃæ  Bca_4.29d
dhiÇmÃmatyantamohitam  Bca_2.57d
dhÅmata÷ svÃrthavedina÷  Bca_6.91b
dhÅyate bhÃvavÃsanÃ  Bca_9.33b
dhÅraæ sÃdaragauravam  Bca_5.55b
dh­timanto bhavantu ca  Bca_10.21d
dhairyaæ k­tvÃ pratÅk«atÃm  Bca_8.19d
dhnanti mÃmeva susthitÃ÷  Bca_4.29b
dhyÃnÃhÃrÃ hi yogina÷  Bca_9.93d
dhvÃntaæ dhvastaæ samantÃt sukharatijananÅ kasya saumyÃ prabheyam  Bca_10.11b
na kak«au nÃæsalak«aïa÷  Bca_9.80b
na karotyanyathÃ kÃya÷  Bca_5.59c
na karomi k«amÃmiha  Bca_6.103b
na kartavyamidaæ tvayÃ  Bca_8.167b
na kartavyaæ na vaktavyaæ  Bca_5.48c
na kartavyÃtmani prÅtir  Bca_8.173a
na kartuæ tadabhÃvata÷  Bca_9.125d
na karttavyaæ punarmayÃ  Bca_2.66d
na karttavyÃ÷ kadÃcana  Bca_5.35b
na karmaphalasaæbandho  Bca_9.71a
na kaÓcidaparÃdhyati  Bca_6.106d
na kaÓcid bhÃgaÓa÷ k­ta÷  Bca_9.75b
na kiæcidasti tadvastu  Bca_6.14a
na kurvantÅha tÃæ vyathÃm  Bca_5.2b
na k­tÃ ÓÃsane kÃrÃ  Bca_7.37c
na kevalamamedhyatvam  Bca_8.61a
na kevalaæ tvamÃtmÃnaæ  Bca_6.86a
na kevalaæ dayÃ nÃsti  Bca_6.38c
na kleÓavaÓago bhavet  Bca_7.61d
na kleÓaÓatrorgatirÅd­ÓÅ tu  Bca_4.45d
na kleÓÃ vi«aye«u nendriyagaïe nÃpyantarÃle sthitÃ  Bca_4.47a
na kleÓebhyo vimocita÷  Bca_4.41d
na k«amaæ sarvakarmasu  Bca_5.24d
na k«ama÷ sarvakarmasu  Bca_5.24b
na k«ama÷ svÃrthasÃdhane  Bca_7.50b
na k«obhyÃ muditÃ mayÃ  Bca_6.9b
na khÃditavyamaÓuci  Bca_5.65a
na grÅvÃ na Óira÷ kÃya÷  Bca_9.80c
naÇk«yatÅhaiva me lÃbha÷  Bca_6.55c
na ca kÃyasukhÃya me  Bca_6.90d
na ca k«Ãntisamaæ tapa÷  Bca_6.2b
na ca chidrÃïyahaæ nÃpi  Bca_9.60c
na ca tanmÃtramevÃsau  Bca_4.22a
na ca tasmÃtpaÂÃdaya÷  Bca_9.131d
na ca t­pyati d­«ÂvÃpi  Bca_8.6c
na ca dve«asamaæ pÃpaæ  Bca_6.2a
na ca pÃpamakÅrttirvÃ  Bca_8.41c
na ca pratyayasÃmagryÃ  Bca_6.26a
na ca pravrÃjake prÃpte  Bca_6.105c
na ca bodhirbhavi«yati  Bca_7.21d
na ca bhÃvo 'sti sarvadÃ  Bca_9.150b
na ca moho 'styata÷para÷  Bca_4.23b
na ca yÃtyÃgataæ puna÷  Bca_5.33b
na ca vyastasamaste«u  Bca_9.142c
na ca saægrathanakauÓalaæ mamÃsti  Bca_1.2b
na ca sneho na ca dve«as  Bca_8.181c
na cÃcÃraæ parityajya  Bca_5.90c
na cÃtra me vyaya÷ kaÓcit  Bca_5.78a
na cÃnapagate 'bhÃve  Bca_9.149a
na cÃntikacarÃ÷ kecic  Bca_8.37a
na cÃnyenÃnubhÆyate  Bca_9.101d
na cÃpi janitasyÃsti  Bca_6.26c
na cÃrÃdhyÃ÷ prayatnata÷  Bca_8.26b
na cÃsti vedaka÷ kaÓcid  Bca_9.102a
na cÃhamantranirguï¬Å  Bca_9.59c
na cÃheturbhavi«yati  Bca_6.87d
na cetprayojanaæ tena  Bca_8.51c
na cedaæ tÃd­Óaæ du÷khaæ  Bca_6.75a
na cedÃtmani sarvavat  Bca_8.103d
na cennÃstyeva saæv­ti÷  Bca_9.108d
na cchinatti yathÃtmÃnam  Bca_9.18a
na jÃne kena muhyÃmi  Bca_4.27c
na j¤ÃtÃ÷ kva gatÃ iti  Bca_8.20d
naÂavatso 'pyaÓÃÓvata÷  Bca_9.66b
na tadasti na yatpuïyam  Bca_5.100c
na ti«Âhati na gacchati  Bca_9.143b
na tu buddhai÷ samÃ÷ kecid  Bca_6.116c
na tu mÃyÃvadityatra  Bca_9.5c
na tvavicchinnapuïyatvaæ  Bca_1.17c
na tvÃrabhya nivartanam  Bca_7.47d
na tvevÃvanatiæ yÃmi  Bca_4.44c
na du÷khaæ kaÓcidicchati  Bca_6.34d
na du÷khÅ tyaktapÃpatvÃt  Bca_7.27a
na d­«Âaæ sÃramatra te  Bca_5.64b
na do«o yogisaæv­tyÃ  Bca_9.8a
na dvi«etkastamÃtmÃnaæ  Bca_8.121c
na narÃmaralokavandanÅyo  Bca_1.9c
na nÃma sÃdhyaæ buddhatvaæ  Bca_8.131a
na nidrÃæ na dh­tiæ yÃti  Bca_6.3c
nanu tatpramitaæ m­«Ã  Bca_9.139b
nanu nivartate saukhyaæ  Bca_6.58a
nanu bhÃvÃ vicÃritÃ÷  Bca_9.131b
nanvasiddhaæ mahÃyÃnaæ  Bca_9.42a
nanvetattadupasthitam  Bca_6.102d
na paÓyati yathÃbhÆtaæ  Bca_8.7a
na paÓyecchatruvaccainaæ  Bca_8.124c
na pÅÂhÃdÅn vinik«ipet  Bca_5.72b
na puïyÃya na cÃyu«e  Bca_6.90b
na putro na pitÃ yata÷  Bca_9.65b
na pÆyaæ lasikÃpi vÃ  Bca_9.58d
na prapÃto na vairiïa÷  Bca_8.84b
na prÃptaæ bhagavatpÆjÃ-  Bca_7.37a
na prÅtisukhamaÓnute  Bca_6.3b
na prÅtyupÃyo 'sti dayÃmayÃnÃm  Bca_6.123d
na balÃrthaæ na cÃrogye  Bca_6.90c
na bÃla÷ kasyacinmitram  Bca_8.24a
na bÃhÆtk«epakaæ kaæcic  Bca_5.95a
na bÃhÆ mardayetsamam  Bca_5.92d
na bhadrakamidaæ nÃthÃ  Bca_2.66c
na bhavi«yÃmyahaæ yadÃ  Bca_2.59d
na bhavetkasyaciddu÷khaæ  Bca_6.34c
na bhavettattvamÅd­Óam  Bca_9.158d
na bhasmÃpyupalabhyate  Bca_4.31b
na bhÃvayati tÃæ katham  Bca_9.55d
na mado na ca vismaya÷  Bca_8.109b
na mado na ca vismaya÷  Bca_8.116b
na mayÃ pratyavek«itaæ  Bca_2.39b
na mari«yÃmi kiæ nvaham  Bca_2.40d
nama÷ karomyupÃdhyÃyÃn  Bca_2.25c
na mÃyÃcittasaæbhava÷  Bca_9.12b
na mithyÃjÅvitaæ ciram  Bca_6.56b
na miÓraæ na p­thak kvacit  Bca_9.104b
na medo 'ntrÃïi nÃpyaham  Bca_9.59b
na yÃmi narakÃnyadi  Bca_6.50b
na yuktaæ syandituæ svÃrtham  Bca_8.138c
na yuktaæ svÃrthad­«ÂyÃdi  Bca_8.138a
na yuktÃ me sukhÃsikÃ  Bca_2.59b
na yujyate mama dve«o  Bca_6.64c
narakÃdiprapÃtina÷  Bca_8.82b
narakÃdivyathÃsm­te÷  Bca_8.84d
narakÃdi«u ca vyathÃ  Bca_8.71d
narakÃdi«u pacyate  Bca_8.126b
narakÃdi«vapi vadhyaghÃtakÃ÷  Bca_4.35b
narakÃdau paratra ca  Bca_8.40d
narakÃn dÅrghavedanÃn  Bca_6.48d
narake«u sahasraÓa÷  Bca_6.74b
narake«vÃvasatÅti nÃtha Ãha  Bca_1.34d
na rasaæ cak«urÅk«ate  Bca_7.61b
navanÅtaæ samutthitaæ  Bca_3.31d
na vastrÃdi pradÅyate  Bca_5.68b
na vÃ¤chasyaÓuciæ k­mim  Bca_8.60b
na vÃritaæ ca guïibhi÷  Bca_6.77c
na vinÃnena mÃrgeïa  Bca_9.41c
na vipÃkaphalÃkÃÇk«Ã  Bca_8.109c
na vimukhatÃmupayÃntyasÃdhayitvÃ  Bca_4.37d
na vimocyaæ hi sadaiva bodhicittaæ  Bca_1.8d
na Óakyaæ kenacit kvacit  Bca_6.52b
na Óastraæ na vi«aæ nÃgnir  Bca_8.84a
na Óik«Ã rak«ituæ ÓakyÃ  Bca_5.1c
na Óirove«Âhite vadet  Bca_5.88b
na ÓiæghÃnaæ na ca Óle«mÃ  Bca_9.58c
na ÓurÃ na ca te prÃj¤Ã÷  Bca_4.28c
naÓyatvanyacca kuÓalaæ  Bca_5.22c
naÓyanti ye«Ãæ bhai«ajyaæ  Bca_2.56c
na Óro«yantyapi kecana  Bca_8.148d
na«ÂaÓalyavyathÃpohe  Bca_7.22c
na«Âe 'sminnÃstyahaæ puna÷  Bca_9.74d
na sattve«viti ka÷ krama÷  Bca_6.113d
na sarvakÃmairapi saumanasyam  Bca_6.123b
na saæcintyopajÃyate  Bca_6.27d
na saæstavÃnubandhena  Bca_8.15c
na siddho 'sau tavÃdita÷  Bca_9.42d
na strÅ«u puru«aæ vinÃ  Bca_5.89b
na sthÃsyatÅti bh­tyÃya  Bca_5.68a
na sthaulyaæ cetsukhÃdanyat  Bca_9.135a
na sm­tÃvavati«Âhate  Bca_5.25d
na svata÷ kiæ tu kÃryata÷  Bca_6.114b
na svÃrthena vinÃ prÅtir  Bca_8.24c
na svÃrthe 'pyupajÃyate  Bca_1.25d
na svÅkaro«i he mÆ¬ha  Bca_5.61a
na hastau nÃpyayaæ pÃrÓvau  Bca_9.80a
na hi kÃlopapannena  Bca_6.105a
na hi kiæcidapÆrvamatra vÃcyaæ  Bca_1.2a
na hi tadvidyate kiæcid  Bca_5.100a
na hi vÅryaæ vinÃ puïyaæ  Bca_7.1c
nahi vaitanikopÃttaæ  Bca_5.69c
nahi sarvÃnyaÓatrÆïÃæ  Bca_4.32a
na hi so 'nyamapek«ate  Bca_9.124b
na hi sphaÂikavannÅlaæ  Bca_9.19c
nahÅd­Óairmaccaritair  Bca_4.17a
na h­«yasi prakupyasi  Bca_6.82d
nÃkartumÅÓa÷ sÃmagryÃæ  Bca_9.125c
nÃkÃÓamÅÓo 'ce«ÂatvÃt  Bca_9.121a
nÃgantukaguïÃæÓena  Bca_8.164a
nÃgÃmikÃyadu÷khÃnme  Bca_8.97c
nÃÇgulyÃ kÃrayetkiæcid  Bca_5.94a
nÃjÃtena hi bhÃvena  Bca_9.148c
nÃïoraïau praveÓo 'sti  Bca_9.95a
nÃta÷parÃ va¤canÃsti  Bca_4.23a
nÃto 'nyatra kuhasthitÃ÷ punarime mathnanti k­tsnaæ jagat  Bca_4.47b
nÃtmÃ pÆrvani«edhata÷  Bca_9.121b
nÃthanirvÃïaÓayyÃvac  Bca_5.96a
nÃthÃnÃmagrata÷ sthita÷  Bca_2.65b
nÃdya cetkriyate yatnas  Bca_4.12c
nÃnÃdhimuktikÃ÷ sattvÃ  Bca_8.22a
nÃnÃpratyayasaæbhavÃ  Bca_9.12d
nÃnÃvidhapralÃpe«u  Bca_5.45a
nÃnopakaraïÃkÃrair  Bca_3.9c
nÃntarÃle mana÷ sthitam  Bca_9.103b
nÃntrÃïi cÆ«itavyÃni  Bca_5.65c
nÃnyacca pÃpaæ prakaromi bhÆya÷  Bca_2.9d
nÃnyaccintyaæ tvayÃdhunÃ  Bca_8.137d
nÃnyasya tadvyathÃbhÃga÷  Bca_8.33c
nÃpaneyÃ kadÃcana  Bca_5.29b
nÃpyananyeti kalpyate  Bca_9.27b
nÃpyantarna bahiÓcittam  Bca_9.103c
nÃbhavi«yadiyaæ daÓÃ  Bca_8.157d
nÃbhÃvakÃle bhÃvaÓcet  Bca_9.148a
nÃbhÃvasya vikÃro 'sti  Bca_9.147a
nÃbhyastaæ kuÓalaæ mayÃ  Bca_4.23d
nÃmamÃtre 'pi kiæ Órama÷  Bca_9.119d
nÃmedhyamayamanyasya  Bca_8.56a
nÃrakÃgni÷ sudu÷saha÷  Bca_4.25b
nÃrakÃïÃæ bhayÃni ca  Bca_10.16b
nÃlaæ pÆrayituæ vÃ¤chÃæ  Bca_8.175c
nÃvakÃÓa÷ pradÃtavya÷  Bca_5.82c
nÃvaguïÂhitamastake  Bca_5.88d
nÃvadhyÃyanti taravo  Bca_8.26a
nÃvasaro bhavadu÷khavimukte÷  Bca_8.79d
nÃÓakÃkroÓake«u ca  Bca_6.64b
nÃÓakto 'haæ yathÃ jana÷  Bca_7.50d
nÃÓayatyapi saæmohaæ  Bca_1.30a
nÃÓayÃmÅti cintayan  Bca_1.21b
nÃÓrÅyate tatkathamaj¤asattvai÷  Bca_1.13d
nÃsadutpadyate kiæcid  Bca_9.135c
nÃsti kiæcidahetuta÷  Bca_9.142b
nÃsti cet saæpradhÃryate  Bca_9.47b
nÃsti sattvÃrthadhÃtina÷  Bca_4.9d
nÃsti saæmohavat satÅ  Bca_9.47d
nÃsthi nÃpyasmi Óoïitam  Bca_9.58b
nÃsphÃlayetkapÃÂaæ ca  Bca_5.72c
nÃhaæ taddhi na vidyate  Bca_9.74b
nÃhaæ mÃæsaæ na ca snÃyur  Bca_9.60a
nÃhaæ vasÃ na ca svedo  Bca_9.59a
nik­«ÂadÃsavaccainaæ  Bca_8.163c
nig­hïÅyÃd d­¬haæ ÓÆra÷  Bca_5.54c
nigrÃhyastadatikrame  Bca_8.167d
nighnanti kecidÃtmÃnam  Bca_6.36c
nijaæ tadrÆpamucyatÃm  Bca_9.67b
nityaæ jÅvantu sukhitÃ  Bca_10.33c
nityaæ lokasya kÃraïam  Bca_9.127d
nityaæ sarvÃrthasiddhaye  Bca_3.15d
nityaæ smitamukho bhavet  Bca_5.71b
nityaæ syÃt saæghasÃmagrÅ  Bca_10.42c
nityodvego 'smi nÃyakÃ÷  Bca_2.32b
nityo hyacetanaÓcÃtmÃ  Bca_6.29a
nidrayopadravairbÃla-  Bca_9.160c
nidrÃpÃÓrayat­«ïayÃ  Bca_7.3b
nidrÃlasyÃgame tadvat  Bca_7.71c
nidhÃnamidamak«ayaæ  Bca_3.28d
nidhi÷ syÃmahamak«aya÷  Bca_3.9b
nidhyÃyantÅva satataæ  Bca_5.35c
nindantyalÃbhinaæ sattvam  Bca_8.23a
nindyamÃnamitastata÷  Bca_8.150d
nimajjettatra karmaïi  Bca_7.65b
niyataæ tÃvadÃcaret  Bca_5.97d
niyataæ yÃti durgatim  Bca_8.9b
niyamastatra kiæk­ta÷  Bca_8.102d
niyojayati nÃyaka÷  Bca_7.25b
nirantaratve 'pyekatvaæ  Bca_9.94c
nirapek«astyajÃmye«a  Bca_3.10c
niravadyaæ sukhodayam  Bca_6.77b
niravadhikÃlamanuprayacchata÷  Bca_1.33b
niraæÓasya ca saæsarga÷  Bca_9.96a
nirÃkÃÓa÷ samaÓca sa÷  Bca_9.95b
nirÃtmake kalÃpe 'smin  Bca_9.102c
nirÃyÃsÃ ÓivodayÃ  Bca_8.38b
nirÃlambÃ praÓÃmyate  Bca_9.35d
nirÃÓo yastu sarvatra  Bca_8.176c
nirÃÓrayatvÃnnodeti  Bca_9.111c
nirindriyeïeva mayÃ  Bca_5.34c
nirudyamaphalÃkÃÇk«in  Bca_7.13a
nirÆpya÷ sarvayatnena  Bca_5.40a
niroddhumapi nehate  Bca_6.28d
nirdvandvÃ nirupÃyÃstÃ÷  Bca_10.28c
nirbhayo vihari«yÃmi  Bca_8.29c
nirbhÅrbhave sattvahitaæ karomi  Bca_2.9b
nirmalasya kulasyÃsya  Bca_3.26c
nirmÃïamiva nirmÃnaæ  Bca_5.57c
nirmÃïavadace«Âe«u  Bca_6.31c
niryÃtayÃmye«a saputrakebhya÷  Bca_2.6b
nirvÃïamapi du÷sthitam  Bca_9.45d
