Kalidasa: Raghuvamsa
Based on the ed. by A. Scharp‚: Kalidasa Lexicon, Vol. 1,
Brugge 1964
(Rijksuniversiteit te Gent, Werken uitgegeven door de 
Faculteit van de Letteren en Wijsbegeerte, 134)


Input by N.N.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarot pçthivãruhàn api  Ragh_8.70c
vyàvartayitum ã÷varaş  Ragh_15.7d
vyàvçtta yat parasvebhyaş  Ragh_1.27c
vyàsaktake÷àni cireõa petuş  Ragh_7.46d
vyàhanyamànahariõãgamanaü purastàt  Ragh_9.55b
vyutkramya lakùmaõam ubhau bharato vavande  Ragh_13.72d
vyåóhorasko vçùaskandhaş  Ragh_1.13a
vyåhàv ubhau tàv itaretarasmàd  Ragh_7.54a
vyåhya sthitaş kiücid ivottaràrdham  Ragh_18.51a
vyomagaïgormivàyubhiş  Ragh_12.85b
vyoma pa÷cimakalàsthitendu và  Ragh_19.51a
vyomni saübàdhavartibhiş  Ragh_12.67d
vrajatoş ÷uddhaveùayoş  Ragh_1.46b
vrajanti karõa kùaõacàmaratvam  Ragh_13.11d
vraõagurupramadàdharaduşsahaü  Ragh_9.28a
vraõair àvedya saüsthitaş  Ragh_12.55d
vratàya tenànucareõa dhenor  Ragh_2.4a
vrãóam àvahati me sa saüprati  Ragh_11.73c
vrãóayàvanataü ÷iraş  Ragh_15.27d
÷akeùv evàbhavad yàtrà  Ragh_17.56a
÷aktimattvàc cakàra saş  Ragh_4.31d
÷aktyàdãnàü balàbalam  Ragh_17.59b
÷aktyà vakùasi lakùmaõam  Ragh_12.77b
÷akyo 'sya manyur bhavatà vinetuü  Ragh_2.49c
÷akràbhyasåyàvinivçttaye yaş  Ragh_6.74d
÷aïkanãyàm ivàkarot  Ragh_4.45d
÷aïke hanåmatkathitapravçttiş  Ragh_13.64c
÷aïkhasvanàbhij¤atayà nivçttàs  Ragh_7.64a
÷acyà÷ ciraü pàõdukapolalambàn  Ragh_6.23c
÷ataghnãm atha ÷atrave  Ragh_12.95b
÷atamakhaü tam akhaõóitapauruùam  Ragh_9.13d
÷ataü kratånà apavighnam àpa saş  Ragh_3.38d
÷atrughàtini ÷atrughnaş  Ragh_15.36a
÷atrughnaprativihitopakàryam àryaş  Ragh_13.79c
÷atrughnena sa tàóitaş  Ragh_15.22b
÷atruùu praõatir eva kãrtaye  Ragh_11.89d
÷abda uccarita eva màm agàt  Ragh_11.73b
÷abdapàtinam iùuü visasarja  Ragh_9.73d
÷abdàdi nirvi÷ya sukhaü ciràya  Ragh_18.3a
÷abdàdãn viùayàn bhoktuü  Ragh_10.26a
÷abdo mahàràja iti pratãtas  Ragh_18.42c
÷amayàü àsa dhanvinaş  Ragh_15.85d
÷amayitre suradviùàm  Ragh_10.15b
÷amarate 'maratejasi pàrthive  Ragh_9.4d
÷amavelàpralayormiõà muniş  Ragh_8.80d
÷amitapakùabalaş ÷itakoñinà  Ragh_9.12a
÷amitàdhir adhijyakàrmukaş  Ragh_8.27c
÷amãm ivàbhyantaralãnapàvakàm  Ragh_3.9b
÷ayyàgatena ràmeõa  Ragh_10.70a
÷ayyàgçhe suptajane prabuddhaş  Ragh_16.4b
÷ayyàü jahaty ubhayapakùavinãtanidràş  Ragh_5.72a
÷ayyottaracchadavimardakç÷àïgaràgam  Ragh_5.65b
÷araõyam enaü ÷ata÷o mahãdhràş  Ragh_13.7b
÷araõyaü ÷araõàrthinaş  Ragh_15.2d
÷aratkàla ivendunà  Ragh_15.54d
÷arat païkajalakùaõà  Ragh_4.14d
÷aratpramçùñàmbudharoparodhaş  Ragh_6.44c
÷aratprasannair jyotirbhir  Ragh_17.35c
÷aradàm ayutaü yayau  Ragh_10.1d
÷aradàm ayutaü yayau  Ragh_10.2d
÷aradghanaü nàrdati càtako 'pi  Ragh_5.17d
÷araü savyetare bhuje  Ragh_12.90d
÷aràvatyàü satàü såktair  Ragh_15.97c
÷aràsanajyànikaùau bhujàbhyàm  Ragh_6.55*b
÷aràsanajyàm alunàd vióaujasaş  Ragh_3.59d
÷arãratyàgamàtreõa  Ragh_12.10c
÷arãrabandhena tirobabhåva  Ragh_16.23d
÷arãramàtreõa narendra tiùñhann  Ragh_5.15a
÷arãrasàdàd asamagrabhåùaõà  Ragh_3.2a
÷areõa ÷akrasya mahà÷anidhvajam  Ragh_3.56b
÷arair utsavasaüketàn  Ragh_4.78a
÷arair usrair ivodãcyàn  Ragh_4.66c
÷alyaniùkarùaõauùadham  Ragh_12.97d
÷alyaprotaü prekùya sakumbhaü muniputraü  Ragh_9.75c
÷alyaü nikhàtam udahàrayatàm urastaş  Ragh_9.78b
÷a÷aüsa tulyasattvànàü  Ragh_4.72a
÷a÷aüsa vàcà punaruktayeva  Ragh_2.68d
÷a÷aüsa sãtàparidevanàntam  Ragh_14.83c
÷a÷aüsur devadàravaş  Ragh_4.76d
÷a÷àka nirvàpayituü na vàsavaş  Ragh_3.58c
÷a÷àka ÷àlãnatayà na vaktum  Ragh_6.81b
÷a÷àïkam iva kaumudã  Ragh_17.6d
÷a÷àma tena kùitipàlalokaş  Ragh_7.3d
÷a÷àma vçùñyàpi vinà davàgnir  Ragh_2.14a
÷a÷àsa pçthvãü sakalàü nçsomaş  Ragh_18.19*d
÷a÷àsaikapurãm iva  Ragh_1.30d
÷a÷inam upagateyaü kaumudã meghamuktaü  Ragh_6.85a
÷a÷inaü punar eti ÷àrvarã  Ragh_8.56a
÷a÷iprabhaü chattram ubhe ca càmare  Ragh_3.16d
÷a÷ãva paryàptakalo nalinyàş  Ragh_6.44d
÷a÷vat sårya ivoditaş  Ragh_17.74d
÷a÷vad åcur agha÷aïkinãş prajàş  Ragh_19.52d
÷astrakùatà÷vadvipavãrajanmà  Ragh_7.42c
÷astreõa rakùyaü yad a÷akyarakùaü  Ragh_2.40c
÷aüùa kiü gatim anena pattriõà  Ragh_11.84c
÷àkhàbhir àvarjitapallavàbhiş  Ragh_13.24d
÷àkhinàü na ca pari÷ramacchidàm  Ragh_11.12b
÷àtahradam iva jyotiş  Ragh_15.82c
÷àtravaü ca papur ya÷aş  Ragh_4.42d
÷àntena vapuùaiva sà  Ragh_15.77d
÷ànte pitary àhçtapuõóarãkà  Ragh_18.8c
÷àpayantritapaulastya  Ragh_10.48c
÷àpaü dadhaj jvalanam aurvam ivàmburà÷iş  Ragh_9.82d
÷àpàc cirapràrthitadar÷anena  Ragh_5.56b
÷àpo 'py adçùñatanayànanapadma÷obhe  Ragh_9.80a
÷àrïgakåjitavij¤eya  Ragh_4.62c
÷àlaniryàsagandhibhiş  Ragh_1.38b
÷àlapràü÷ur mahàbhujaş  Ragh_1.13b
÷àlàvidhistambhagatai÷ ca nàgaiş  Ragh_16.41b
÷àligopyo jagur ya÷aş  Ragh_4.20d
÷àlãnatàm avrajad ãóyamànaş  Ragh_18.17d
÷àvaikasiühena ca kànanena  Ragh_18.37b
÷àsanàt kumbhajanmanaş  Ragh_12.31b
÷àsanàt parameùñhinaş  Ragh_15.93d
÷àsanàd raghunàthasya  Ragh_15.90c
÷àsane sthibhido 'pi tasthuùà  Ragh_11.65b
÷àstgranirdiùñavartmanà  Ragh_17.77b
÷àstreùv akuõñhità buddhir  Ragh_1.19c
÷ikùàvi÷eùalaghuhastatayà nimeùàt  Ragh_9.63c
÷ikhariõàü iva sàgaram àpagàş  Ragh_9.22b
÷ikhariõàü kuli÷ena puraüdaraş  Ragh_9.12b
÷irasà veùñana÷obhinà sutaş  Ragh_8.12b
÷irastaniùkarùaõabhinnamuliş  Ragh_7.66b
÷iràüsi cakrair ni÷itaiş kùuràgraiş  Ragh_7.46b
÷iràüsi patitàny api  Ragh_12.101b
÷irãùapuùpaü sahasà papàta  Ragh_16.48d
÷irãùapuùpàdhikasaukumàryaş  Ragh_18.45a
÷irobhiş ÷ma÷rulair mahãm  Ragh_4.63b
÷ilapakàrya ubhayena vejitàs  Ragh_19.35c
÷ilaş ÷ilàpaññavi÷àlavakùàş  Ragh_18.17b
÷ilàniùpiùñamudgaraş  Ragh_12.73b
÷ilàvarùãva parvataş  Ragh_4.40d
÷ilàvibhaïgair mçgaràja÷àvas  Ragh_6.3c
÷ilàvi÷eùàn adhi÷ayya ninyur  Ragh_16.49c
÷ilãmukhotkçtta÷iraşphalàóhyà  Ragh_7.49a
÷iloccaye mårchati màrutasya  Ragh_2.34d
÷iloccayo 'pi kùitipàlam uccaiş  Ragh_2.51c
÷ivàghorasvanàü pa÷càd  Ragh_12.39c
÷ivàni vas tãrthajalàni kaccit  Ragh_5.8d
÷ivà bhujacchedam apàcakàra  Ragh_7.50d
÷i÷um apràptayauvanam  Ragh_15.42b
÷i÷ye kiücid iva ÷ramàt  Ragh_12.21d
÷i÷riye ÷rutavatàm apa÷cimaş  Ragh_19.1c
÷iùyavargaparikalpitàrhaõam  Ragh_11.23b
÷iùyaü maharùer nçpatir niùidhya  Ragh_5.18b
÷iùyaş ÷àsitur ànataş  Ragh_1.92d
÷iùyair ànàyayàm àsa  Ragh_15.74c
÷ãrùacchedyaü paricchidya  Ragh_15.51c
÷ucirasaü cirasaücitam ãpsubhiş  Ragh_9.30*d
÷ucivyapàye vanaràjipalvalam  Ragh_3.3d
÷utadehavisarjanaş pitu÷  Ragh_8.25a
÷utasya yàyàd ayam antam arbhakas  Ragh_3.21a
÷uddhapàrùõir ayànvitaş  Ragh_4.26b
÷uddhàntarakùyà jagade kumàrã  Ragh_6.45d
÷uddhàntarakùyà jagade kumàrã  Ragh_6.58*d
÷uddhilàbham amanyata  Ragh_12.10d
÷ubhaiş ÷arãràvayavair dine dine  Ragh_3.22b
÷ubhraü ya÷o mårtam ivàtitçùõaş  Ragh_2.69d
÷u÷ubhire smitacàrutarànanàş  Ragh_9.37a
÷u÷ubhe tena càkràntaü  Ragh_17.29a
÷u÷ubhe vikramodagraü  Ragh_15.27c
÷u÷ràva ku¤jeùu ya÷aş svam uccair  Ragh_2.12c
÷u÷ràva ca kutåhalã  Ragh_15.65d
÷u÷ràva tebhyaş prabhavàdi vçttaü  Ragh_14.18c
÷u÷ruvàn vacanam agrajanmanaş  Ragh_11.51b
÷u÷ruve priyajanasya kàtaraü  Ragh_19.18c
÷u÷råùayà pàrthiva pàdayos te  Ragh_16.85d
÷ådraü surapadàrthinam  Ragh_15.50d
÷ånyàni dåye sarayåjalàni  Ragh_16.21d
÷åraş ÷auryavatà ku÷aş  Ragh_17.4b
÷çïgàgralagnàmbudavaprapaïkaş  Ragh_13.47b
÷çïgàntaraü dvàram ivàrthasiddheş  Ragh_2.21d
÷çïgàraceùña vividhà babhåvuş  Ragh_6.12d
÷çïgàhataü kro÷ati dãrghikàõàm  Ragh_16.13d
÷çõu vi÷rutasattvasàra tàü  Ragh_8.77c
÷çõoti loke÷a tathà vidhãyatàm  Ragh_3.66d
÷çõgaü sa dçptavinayàdhikçtaş pareùàm  Ragh_9.62c
÷çõvan kathàş ÷rotasukhàş kumàraş  Ragh_7.16b
÷ekur àkramitum anyapàrthivàş  Ragh_19.48b
÷eùaü svapnàya ÷àrïgiõaş  Ragh_12.70d
÷eùàs taü ÷araõaü yayuş  Ragh_4.64b
÷ailarandhrànunàdinà  Ragh_10.36b
÷ailarugõa mataïgajaş  Ragh_12.73d
÷ailasàram api nàtiyatnataş  Ragh_11.45c
÷ailàdhirohaõasukhàny upalebhire te  Ragh_13.74d
÷aileyagandhãni ÷ilàtalàni  Ragh_6.51b
÷ailopamaş ÷aivalama¤jarãõàü  Ragh_5.46a
÷ailau malayadardurau  Ragh_4.51d
÷aivàlalolàü÷ chalayanti mãnàn  Ragh_16.61d
÷ai÷avàc capalam apy a÷obhata  Ragh_11.8b
÷ai÷ave 'bhyastavidyànàü  Ragh_1.8a
÷okoùõaiş pàrthivà÷rubhiş  Ragh_12.4d
÷ocanãyàsi vasudhe  Ragh_15.43a
÷auryaü ÷vàpadaceùñitam  Ragh_17.47b
÷ma÷rupravçddhijanitànanavikriyàü÷ ca  Ragh_13.71a
÷yàmàbhrà divasà iva  Ragh_10.84d
÷yàmàyamànàni vanàni pa÷yan  Ragh_2.17d
÷yàmãcakàra vanam àkuladç÷ñipàtair  Ragh_9.56c
÷yenapakùaparidhåsaràlakàş  Ragh_11.60a
÷raddadhe trida÷agopamàtrake  Ragh_11.42c
÷raddheva sàkùàd vidhinopapannà  Ragh_2.16d
÷ramacchidaü à÷ramapàdapànàm  Ragh_5.6d
÷ramajayàt praguõàü ca karoty asau  Ragh_9.49c
÷ramanudaü manudaõóaharànvayam  Ragh_9.3d
÷ramaphenamucà tapasvigàóhàü  Ragh_9.72c
÷rameõa tad a÷aktyà và  Ragh_10.33c
÷ravaõakañu nçpàõàm ekavàkyaü vivavruş  Ragh_6.85d
÷ravaõalabdhapadai÷ ca yavàïkuraiş  Ragh_9.43b
÷rita gokarõaniketam ã÷varam  Ragh_8.33b
÷riyam apuùyad ajena tataş param  Ragh_9.5b
÷riyaü mahendranàthasya  Ragh_4.43c
÷riyaü yuvàpy aïkagatàm abhoktà  Ragh_13.67b
÷riyaş padmaniùaõõàyàş  Ragh_10.8a
÷riyo 'py àsãt paràïmukhaş  Ragh_12.13d
÷rãr àsãd anapàyinã  Ragh_17.46d
÷rãr gantukàmàpi guror anuj¤àü  Ragh_5.38c
÷rãvatsalakùaõaü vakùaş  Ragh_17.29c
÷ruta dhçtasaüyogaviparyayau yadà  Ragh_8.89b
÷rutaprakà÷aü ya÷asà prakà÷aş  Ragh_5.2c
÷rutaprabhàvà dadç÷e 'tha nandinã  Ragh_3.40d
÷rutam àviùkçtam àtmavattayà  Ragh_8.84b
÷rutayàgaprasvaiş sa pàrthivaş  Ragh_8.30b
÷rutavanto 'pi rajonimãlitàş  Ragh_9.74d
÷rutasya kiü tat sadç÷aü kulasya  Ragh_14.61d
÷rutisukhabhramarasvanagãtayaş  Ragh_9.35a
÷ruter ivàrthaü smçtir anvagacchat  Ragh_2.2d
÷rutau taskaratà sthità  Ragh_1.27d
÷rutvà ta enaü kularàjadhànyà  Ragh_16.24c
÷rutvà tathàvidhaü mçtyuü  Ragh_12.13a
÷rutvà tasya ÷uco hetuü  Ragh_15.44a
÷rutvà ràmaş priyodantaü  Ragh_12.66a
÷rutvà svanaü kà¤canakiïkiõãnàm  Ragh_13.33b
÷reõãbandhàd vitanvadbhir  Ragh_1.41a
÷reõãva kàdambavihaügapaïktyà  Ragh_13.57Cd
÷reyàüsi sarvàõy adhijagmuùas te  Ragh_5.34b
÷roõibimbam iva haüsamekhalam  Ragh_19.40b
÷roõilambipuruùàntramekhalàm  Ragh_11.17b
÷roõilambimaõimekhalàş priyàş  Ragh_19.45d
÷rotàbhiràmadhvaninà rathena  Ragh_2.72a
÷rotreùu saümårchati raktam àsàü  Ragh_16.64c
÷làghya eva parameùñhinà tvayà  Ragh_11.86d
÷làghyas tyàgo 'pi vaidehyàş  Ragh_15.61a
÷làghyaü dadhaty uttarakosalendràş  Ragh_6.71d
÷làghyo bhavàn svajana ity anubhàùitàram  Ragh_16.86b
÷lokatvam àpadyata yasya ÷okaş  Ragh_14.70d
÷vagaõvàgurikaiş prathamàsthitaü  Ragh_9.53a
÷va÷råjanaü sarvam anukrameõa  Ragh_14.60a
÷va÷råjanànuùñhitacàruveùàü  Ragh_14.13a
ùañ pårvam ajayad ripån  Ragh_17.45d
ùaóànanàpãtapayodharàsu  Ragh_14.22c
ùaó upàyuïkta samãkùya tatphalam  Ragh_8.21b
ùaójasaüvàdinãş kekà  Ragh_1.39c
ùaóvarùade÷iyam api prabhutvàt  Ragh_18.39c
ùaóvidhaü balam àdàya  Ragh_4.26c
ùaõõàü ùaõmukhavikramaş  Ragh_17.67b
ùaùñhàm÷am urvyà iva rakùitàyàş  Ragh_2.66d
sa eva dharmo manunà praõãtaş  Ragh_14.67b
sa evam uktvà maghavantam unmukhaş  Ragh_3.52a
sa kadàcid aveùitaprajaş  Ragh_8.32a
sakamalà kam alàghavam arthiùu  Ragh_9.19d
sakalikà kalikàmajitàm api  Ragh_9.29d
sakànanà niùpatatãva bhåmiş  Ragh_13.18d
sa kàmaråpe÷varadattahastaş  Ragh_7.17b
sa kila saüyugamårdhni sahàyatàü  Ragh_9.20a
sa kilàcaùña dhåmapaş  Ragh_15.50b
sa kiüvadantãü vadatàü purogaş  Ragh_14.31a
sa kãcakair màrutapårõarandhraiş  Ragh_2.12a
sa kãla÷ramam antyam à÷rito  Ragh_8.14a
sa kulocitam indrasya  Ragh_17.5a
sa kçtvà viratotsavàn  Ragh_4.78b
sakçd (?) vivignàn api hi prayuktaü  Ragh_18.13c
sakaustubhaü hrepayatãva kçùnam  Ragh_6.49d
saktàïguliş sàyakapuïkha eva  Ragh_2.31c
sa kùemadhanvànam amoghadhanvà  Ragh_18.9a
sa kùaudrapañalair iva  Ragh_4.63d
sakhà da÷arathasyàtha  Ragh_15.31a
sakhãjanodvãkùaõakaumudãmukham  Ragh_3.1b
sakhyàü sakhã vetradharà babhàùe  Ragh_6.82b
sa gacchaüs tapatàü varaş  Ragh_15.10b
sa gatvà sarayåtãraü  Ragh_15.95a
sa guõànàü balànàü ca  Ragh_17.67a
sa guptamålapratyantaş  Ragh_4.26a
saïgavastu bhiùajàm anà÷ravaş  Ragh_19.49b
sa cakarùa parasmàt tad  Ragh_17.63c
sa caturdhà babhau vyastaş  Ragh_10.85a
sa ca pràpa madhåpaghnaü  Ragh_15.15a
sa cànunãtaş praõatena pa÷càn  Ragh_5.54a
sa càpakoñãnihitaikabàhuş  Ragh_7.66a
sa càpam utsçjya vivçddhamatsaraş  Ragh_3.60a
sacivakàritabàlasutà¤jalãn  Ragh_9.14b
sacivàvalambitadhuraü naràdhipam  Ragh_9.69b
saciveùu nicikùipe  Ragh_1.34d
sacivaiş pratyaham arthasiddhaye  Ragh_8.17*b
sa cet svayaü karamasu dharmacàriõàü  Ragh_3.45c
sa codayastho nçpatiş ÷a÷ã ca  Ragh_16.53d
sa cchinnabandhadrutayugya÷ånyaü  Ragh_5.49a
sa cchinnamålaş kùatajena reõus  Ragh_7.43a
sa jaharà tayor madhye  Ragh_12.29a
sa jàtakarmaõy akhile tapasvinà  Ragh_3.18a
sa jàtu sevyamàno 'pi  Ragh_17.50c
sa takùapuùkalau putrau  Ragh_15.89a
sa tatra ma¤ceùu vimànakalpeùv  Ragh_6.1*a
sa tatra ma¤ceùu manoj¤aveùàn  Ragh_6.1a
sa tatheti vinetur udàramateş  Ragh_8.91a
sa tadvaktraü himakliùña  Ragh_15.52a
sa tan naivodapàdayat  Ragh_17.55d
sa tapaşpratibandhamanyunà  Ragh_8.80a
sa tasyàş phalam àna÷e  Ragh_17.68d
sataü vàrimucàm iva  Ragh_4.86d
sa tàbyho balim agrahãt  Ragh_1.18b
sa tàvad abhiùekànte  Ragh_17.17a
sa tàv àkhyàya ràmàya  Ragh_15.71a
satàü bhavocchedakaraş pità te  Ragh_14.74b
sati prapannà karuõàm avasthàm  Ragh_16.10d
sati ÷eùe hi phalàya kalpate  Ragh_8.40d
sa tãrabhåmau vihitopakàryàm  Ragh_16.55a
sa tãrtvà kapiùàü sainyair  Ragh_4.38a
sa tu tasamavçddhi÷ ca  Ragh_17.71c
sa tulyapuùpàbharaõo hi dhãraş  Ragh_16.74d
sa tejo vai÷navaü patnyor  Ragh_10.55a
sa tena pitrà pitçmàn babhåva  Ragh_18.11d
sa tau ku÷alavonmçùña  Ragh_15.32a
satkàraiş ÷amitaparàjayavyalãkàn  Ragh_4.87*b
sattrànte sacivasakhaş puraskriyàbhir  Ragh_4.87a
sattvarà÷im upasthitaş  Ragh_15.15d
sattvànuråpàharaõã kçta÷rãş  Ragh_7.32c
satyapratij¤e 'py avikatthane 'pi  Ragh_14.73b
satyàd gurum alopayan  Ragh_12.9b
satyàm api tapaşsiddhau  Ragh_1.94a
satyàya mitabhàùiõàm  Ragh_1.7b
sa tv anekavanitàsakho 'pi san  Ragh_19.53a
sa tvaü nivartasva vihàya lajjàü  Ragh_2.40a
sa tvaü pra÷aste mahite madãye  Ragh_5.25a
sa tvaü madãyena ÷arãravçttiü  Ragh_2.45a
sa dakùiõaü tåõamukhena vàmaü  Ragh_7.57a
sa dadar÷a tapondhim  Ragh_1.56b
sa dadar÷a sabhàmadhye  Ragh_15.39a
sa dadàha purãü laïkàü  Ragh_12.63c
sadayaü bubhuje mahàbhujaş  Ragh_8.7a
sa da÷àntam upeyivàn  Ragh_12.1b
sad asac copadar÷itam  Ragh_4.10b
sadasadvyaktihetavaş  Ragh_1.10b
sadàrasånor vidadhe ca tan nçpaş  Ragh_9.82Ad
sadupakàraphalàü ÷riyam arthinaş  Ragh_9.30b
sa duùpràpaya÷àş pràpad  Ragh_1.48a
sa dåùaõam ivàtmanaş  Ragh_12.46d
sadç÷akàntir alakùyata ma¤jarã  Ragh_9.44c
sadç÷am iùñasamàgamanirvçtiü  Ragh_9.38c
sadç÷aü pratyapadyata  Ragh_12.38d
sa de÷a sindhunàmakam  Ragh_15.87b
sadya eva sukçtàü hi pacyate  Ragh_11.50c
sadyaş paraparatulàm adhirohatàü dve  Ragh_5.68b
sadyaş parimlànamukhàravindà  Ragh_14.50b
sadyaş paitàmahã tanuş  Ragh_15.60d
sadyaş pratiùñambhavimuktabàhuş  Ragh_2.59b
sadyaş pràpsyasi pa÷ya màm  Ragh_12.37b
sadyaş ÷amayituü kùamaş  Ragh_17.55b
sadyo vimànaprabhutàm upetya  Ragh_7.51b
sadyo vimuktaü mukham àbabhàse  Ragh_7.68b
sadvatsalo vatsahutàva÷eùam  Ragh_2.69b
sadvijihva iva candanadrumaş  Ragh_11.64d
sa dhanuùà yudhi sàyakavarùiõà  Ragh_9.12*c
sa dhanuùà yudhi sàyakavarùiõà  Ragh_9.13c
sa dharmapatnãsahitaş sahiùõuş  Ragh_2.72b
sa dharmavijayã nçpaş  Ragh_4.43b
sa dharmasthasakhaş ÷a÷vad  Ragh_17.39a
sadhàtunisyanda ivàdriràjaş  Ragh_16.70d
sa dhàtubhedàruõayànanemiş  Ragh_16.32a
sanagaraü nagarandhrakaraujasaş  Ragh_9.2d
sa nandinãstanyam aninditàtmà  Ragh_2.69a
sa narmadàrodhasi ÷ãkaràrdrair  Ragh_5.42a
sa nàdaü meghanàdasya  Ragh_12.79a
sa ninàya nitàntavatsalaş  Ragh_8.41c
sa ninàya nitàntavatsalaş  Ragh_8.41*a
sa ninàya nitàntavatsalaş  Ragh_8.42a
sa ninàya manorathaiş  Ragh_1.33d
sanirjharodgàra ivàdriràjaş  Ragh_6.60d
sa nirvi÷eùapratipattir àsãt  Ragh_14.22b
sa nirvi÷ya yathàkàmaü  Ragh_4.51a
sa nive÷ya ku÷àvatyàü  Ragh_15.97a
sanåpurakùobhapadàbhir àsãd  Ragh_16.56c
sa naiùadhasyàrthapateş sutàyàm  Ragh_18.1a
sa nauvimànàd avatãrya reme  Ragh_16.68a
santas tasyàbhigamanàd  Ragh_17.72a
santaş saütànakàïkùiõaş  Ragh_10.4b
sanmaïgalasnàta iva  Ragh_4.41c
sanmaïgalodagrataraprabhàvaş  Ragh_2.71d
sa nyastacihnàm api ràjalakùmãü  Ragh_2.7a
sa nyasta ÷astro haraye svadeham  Ragh_2.59c
sapatnyor ubhayor api  Ragh_10.58b
sapadi gatamanaska÷ citramàlyànukãrõe  Ragh_9.67c
sapadi vigatanidras talpam ujjhàü cakàra  Ragh_5.75b
sapadmaràgaş phalito vibhàti  Ragh_13.53d
sa paràrdhyagater a÷ocyatàü  Ragh_8.27a
sa palvalottãrõavaràhayåthàny  Ragh_2.17a
sapavanopavanotthitam anvayuş  Ragh_9.45d
sa pàñalàyàü gavi tasthivàüsaü  Ragh_2.29a
sa pità pitaras tàsàü  Ragh_1.24c
sa pituş pitçmàn vaü÷aü  Ragh_17.2a
sa puraskçtamadhyamakramo  Ragh_8.9c
sa puraü puruhåta÷rãş  Ragh_17.32a
sa pårvajanmàntaradçùñapàràş  Ragh_18.50a
sa pårvajànàü kapilena roùàd  Ragh_16.34a
sa pårvataş parvatapakùa÷àtanaü  Ragh_3.42a
sa pårvataş parvatapakùa÷àtanaü  Ragh_3.43a
sa pçùñaş sarvato vàrttàm  Ragh_15.41a
sa paurakàryàõi samãkùya kàle  Ragh_14.24a
saptacchadakùãrakañupravàham  Ragh_5.48a
saptadhaiva prasusruvuş  Ragh_4.23d
saptar÷ihastoddhçtahemapadmàm  Ragh_13.51b
saptalokaikasaü÷rayam  Ragh_10.22d
sapta vyatãyus triguõàni tasya  Ragh_2.25c
saptasàmopagãtaü tvàü  Ragh_10.22a
saptasv aïgeùu yasya me  Ragh_1.60b
saptàrcirmukham àcakhyuş  Ragh_10.22c
saptàrõavajale÷ayam  Ragh_10.22b
sa pratasthe 'rinà÷àya  Ragh_12.67a
sa pratàpaü mahendrasya  Ragh_4.39a
sa prayoganipuõaiş prayoktçbhiş  Ragh_19.36c
sa pràpa hçdayanyasta  Ragh_12.65a
sa babhåva duràsadaş parair  Ragh_8.4a
sa brahmabhåyaü gatim àjagàma  Ragh_18.28b
sa bhabhåvopajãvinàm  Ragh_1.16b
sabhàjanàyopagatàn sa divyàn  Ragh_14.18a
sabhàjane me bhujam årdhvabàhuş  Ragh_13.43c
sabhàsadbhir upasthitam  Ragh_15.39b
sa bhinnarhçdayaş patan  Ragh_15.24b
sa bhogibhogàdhikapãvareõa  Ragh_5.45*a
sa bhràtaraü bharatam arghyaparigrahànte  Ragh_13.70b
sa bhràtçsàdhàraõabhogam çddhaü  Ragh_14.85c
samagra÷aktau tvayi såryavaüùye  Ragh_16.10c
samaïgalopacàràõàü  Ragh_10.78c
samacinot kuli÷ena harir ya÷aş  Ragh_9.12*b
samatayà vasuvçñivisarjanair  Ragh_9.6a
samatãtaü ca bhavac ca bhàvi ca  Ragh_8.78b
samatyàjayad àyudham  Ragh_15.88d
samaduşkhasukhaş sakhãjanaş  Ragh_8.65a
samaduşkhà iva tatra cukru÷uş  Ragh_8.39d
samadhikatararåpàş ÷uddhasaütànakàmaiş  Ragh_18.53b
samadhigamya samàdhijitendriyaş  Ragh_9.1b
sa madhumanmadhumanmathasaünibhaş  Ragh_9.48d
samadhuraü madhur a¤citavikramam  Ragh_9.24d
samanukampya sapatnaparigrahàn  Ragh_9.14c
samanubhåya vilàsavatãsakhaş  Ragh_9.48b
samam àpannasattvàs tà  Ragh_10.60a
samam eva naràdhipena sà  Ragh_8.38*a
