Padmagupta (alias Parimala):
Navasahasankacarita

Based on the edition by Vamanasastri Islampurakara,
Bombay : Govt. Central Book Depot
(Bombay Sanskrit Series, 53)

Input by Somadeva Vasudeva, 2001

PADA-INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________






Padmagupta (alias Parimala):
NavasÃhasÃÇkacarita



akaÇkaïam akeyÆram  Pnc_11.90a
viveÓa koÓÃmratarucchaÂÃruïa÷  Pnc_13.47d
viveÓa h­daye tasyÃ÷  Pnc_6.36a
viÓato 'ntar anaÇgasya  Pnc_6.39c
viÓadak«aumatirohitÃnana÷  Pnc_12.6d
viÓadaguïagumphitÃk­tim  Pnc_15.41b
viÓadÃbhi÷ saÂÃyitam  Pnc_11.83d
viÓÃmpatidÅrghaguïÃnu«aÇgiïÅm  Pnc_7.1c
viÓÃmpatir vaÇkumahar«im aik«ata  Pnc_13.11d
viÓÃlanetrÃntani«aktatÃrakam  Pnc_7.36b
viÓÃlanetrÃbharaïair anudrutaæ  Pnc_13.11a
viÓÃlanetrais timibhi÷ k­tÃdbhuta÷  Pnc_13.40d
viÓÃlalÃÇgÆlalato valÅmukha÷  Pnc_13.18b
viÓikhaæ dÃsyati coragendrakanyÃ  Pnc_5.54b
viÓramyatÃm ity avadan mahar«i÷  Pnc_11.120c
viÓrÃïitorusaraïir nijarÃjadhÃnÅm  Pnc_18.66d
viÓvasyopari ti«Âhata÷  Pnc_11.50 ib
viÓvaæ viÓveÓa paÓyati  Pnc_16.44d
ViÓvÃÇkuÓa÷ satkavace mumoca  Pnc_17.35a
ViÓvÃÇkuÓo nÃma surÃrisÆnur  Pnc_17.27c
ViÓvÃmitreïa sÃ h­tÃ  Pnc_11.69b
vi«adavÅtaprabham udvahantÅ  Pnc_9.16b
vi«aye 'tra maunam ucitaæ hi mÃd­ÓÃm  Pnc_10.7a
vi«aye dasyuni«evite kim etat  Pnc_5.71d
vi«aye d­Óor upadaÓaæ mana÷ÓilÃ-  Pnc_10.58c
vi«ÂarÅk­tavistÅrïa-  Pnc_11.11c
visasarja ramÃÇgadam  Pnc_16.65d
visÆtritÃ hÃralatÃ÷ sphuÂanti  Pnc_14.21d
visÆtritaikÃvalimauktikÃni  Pnc_1.27d
vis­jyÃnuplavÃn api  Pnc_2.36b
vis­«ÂaÓyÃmaka¤cuka÷  Pnc_2.74b
vistÃralaÇghitavilÃsasaroruheïa  Pnc_18.38b
vismayasya ca manobhavasya ca  Pnc_8.3d
vismayaæ ratnavÅrudha÷  Pnc_11.5d
vismayena vi«ayÅk­ta÷ puraæ  Pnc_8.63a
vismayenÃtisÃndreïa  Pnc_6.35c
vism­tyÃ sahasÃ h­taæ caturayÃ kro¬Åk­taæ cintayÃ  Pnc_3.74c
visrastamÃlya÷ ÓlathabandhanatvÃd  Pnc_9.15a
vihagam iva vimÃnahaæsapaÇkter  Pnc_3.15c
vihagaÓreïimekhala÷  Pnc_2.78b
viharaty apacÅyamÃnabÃlyÃ  Pnc_5.26c
viharantyÃdrikanyayÃ  Pnc_11.62b
viharantyÃ÷ kusumÃvacÆ¬anÃmni  Pnc_5.27b
vihasann aravindakoÓatÃmre  Pnc_5.63c
vihasya lajjÃmukule cakar«a sÃ  Pnc_7.39c
vihasya vidyÃdharabÃlikÃbhi÷  Pnc_14.12a
vihasya sÃkÆtavilokitÃni  Pnc_9.19b
vihasyÃsuraku¤jara÷  Pnc_16.92d
vihÃya visrambhaviÓe«am etayÃ  Pnc_7.45c
vihitarucayo 'tipeÓalÃ÷  Pnc_15.37b
vihitaæ sÆtram idaæ manobhavena  Pnc_5.75d
vihitÃÓrayasauh­dÃn  Pnc_11.14b
vihito na hi vak«asi tvayÃyaæ  Pnc_5.75a
vihito ratnacÆ¬ena  Pnc_16.17c
vÅcilÃsyaracanÃkutÆhalÅ  Pnc_8.15b
vÅcÅÓu paryÃptam anÃrjavaæ te  Pnc_9.27b
vÅïÃm­daÇgamurajadhvanir utsavo 'bhÆt  Pnc_18.54d
vÅtaklamÃ narapater vacasÃ babhÆva  Pnc_4.63d
vÅrago«ÂhÅ«u gÅyate  Pnc_11.102d
vÅravratasyÃlaÇkÃram  Pnc_16.76a
vÅraÓriyo vibhramanÆpureïa  Pnc_17.38b
vÅraæ dvi«a÷ pÃrÓvagataæ nihatya  Pnc_17.60b
vÅra÷ sa aviÓad ÃsthÃnam  Pnc_16.71c
vÅre«u dhÃvatsu caratsv amandaæ  Pnc_17.10a
vÅryaæ vajrÃÇkuÓasya sÃ  Pnc_11.108d
v­ttÃntam antavirasaæ sa viÓuddhav­tti÷  Pnc_8.81b
v­tte vadhÆm atha vivÃhamahotsave tÃm  Pnc_18.55a
v­ntÃd apÃstair marutÃ vikÅrïai÷  Pnc_1.44a
vegÃd ahaækÃra ivÃttadeha÷  Pnc_17.6d
vetÃlatÃlocchalitÃÂÂahÃsa÷  Pnc_17.47b
vedikÃmaïiviÂaÇkavist­tÃ  Pnc_8.66b
vediæ tayÃ saha sa madhyamalokapÃla÷  Pnc_18.46d
velÃnilasamuddhÆta-  Pnc_2.11c
ve«aæ vivÃhasamayocitam udvahantÅ  Pnc_18.34d
vai¬ÆryasopÃnamayÆkhasakhyam  Pnc_1.37b
vaidarbhamÃrgeïa gira÷ prav­ttÃ÷  Pnc_1.5d
vairidvipaghaÂÃsiæha÷  Pnc_16.70c
Vairisiæha iti prÃpaj  Pnc_11.83a
vo¬huæ prav­ttÃ bhavaduttaraÇgÃ  Pnc_17.26c
vyaktataccaraïalak«maïÃ tata÷  Pnc_8.36a
vyaktataccihnacumbinÃ  Pnc_6.16b
vyaktanavanakhapadÃbharaïÃ÷  Pnc_15.34c
vyaktarÃjakakudena kÃrmukam  Pnc_8.33d
vyaktavÃg ity avÃacayat  Pnc_16.21d
vyaktÃnubhÃvaæ bhuvanatraye 'pi  Pnc_1.81b
vyaktim abhyeti sairibha÷  Pnc_2.64d
vyaktim alabhata na romalatÃ  Pnc_15.44c
vyaktim alabhata mado h­daye  Pnc_15.54c
vyaktiæ jagaty ÃdivarÃhalÅlÃ  Pnc_1.60d
vyaktiæ labhante surasundarÅïÃæ  Pnc_1.56c
vyaktiæ vajrÃÇkuÓÃdibhi÷  Pnc_11.42b
vyaktiæ ÓaraccandrakarojjvalÃbhir  Pnc_14.48c
vyaktopadi«Âena pathÃ prayÃnti  Pnc_1.6d
vya¤citÃnaÇgalÅlena  Pnc_6.50a
vya¤jitakrama iva trivikrama÷  Pnc_8.4b
vyadhÃt praïÃmaæ sa÷ k­tÃ¤jalir n­pe  Pnc_13.29c
vyadhÃd imaæ pannagarÃjakanyakÃ  Pnc_4.43b
vyadhÃd ivÃ«ÂÃpadapatravallÅ÷  Pnc_17.54d
vyadhÃd ivodgatair dÆraæ  Pnc_2.7a
vyadhÃyi vidyÃdharasainikais tat  Pnc_17.25c
vyadhita praïayaæ d­ÓÃæ pura÷  Pnc_12.2a
vyadhita balavatÅ viyogapÅ¬Ã  Pnc_3.50c
vyanakti kalyÃïamayÅyam Ãk­tir  Pnc_4.29a
vyanÅyata n­pendunÃ  Pnc_11.87d
vyarucac cÃmareïa sa÷  Pnc_2.6b
vyÃjasÃcÅk­tamukhaæ  Pnc_6.95c
vyÃttadÅrghadaÓanÃsyakandara÷  Pnc_8.50c
vyÃdhÆtimuktamarutÃ  Pnc_2.6a
vyÃnartitÃlakalatÃ sahitÃ sakhÅbhi÷  Pnc_18.37b
vyÃpÃrayati kiæ phaïÃn  Pnc_16.82d
vyÃpÃrayanti sma rayeïa vÅrÃs  Pnc_17.8c
vyÃpÃrayantÅ valitÃnanendu÷  Pnc_9.14a
vyÃptÃntaraæ vyoma samÃptim eti  Pnc_14.17d
vyÃlambitamauktikalataæ navasÃhasÃÇka÷  Pnc_11.121d
vyÃluptapak«mÃvalisau«ÂhavÃni  Pnc_14.73b
vyÃlendumaulimaïidÅdhitaye namas te  Pnc_18.22d
vyÃlokaku¬malitakÃ¤canapaÇkajÃbhÆt  Pnc_18.27d
vyÃlokanonmi«itavaktraparampareva  Pnc_15.69d
vyÃv­ttaikaramÃÇgadÃn  Pnc_11.12b
VyÃsa÷ purÃ kila purÃïamune÷ prapede  Pnc_18.52a
vyomanÅlÃtapatrasya  Pnc_11.50c
vyoma sÃruïa ivo«ïadÅdhiti÷  Pnc_8.65d
vrajati tato mucakundakÃnanÃni  Pnc_3.39b
vrajann amartyapramadÃvimukta-  Pnc_14.8a
vrajan sa vidyÃdharavÃhinÅnÃæ  Pnc_14.4a
vrÅ¬am aruïarucinÃ madhunÃ  Pnc_15.65c
vrÅ¬Ãrdhavalitaæ cakre  Pnc_6.42c
vrÅ¬Ãvanamramukhapadmam upÃgatÃyÃæ  Pnc_18.39a
Óakunir ayam ito digantalagnair  Pnc_3.29a
Óaktir atyadbhutÃ tava  Pnc_16.11d
ÓakracÃpamaïikuï¬alÃ tata÷  Pnc_8.13b
ÓaÇkitendreïa dadhatÃ  Pnc_11.78a
ÓaÇke vanaæ d­kpatham e«yatÅti  Pnc_14.27d
ÓaÇke Óaram ­jÆkurvan  Pnc_6.40a
ÓaÇke saætyajya kodaï¬am  Pnc_11.30c
ÓacÅkucasparÓam ivÃpya dhatte  Pnc_1.65c
ÓaÂhÃtmanÃÓÃya kara÷ prasÃrita÷  Pnc_13.55d
ÓataÓo vilasanty udaæÓuratna-  Pnc_5.18a
Óanakair manobhuvakuraÇgalÃ¤chana÷  Pnc_15.49d
Óanakai÷ kim apy uragabÃlikÃæ prati  Pnc_10.49b
Óanakai÷ saækucitaæ punastana÷(?)  Pnc_12.55d
Óanair babandha jaghane  Pnc_16.55a
ÓanaiÓ carantÅ vipine tava sthitÃ  Pnc_4.11a
Óanais tatas tÃæ savidhopasarpaïÅæ  Pnc_4.42a
Óanais trapÃnamramukhÅm abhÃ«ata  Pnc_7.26d
Óanai÷ kaï¬Æyate hari÷  Pnc_11.22d
Óanai÷ k­pÃ sÃnuÓaye prasÅdati  Pnc_13.57b
Óanai÷ Óanair atha vyomni  Pnc_2.98a
Óanai÷ Óanair v­ddhim avÃpad atra  Pnc_9.41c
Óanai÷ sa nidrÃkalu«eïa cak«u«Ã  Pnc_13.3c
Óapto 'smi kaïvamuninÃyam ahaæ pitus te  Pnc_18.43c
Óapharai÷ samaæ suciram apsu babhrame  Pnc_15.28d
Óabalajalalavair ivÃttajanmÃny  Pnc_3.57c
Óabalatimirormivibhramam  Pnc_15.46b
Óabalaæ ÓaÓalÃ¤chanatvi«Ã  Pnc_12.48a
ÓabalÃdharapallavÃ  Pnc_16.9d
ÓabalÃsv iha k­«ïasÃrayÆthai÷  Pnc_5.38a
Óamam eti smarajvara÷  Pnc_16.43d
Óamaya vyÃlavadhÆvilocanÃnÃm  Pnc_5.78d
ÓayanÃntagataæ m­ïÃlaÓaÇki  Pnc_5.34c
ÓayanÅyam amucyate  Pnc_2.91d
ÓayyÃyÃm Ãyatek«aïÃ  Pnc_16.31d
ÓayyÅk­tÃtanusvarïa-  Pnc_11.11a
ÓaratÃm avÃpa kila yat pinÃkina÷  Pnc_10.37d
Óaratprasanne sarita÷  Pnc_6.36c
ÓaradindudÅdhitikalÃpasundaras  Pnc_10.62c
Óaradindunirmalam apÃyi bhÆbh­tÃm  Pnc_10.20c
ÓaradindupÃï¬uni kapolamaï¬ale  Pnc_10.28d
ÓaradindumarÅcinirmalaæ  Pnc_12.10a
ÓaradindumukhÅ girÃ  Pnc_6.17d
ÓaradÅva prasarpantyÃæ  Pnc_2.26a
Óaraddhaneneva ÓaÓÃÇkamaï¬alam  Pnc_4.42d
ÓaravyatÃm evam api Órute tvayi  Pnc_7.74d
Óaravyatvam anÅyata  Pnc_2.39b
Óara÷ saæhriyatÃm e«a  Pnc_2.57a
ÓarÃsanÃbhyÃsavidhau samÃpte  Pnc_1.28c
Óare karam upeyu«i  Pnc_6.9b
Óareïa kÃrtasvarapuÇkhaÓobhinÃ  Pnc_7.9b
ÓareïÃnena sÆcyate  Pnc_6.91b
Óare narendracandrasya  Pnc_6.7c
Óarair alÃvÅj jayavaijayantÅæ  Pnc_17.60c
Óarai÷ sas tasyÃrdhapathe lulova  Pnc_17.66d
ÓarvarÅva sitapak«aparvaïa÷  Pnc_8.69c
ÓarvarÅvirahadhÆsara÷ ÓaÓÅ  Pnc_8.23d
Óalyaæ trivi«ÂapasyÃsya  Pnc_11.115c
ÓaÓalak«maïa÷ paramakharvaÓarvarÅ-  Pnc_10.42c
ÓaÓaæsa tasmai bhujagendrakanyakÃ-  Pnc_13.7c
ÓaÓaæsur vijayaæ yasya  Pnc_11.89c
ÓaÓikararucÃ sa tena reje  Pnc_3.61a
ÓaÓikÃntaÓilÃtalaæ tata÷  Pnc_12.67c
ÓaÓina iva navodgatasya dÆrÃt-  Pnc_6.118c
ÓaÓinÃ kuÇkumakandapÃï¬unÃ  Pnc_12.57d
ÓaÓineritayÃ samucchrite  Pnc_12.62c
ÓaÓiprabhÃkelikuraÇgake Óara÷  Pnc_4.34d
ÓaÓiprabhÃk«ivistÃra-  Pnc_11.9a
ÓaÓiprabhÃ pÃrthivakairavasya  Pnc_9.11d
ÓaÓiprabhÃlokamahotsavasp­hÃm  Pnc_4.1b
ÓaÓiprabhÃvÃravilÃsinÅ kim u ?  Pnc_4.24d
ÓaÓiprabhÃvibhramadarÓanaæ prati  Pnc_4.7b
ÓaÓiprabhÃÓÃnalinÅm­ïÃlatÃm  Pnc_4.2a
ÓaÓiprabhe bhÆmipatau sakautukÃ÷  Pnc_7.30c
ÓaÓimauler ivÃmbikÃ  Pnc_11.86b
ÓaÓilekheva tÃrÃbhi÷  Pnc_6.116c
ÓaÓisÆtisindhupulinodare Óara÷  Pnc_10.57b
ÓaÓÅva nak«atraparamparÃïÃm  Pnc_14.4d
Óaæsadujjvalakapolasaægataæ  Pnc_8.25a
Óaæsanti saæketam u«assu yÆnÃæ  Pnc_1.50c
ÓÃkhÃgralagnÃsu mahÃtarÆïÃæ  Pnc_14.37a
ÓÃtahradaæ jyotir ivÃmbuvÃha÷  Pnc_17.35d
ÓÃpÃntam e«a vihitÃnunayo mahar«i÷  Pnc_18.44d
ÓÃpÃnte bata vismari«yasi bhrÃtas tad ekaæ kim  Pnc_10.70c
ÓÃpÃn nirmocitas tvayÃ  Pnc_16.12b
ÓÃradÃmbudharaÓriyam  Pnc_2.14d
ÓÃradair ghaÂitam ambudair iva  Pnc_8.61d
Óikhaï¬aketo÷ ÓaÓikhaï¬a ity ahaæ  Pnc_13.32a
Óikhaï¬aratnadyuticumbitÃni  Pnc_14.40b
Óikhaï¬aratnaæ daÓakaïÂhaÓÃsana÷  Pnc_13.21d
ÓikharÃsannanak«atro  Pnc_11.52a
ÓikhÃ ivordhvaæ taruïÃrkalohitÃ  Pnc_13.43c
Óikhimuktamantrahavi«Ã vihanyate  Pnc_10.22c
ÓitadhÅ÷ ÓaiÓavas eva yÃ kalÃsu  Pnc_5.25d
ÓithilÃkulakeÓapÃÓayÃ  Pnc_12.73a
ÓithilÅk­tajÅvÃÓÃ  Pnc_11.82a
Óithileva hemaraÓanÃ vididyute  Pnc_15.14d
ÓiprÃtaÂodyÃnalatÃg­hÃïi  Pnc_1.50d
ÓiprÃrpitena sahasÃ purata÷ prabhÃva-  Pnc_18.56c
ÓiprÃsarit kÆlatamÃlanÅlÃ  Pnc_1.44c
Óirasi nipatato nikÃmam u«ïÃn  Pnc_3.12c
ÓirastÃmarasena te  Pnc_16.118b
Óira÷ punantu te kÃmaæ  Pnc_16.116c
ÓirÅ«am­dvaÇgi tu«ÃrapÃï¬unÃ  Pnc_7.51c
ÓirÅ«Ãd api m­dvaÇgÅ  Pnc_16.28a
ÓilÃtalam amÃæsta sÃ  Pnc_6.31d
ÓilÃtalÃt saæbhramamÅlitasm­tis  Pnc_7.71c
ÓilÃtale tÃmarasaæ trapÃvatÅ  Pnc_7.40d
ÓilÃtale nÃtividÆravartini  Pnc_4.47b
ÓilÃbhedak«amenÃpi  Pnc_2.40a
ÓilÃsu ÓuktÅr jalamÃnu«År iva  Pnc_13.41d
ÓilÃ÷ sÃlaktakai÷ padai÷  Pnc_11.62d
ÓilÅmukhe 'smiæs tava nÃmalÃ¤chite  Pnc_7.62a
ÓÅtadÅdhitipataÇgamaï¬ale  Pnc_8.69d
ÓÅtayÃ saÇgamÃÓayÃ  Pnc_16.25d
ÓÅtÃæÓur anyatra yaÓobhaÂaÓ ca  Pnc_17.44d
ÓÅrïÃÇgado bhaÇgurakarïapÆra÷  Pnc_15.72b
ÓukatÃ mameyam animÅlitasm­ti÷  Pnc_10.46d
ÓukarÆparÆpaparivartanotsava÷  Pnc_10.48d
ÓukarÆpaviparyaya÷  Pnc_16.17d
Óuka÷ sÃrikayÃ samam  Pnc_11.21d
ÓuktimuktÃphalaæ n­pa÷  Pnc_11.85d
Óuktir muktÃphalair iva  Pnc_11.95d
ÓucitarabÃlam­ïÃlasÆtradÅrghai÷  Pnc_3.54b
Óucibhir daÓanÃæÓubhi÷  Pnc_16.84b
ÓuddhÃnÃm asurÃdhipa  Pnc_16.85b
Óuddhaikaguïasaæp­ktÃm  Pnc_11.34a
ÓunÃsÅraÓarÃsanam  Pnc_16.2b
ÓubhasampadaÇkam aparÃÇmukhe vidhau  Pnc_10.2b
ÓulkasaæsthÃ k­tÃ kila  Pnc_16.88b
ÓuÓubhe kayÃpi karayantra-  Pnc_15.17a
ÓÆnyÃtmadarÓavidhurendumukhÅ babhÆva  Pnc_18.8d
Ó­Çgaæ meror ivÃryamÃ  Pnc_16.77d
Ó­ÇgÃradugdhajaladher adhidevateva  Pnc_18.36d
Ó­ÇgÃrarasabandhunÃ  Pnc_6.50b
Ó­Çgeïa hi m­gÅæ niÓi  Pnc_11.57d
Ó­Çge tadÃ ca bhagavÃn aravindabandhur  Pnc_18.57c
Ó­ïu ÓaÇkhacÆ¬aÓucivaæÓabhÆr ahaæ  Pnc_10.46a
Ó­ïvan sa vindhyataÂad­«Âacara÷ kuraÇga÷  Pnc_18.32b
Óerate vadanendava÷  Pnc_16.114d
Óe«Ã ca svastimaty astu  Pnc_2.57c
Óe«o dh­ter bhuvo 'nyatra  Pnc_16.82c
ÓailÃ÷ suvelakailÃsa-  Pnc_11.63c
ÓobhitÃ kim api hÃralekhayÃ  Pnc_8.70a
ÓauryapÃvakaÓikhÃÇkurair iva  Pnc_8.49b
Óauryasa¤cÃravÅthi«u  Pnc_2.28b
ÓyÃmajÅmÆtasannaddha÷  Pnc_2.4c
ÓyÃmam Ãdityamaï¬alam  Pnc_11.53b
ÓyÃmalaæ meghamaï¬alam  Pnc_2.5d
ÓyÃmÃsu yasyÃæ pramadÃ÷ kathaæ cit  Pnc_1.55c
ÓyÃmÃsu yasyÃæ labhate tadaccha=  Pnc_1.42c
ÓyÃmÅbhavat kanakatÃmarasÃvataæsÃm  Pnc_18.47b
Óramaja¬atÃmalam Ãtmano vyanakti  Pnc_3.31d
Óramaja¬apak«atirÃvayor vanÃnte  Pnc_3.25 ab
Óramaja¬avÃravilÃsinÅkarÃgrÃt  Pnc_3.16b
Óramata÷ kiæ tu n­pas tu tÃm avocat  Pnc_4.61d
Óramam apaharatas tanÆrmivÃtair  Pnc_3.38a
Óramam etya mu¤cata madambu-  Pnc_15.2a
Óramavatyeyam anÅyata triyÃmÃ  Pnc_5.28d
ÓramaviveÓa÷ sa÷ sitacchada÷ prapede  Pnc_3.44d
ÓramÃnurodhÃd upaviÓyatÃm ita÷  Pnc_7.35a
ÓramÃptanidra÷ sphuÂam anvabhÆd iva  Pnc_13.2b
Órameïa kÃmaæ bhavatÅ kadarthitÃ  Pnc_4.49b
Órameïa kiæ cin mukulÅbhavanti  Pnc_14.73c
Óramonmi«atsvedalavÃs taruïya÷  Pnc_1.40b
Óramo 'yam ÃliÇgitum aÇgalekhÃm  Pnc_14.71d
ÓravaïendÅvarareïurÆ«itam  Pnc_12.71b
ÓrÃntÃsi kautukah­tena kadarthitÃsi  Pnc_4.62a
Óriyam adhita ramÃÇgadenÃnvitas tÆryagho«ormibhi÷  Pnc_13.72c
Óriyam Ãtanute sitÃsitaæ  Pnc_12.18c
Óriyam Ãpa sa dhÆrjaÂe÷  Pnc_2.3d
Óriyaæ nÅlÃbjakÃntyÃ ya÷  Pnc_11.96a
Óriyi pratÃpe yaÓasi k«amÃyÃæ  Pnc_1.88a
ÓrÅkaïÂhavaikuïÂhapurandarÃdyair  Pnc_9.59a
ÓrÅbhart­meïÂhapramukhÃ jayanti  Pnc_1.5b
ÓrÅbhir iva samudatÃri tata÷  Pnc_15.33c
ÓrÅmatkavipriyasuh­cchaladaÇkarÃma-  Pnc_gp.1a
ÓrÅmadvÃkapatirÃjo 'bhÆt-  Pnc_11.92a
ÓrÅmÃn asty abudo giri÷  Pnc_11.49b
ÓrÅr ivorasi muradvi«a÷ padaæ  Pnc_8.9c
ÓrÅvikramÃditya iti k«itÅÓa÷  Pnc_1.17d
ÓrÅsÃhasÃÇkojjvalakÅrtigarbhÃ  Pnc_1.15a
ÓrÅsindhurÃjadvipakumbhayugmam  Pnc_17.64b
ÓrÅsindhurÃjan­pateÓ caritaæ babandha  Pnc_gp.1d
ÓrÅsÅyaka iti k«etraæ  Pnc_11.85a
ÓrÅhar«a iva saæghaÂÂaæ cakre  Pnc_2.18c
ÓrÅhar«adevan­pate÷ pratihÃrapÃlas  Pnc_18.43d
ÓrÅhÃÂakeÓvara iti prathitasya tuÇgam  Pnc_18.14c
ÓrÅ÷ paryantavisarpiïÅ  Pnc_2.77d
ÓrÅ÷ suvarïakamalodarÃd iva  Pnc_8.67d
Órutam iva viÓadaæ Óucir viveka÷  Pnc_3.43c
ÓrutayendusÆtisaritÃnyato h­ta÷  Pnc_10.55c
ÓrutaÓaktisaÇkalitamantraniÓcayair  Pnc_10.10a
ÓrutÃ guïÃ¬hyasya b­hatkathÃ tava  Pnc_7.64d
ÓrutÃv aÓokÃÇkurakautukena  Pnc_1.2c
Órutilagnagandhagajab­æhita÷ k«aïaæ  Pnc_10.26c
Órutena buddhi÷ prabhutÃ nayena  Pnc_1.66c
ÓrotrapÅyÆ«agaï¬Æ«a÷  Pnc_11.46c
ÓlathatÃm atha dorlatÃ÷  Pnc_16.53d
ÓlathabandharatnaraÓanÃÓ cakÃÓire  Pnc_15.29d
ÓlathamuktÃvalayena pÃïinÃ  Pnc_12.10d
ÓlÃghanÅyacarito jagattraye  Pnc_8.74c
ÓlÃghyena tena ÓaÓikhaï¬asamÃgamena  Pnc_13.64b
Óli«yantÅ sata¬illekhe  Pnc_16.3c
Óvasitai÷ ÓÆnyavilokanena ca  Pnc_12.3b
ÓvÃpadÃ vindhyabhÆmaya÷  Pnc_2.15d
ÓvÃsataralam ajani«Âa mudÃ  Pnc_15.59c
ÓvetÃs tasyÃgrato yayu÷  Pnc_2.14b
sa atha sÃhasavatÃæ pura÷sara÷  Pnc_8.60b
sa apy asya cakreïa ÓiraÓ cakarta  Pnc_17.38d
sa abhavaj jhaÂiti d­«Âana«ÂayÃ  Pnc_8.18d
sa abhita÷ sphaÂikasÃlam aik«ata  Pnc_8.61b
sa e«a paÇkeruhakarïikÃm­dus  Pnc_7.68c
sakajjalÃ dÅpaÓikheva ÓÃrvarÅ  Pnc_7.9d
sakampayo÷ kaïÂakitÃÇgalekhayo÷  Pnc_7.43b
sakalaÓaÓibimbabandhu«u  Pnc_15.47b
sakuÇkumÃnÅva puno bhavanti  Pnc_1.87c
sakuÓÃÇkÃlpapallavÃ  Pnc_11.17b
sa kevalam alak«yata  Pnc_2.42d
sakhi sÃhÃsika÷ sa ayam  Pnc_6.21a
sakhi snihyati nirvyÃjam  Pnc_6.90c
sakhÅjanam abhÃ«ata  Pnc_6.17b
sakhÅjanam ivÃdharam  Pnc_16.30b
sakhÅjanas tÃm iti narmapeÓala÷  Pnc_7.26c
sakhÅjana÷ sasmitam ity uvÃca tÃm  Pnc_7.79c
sakhÅ tÃm ity avocata  Pnc_6.52b
sakhÅnÃm anurodhena  Pnc_6.110a
sakhÅ nirv­tim eti na÷  Pnc_16.29d
sakhÅbhir abhito v­tÃ  Pnc_6.116d
sakhÅva te Óaæsati kÃryagauravam  Pnc_4.59b
sakhÅ«u caturÃsu sÃ  Pnc_6.16d
sakhÅ«u sÃ sÆtritanarmasÆkti«u  Pnc_7.44b
sakhÅsamak«aæ nibh­tena cak«u«Ã  Pnc_7.66b
sakhÅæ Óanai÷ sasmitam ÃlapantÅ  Pnc_9.17d
sakhyam Ãpad aravindabandhunÃ  Pnc_8.34b
sakhyaæ sÃhasalak«maïÃ  Pnc_16.89b
sakhya÷ ka÷ sindhurÃjo 'yaæ  Pnc_6.18c
sakhyÃ kayÃpi likhitaæ madanÃnalaika-  Pnc_18.35a
sakhyÃ sÃ sÃdhvasÃkulÃ  Pnc_6.41b
sagarÃpatyadattÃbdhi-  Pnc_11.92c
sa gurur amucyata ni÷sahena hÃra÷  Pnc_3.46b
saÇkaÂasvÃmyadu÷sthitÃ÷  Pnc_16.94b
saÇkathÃsv antarÃntarÃ  Pnc_16.15d
saÇkucaty abjinÅpatraæ  Pnc_16.39c
saÇketam utkampikucÃ÷ prayÃnti  Pnc_1.55d
saÇkrÃntakÃntastanakuÇkumeva  Pnc_14.80d
saÇgataæ vÃ bhavÃd­ÓÃm  Pnc_11.44d
saÇgÅtaveÓmani phaïÅÓvaracÃraïÃnÃæ  Pnc_18.10a
saÇghaÂÂitormimukharÃmbaranirjharÃya  Pnc_18.22b
sacandanai÷ kÃ¤canakeliÓailai÷  Pnc_1.51c
sa candranÅlaharmye«u  Pnc_16.69a
sa ca pariïatalodhradhÆliÓuklas  Pnc_3.18a
sa ca vitatamarÅcica¤culekho  Pnc_3.47a
sa ca vindhyavanÃntarÃjim etÃm  Pnc_5.36a
sa ca sapadi ramÃÇgadopanÅtaæ  Pnc_3.53a
sa ca smitadyotitadantam evam  Pnc_9.25c
sacÃmaro 'syÃ÷ kathamanyathÃ kara÷  Pnc_4.23d
sa citralikhito n­pa÷  Pnc_6.36b
sa citravarïavicchitti-  Pnc_2.18a
sacivo malayÃnila÷  Pnc_6.4d
sa jagÃda ramÃÇgadam  Pnc_2.45d
sajaÂÃpallavaæ Óira÷  Pnc_11.97b
sajalÃæÓukÃntiviÓadÃÇga-  Pnc_15.34a
saj­mbham unmÅlayati sma locane  Pnc_13.1b
sa¤carantam itas tata÷  Pnc_2.34b
sa tatk«anÃn manmathajÃtavedasaæ  Pnc_4.3c
