Angirasasmrti
Based on the ed. by A.N. Krishna Aiyangar: âõgirasasmçti,
Madras : Adyar Library 1953 (Adyar Library Series, 84)



Input by Oliver Hellwig



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akalpà pariùadyatra  Ang_2,6.2a
yeyamåóhà dharmahetor  Ang_1.451a
ye ye dharmàþ svena te te  Ang_1.318c
ye vçtàþ prathamadivase  Ang_1.696a
yeùàmeva pità dadyàt  Ang_1.722a
ye samànàstato bhåyo  Ang_1.855c
yai÷ca kai÷ciddçùñamàtrair  Ang_1.1055a
yoktraü vimucya tàü patnãü  Ang_1.80a
yojanaü pàdahãnaü syàc  Ang_2,10.4c
yojane và gavàü rujà  Ang_2,10.3b
yojayitvà tataþ param  Ang_1.346b
yojayediti nirõayaþ  Ang_1.357b
yojayedvà pçthaktu và  Ang_1.394b
yojayennàtra sandehas  Ang_1.1002c
yojayennàniveditam  Ang_1.233d
yo dattaþ pravaraþ smçtaþ  Ang_1.303b
yo nivedayate mohàd  Ang_1.242a
yo bhuïkte kàmakàrataþ  Ang_1.142b
yo hi yàü devatàmicched  Ang_2,12.15a
yauvane pràptasaüpadaþ  Ang_1.1056d
rakùoghnàni pavitràõi  Ang_1.540a
rakùobhiþ parikalpitàþ  Ang_1.832d
rakùohananamàcaret  Ang_1.1099b
rajakàdipurohitam  Ang_1.750d
rajastàsàü sadà pibet  Ang_2,11.4b
rajasvalà tadà tasyai  Ang_1.86a
rajasvalà navaitàþ syur  Ang_1.932a
rajasvalànàthabhuktau  Ang_1.947a
ratimàtraü na càcaret  Ang_1.225d
rambhàbhistulito bhåyaþ  Ang_1.598c
raviü ca prathame pàde  Ang_1.608c
rasavatphalavadyatnàt  Ang_1.247a
rahitaü sumukhaü dvijam  Ang_1.771d
ràkùasànàü vinà÷àya  Ang_1.818c
ràkùoghna÷rutimadhyagam  Ang_1.816d
ràjayogyaü su÷obhanam  Ang_1.243d
ràjavidvadanuj¤ayà  Ang_1.125d
ràja÷rãþ ÷ekharã nalaþ  Ang_1.512b
ràjà ràùñràtpravàsayet  Ang_1.389d
ràj¤àü sarvanidhestathà  Ang_2,9.4d
ràj¤àü sà dviguõà smçtà  Ang_2,5.7b
ràj¤e bandhuni càvedya  Ang_1.388c
ràj¤e bandhuni vàvedya  Ang_1.216c
ràtrayaþ kathitàstasya  Ang_1.19a
ràtrau kuryàtsamantrakam  Ang_1.727b
ràtrau tu vamane jàte  Ang_1.177a
ràtrau vãràsanaü vaset  Ang_2,11.5b
ràtrau saükramaõe bhànor  Ang_1.642c
rà÷i kçtvàbhighàrya ca  Ang_1.243b
ràùñrakùobho 'pi jàyate  Ang_1.367d
rugõe rogaikapãóite  Ang_1.722d
rugõo muõóa÷ca vikalo  Ang_1.464c
rudatyeva na saü÷ayaþ  Ang_1.737d
rudrà÷càpi pitàmahàþ  Ang_1.674b
ruruduþ kila duþkhàrtàs  Ang_1.571c
råpaü saükalpamàcaret  Ang_1.268d
råpe råpe tathàntaram  Ang_2,12.3d
rogayuktaü duùñabuddhiü  Ang_1.743a
rogàdyairapyajãrõataþ  Ang_1.177b
rogiõo 'pyatimàtrasya  Ang_1.292c
rodanaü kçtavànasi  Ang_1.573d
rodanàcchràddhakaraõa-  Ang_1.575c
rodhane bandhane vàpi  Ang_2,10.3a
romasaüsaktavàriõà  Ang_1.780d
rauravaü narakaü vrajet  Ang_1.240b
laghåpàyastu ka÷cana  Ang_1.732b
laghåpàyaþ prakãrtitaþ  Ang_1.730d
laghåpàyo 'yamucyate  Ang_1.729d
'laïghanãyaþ kathaücana  Ang_1.608b
laïghayedyadi tàü måóho  Ang_1.322c
labdhamàtre ca tatphale  Ang_1.550b
labdhvà snàtvàrdravastrataþ  Ang_1.145b
labhate 'tastu sà proktà  Ang_1.453a
labhate nàtra sandeho  Ang_1.873a
labhante prapitàmahàþ  Ang_1.912b
layameùyanti satvaram  Ang_1.100b
lalàñaü prabhavedapi  Ang_1.666b
lavaõaü ca niyojayet  Ang_1.234b
lavaõe và svakaü patim  Ang_1.989d
làïgålacchedanaü tathà  Ang_2,10.8b
làjahomàtparaü sà cet  Ang_1.82c
liïàdiråpà sà j¤eyà  Ang_1.3c
lãlayà sadya eva vai  Ang_1.328d
lokatraye 'pi paramaü  Ang_1.491c
lokadharmànuvarõanam  Ang_2,1.8d
lokeùvadya ca ÷råyatàm  Ang_1.583b
lobhapårvaü tathàcaret  Ang_1.654d
lobhamohàj¤ànacitta-  Ang_1.900c
lobha÷àñhyavivarjitam  Ang_1.188b
lobhànmàtçtvamanyàsu  Ang_1.122a
laukikàgnau prakurvãta  Ang_1.401a
laukikàgnau yathàvidhi  Ang_1.725d
laukikàgnau yathàvidhi  Ang_1.951b
laukikànàma÷eùataþ  Ang_1.13d
laukikeùu tathà ' 'caret  Ang_1.7b
vaktavyau tatra cetpunaþ  Ang_1.270d
vaktràõàmiva ÷odhane  Ang_2,6.5d
'vagàhanajapàdikaiþ  Ang_1.915b
vacanànàü samatvena  Ang_1.395a
vacanàni mahàtmanàm  Ang_2,1.9b
vacmi tànakhilàn dharmàn  Ang_1.2c
vajraghno vajrapa¤jaraþ  Ang_1.515b
vajraparõã karãùakã  Ang_1.509d
va¤cayitvàticaryayà  Ang_1.215b
vañabhåruha eva ca  Ang_1.537d
vatã dhenumatãti ca  Ang_1.839b
vatsaràbde sapiõóane  Ang_1.879b
vadannityanvahan yatan  Ang_1.197d
vadetpàpã mahàkråras  Ang_1.366a
vadhåryadi rajasvalà  Ang_1.77b
vanità tena sà smçtà  Ang_1.454b
vandane kàmyavandane  Ang_1.345b
vamanaü pretaparpañam  Ang_1.905d
vamanaü madhu cocyate  Ang_1.943b
vamanàcchràddhavighne tu  Ang_1.964c
vamane 'pyavagàhaþ syàn  Ang_1.173c
vamane yadi dar÷ake  Ang_1.967b
vayasàpyadhikàstaràm  Ang_1.457d
vayaü na vidmaþ ko và sa  Ang_1.493a
vayo 'dhiko dattasuto  Ang_1.418a
varaõãyà vidhànataþ  Ang_1.699b
varaõã vàruõã rasà  Ang_1.931b
varaü syàdgulphayoradhaþ  Ang_1.780b
variùñhamagnihotrebhtho  Ang_2,12.13c
vargo 'yaü tatkalatrataþ  Ang_1.665b
varjayitvà dvijaü pa÷càd  Ang_1.762a
varjayedabdamàtraü tu  Ang_1.763c
vartante bhåtale tasmàd  Ang_1.349a
vartamàne tulàmeùe  Ang_1.646c
vartulaü tattriyàmagam  Ang_1.281b
vardhayantyapi tàritàþ  Ang_1.1019b
varùatoyà saradrasà  Ang_1.932d
varùante toyadà mahat  Ang_1.1111b
varùamàtreõa ÷udhyati  Ang_1.204b
varùayitvàtikçcchrakaiþ  Ang_1.1065b
varùàjalà÷ca khanana-  Ang_1.936a
varùàrdhaü sakalo vidhiþ  Ang_2,10.21b
varùaiþ ÷udhyanti te tribhiþ  Ang_2,12.8d
varùmaitatkathitaü budhaiþ  Ang_1.315b
valmãkajo bàlaràjo  Ang_1.515c
vallabhaþ paramo bhava  Ang_1.595d
vallabhaþ paramo mahàn  Ang_1.568b
vallabhànãti vai jaguþ  Ang_1.483b
va÷yàkarùaõavidveùa-  Ang_1.293c
vasantamàdhavasya tvaü  Ang_1.596a
vasan bhaktyà rasàmañet  Ang_1.210b
vasava÷càpi rudrà÷càpy  Ang_1.32a
vasavaþ pitaro 'tra syå  Ang_1.674a
vasedevànvahaü taràm  Ang_1.197b
vastu ki¤cidapi svayam  Ang_1.1096d
vastuto 'tra punarvacmi  Ang_1.1039a
vastuno melanaü putra-  Ang_1.385c
vastu syàtpariveùitam  Ang_1.814d
vastrakàrpàsakàdikàn  Ang_1.1013d
vastradvayaü pradàyàsyai  Ang_1.83c
vastràbhyàü saüparãtyataþ  Ang_1.78b
vasvàdikamayàüstathà  Ang_1.1105b
vasvàdibhiþ pitçbhistu  Ang_1.1102c
vahatsalilasaüyutà  Ang_1.941d
vàguktà tàü tataþ kàle  Ang_1.368c
vàïmàtradattaputrastu  Ang_1.135c
vàïmàtreõàpi nàrcayet  Ang_1.626d
vàïmàtreõaiva putratà  Ang_1.359d
vàcanãyaü prayatnataþ  Ang_1.817d
vàcayiùye svadhàü tathà  Ang_1.888d
vàcà saükalpamàcaret  Ang_1.773d
vàcyatàmiti taistataþ  Ang_1.889b
vàjevàjeti vai vadet  Ang_1.894b
vànyeùàü ca kevalam  Ang_1.696b
vàmadevàdayo vipràþ  Ang_1.537a
vàyuråpaü samà÷ritàþ  Ang_1.865b
vàyuråpaü samà÷ritàþ  Ang_1.866d
vàrakaü ÷ràddhamekakam  Ang_1.29d
vàraü vai yà vivàhità  Ang_1.212d
vàritaü na bhaviùyati  Ang_1.28b
vàrukaþ karmajaþ ÷àriþ  Ang_1.509a
vàrdhakeõa ca rogataþ  Ang_1.60d
vàvàteti ca phaõyate  Ang_1.454d
vàsa÷chitvà vidhànataþ  Ang_1.857b
vàsinaþ saütatàghinaþ  Ang_1.49d
vàsobhiþ påjayetpiõóàn  Ang_1.861c
vàhanirmocane tathà  Ang_2,10.12b
vikalaikavivarjitam  Ang_1.904b
vikalo yadi tatkaraþ  Ang_1.835b
vikalpastulya eva hi  Ang_1.395b
vikàro 'tyantakutsitaþ  Ang_1.1082d
vikiraü naiva kurvãta  Ang_1.1077a
vikùepaõamukhàditaþ  Ang_1.600d
vigrahodvartanaü dvijaþ  Ang_1.263b
vij¤àtaü svapatiü satã  Ang_1.225b
vij¤àtà cettu tàü samyak  Ang_1.213c
vij¤eyà vimalàmiti  Ang_1.456b
vij¤eyàstà rajasvalàþ  Ang_1.933d
vij¤eyàþ kila kiü bhinna-  Ang_1.410c
vitastà ca tathà punaþ  Ang_1.919d
vitãyà bhoginã smçtà  Ang_1.448d
viduùaþ paramottamà  Ang_1.1044d
vidyate yatra kutracit  Ang_1.616d
vidyamànàgnirapyalam  Ang_1.1021b
vidyamàne mçte tu và  Ang_1.469d
vidyaü buruóakçtyakam  Ang_1.758b
vidyàdatvena taddàtur  Ang_1.131c
vidyàpustakabhåùaõam  Ang_1.1025b
vidyàrthã gurupoùakaþ  Ang_2,9.9b
vidvatstutyo ràjamànyo  Ang_1.599a
vidhànaü kathitaü samyag  Ang_1.963c
vidhighnaþ ÷ràddhahantà syàt  Ang_1.605c
vidhinà syàtpayovratam  Ang_1.81d
vidhinaiva prakurvãta  Ang_1.716a
vidhinaiva samàcaret  Ang_1.81b
vidhiprayatnaracità  Ang_1.915a
vidhirna bràhmaõàdårdhvaü  Ang_2,12.11c
vidhivij¤ànavarjitam  Ang_2,1.10b
vidhiþ khyàto na sandeho  Ang_1.650a
vinà prave÷aü yadi te  Ang_1.353a
vinà sarvatra kevalam  Ang_1.1109b
vipatkàlasamudbhavàþ  Ang_1.1054b
viprabudhyaikapàlitaiþ  Ang_1.1055b
viprabudhyaiva taistaràm  Ang_1.1049b
viprabhukteranantaram  Ang_1.1087b
vipravàntàvagninà÷e  Ang_1.946a
viprasya vamanaü yadi  Ang_1.949d
viprahaste jalaü datvà  Ang_1.822c
vipràõàü bhuktimàtraü syàd  Ang_1.74c
vipràõàü bhåribhojanam  Ang_1.1084b
vipràõàü bhojanàtpa÷càt  Ang_1.850c
vipràõàü bhojanàtpårvaü  Ang_1.1072a
vipràõàü vedinàü nityaü  Ang_1.734c
viprànuj¤àü yatirapi  Ang_1.145a
vipràbhyanuj¤ayà kuryàt  Ang_1.144a
vipràlaükaraõe jàte  Ang_1.1093c
vipràþ pçcchanti yatkàryam  Ang_2,2.9c
viprebhyaþ pariveùayet  Ang_1.821b
vibhàge bhràtarastulyàs  Ang_1.412a
vimç÷antaþ parasparam  Ang_2,3.6d
virodhàbhàvataþ pare  Ang_1.8b
vilambo bàdhakàya vai  Ang_1.844b
vivahenmohato j¤àte  Ang_1.206a
vivaheran mahànarthaþ  Ang_1.355a
vivàdo nàtra ko 'pyasti  Ang_1.1000a
vivàhadattamathavà  Ang_1.327a
vivàhadattasaüj¤aþ syàt  Ang_1.331c
vivàhadatto dvàtriü÷ad-  Ang_1.328a
vivàhitàü ca vidhavàü  Ang_1.210c
vi÷aþ pa¤càdhikaü tathà  Ang_2,9.2b
vi÷eùa iti vai jaguþ  Ang_1.643b
vi÷eùaþ ko 'pi bhåya÷ca  Ang_1.292a
vi÷eùeõàdhunà proktàþ  Ang_1.937a
vi÷eùe tu phalaü tathà  Ang_1.692d
vi÷eùeùu kathaücana  Ang_1.575b
vi÷eùeùu dineùvapi  Ang_1.162b
vi÷varåpaü namaskçtya  Ang_2,1.1a
vi÷vastà dårabhartçkà  Ang_1.383b
vi÷vàkaraþ pippalaghnaþ  Ang_1.517c
vi÷vàn devàn pitþnvàpi  Ang_1.790a
vi÷vàmitra÷ukàdayaþ  Ang_1.490d
vi÷vàmitrà bçhadvarà  Ang_1.926d
vi÷vedevaprasàdaü ca  Ang_1.886c
vi÷vedevàsa ityekàü  Ang_1.798c
vi÷vedeveti vai paràm  Ang_1.798d
vi÷veùàmatra devànàü  Ang_1.775c
viùuvaü såryasaükrame  Ang_1.641d
viùñaraü pratipàdayet  Ang_1.790d
viùñare vikire tathà  Ang_1.782b
viùõunà và samanvitam  Ang_1.703d
viùõoraràñamantre và  Ang_1.836c
viùõvà và vamane yadi  Ang_1.965d
'vihita÷ca vidhànataþ  Ang_1.847b
vihitastu samàsena  Ang_1.462a
vihitasya parityàgàd  Ang_1.301a
vihitaü dharmakartçbhiþ  Ang_2,1.3b
vihitaü yattadàcaret  Ang_1.850b
vihitaü yàvadeva vai  Ang_1.848b
vihitenaiva putratvaü  Ang_1.125a
vihihataü yadakàmànàü  Ang_2,10.18a
vãraü dhatteti tatprà÷yà-  Ang_1.856a
vçkùeùu kàü÷cidyatnena  Ang_1.1015c
vçõuyàdaticaryayà  Ang_1.759d
vçttidatta iti khyàtas  Ang_1.329c
vçttidattaü kalpayedvà  Ang_1.326c
vçttidattaþ kulànyaùñau  Ang_1.327c
vçtte karmaõi bhåya÷ca  Ang_1.25a
vçtte 'tha nipatecchavam  Ang_1.25d
vçddhi÷ràddhaü gayà÷ràddhaü  Ang_1.682a
vçùotsarjanameva ca  Ang_1.476d
vçùotsarjanameva ca  Ang_1.489d
vedakarmatyàgapårva-  Ang_1.751c
vedaghoùaü prayatnataþ  Ang_1.831d
vedaghoùaþ pra÷asyate  Ang_1.818d
vedamàtrànuktitastu  Ang_1.801a
vedavikrayiõaü nityaü  Ang_1.747a
vedavidbhyo nivedayet  Ang_2,11.10d
vedavidyàvratasnàtaþ  Ang_2,5.5a
vedavedàgnihotriõaþ  Ang_2,4.3b
vedaü taü tàdç÷aü ÷ivam  Ang_1.164b
vedàkùaroccàraõataþ  Ang_1.157a
vedàdhyàyã tu yo vipraþ  Ang_1.736a
vedàbhyàsena jãryate  Ang_1.735b
vedinàmabhyanuj¤ayà  Ang_1.153d
vedoktaireva tairmantrair  Ang_1.5c
vedoccàraõasàmarthya-  Ang_1.835a
ve÷yà tasyà vi÷iùyate  Ang_1.218d
vaiguõyaü tatpra÷àmyati  Ang_1.944d
vaidikaü karma nàcaret  Ang_1.45b
vaidikaü karma nà÷uciþ  Ang_1.44b
vaidikaü tu mahatkarma  Ang_1.43c
vaidikaü prabhavettataþ  Ang_1.43d
vaidikaü laukikaü ÷ubham  Ang_1.321d
vaidikàn muktaye paràn  Ang_1.2d
vai÷yàttu sarvadhànyàni  Ang_2,8.10c
vai÷yànàü càpyayàjakaþ  Ang_2,5.9b
vai÷yànàü caiva yo praùñà  Ang_2,5.8c
vai÷yànàü triguõà caiva  Ang_2,5.7c
vaiùõavàni vi÷eùataþ  Ang_1.539d
voóhà càpi tadà punaþ  Ang_1.198d
vya¤janàni phalàni ca  Ang_1.813d
vyatyàse tasya karma tat  Ang_1.271b
vyatyàse tu puna÷caret  Ang_1.272d
vyatyàsenàpyanehasaþ  Ang_1.130b
vyarthaü ÷ràddhaü bhavetkila  Ang_1.827d
vyavasthà sarvakarmasu  Ang_1.642d
vyavasthà hyatra cocyate  Ang_1.963d
vyahamevaü samàcaret  Ang_2,9.6b
vyàdhitasya daridrasya  Ang_2,9.10a
vyàdhitairvà vi÷eùataþ  Ang_1.633b
vyàhçtãnàü japo 'thavà  Ang_1.155b
vyàhçtyà caiva gàyatryà  Ang_1.88c
vrajantãùvapyanuvrajet  Ang_2,11.4d
vraõabhaïge ca kartavyaþ  Ang_2,10.9a
vratakçcchràmçtàndhasàm  Ang_1.499d
vrataü và yena tuùyati  Ang_2,5.14b
vratàde÷anamarhati  Ang_2,2.1d
vrativaddhàrayedaõóaü  Ang_2,11.3c
vrateùu nikhileùvapi  Ang_1.258b
÷aktàste tàraõe teùàm  Ang_2,6.16c
÷akto yaþ pitçkarmaõi  Ang_1.1083d
÷aktyà kuryuranugraham  Ang_2,1.7d
÷akyate kila durbalaiþ  Ang_1.632d
÷akyate prakçte kila  Ang_1.819b
÷akyamanyatprabhàùitum  Ang_2,1.9d
÷akyaü varùasahasreõa  Ang_1.502c
÷akyaü và tanna laïghayet  Ang_1.370d
÷atakumbhairamantritaiþ  Ang_1.84d
÷atakumbhairvidhànataþ  Ang_1.77d
÷ataj¤àtigatagràma-  Ang_1.49c
÷atavallã mahàvallã  Ang_1.521a
÷ata÷o bhåya eva và  Ang_2,4.7d
÷atrucchinna÷ikhaþ sadyo  Ang_1.56c
÷adràddhànyaü na kiücana  Ang_2,8.10d
÷anaiþ ÷anai÷ca kàlena  Ang_1.335a
÷apatyenaü pradàtàraü  Ang_1.738a
÷apathànantaraü kàlàn  Ang_1.389a
÷apanti kila kopataþ  Ang_1.552b
÷aptaþ ÷apitvà vyàjena  Ang_1.260c
÷abdànajanayanneva  Ang_1.249a
÷abde chandasi kalpe ca  Ang_2,5.4a
÷ambaraü satilàkùatam  Ang_1.888b
÷ambhunà lokanàthena  Ang_1.589a
÷aracchrãko maïgalako  Ang_1.514a
÷araõaü yatra kutràpi hy  Ang_1.463c
÷aratkàlyastathà punaþ  Ang_1.596d
÷armakçccharmamatsarã  Ang_1.527b
÷armakçnnetrarogaghno  Ang_1.516c
÷armiùñhà ÷ayanà svàpà  Ang_1.925c
÷alàñunà chàyayà và  Ang_1.553c
÷alàñuphalabhedataþ  Ang_1.506d
÷alàñuphalamukhyakaiþ  Ang_1.549b
÷alàñuphalasaüvçtaþ  Ang_1.586d
÷alàñuü pànasaü patraü  Ang_1.551a
÷alàñånàü da÷àsu ca  Ang_1.594d
÷alàñorapi vai muhuþ  Ang_1.507b
÷alàñostasya pçùñhataþ  Ang_1.496b
÷avaü vãthyàü nipatitaü  Ang_1.27a
÷àkapàtratçõasthalam  Ang_1.1024d
÷àkabhakùyaphalopetaü  Ang_1.244a
÷àka÷ràddhamathàpi ca  Ang_1.476b
÷àkuñadvayamagrimà  Ang_1.510d
÷àke ÷ràddhaü yatkriyate  Ang_1.481c
÷àkairmålaiþ phalaiþ patraiþ  Ang_1.175a
÷àtakumbhaþ sthiràkaraþ  Ang_1.524b
÷àtadru÷ca ÷atadru÷ca  Ang_1.931a
÷ànto dànto mahàmanàþ  Ang_1.591d
÷àpaü ghoraü dadàtyeva  Ang_1.96c
÷àvàdvàrùàvagàhataþ  Ang_1.267b
÷à÷vato bhava ÷à÷vataþ  Ang_1.595b
÷àsito vihito 'naghaþ  Ang_1.602d
÷àstà dharmeõa yujyate  Ang_2,6.8b
÷àstà ràjà duràtmanàm  Ang_2,6.7b
÷àstà vaivasvato yamaþ  Ang_2,6.7d
÷àstà samucyate pàpàd  Ang_2,6.8c
÷àstrataþ putrasaügraham  Ang_1.358d
÷àstradçùñyà samàlocya  Ang_1.1058c
÷àstramàtrakçta÷ramam  Ang_1.751d
÷àstrasiddhàni netarat  Ang_1.351b
÷àstràrthadharmatattvaj¤as  Ang_1.566a
÷àstre 'mutra paratra ca  Ang_1.313b
÷ikùàyàü caiva ni÷cayaþ  Ang_2,5.4b
÷ikhà kàryà prayatnena  Ang_1.62a
÷ikhàcchedo pa¤cavàraü  Ang_1.65c
÷ikhàyà rogato nà÷e  Ang_1.58c
÷ikhàrohaõataþ pa÷càn  Ang_1.59c
÷ikhà såtra ca tadyugmaü  Ang_1.64c
÷ikhàhãna÷ca tàdç÷aþ  Ang_1.56b
÷ikhàü såtraü ca bibhçyàt  Ang_1.65b
÷ibirvà nahuùo nalaþ  Ang_1.493d
÷irovratai÷ca snàtànàm  Ang_2,4.5e
÷ilàpratiùñhàpanàdi-  Ang_1.994a
÷ivanirmàlyataþ ÷ràddha-  Ang_1.944c
÷ivanirmàlyayogataþ  Ang_1.945b
÷ivàïgapatità tu sà  Ang_1.909d
÷i÷iraþ ÷ãtalaþ ÷ivaþ  Ang_1.597b
÷iùñabràhmaõabhojanam  Ang_1.1094b
÷iùñaü sarvaü pårvameva  Ang_1.1010a
÷iùyeõànyena bandhunà  Ang_1.470d
÷ãghraü pravàsayedde÷àt  Ang_1.376a
÷ukravàre ca santatam  Ang_1.765d
÷uddhakacchebhya eva ca  Ang_1.742b
÷uddhasatvaü dåragarvaü  Ang_1.590a
÷uddhaþ pårvàghato bhavet  Ang_1.183b
÷uddhaþ sanneva kurvãta  Ang_1.44a
÷uddhaþ saüskàrataþ punaþ  Ang_1.179b
÷uddhàcchuddhaþ svato vedas  Ang_1.162c
÷uddhikàmà÷ca mànavàþ  Ang_2,3.4b
÷uddhistatràsya durlabhà  Ang_2,6.2d
÷uddhiü yàyàddvijaþ sadà  Ang_2,2.6d
÷uddho bhavati kevalam  Ang_1.223b
÷uddho bhavati tatra cet  Ang_1.202d
÷unà daùñastathà dvijaþ  Ang_2,9.14b
÷unà ÷ådreõa và tathà  Ang_1.961b
÷uno måtrasamaü toyaü  Ang_1.783c
÷undhantàü pitaraþ prokùya  Ang_1.852a
÷ubhràü÷ucaõóàü÷uloka-  Ang_1.299c
÷u÷råùitvà namaskçtvà  Ang_2,11.5a
÷uùkàn ÷alàñukàn kàü÷cid  Ang_1.1015a
÷ådratvaü ca sa gacchati  Ang_2,8.2d
÷ådrapratigrahaparaü  Ang_1.745c
÷ådravçttiü durà÷ayam  Ang_1.755d
÷ådrave÷mani vipràõàü  Ang_2,8.14c
÷ådrasyànnaü nirantaram  Ang_2,8.8b
÷ådrasyeva ÷rutiryathà  Ang_1.232b
÷ådrasyaiva tu bhuktvànnaü  Ang_2,9.2c
÷ådraþ kàlena ÷udhyeta  Ang_2,5.11a
÷ådràdapyaïgiro 'bravãt  Ang_2,8.12d
÷ådrànnamupasevate  Ang_2,8.5b
÷ådrànnarasapuùñasya  Ang_2,8.7a
÷ådrànnasadç÷aü hi tat  Ang_2,8.15b
÷ådrànnasya parigrahe  Ang_2,8.4b
÷ådrànnànmriyate dvijaþ  Ang_2,8.9b
÷ådràma÷ràddhagaü samyak  Ang_1.762c
÷ådrebhyaþ pràkçtàdapi  Ang_2,8.14b
÷ådre vedaphalaü yàti  Ang_2,8.2c
÷ådraikayàjakaü ÷ådra-  Ang_1.745a
÷çõu tasyàpi yo vidhiþ  Ang_2,10.17d
÷çõudhvamiti càphaõat  Ang_1.2b
÷çõuyànnàtra kevalam  Ang_1.833d
÷çõuùva bho idaü vipra  Ang_2,3.10a
÷çõvataþ ÷rotrayugmakam  Ang_1.740d
÷eùamannaü tu nà÷nãyàt  Ang_1.954c
÷eùaü karma samàcaret  Ang_1.85b
÷aityakarmà ÷atàkaraþ  Ang_1.520b
÷ràddhakartà bhavedayam  Ang_1.111b
÷ràddhakartustu sarvatra  Ang_1.652c
÷ràddhakarmaõi coditàþ  Ang_1.527d
÷ràddhakàleùu bhaktitaþ  Ang_1.866b
÷ràddhato 'khilapaitçkàþ  Ang_1.730b
÷ràddhatyàgàt pratyavàyo  Ang_1.1071a
÷ràddhadravyavi÷eùàþ syuþ  Ang_1.540c
÷ràddhadvayaü syàtpçthagekakàle  Ang_1.988d
÷ràddhanàmakakarmaõaþ  Ang_1.115d
÷ràddhapaïktau tu bhu¤jànàv  Ang_1.960a
÷ràddhapratividhitvataþ  Ang_1.1107b
÷ràddhaprayoga÷ca mayà  Ang_1.733c
÷ràddhamantroktimàtrataþ  Ang_1.846b
÷ràddhamantro ya ãritaþ  Ang_1.844d
÷ràddhamannena cetpunaþ  Ang_1.649b
÷ràddhamàtrasya saütatam  Ang_1.21d
÷ràddhamukteþ paraü teùàü  Ang_1.884a
÷ràddhamukteþ paraü teùàü  Ang_1.1073a
÷ràddhamaupàsane bhavet  Ang_1.724b
÷ràddhavighne samutpanne  Ang_1.66c
÷ràddhavighno yadà bhavet  Ang_1.962b
÷ràddha÷eùaü na ÷ådrebhyo  Ang_1.874a
÷ràddha÷eùaü samàpayet  Ang_1.953d
÷ràddha÷eùaü samàpayet  Ang_1.956d
÷ràddha÷eùaü samàpayet  Ang_1.972b
÷ràddhasaüpårõatà j¤eyà  Ang_1.965a
÷ràddhasaüpårõatà smçtà  Ang_1.966d
÷ràddhasmçtiü prakurvanvai  Ang_1.1012a
÷ràddhasya karaõaü proktaü  Ang_1.675c
÷ràddhasya karaõaü proktaü  Ang_1.1043c
÷ràddhasya karaõaü smçtam  Ang_1.972d
÷ràddhasyàtha tathà tadà  Ang_1.52d
÷ràddhaü kàryamiti sthitiþ  Ang_1.51b
÷ràddhaü kuryàdvidhànataþ  Ang_1.728b
÷ràddhaü kçtvà tu yo måóho  Ang_1.1085a
÷ràddhaü kçtvàpi tatparam  Ang_1.1105d
÷ràddhaü càpi puna÷caret  Ang_1.273b
÷ràddhaü caikadine kuryur  Ang_1.990c
÷ràddhaü caikadine bhavet  Ang_1.984d
÷ràddhaü tatraiva kurvãta  Ang_1.53a
÷ràddhaü mahàlayàkhyakam  Ang_1.715d
÷ràddhaü vai kriyate tadvà  Ang_1.618a
÷ràddhaü sarvaü prakurvate  Ang_1.786d
÷ràddhaü saüpårõameva hi  Ang_1.962d
÷ràddhaü syàllaukikànale  Ang_1.724d
÷ràddhàkaraõamãkùya vai  Ang_1.714d
÷ràddhàkhyaü karma taccaret  Ang_1.267d
÷ràddhàïgatilatarpaõam  Ang_1.1073d
÷ràddhàdhikàrasidhyarthaü  Ang_1.111c
÷ràddhàdhikàrã piõóasya  Ang_1.110a
÷ràddhànàü prakçtitvena  Ang_1.616a
÷ràddhàni kànicidbhåyo  Ang_1.681a
÷ràddhàni vihitàni vai  Ang_1.613d
÷ràddhàni syuþ kçtàni vai  Ang_1.620b
