YAMASMRTI: CUMULATIVE PADA INDEX OF FOUR VERSIONS (78 / 99 / 182 verses, and South Indian recension)


Input and proof-reading by Juergen Neuss, Freie Universit„t Berlin.





STRUCTURE OF REFERENCES:
YS78v_nn = Yamasmçti, 78-verse version_verse
YS99v_nn = Yamasmçti, 99-verse version_verse
YS182v_n.nn = Yamasmçti, 182-verse version_adhyàya.verse
YSS_nn = Yamasmçti, South Indian recension

[For details of the e-texts see the separate files of the respective version.]



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________




akartà nityayaj¤ànàü  YSS_2.9a
rahas saükamya và sakçt  YSS_1.32Ab
ràkùasair vipralupyati  YS182v_3.32d
ràjadaõóo na tasyàsti  YSS_1.21c
ràjadaõóo na tasyàsti  YS182v_3.2c
ràjadaõóo na tasyàsti  YS78v_16c
ràjapratigrahàt sarvaü  YS182v_4.58a
ràjasaü bràhmaõàdhamaü  YSS_2.26b
ràjà daõóena pãóayet  YS99v_59d
ràjà ràùñràt pravàsayet  YSS_2.7d
ràjà ràùñràt pravàsayet  YSS_2.24d
ràjà ràùñreùu kaõñakàn  YSS_2.19b
ràjà và ràja putro và  YS99v_56a
ràjà sàhasikaü ràùñràc  YSS_2.22c
ràj¤a ity eva kalpayet  YSS_2.36d
ràj¤aþ pratigrahàc caiva  YS182v_4.59c
ràj¤aþ svàrtthaü pracakùate  YSS_2.12d
ràj¤àü pratigrahas tyàjyo  YS182v_4.59a
ràj¤àü pravrajitàü dhàtrãü  YS99v_36a
ràj¤àü sukçtanàmabhiþ  YS182v_4.61b
ràj¤ãm àcàrya÷iùyàü và  YS182v_3.5a
ràtràv ahani và dvijaþ  YSS_1.4Ab
ràtribhir màsatulyàbhir  YS99v_77a
ràtrau nakùatradar÷anàt  YS182v_3.70b
ràtrau nakùatramàrutaiþ  YSS_1.3b
ràtrau nakùatramàrutaiþ  YS99v_96b
ràtrau nakùatrara÷mibhiþ  YS78v_64b
retomåtrapurãùàõàü  YS182v_3.62c
reto måtrapurãùàõàü  YS78v_46c
rogã hãnàtiriktàïgaþ  YS182v_3.34c
rogã hãnàtiriktàïgaþ  YS78v_29c
rodhane bandhane caiva  YS182v_4.9a
rodhane bandhane caiva  YS78v_67a
romàõi prathame pàde  YS78v_72a
lalàñe bhagam aïkayet  YSS_2.10d
lavaõa¤ ca tathà mçdà  YSS_2.38b
lavaõaü tailam eva ca  YSS_2.44b
làkùà¤ ca vikrayaü kurvan  YSS_2.44c
làkùàrajakameva ca  YS182v_3.52b
liïgàj jànàti mànavaþ  YSS_2.31b
lehitaü vartitaü caiva  YS182v_3.33c
lokatrayajigãùubhiþ  YS182v_4.59b
lolupà vedavarjitàþ  YS182v_4.55d
vaktavyaü ÷obhanaü haviþ  YS182v_3.28d
vaktavyaü ÷obhanaü haviþ  YS78v_39d
vacanàd bhavate[ti] kùamaþ  YS182v_5.11b
vacasoddàlakasya ca  YS182v_5.20b
vaõik caturguõaü dàpyaü  YSS_2.37c
vatsànàü kaõñhabandhena  YS99v_52a
vatso vatsataro và 'pi  YS182v_4.4c
vane ca patità yà gauþ  YS182v_4.12a
vandhyà tu vçùalã j¤eyà  YS78v_25a
variùñhalaghu vàgçte  YSS_2.36b
varjanãyàþ prayatnataþ  YSS_1.35d
varjanãyàþ prayatnataþ  YS182v_3.37b
varjanãyàþ prayatnataþ  YS78v_b
varjitaü ca yamaþ pràha  YS182v_3.41c
varõata÷ càpi sarva÷aþ  YS182v_5.2d
varõàdãnàü yathà kramam  YS182v_5.1d
varõànàm anupårva÷aþ  YS99v_1b
varõànàm anupårva÷aþ  YS99v_88d
varõànàü hitakàmyayà  YS78v_78b
varõijàtyeùv anukramàt  YS182v_5.3b
varõe varõe vidhãyate  YS78v_56d
varùaü tyàjyà dhanaü vinà  YS99v_18d
varùe varùe tu kurvãta  YS99v_81a
vastrasyàrdham adhaþ kçtam  YS182v_3.31b
vàpã kåpataóàgàni  YS99v_70a
vàristho dakùiõàmukhaþ  YS99v_94b
vikrãtaü ghçtakàkhyayà  YSS_2.37b
vikretà tatsamaü dàpyo  YSS_2.39c
viõmåtre tu kçte dvijaþ  YS99v_10b
vittaü dattaü tathàmàrgàd  YSS_2.28a
vittàpekùaü bhaved iùñaü  YS99v_69a
vidyàt apobhyàü saüyuktaþ  YS182v_4.53c
vidyàvinayasaüpannaþ  YS182v_3.42c
vidhav àgamane pàpaü  YS182v_4.43a
vidhavà caiva yà nàrã  YS182v_4.39a
vidhiü prabråhi no yama  YS182v_4.18b
vinà ÷àkhàprabhedena  YS182v_4.45c
vipule ca jale snàtvà  YS182v_3.57c
viprakùattriyaviñ÷ådrà-  YS182v_5.3a
vipram agniparityaktaü  YSS_2.7a
vipram utpàditàpatyaü  YSS_2.47a
vipras tu vçùalãpateþ  YSS_2.48b
viprasyaiva caturguõam  YS182v_4.14b
viprasyoktaparityaktaü  YSS_2.13a
vipraü tu vçùalãpatiü  YSS_2.67b
vipraü sarvasvam àdàya  YSS_2.10c
vipraþ kùatriyayà spçùñas  YSS_2.71a
vipraþ pa¤cà÷ad àpnuyàt  YSS_2.58b
vipraþ pràpnoti madhyamaü  YSS_2.44d
vipraþ pràpnoti ùoóa÷a  YSS_2.52b
vipraþ ÷ådràvaraþ smçtaþ  YSS_2.62b
vipraþ spçùño ni÷àyà¤ ca  YS78v_63a
vipraþ spçùño ni÷àyàü tå-  YS182v_3.69a
vipràs te nàtra saü÷ayaþ  YS182v_4.54d
vipreõa cànnavarjitam  YS182v_3.45b
vipro 'gnihà pratãkùate  YSS_2.64d
vipro nakulam eva hi  YSS_2.5d
vipro hçtvàkhilaü dhanaü  YSS_2.29d
vibhàgasya vinirõayaþ  YS182v_5.21b
vivàhàt saptame pade  YS99v_78b
vivàhe caiva saüvçtte  YS99v_86a
vivàhotsavayaj¤eùu  YS182v_3.56c
vi÷eùàc cànimittataþ  YSS_2.49d
vi÷o vittaü nayàd ..  YSS_2.65c
viùaprapatanapràya-  YS78v_2c
viùaprapatanapràya-  YS99v_22c
viùaprapatanapràyàþ  YSS_1.7c
viùaprapannagàtrà÷ ca  YS182v_1.3c
viùñàdipårõasaükùiptaü  YSS_2.20a
visçjya tu naro måtraü  YSS_2.15c
visçùñvànuparãkùyaitàn  YSS_2.19a
viü÷atiü gàvçùaü caiva  YS99v_61c
viü÷atiü vratam àdi÷et  YSS_2.32d
vçddhi÷ràddham athàparam  YS99v_82b
vçùaëãpatinà spçùñam  YSS_2.68a
vçùalàyàü ca và¤chakaü  YSS_2.10b
vçùalà÷anasevinaþ  YSS_2.13b
vçùalãgamanaü caiva  YS182v_3.14a
vçùalã tu mçtaprajàþ  YS78v_25b
vçùalãpatim utsçjet  YSS_2.23d
vçùalãphenapãtasya  YS182v_3.15a
vçùalãphenapãtasya  YS78v_28a
vçùalã sà tu vij¤eyà  YS78v_27c
vçùalãsevanaü dvijaþ  YS182v_3.12b
vçùalãsevanàd dvijaþ  YS78v_26b
vçùalãü yas tu gçhõàti  YS182v_3.13a
vçùalyàü yo vahed ataþ  YSS_2.47b
veõujãvanakaivarta-  YS182v_3.52c
vedavidbhyo nivedayet  YSS_2.13d
vedavedàïgapàragaþ  YS182v_5.4b
veda÷àstravi÷àradam  YSS_1.1b
vedàcàrarato vipro  YS182v_5.4a
vedàntavijjyeùñhasàmà  YS182v_3.43a
vedai÷ ca pçùñair çùibhi÷ ca gãtaü  YSS_1.56d
ve÷yàbhigamane pàpaü  YS99v_38a
ve÷yàsu ÷uklasektàraü  YSS_2.11c
vaidikaü ca tathà sarvaü  YS182v_5.15a
vai÷yajà ÷ådrajà tathà  YS78v_60b
vai÷yasya dviguõaü bhavet  YS182v_4.13d
vai÷yàyà gamane ÷ådraþ  YS182v_4.47c
vai÷vadevàdikaü ca yat  YS182v_5.15d
vaiùõavo j¤ànavàn hi saþ  YS182v_3.39b
vyapohanti dvijàtayaþ  YS99v_38b
vyabhicàràd çtau ÷uddhiþ  YS182v_4.36a
vrajan màhiùayoniùu  YSS_2.59d
vratacàrya÷ caran bhikùàm  YSS_2.33a
vratabhaïgaü suràbhàõóaü  YSS_2.23a
vrataü daõóa÷ ca gçhyate  YSS_2.2d
vrataü saüpårõatàü vrajet  YS182v_4.21d
÷akañe dhà[và]ripaïkayoþ  YS182v_4.10b
÷aktyà dadyàc ca dakùiõàm  YS99v_62d
÷aktyà dadyàt tu dakùiõàm  YS182v_1.7d
÷aktyà dadyàt tu dakùiõàm  YS78v_6d
÷akyaü ÷odhayituü pràj¤aiþ  YSS_2.70c
÷aïkàvi÷uddhiþ puruùeõa kàryà  YSS_1.42d
÷atadhà parivartate  YS99v_65d
÷ayanàd utthità nàrã  YS99v_17c
÷arãre brahmaõaþ pità  YS78v_40d
÷arãre yasya jãryati  YS182v_1.10b
÷avake÷àsthidhåpitaü  YSS_2.24b
÷avake÷air vãjyamànaü  YSS_2.25a
÷a÷aü kårma¤ ca godhà¤ ca  YSS_2.43c
÷astraghàtacyutà÷ca ye  YS78v_2d
÷astraghàtahatà÷ ca ye  YSS_1.7d
÷astraghàtahatà÷ ca ye  YS99v_22d
÷astraghàte trikçcchràõi  YS78v_a
÷astraghàtena caiva hi  YS182v_4.3d
÷astrapradàtà viùavahnido 'pi  YSS_1.46a
÷astràghàtahatà÷ ca ye  YS182v_1.3d
÷astre càpy atikçcchrakam  YS99v_49d
÷astrair và nihatà yadi  YS99v_48b
÷àntaþ ÷ucir alampañaþ  YS182v_4.53d
÷àrãraiþ païktidåùanaiþ  YS182v_3.41b
÷àstre ÷àstre nigadyate  YS99v_48d
÷iraso vapanaü smçtam  YS78v_74d
÷iromuõóàpanaü smçtam  YS182v_4.17d
÷iùya÷ caiva tathaurasaþ  YS182v_5.18d
÷ukrakùayakarà vandhyà  YS182v_3.24a
÷uklavàsàs tv alaïkçtà  YS182v_3.57d
÷uklasektari kçùõàyàü  YSS_2.64c
÷uklàyà måtraü gçhõãyàt  YS99v_71a
÷ukle kçùõe ca hràsayet  YS182v_2.6b
÷uciþ syàd a÷uciþ pumàn  YS99v_17d
÷uddhas tad ahar evàsàv  YSS_1.16c
÷uddhyarthaü nànyathà bhàvyam  YS182v_4.32c
÷uddhyarthaü samyag àcaret  YSS_1.23Ad
÷udhyataþ pa¤cagavyena  YS99v_13c
÷udhyate ca payovratàt  YS182v_1.15d
÷udhyanti hi payovratàþ  YSS_1.28d
÷udhyanty antarjale sthitàþ  YSS_1.26d
÷udhyed antarjale sthitaþ  YS99v_32d
÷una÷ càpi tiraskçtya  YSS_2.67c
÷unà ÷ådreõa và dvijaþ  YS182v_3.44b
÷unà ÷ådreõa và dvijaþ  YS78v_41b
÷ådrapreùyakara¤ caiva  YSS_2.7c
÷ådra÷càpyanulomajaþ  YS78v_8b
÷ådraù ùañpadam àpnoti  YSS_2.35c
÷ådraü càpy anulomajam  YS182v_2.4b
÷ådraü vàpy anulomajam  YSS_1.23d
÷ådràgàmã dvijaþ pa÷yet  YSS_2.66c
÷ådrà dànopavàsataþ  YS99v_14d
÷ådrànàü càntyajàtinàm  YS182v_4.34b
÷ådrà pàdena ÷udhyati  YS78v_58d
÷ådràyàü patito bhavet  YSS_2.62d
÷ådràsu ÷uklasektàraü  YSS_2.10a
÷ådràsåtpàditàpatyaü  YSS_2.26a
÷ådràü tu sevamànàd dhi  YSS_2.62a
÷ådrã tu vçùalã j¤eyà  YS78v_25c
÷ådreõa tu yadà dvijaþ  YS182v_3.47d
÷ådro và 'pi yathà kramàt  YS182v_4.42d
÷ånàm api a÷uddhànàm  YSS_2.66a
÷çõudhvaü munipuïgavàþ  YS182v_5.1b
÷oùayitvà pratàpena  YS78v_50c
÷aucaü måtrapurãùavat  YS99v_16d
÷ma÷àne ÷auca÷eùe ca  YS99v_67c
÷yàmàc chabalakàc cyutaþ  YS99v_24b
÷yàvadanto 'tha vaidya÷ ca  YS182v_3.36c
÷yàvadanto 'tha vaidya÷ ca  YS78v_31c
÷ravaõe 'dhikçtàgamàt  YSS_2.77b
÷ràddhakàle yadà jàtà  YS182v_5.7a
÷ràddhaü tu tadgçhe bhuktvà  YSS_2.49a
÷ràddhaü dànaü tapo yaj¤o  YS182v_4.22a
÷ràddhaü pa¤cavidhaü budhaiþ  YS99v_82d
÷ràddhàdikàm tu putreõa  YS182v_5.10a
÷ràddhe yaj¤e ca karmaõi  YS182v_3.40b
÷ràddhe yaj¤e ca garhitaþ  YS182v_4.46d
÷ràddhe spçùñaü vina÷yati  YSS_2.70d
÷ràddhe havanakàle ca  YS99v_99a
÷ruta÷abdena caiva hi  YS182v_3.51b
÷rutaü ca pi([tavànpi])taraü mçtam  YS182v_5.10d
÷rutismçtyuditaü dharmaü  YS99v_1a
÷rotriyo brahmavidyuvà  YS182v_3.42b
÷rotre mukhe và parimastake và  YS182v_3.61c
÷vanadyàm uttare 'pi và  YS182v_4.10d
÷vapadaü tu mukhe 'ïkayet  YSS_2.30d
÷vapadàdi mukhe nyasya  YSS_2.21a
÷vamàtaïgàdivàyasaiþ  YS99v_12b
÷va÷urasya nçpasya ca  YSS_2.34b
÷va÷çgàlaplavaïgàdyair  YS99v_25a
÷va÷råü pitçùvasàraü ca  YS182v_3.4c
÷vàjajambåkaràsabhaiþ  YS78v_61b
÷vànakukkuñamàrjàràþ  YS182v_3.48c
÷vàpadoùñrahayàdyai÷ ca  YSS_1.5a
÷vitrakuùñhã tathà caiva  YS78v_29a
÷vitrã kuùñþã tathà ÷ålã  YS182v_3.34a
÷vetàyà dadhi cocyate  YS99v_71d
ùañcatasras tathànyà÷ ca  YSS_1.31a
ùaóabdaü caiva saüsmçtam  YS182v_4.24b
ùaó ete païktidåùakàþ  YS182v_3.33d
ùaóràtraü và triràtraü và  YS99v_3a
ùaóràtreõa vi÷udhyati  YS182v_1.8d
ùaóràtreõaiva ÷uddhyati  YS78v_47d
ùaóràtropoùitaþ snàtvà  YS182v_3.54c
ùaõõavatyarddham àpnoti  YSS_2.51c
ùaõõàü deyàs trayaþ piõóà  YS99v_79c
ùaõmàsaü kçcchram àcaret  YSS_1.30d
ùaõmàsaü kçcchram àcaret  YS182v_3.5d
ùaõmàsaü kçcchram àcaret  YS182v_3.6d
sakàmo hi yadà vipraþ  YS182v_4.41c
sakçc caiva tu yad bhavet  YS182v_4.43b
sakçd gamane yat pàpaü  YS182v_4.44c
sagotrà cànyagotrakà  YS182v_3.65b
sagotrà¤ ca sabharttçkàm  YS78v_57b
sagotràd ya÷ ca jàyate  YSS_1.36d
sa gotràm abhigamya ca  YS99v_36d
saïkañe rajjuvastrayoþ  YS78v_67d
sadàpy asàhasaü pårvaü  YSS_2.4c
sadà såtakità tasya  YS182v_3.13c
sadyaþ snàtvà spç÷ed agniü  YSS_1.4Ac
sadyaþ snànena ÷udhyati  YS99v_64d
sandhyayo÷ ca sadà ÷uciþ  YSS_1.4Ad
sandhyàkàle vivarjayet  YS78v_76b
sandhyàü nopàsate dvijaþ  YSS_2.8d
sandhyobhayo÷ ca sandhyàyàþ  YS78v_64c
sa pårtaphalam a÷nute  YS99v_70d
sapta pa¤ca da÷àpi và  YS99v_46d
saptame navame tathà  YS99v_88b
saptaite antyajàþ smçtàþ  YS99v_33d
saptaite càntyajàþ smçtàþ  YS78v_54d
saphalaü jàyate sarvàm  YS182v_5.17a
saphalaü paitçkaü bhavet  YS182v_5.14d
samabhàgapradàtà ca  YS182v_5.21c
samabhàgo grahãtavyaþ  YS182v_5.22a
samarghaü dhanam utsçjya  YS182v_3.23a
samavidyottaraü caiva  YS182v_5.24c
samànajàtãyam athetaraü và  YSS_1.50b
samànapuüsà 'py asamànapuüsà  YSS_1.45b
samàrghan tu samuddhçtya  YS78v_37a
sambhojanahiraõyakaiþ  YS78v_43b
sa ràjàsatpratigràhyaþ  YSS_2.72c
sarpà na hiüsanti parair abhãtàþ  YSS_1.51d
sarvatãrthe nadã toye  YS99v_72c
sarvadharmabahiùkatàþ  YS182v_4.62d
sarvadharmabahiùkçtàþ  YSS_1.8b
sarvadharmabahiùkçtàþ  YS182v_1.4b
sarvapàtakasampàte  YSS_1.12c
sarvapàtakasampàte  YSS_1.13a
sarvam annam abhojyaü syàt  YSS_2.68c
sarvam àdàya bhåmipaþ  YSS_2.11d
sarvalokabahiùkçtàþ  YS99v_23b
sarvalokavahiùkçtàþ  YS78v_3b
sarvàn ke÷àn samucchritya  YS182v_4.17a
sarvàn ke÷àn samuddhçtya  YS78v_74a
sarvàn ke÷àn samuddhçtya  YS99v_54a
sarve te çkthabhàginaþ  YS78v_14d
sarve te pratyavasitàþ  YS78v_3a
sarve te (')rikthabhàginaþ  YSS_1.18d
sarve te rikthabhàginaþ  YS182v_2.9d
sarve te ÷ucayaþ smçtàþ  YS78v_19d
sarveùàm antyajàtãnàü  YS182v_5.1c
sarvesv eva vivàdeùu  YS182v_5.24a
savarõa÷ ca savarõàyàm  YS182v_4.46a
savàsà jalam àvi÷et  YS182v_3.26d
sa vipro vçùalãpatiþ  YS182v_3.19d
sa vipro vçùalãpatiþ  YS78v_24d
sa vai màhiùakaþ smçtaþ  YS182v_3.17d
sa vai màhiùikaþ smçtaþ  YS78v_36d
sa vai vàrdhuùiko j¤eyo  YS182v_3.23c
sa vai vàrdhuùiko nàma  YS78v_37c
sa÷abdaü seïgitaü tathà  YS182v_3.33b
sasyaü vçddhaü samàdadyàt  YSS_2.69c
sahasraü damam àpnoti  YSS_2.47c
sahasraü damam àpnoti  YSS_2.54c
sahasraü damam àpnoti  YSS_2.60a
sahasraü dàpayed damaü  YSS_2.3d
saütyaktajãvo mriyate kadàcid  YSS_1.55Aa
saüdhyayor apy ubhàbhyàü ca  YS99v_96c
saüdhyayor ubhayor và 'pi  YS182v_3.70c
saüdhyàdvayor và saüdhyàbhyàü  YSS_1.3c
saüdhyàhãnà vratabhraùñàþ  YS182v_4.56a
saüdhyàhãno hi bhråõahà  YS182v_4.52b
saüdhyàhãno hi yo vipraþ  YS182v_4.51c
saüdhyopàsanam eva ca  YS182v_4.51b
saüdhyopàsanavarjitaü  YSS_2.7b
saüpadyate cen maraõaü  YS99v_45c
saüsargam icchanti phalaü tathà syàt  YSS_1.57c
saüsargã pa¤camo j¤eyas  YS182v_4.23a
saüsidhyati ca màrgataþ  YSS_2.76d
saüsçùñà hi bhavanti ca  YS182v_5.14b
saüspç÷et tu yadà ka÷cit  YS182v_3.8c
saüspç÷ed antyajo yadi  YS99v_11b
saüspçùñàs tu tadà kai÷cit  YS78v_18c
saüspçùñe ra÷mibhis teùàm  YS99v_66c
sàkùiõaþ pårvavàdinaþ  YS182v_5.25d
sàkùiùåbhayataþ satsu  YS182v_5.25c
sà caiva vyabhicàriõã  YS182v_3.17b
sàyaü caiva tu vaiùõavãm  YS182v_4.50d
sàyaü saügopanàrthaü ca  YS99v_52c
sàrdra÷ ca sa palà÷a÷ ca  YS99v_41c
sàvadhàno 'vadhàraya  YS78v_78d
sàhasaü pårvam àpnoti  YSS_2.49c
sàhasã vçùalãpatiþ  YSS_2.18b
siddham annam idaü punaþ  YSS_2.68d
suràcihnaü lalàñake  YSS_2.11b
surànyamadyapànena  YS78v_11a
suràpànaü tu yoùitàü  YSS_1.34b
suràmadyapàne kçte  YSS_1.15a
suràyàþ saüprapànena  YS182v_2.3a
suràü pibati suvyaktaü  YS78v_65c
suvarõam àùakaü dadyàt  YS99v_63c
såtakaü tu pra÷asyate  YS182v_3.55d
såtake tu samutpanne  YS99v_75a
såtakena na lipyeta  YS182v_4.21a
såtakena na lipyeta  YS182v_4.21c
såtake mçtake caiva  YS182v_4.18a
såtake vartamàne 'pi  YS182v_3.55a
såtaü hatvàtikçcchraü tu  YSS_1.22c
sevakà÷ càpi vipràõàü  YS182v_4.61a
somam asthi tathà madhu  YSS_2.45b
stena eva sa ucyate  YSS_2.30b
stenaü ràjà nihanyate  YSS_2.20d
stenaþ pi÷unavaktà ca  YSS_2.18a
striyam eva prakurvàõaü  YSS_2.14c
striyaü tathà÷vavad gaccham÷  YSS_2.57c
striyà và puruùasya và  YS182v_4.2d
striyo rogiõa eva ca  YSS_1.19d
striyo rogiõa eva ca  YS78v_17d
striyo vyàdhita eva ca  YS182v_3.3d
striyo hatvàvi÷eùeõa  YSS_1.23a
strãõàü caiva na saü÷ayaþ  YS182v_4.36b
strãõàü rajasvalànàn tu  YS78v_56a
strãõàü rajasvalànàü ca  YS182v_3.64a
strã vina÷yati garve[bhe]õa  YS182v_4.60c
strãsaüparkàdikaü sarvaü  YS182v_5.2a
sthale dadyàj jalà¤jalãn  YS99v_98d
sthàpite puùkale tathà  YS78v_67b
sthitvà và mahati kratau  YS99v_31d
snàtvà kàlena ÷uddhyati  YS78v_57d
snàtvà kàlena ÷udhyati  YS78v_61d
snàtvà triùavaõaü vipraþ  YS99v_3c
snàtvà ÷uddhim avàpnuyàt  YS99v_7d
snàtvà snàtvà spç÷et tan tu  YS78v_53c
snànamàtraü vidhãyate  YS78v_42b
snànahãnas tathaiva ca  YS182v_4.51d
snànahãno malà÷ã syàt  YS182v_4.52a
snànaü devàrcanaü dànaü  YS182v_3.51c
snànaü maithuninaþ smçtam  YS99v_16b
snànaü yena vidhãyate  YS99v_15b
snànàd vàpi hayakratau  YSS_1.25d
snànena lepopahatasya ÷uddhiþ  YS78v_44d
snànena strã rajasvalà  YS99v_77d
snàpayec càgnisannidhau  YS78v_63d
snàpayed agnisaünidhau  YS182v_3.69d
snehena ca tathà 'paraþ  YS182v_5.17d
spar÷a÷ caiva bhaved yadi  YS182v_3.64b
spçùñaü tena pramàdàc ca  YS182v_3.45c
spçùñà rajasvalà caiva  YS78v_61a
spçùñàspçùñi yadà bhavet  YS78v_56b
spçùñvà rajasvalà kai÷cit  YS78v_62a
spçùñvà rajasvalà 'nyonyaü  YS182v_3.65a
spçùñvà rajasvalà 'nyonyaü  YS182v_3.66a
spçùñvà rajasvalà 'nyonyaü  YS182v_3.67a
spçùñvà rajasvalà 'nyonyaü  YS182v_3.68a
spçùñvà rajasvalànyonyaü  YS78v_58a
spçùñvà rajasvalànyonyaü  YS78v_59a
spçùñvà rajasvalànyonyaü  YS78v_60a
spçùñvà rajasvalàü yàntu  YS78v_57a
svagotràd bhra÷yate tataþ  YS99v_84d
svagotràd bhra÷yate nàrã  YS99v_78a
svabhàvayuktam avyàptam  YSS_1.4a
svabhàvayuktam avyàptam  YS99v_97a
svayam eva tu yaþ pàpaü  YSS_2.2a
svayaü và na dvijo yadi  YSS_2.65d
svargaloke mahãyate  YS99v_89d
svargaloke mahãyate  YS99v_91d
svarõasteyã gurudruhaþ  YS182v_4.22d
svalpasàhasakarttà yaþ  YSS_2.74a
svavçùaü yà parityajyàny  YS78v_27a
svasàraü ca pitur màtuþ  YSS_1.30a
svasàraü duhitàü tathà  YSS_1.29b
svasàraü duhitàü tathà  YS182v_3.7b
svasutàü màtulasya ca  YSS_1.30b
svasçduhitarau snuùàm  YS99v_35b
svasthas trãõi sahasràõi  YS99v_9c
svàta vàpyos tathà kåpe  YS78v_66a
svàdhyàya¤ ca caturthakam  YS78v_76d
svàdhyàye maraõaü dhruvam  YS78v_77d
svàmigotreõa kartavyàs  YS99v_78c
svàmitulyaü bhavet tasya  YS182v_3.55c
svàmãyagaus tasya na khaõóanãyaþ  YSS_1.50d
svàrthabhyo gràma eva tu  YSS_2.72d
svecchàpramàdàd yadi te mriyante  YSS_1.53b
svena bhartrà saha ÷ràddhaü  YS99v_80a
svenaiva prapitàmahã  YS99v_80d
hatvà kakaraü divà tu  YSS_2.43a
hatvà garbham acetanam  YS99v_43d
hatvà gàü kùatriyaü vai÷yaü  YSS_1.23c
hatvà ÷atam avàpnoti  YSS_2.5c
hatvà saükãrõayonijam  YSS_1.22b
hayàjàvipa÷uùv api  YSS_1.27b
havanaü ca praõa÷yati  YS182v_3.51d
havanaü ca prayatnena  YS182v_4.38a
havirguõà na vaktavyàþ  YS182v_3.28a
havirguõà na vaktavyàþ  YS78v_39a
havyakavye niyoktavya  YS182v_3.39c
havyakavyeùu mantravit  YS78v_40b
havyakavyeùv amantritaþ  YS182v_3.29b
havye kavye ca karmaõi  YS78v_34b
hasangràsaü ca yo bhuïkte  YS182v_3.33a
haste÷v àsanadàne ca  YS182v_3.30c
hastau kçtvà susaüyuktau  YS99v_93a
hiïgu¤ ca vçkùaniryàsaiþ  YSS_2.38c
hinasti bhàryàü sasutaü kalatram  YSS_1.41b
hiraõyaü lobhalipsayà  YS182v_4.60b
hçtavittaü vivàsayet  YSS_2.21d
hçdayaü viùñhayà liptaü  YSS_2.23c
hçdayenànucintayet  YS99v_92b
haitukaþ ÷ådrayàjã ca  YS182v_3.35c
haitukaþ ÷ådrayàjã ca  YS78v_30c
homena sa vi÷uddhyati  YS78v_7d
