GRETIL CUMULATIVE PADA INDEX
OF METRIC DHARMA TEXTS AND TEXT PORTIONS

presently including the Smrtis of:

- Aïgiras (Ang_)
- Bçhaspati (reconstructed): Vyavahàrakàõóa (Brh_1.)
- Kàtyàyana (K_)
- Manu (Mn_)
- Nàrada (Nar_)
- Parà÷ara (Par_)
- Viùõu [metric portions] (Vi_)
- Yàj¤avalkya (Yj_)
- Yama, version with 78 verses (YS78v_)
- Yama, version with 99 verses (YS99v_)
- Yama, version with 185 verses in 5 adhyàyas (YS182v_)
- Yama, South Indian recension (YSS_)



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akatra prativàsinaş (?)  K_892b
sarveùàm apy a÷eùataş  Mn_3.193[183M]b
sarveùàm ardhino mukhyàs  Mn_8.210a
sarveùàm alpamålyànàü  Nar_19.31c
sarveùàm eva tatsamam  K_677d
sarveùàm eva dànànàü  Mn_4.233[234M]a
sarveùàm eva dharmataş  Mn_2.35b
sarveùàm eva pàpànàü  Par_11.55c
sarveùàm eva varõànàm  Nar_1.51a
sarveùàm eva ÷aucànàm  Mn_5.106[105M]a
sarveùàm eùa nirõayaş  K_637d
sarveùàü karmaõàmàdyà  Ang_1.1110a
sarveùàü tu viditvaiùàü  Mn_7.202[203M]a
sarveùàü tu vi÷iùñena  Mn_7.58a
sarveùàü tu sa nàmàni  Mn_1.21a
sarveùàü trividhaü dhanam  Nar_1.47d
sarveùàü dhanajàtànàm  Mn_9.114a
sarveùàü dharmasàdhanam  Yj_1.122d
sarveùàü ni÷citaü yatsyàd  Ang_2,3.9a
sarveùàü pàtakaü bhavet  Par_9.47d
sarveùàü pàpayuktànàü  K_966c
sarveùàü bràhmaõàd çte  Nar_7.6d
sarveùàü bràhmaõo vidyàd  Mn_10.2a
sarveùàü vanacàriõàm  Par_6.15b
sarveùàü vratakçchràõàü  Ang_1.29c
sarveùàü ÷àvam à÷aucaü  Mn_5.62[61M]a
sarveùàü ÷àvam à÷aucaü  Par_3.24a
sarveùàü svagçhe gçhã  Nar_1.28d
sarveùu càparàdheùu  K_487a
sarveùu pitçkarmasu  Mn_3.252[242M]d
sarveùu sarvadivyaü và  K_422c
sarveùåpanidhiùv ete  K_602a
sarveùvapi ca tãrtheùu  Ang_1.198a
sarveùv api vivàdeùu  Nar_M2.25a
sarveùv arthavivàdeùu  Yj_2.23a
sarveùv artheùu sàkùimat  K_258d
sarveùv a÷mamayeùu ca  Mn_8.100d
sarveùvà÷aucakarmasu  Ang_1.169b
sarveùv eva caturùv api  Mn_3.135[125M]d
sarveùv eva vivàdeùu  K_241c
sarveùv eva vrateùv evaü  Mn_11.225[224M]c
sarveùvevàvakà÷eùu  Ang_2,9.13c
sarve sarvàsu jàtiùu  Yj_2.38d
sarve sarveùu và punaş  Nar_1.134d
sarve sarveùu và smçtàş  Yj_2.69d
sarve saükalpajàş smçtàş  Mn_2.3d
sarve some pralãyante  Par_12.24(23)c
sarvesv eva vivàdeùu  YS182v_5.24a
sarvair upàyair anvicchec  Mn_8.190c
sarvair eva kçtaü bhavet  K_627d
sarvaiş saübhåyakàribhiş  Nar_3.05d
sarvo daõóajito loko  Mn_7.22a
sarvopàyaprayatnena  Ang_2,12.15c
sarvopàyavinà÷e 'pi  K_599c
sarvopàyàn sçjed budhaş  Mn_7.214[218M]d
sarvopàyàü÷ ca kçtsna÷aş  Mn_7.215[219M]b
sarvopàyair vimocayet  Mn_11.112[111M]d
sarvopàyais tathà kuryàn  Mn_7.177[178M]a
sarùapàş ùaó yavo madhyas  Mn_8.134a
sarùapaiş sarvadhànyakaiş  Ang_1.88b
sa labhetà÷ruto 'pi san  Nar_13.10d
sa labhetodayo yataş  K_892d
sa liïginàü haraty enas  Mn_4.200[201M]c
salilaü nàmbusevinàm  K_424b
salilaü pàvanaü pibet  Yj_3.306b
salilaü bhasma mçd vàpi  Yj_1.189c
salilaü ÷uddhir eteùàü  Yj_3.60c
salilaü ÷vàsakàsinàm  K_425b
sal lekhasamatà nçõàm  K_313d
savatsàromatulyàni  Yj_1.206a
savanasthàü striyaü hatvà  Par_12.74(73)c
savanaü spandanàt purà  Yj_1.11b
savaneùåpayann apaş  Mn_6.22d
savarõam anuråpaü ca  Nar_12.23a
savarõa÷ ca yadà pituş  K_863b
savarõa÷ ca savarõàyàm  YS182v_4.46a
savarõaü kàmataş ÷rayet  Yj_1.67d
savarõaş ÷rotriyo varaş  Yj_1.55b
savarõà asavarõàs tu  K_857c
savarõà guruyoùitaş  Mn_2.210b
savarõàgre dvijàtãnàü  Mn_3.12a
savarõàyàsapiõóàya sà  Nar_12.48c
savarõàyàü vibhàgabhàk  Yj_2.122b
savarõàsu vidhau dharmye  Yj_1.88c
savarõàsåpadi÷yate  Mn_3.43b
savarõàhany ahany api  Mn_2.132b
savarõàü lakùaõànvitàm  Mn_3.4d
savarõàü lakùaõànvitàm  Mn_7.77b
savarõe nàsty atikramaş  Nar_12.71b
savarõebhyaş savarõàsu  Yj_1.90a
savarõeùveva kurvãta  Ang_1.337c
savarõo bràhmaõãputraş  Nar_12.110a
sa vàdã hãyate tasmàt  K_207c
savàsà jalam àplutya  Mn_5.77[76M]c
savàsà jalam àplutya  Mn_5.78[77M]c
savàsà jalam àvi÷et  Mn_11.223[222M]b
savàsà jalam àvi÷et  Par_12.28(27)d
savàsà jalam àvi÷et  YS182v_3.26d
savàsà jalamàvi÷et  Ang_1.172d
savàsàş snànam àcaret  Mn_11.174[173M]d
sa vikalpã bhaveddvijaş  Ang_2,5.3d
savikàra udàhçtaş  Yj_3.183d
sa vikrãtàd anantaraş  Nar_5.30d
sa vij¤eya÷ ca kçtrimaş  Mn_9.169d
sa vij¤eyaş paro dharmo  Mn_12.113c
sa vij¤eyaş samàhvayaş  Mn_9.223d
sa vij¤eyo jitendriyaş  Mn_2.98d
sa vij¤eyo dvilakùaõaş  Nar_M1.4b
sa vij¤eyo dvilakùaõaş  Nar_1.108b
savitàraü savaidyutam  Yj_3.193d
sa vidyàd asya kçtyeùu  Mn_7.67a
sa vidhåyeha pàpmànaü  Mn_6.85c
sa vina÷yaty asaü÷ayam  Mn_7.12b
sa vinà÷aü vrajaty à÷u  Mn_4.71c
sa vinà÷aü vrajaty à÷u  Mn_8.346c
sa vineyo 'nyathà kurvann  Nar_M1.44c
sa vineyo 'nyathà kurvann  Nar_M1.45c
sa vineyo bhç÷ataraü  Nar_1.179c
sa vipro gurur ucyate  Mn_2.142d
sa vipro vçùalãpatiş  Par_7.8b
sa vipro vçùalãpatiş  YS182v_3.19d
sa vipro vçùalãpatiş  YS78v_24d
sa vi÷uddho bhaven naraş  Nar_20.20d
sa vi÷uddho bhaven naraş  Nar_20.26d
saviùaü saüprapàtanam  Yj_3.223b
savçddhikaü gçhãtvà tu  K_529e
savçddhikaü pradàpyaş syàd  K_912c
sa vçddhyà dàpayed dhanam  Yj_2.61b
sa vai kukkuñakaş smçtaş  Mn_10.18d
sa vai màhiùakaş smçtaş  YS182v_3.17d
sa vai màhiùikaş smçtaş  YS78v_36d
sa vai vàrdhuùiko j¤eyo  YS182v_3.23c
sa vai vàrdhuùiko nàma  YS78v_37c
sa vai sarvam avàpnoti  Mn_2.160c
sa vai spar÷aguõo mataş  Mn_1.76d
savyameva bhaveddhi vai  Ang_1.1076b
sa vyavasyen naràdhipaş  Mn_7.13b
savyaü puõóralalàñaü ca  Ang_1.668c
savyàjakrayavikrayã  Yj_2.262d
savyàhçtikàü gàyatrãü  Yj_1.239a
savyàhçtipraõavakàş  Mn_11.248[247M]a
savyena parigçhya ca  Yj_1.284d
savyena savyaş spraùñavyo  Mn_2.72c
savye nyasyottaraü karam  Yj_3.198b
savye pràcãnàvãtã  Mn_2.63c
savratas tu ÷unà daùño  Par_5.4a
savrataş satrapåta÷ ca  Par_3.21a
sa ÷ataü pràpnuyàd daõóaü  Mn_8.225c
sa ÷ataü pràpnuyàd daõóaü  Nar_12.34c
sa÷abdaü seïgitaü tathà  YS182v_3.33b
sa÷alkà÷ ca dvijàtibhiş  Yj_1.178b
sa÷alkà÷ caiva sarva÷aş  Mn_5.16d
sa÷alyaş syàd ato 'nyathà  Nar_M3.16d
sa÷astro 'nuttarãyo và  K_099a
sa÷ikhaü tu nipàtane  Par_9.14d
sa÷ikhaü pavanaü kçtvà  Par_10.6a
sa÷ikhaü vapanaü kçtvà  Par_8.31a
sa÷ikhaü vapanaü kçtvà  Par_10.19a
sa÷ikhaü vapanaü kçtvà  Par_12.7c
sa÷iùyo 'gnyarkasaünibhaş  Par_1.3b
sa ÷uddho 'rtha iti sthitiş  K_409d
sa÷åkasyàvyasaninaş  Nar_20.42c
sa ÷ådragatibhàgbhavet  Ang_2,8.9d
sa ÷ådravad bahiùkàryaş  Mn_2.103c
sa÷rãphalair aü÷upaññaü  Yj_1.186c
sa sa tàvad guõaş smçtaş  Mn_1.20d
sasatre dànadharme ca  Ang_2,9.9a
sa sadàcàra ucyate  Mn_2.18d
sa sadyo narakaü vrajet  Mn_8.307d
sa sadyo vadham arhati  Mn_8.364b
sasantànàni ÷ådratàm  Mn_3.15d
sasabhyaş prekùako ràjà  K_056c
sa samutthànajaü vyayam  Yj_2.222b
sa samyakpàlito dadyàd  Yj_2.200a
sa samyagbhàvitaş kàryo  K_311c
sa sarvasamatàm etya  Mn_12.125c
sa sarvasteyakçn naraş  Mn_4.256[257M]d
sa sarvasteyakçn naraş  Nar_1.208d
sa sarvasya prabhur yataş  Yj_2.34d
sa sarvasya hitaprepsuş  Mn_5.46c
sa sarvo 'bhihito vede  Mn_2.7c
sasahàyaş sa hantavyaş  Mn_8.193c
sa saügrahaõam àpnuyàt  Mn_8.356d
sasaüdigdhanivedanàt  Nar_19.17b
sa saüdigdhamatiş karma-  Yj_3.152a
sa saüdhàryaş prayatnena  Mn_3.79[69M]a
sasaüdhyàü÷eùu ca triùu  Mn_1.70b
sa saüpåjyas tu bandhuvat  Mn_9.110d
sasàkùikaü likheyus te  Nar_M2.20c
sa sàkùã likhito nàma  K_371c
sa sàkùã sàkùyam arhati  Nar_1.153d
sa sàkùyuttarasaüj¤itaş  K_375d
sa sàdhubhir bahiùkàryo  Mn_2.11c
sa somaü pàtum arhati  Mn_11.7[06M]d
sa strãõàü jãvanaü dadyàd  Nar_13.49c
sastre caivàtikçcchrakam  Par_9.24d
sa smàrita ihocyate  K_372d
sasyaghàtasya kàriõã  Yj_2.159b
sasyaghàto gavàdibhiş  Nar_11.25b
sasyabandhe kçùãvalàş  Nar_M1.47b
sasyabhàgaü ca ÷ulkaü càpy  K_019c
sasyaü vçddhaü samàdadyàt  YSS_2.69c
sasyànte navasasyeùñyà  Mn_4.26a
sa svayaü puruùo viràñ  Mn_1.33b
sa svargàc cyavate lokàc  Mn_3.140[130M]c
sa svãkçtaş ÷ràddhatithir  Ang_1.1046a
saha khañvàsanaü caiva  Mn_8.357c
sahajaş sarvadehinàm  Mn_12.13b
saha tenaiva majjati  Mn_4.81d
saha tenaiva majjati  Mn_4.190d
saha traividyavçddhai÷ ca  K_055e
saha dyàvàpçthivyo÷ ca  Mn_3.86[76M]c
saha dharmaü caret tena  Nar_12.23c
saha dharmaü carety uktvà  Nar_12.40c
saha patyà kçtaü bhavet  Nar_1.13d
sahapiõóakriyàyàü tu  Mn_3.248[238M]a
saha màtuş sapiõóakam  Ang_1.995d
saha yà dãyate 'rthine  Yj_1.60b
sa haretaiva tadrikthaü  Mn_9.141c
saha vàpi vrajed yuktaş  Mn_7.206[210M]a
saha và bhojanaü duùñaü  Ang_1.219c
saha ùaùñyà ÷atatrayam  Yj_3.84d
saha sadbhir ato ràjà  Nar_M3.5c
saha sabhyaiş sthirair yuktaiş  K_057a
saha sammantrya mantribhiş  Mn_7.216[220M]b
saha sarvàş samutpannàş  Mn_7.214[218M]a
sahasà kriyate karma  Nar_14.1a
sahasà duùñacetasaş  Mn_3.225[215M]d
sahasà pràpnuyàt sarvàüs  Nar_20.28e
sahasà yat kçtaü karma  K_795a
sahasrakarapannetraş  Yj_3.119c
sahasrakçtvas tv abhyasya  Mn_2.79a
sahasraguõiteùv api  Par_8.15d
sahasraguõiteùvapi  Ang_2,4.8d
sahasrapataye svayam  Mn_7.117[118M]d
sahasrapatim eva ca  Mn_7.115[116M]d
sahasram abhihatya ca  Mn_11.206[205M]b
sahasram iti dhàraõà  Mn_8.336d
sahasram iti bhàùite  K_182b
sahasra÷atadakùiõaiş  Mn_8.306d
sahasra÷aş sametànàü  Mn_12.114c
sahasra÷aş sametànàü  Par_8.4c
sahasra÷ãrùàjàpã tu  Yj_3.304a
sahasrasya pramàpaõe  Mn_11.140[139M]b
sahasraü kùatriyo daõóyo  Mn_8.375c
sahasraü tu japed devyàş  Par_12.65(64)a
sahasraü tu pitén màtà  Mn_2.145c
sahasraü tåttamo j¤eyaş  Nar_19.38a
sahasraü tv antyajastriyam  Mn_8.385d
sahasraü tv eva cottamaş  Mn_8.138d
sahasraü damam àpnoti  YSS_2.47c
sahasraü damam àpnoti  YSS_2.54c
sahasraü damam àpnoti  YSS_2.60a
sahasraü dàpayed damaü  YSS_2.3d
sahasraü parisaükhyayà  Mn_1.72b
sahasraü puruùànçte  Mn_8.98d
sahasraü puruùànçte  Nar_1.189d
sahasraü bràhmaõo daõóaü  Mn_8.383a
sahasraü bràhmaõo daõóyo  Mn_8.378a
sahasraü mahadàdiùu  Ang_2,7.7b
sahasraü yadi bhaktitaş  Ang_1.182d
sahasraü vàruõàn pà÷àn  Nar_1.186c
sahasraü ùañ÷ataü caiva  K_461a
sahasraü hi sahasràõàm  Mn_3.131[121M]a
sahasràkùaü ÷atadhàram  Yj_1.281a
sahasràõi ÷atàni ca  Mn_1.70d
sahasràõi samàhitaş  Mn_11.194[193M]b
sahasràtmà mayà yo va  Yj_3.126a
sahasràdhipatiş puram  Mn_7.119[120M]d
sahasràü÷usamaprabham  Mn_1.9b
sahasrairudakumbhakaiş  Ang_1.87b
sahàyariputaskaràş  Yj_2.71b
sahàyaü caiva vairiõaş  Mn_4.133b
sahàsanam abhiprepsur  Mn_8.281a
sahàsanam abhiprepsur  Nar_1516.26a
sa hi kaùñataro ripuş  Mn_7.186[187M]d
sa hi dharmàrtham utpanno  Mn_1.98c
sa hi brahmà¤jaliş smçtaş  Mn_2.71d
sa hiraõyodakaiş snàtvà  Par_5.3c
sahiùõurna bhavettasmàt  Ang_1.302a
sa hi somaü pibed dvijaş  Yj_1.124b
sahetàsaüjvaraş sadà  Mn_4.185d
sahete saübhave nçõàm  Mn_2.227b
sahaikatràvatiùñhate  Yj_1.273d
sahaikàsanam eva ca  Yj_2.284d
sahoóha iti cocyate  Mn_9.173d
sahoóhagrahaõàt steyaü  Nar_14.17a
sahoóham asahoóhaü và  K_824a
sahoóhaü sopakaraõaü  Mn_9.270c
sahoóhànàü pravàsanam  K_823b
sahoóhàn sopakaraõàn  Nar_19.13c
sahopapative÷manàm  Yj_1.164d
saho balam ihocyate  Nar_14.1d
sahobhau caratàü dharmam  Mn_3.30a
sa hy asya praty anantaraş  Mn_10.81d
sa hy àrdhika iti j¤eyo  Par_11.24c
sa hy à÷ramair vijij¤àsyaş  Yj_3.191a
sa hy eùàü vinayaş smçtaş  Nar_17.6d
saükañànnaü ca nà÷nãyàn  Yj_3.15c
saükaràpàtrakçtyàsu  Mn_11.125[124M]a
saükarãkaraõaü j¤eyaü  Mn_11.68[67M]c
saükare jàtayas tv etàş  Mn_10.40a
saükare samupasthite  Par_11.55d
saükalpakaraõe 'pi và  Ang_1.948b
saükalpamålaş kàmo vai  Mn_2.3a
saükalpavidhinànvaham  Ang_1.877b
saükalpastu na tasya vai  Ang_1.22b
saükalpaü prathamaü caret  Ang_1.775b
saükalpaş prabhaveddhi vai  Ang_1.807d
saükalpàdi samàcaret  Ang_1.135b
saükalpo nànyathàcaret  Ang_1.851b
saükalpo mukhyataş smçtaş  Ang_1.684b
saükãrõamava÷àdyàti  Ang_1.339c
saükãrõayonayo ye tu  Mn_10.25a
saükãrõànàü ca saübhavam  Mn_1.116b
saükrattimàtràş kathità  Ang_1.656a
saükramadhvajayaùñãnàü  Mn_9.285a
saükramà dvàda÷a smçtàş  Ang_1.639d
saükramà dvàda÷a smçtàş  Ang_1.645d
saükràntiùu ca vçddhike  Ang_1.584b
saükràntiùvakhilàsvevaü  Ang_1.644a
saükràntãnàü ca kçtsna÷aş  Ang_1.650d
saükràntau grahaõe tathà  Par_12.25(24)b
saükràntau dakùiõàyane  Ang_1.648b
saükràmanti hi pàpàni  Par_12.80(79)a
saükràmayeta vànyatra  K_727c
saükùipyate ya÷o loke  Mn_7.34c
saükùepeõa dvisaptatiş  Mn_7.157[158M]d
saükhyayàlpãyasãü kalàm  Mn_8.36d
saükhyàtattvàrthadar÷ibhiş  Nar_20.16d
saükhyàü nàma tathàtmanaş  K_125b
saügacchate pitçtvaü ca  Ang_1.114c
saügave tu na tu pràtaş  Ang_1.284a
saügçhõàti mahãtalàt  Mn_4.168b
saügçhõàti mahãtale  Mn_11.207[206M]b
saügçhõãta kadàcana  Par_1.42b
saügçhõãyàdaputrakaş  Ang_1.1009d
saügçhya sthàpayedyatnàd  Ang_1.1014a
saügrahaş kàrya eva vai  Ang_1.314b
saügrahe sàhaseùu ca  K_366b
saügraho navadhà smçtaş  K_829f
saügràmacaurabhedã ca  K_947c
saügràmayaj¤e vidhivac ca dçùñam  Par_3.38d
saügràmàd àhçtaü yat tu  K_878c
saügràme de÷aviplave  Yj_3.29b
saügràme prahatànàü ca  Par_9.44a
saügràme và hato lakùya-  Yj_3.248a
saügràmeùv anivartitvaü  Mn_7.88[89M]a
saügràme hanyate paraiş  Mn_7.94[95M]b
saügràhyaş ÷ràddhakarmasu  Ang_1.603d
saügràhyo bhava sarvatra  Ang_1.599c
saüghàtaü lohitodaü ca  Yj_3.223a
saüghàtà÷aucinastataş  Ang_1.48d
saücintya gurulàghavam  Mn_9.299d
saücintyaü daõóakarmaõi  Yj_2.275d
saüjàte tvaurase punaş  Ang_1.364d
saüjãvanamahàpatham  Yj_3.223d
saüjãvanaü mahàvãciü  Mn_4.89a
saüjãvayati càjasraü  Mn_1.57c
saüj¤à yà vyàvahàrikã  Nar_19.67b
saüj¤eyaü vyavahàrikã  K_494b
saütatà yà cirantanã  K_329b
saütatà yà tripauruùã  K_322d
saütatis tu pa÷ustrãõàü  Yj_2.39a
saütatiş strãpa÷uùv eva  Yj_2.57a
saütànasya parikùaye  Mn_9.59d
saütànàrthaü ca mànavaş  Mn_9.96b
saütànàrthaü na kàmataş  Nar_12.85b
saütàrayati tàv ubhau  Mn_11.19[18M]d
saütàrayati pautravat  Mn_9.139d
saütàryaş sarva eva hi  Ang_2,5.14d
saütiùñheran prajàş kvacit  Nar_18.20d
saütuùño bhàryayà bhartà  Mn_3.60a
saütoùamålaü hi sukhaü  Mn_4.12c
saütoùaü param àsthàya  Mn_4.12a
saütoùã ca bhavet sadà  Yj_1.129d
saütyaktajãvo mriyate kadàcid  YSS_1.55Aa
saütyaktavyàş patitavat  Nar_12.15c
saütyajya gràmyam àhàraü  Mn_6.3a
saüdigdhapra÷nanirõayàt  K_869b
saüdigdham anyatprakçtàd  K_188a
saüdigdham uttaraü j¤eyaü  K_180c
saüdigdhalekhya÷uddhiş syàt  Yj_2.92a
saüdigdhaü kramavarjitam  K_270b
saüdigdhaü yatra sàkùyaü syàt  K_341c
saüdigdhànàü ca bhàùaõam  K_946b
saüdigdhàrthavi÷uddhyarthaü  Nar_M1.3c
saüdigdhàrthaü svatantro yaş  Yj_2.16a
saüdigdhà lakùaõacyutàş  K_269b
saüdigdhàsaübhavàvyaktam  K_173c
saüdigdhe 'rthe pravartate  Nar_M1.40b
saüdigdhe 'rthe 'bhiyuktànàü  Nar_20.5a
saüdigdheùu tu kàryeùu  Nar_1.127a
saüdigdheùv abhiyuktànàü  Nar_20.7a
saüditànàü ca mokùakaş  Mn_8.342b
saüdiùñasyàpradàtà ca  Yj_2.232c
saüdiùñaş karma kurvãta  Nar_5.10c
saüdehe và punar haret  Yj_2.107d
saüdehe samupasthite  K_358b
saüdhinyanirda÷àvatsà-  Yj_1.170a
saüdhir j¤eyo dvilakùaõaş  Mn_7.163[164M]d
saüdhiü kçtvà prayatnataş  Mn_7.206[210M]b
saüdhiü ca vigrahaü caiva  Mn_7.160[161M]a
saüdhiü ca vigrahaü yànam  Yj_1.347a
saüdhiü chittvà tu ye cauryaü  Mn_9.276a
saüdhiü tu dvividhaü vidyàd  Mn_7.162[163M]a
saüdhiü vigraham eva ca  Mn_7.161[162M]b
saüdhyayor apy ubhàbhyàü ca  YS99v_96c
saüdhyayor ubhayor api  Yj_1.25d
saüdhyayor ubhayor và 'pi  YS182v_3.70c
saüdhyayor ubhayo÷ caiva  Mn_3.280[270M]c
saüdhyayor ubhayo÷ caiva  Mn_4.131c
saüdhyayor eva cobhayoş  Mn_4.113b
saüdhyayor vedavid vipro  Mn_2.78c
saüdhyàgarjitanirghàta-  Yj_1.145a
saüdhyàtraye sahasràõi  Ang_1.201c
saüdhyàdvayor và saüdhyàbhyàü  YSS_1.3c
saüdhyànãhàrabhãtiùu  Yj_1.150b
saüdhyàmàtraü prakurvãta  Ang_1.47c
saüdhyàm upàsya ÷çõuyàc  Yj_1.330a
saüdhyàmbustrãdvijanmanaş  Yj_1.134d
saüdhyàyo÷ ca yathà divà  Mn_K4.50[51M]d
saüdhyà sà syàjjale kriyà  Ang_1.49b
saüdhyàsnànaü japo homo  Par_1.39a
saüdhyàhãnà vratabhraùñàş  YS182v_4.56a
saüdhyàhãno hi bhråõahà  YS182v_4.52b
saüdhyàhãno hi yo vipraş  YS182v_4.51c
saüdhyàü copàsya ÷çõuyàd  Mn_7.223[227M]a
saüdhyàü pràk pràtar evaü hi  Yj_1.25a
saüdhyàü÷a÷ ca tathàvidhaş  Mn_1.69d
saüdhyopàsanam eva ca  Mn_2.69d
saüdhyopàsanam eva ca  YS182v_4.51b
saüdhyopàsanavarjitaü  YSS_2.7b
saüdhyopàsanavarjitaş  Par_3.6b
saüdhyopàsanavarjitàş  Par_12.32(31)b
saüdhyopàstyagnikàryayoş  Par_8.3b
saünidhàtéü÷ ca moùasya  Mn_9.278c
saünidhàv eùa vai kalpaş  Mn_5.74[73M]a
saünidhau nopagacchati  Par_4.15b
saünidhau prekùate dhanã  Mn_8.147b
saünidhau prekùate dhanã  Nar_1.70b
saünipàto yathàmbhasàm  Nar_18.42b
saüniyantum asevayà  Mn_2.96b
saüniyamya tu tàny eva  Mn_2.93c
saünirudhyendriyagràmaü  Yj_3.61a
saünirudhyendriyagràmaü  Yj_3.200a
saünive÷as tathaiva ca  K_127b
saünive÷yàtmamàtràsu  Mn_1.16c
saünãyàplàvya vàriõà  Mn_3.244[234M]b
saünyased ançõo dvijaş  Mn_6.94d
saünyastaü bràhmaõaü dçùñvà  Par_3.32a
saünyaste patite tàte  Ang_1.108a
saünyasya sarvakarmàõi  Mn_6.95a
saünyàsena dvijottamàş  Mn_5.108[107M]d
saünyàsenàpahatyainaş  Mn_6.96c
saünyàso vai dvijanmanàm  Yj_3.32d
saüpadyate cen maraõaü  YS99v_45c
saüpadyantàü svadhà÷ceti  Ang_1.891c
saüpannam ity abhyudaye  Mn_3.254[244M]c
saüpannà caiva ÷ãlataş  Mn_9.82b
saüpannànàü svakarmasu  Mn_9.115b
saüparistãrya vidhinà  Ang_1.808c
saüparkaü kurute dvijaş  Par_3.25b
saüparkaü na ca kurvanti  Par_3.18c
saüparkaü varjayed budhaş  Par_3.26d
saüparkàc ca nivçttasya  Par_3.19c
saüparkàj jàyate doùo  Par_3.26a
saüparkàd duùyate vipro  Par_3.19a
saüpa÷yataş sabhçtyasya  Mn_7.143[144M]c
saüpa÷yaüs trividhaü phalam  Mn_7.206[210M]d
saüpàdayanti yatnena  Ang_1.535a
saüpàdità bhaviùyanti  Ang_1.319a
saüpåjyante janair dvijàş  Par_8.24d
saüpåjya munayo 'bruvan  Yj_1.1b
saüpåjyà gurupatnãvat  Mn_2.131c
saüpårõaü tasya tat phalam  Par_6.64b
saüpraõãtaş ÷ma÷àneùu  Par_8.22a
saüpradhàryàbravãd dhàtà  Mn_10.73c
saüpralobhakriyà ca yà  K_337b
saüpràptamapi tacchràddham  Ang_1.39a
saüpràptavyavahàràõàü  K_844a
saüpràptàya tv atithaye  Mn_3.99[89M]a
saüpràpte càvagàhanàt  Ang_1.920b
saüpràpte tv aùñame varùe  Nar_11.22c
saüpràpto 'py anyagotrataş  Mn_9.141d
saüpràpto vai÷vadevànte  Par_1.40c
saüpràpnuvanti duşkhàni  Mn_12.74c
saüprãtyà bhujyamànàni  Mn_8.146a
saüpreùyamànair gandhai÷ ca  Nar_12.66c
saüproktastu çce tveti  Ang_1.889c
saübandhàgamahetubhiş  Yj_2.92d
saübandhàgamahetubhiş  Nar_1.124d
saübandhàgamahetubhiş  Nar_1.124*1d
saübandhàn àcaret saha  Mn_4.244[245M]b
saübandhino hy apàü loke  Mn_4.183c
saübabhåva tadàdi vai  Ang_1.533d
saübàdhaü kàru÷ilpinàm  Yj_2.249b
saübudhyoccàrya tatparam  Ang_1.790b
saübhakùitaü yad durbhikùe  Nar_5.29c
saübhavaty anupårva÷aş  Mn_1.27d
saübhavaty avyayàd vyayam  Mn_1.19d
saübhavanti guõàş sapta  Nar_M1.26c
saübhavantu na cànyeùu  Ang_1.585c
saübhava÷ ca yathà tasya  Mn_7.1c
saübhava÷ càsya sarvasya  Mn_2.25c
saübhavaş sarvadehinàm  Mn_9.33d
saübhavàn ekaviü÷atim  Mn_5.35d
saübhavàü÷ ca viyonãùu  Mn_12.77a
saübhave tu prayu¤jàno  K_217c
saübhave sàkùiõàü caiva  Nar_M2.29c
saübhave sàkùiõàü pràj¤o  K_217a
saübhàntyatha mçtàhasya  Ang_1.75a
saübhàràn ÷odhayet sarvàn  Par_10.37c
saübhàvayati cànnena  Mn_2.142c
saübhàùaõasahàsane  Mn_11.184[183M]b
saübhàùanaü saha strãbhiş  Mn_8.360c
saübhàùa÷ ca parastriyà  Nar_18.35d
saübhàùàt saha bhojanàt  Par_12.79(78)d
saübhàùàü tàbhir àcaran  Mn_8.363b
saübhàùàü yojayan rahaş  Mn_8.354b
saübhàùã priyadar÷anaş  K_002d
saübhàùeta raho 'rthinà  K_070b
saübhåtiü tasya tàü vidyàd  Mn_2.147c
