Yajnavalkyasmrti

PADA INDEX

Input by Muneo Tokunaga, checked by Yasuke Ikari
Based on the edition: Yajnavalkyasmrti of Yogisvara Yajnavalkya 
With the commentary Mitaksara of Vij¤anesvara, Notes, Variant readings, etc. 
Ed. by Narayan Ram Acharya Nirnayasagara Press, Bombay, 1949.



akÃmata÷ kÃmacÃre  Yj_2.162c
dadyÃd agnau jale 'pi vÃ  Yj_1.257b
dadyÃd apaharec cÃæÓaæ  Yj_2.138c
dadyÃd Ãcamanaæ tata÷  Yj_1.243b
dadyÃd ­te kuÂumbÃrthÃn  Yj_2.46c
dadyÃd gÃæ kÃ¤canaæ mahÅm  Yj_1.333b
dadyÃd grahakramÃd evaæ  Yj_1.305a
dadyÃd vÃ vipratu«Âik­t  Yj_3.258d
dadyÃd vaikaÓataæ gavÃm  Yj_3.267b
dadyÃd vai pit­yaj¤avat  Yj_1.242d
dadyÃn mÃtÃ pitÃ vÃ yaæ  Yj_2.130c
dadyur dÃnÃya ya÷ sthita÷  Yj_2.54d
dadyur vÃ svak­tÃæ v­ddhiæ  Yj_2.38c
dadyus tad rikthina÷ prete  Yj_2.45c
dadyu÷ pratibhuvo dhanam  Yj_2.55b
dadhi k«Åraæ gh­taæ jalam  Yj_3.36d
dadhi sarpi÷ kuÓodakam  Yj_3.314b
dadhnÃ k«Åreïa vÃ yutÃ÷  Yj_1.303d
dadhy annaæ pÃyasaæ caiva  Yj_1.289a
dadhyodanaæ haviÓ cÆrïaæ  Yj_1.304c
dantadhÃvanapÆrvakam  Yj_1.98d
dantÃ vai viæÓatir nakhÃ÷  Yj_3.85b
dantair dantÃn asaæsp­Óan  Yj_3.199b
dantolÆkhalika÷ kÃla-  Yj_3.49a
dandaÓÆka÷ pataÇgo vÃ  Yj_3.197c
damaÓ ceti yamÃ÷ sm­tÃ÷  Yj_3.312d
damo v­k«e ca viÓrute  Yj_2.228d
dambhihaitukapÃkhaï¬i-  Yj_1.130c
daridrÃ÷ puru«ÃdhamÃ÷  Yj_3.217d
darÓanapratibhÆr yatra  Yj_2.54a
darÓane pratyaye dÃne  Yj_2.53a
daÓakaæ pÃradeÓye tu  Yj_2.252c
daÓagrÃmy atha vÃ puna÷  Yj_2.272d
daÓapÆru«avikhyÃtÃc  Yj_1.54a
daÓarÃtram ata÷ param  Yj_3.23d
daÓaviæÓatikau damau  Yj_2.216b
daÓaikapa¤casaptÃha-  Yj_2.177a
da«ÂaÓvo«ÂrÃdivÃyasai÷  Yj_3.277b
daæpatyÃcÃryaÓi«yakÃ÷  Yj_2.237b
daæpatyo÷ Óe«abhojanam  Yj_1.105d
daæ«ÂriïÃæ Ó­ÇgiïÃæ tathÃ  Yj_2.300b
dÃk«ÃyaïÅ brahmasÆtrÅ  Yj_1.133a
dÃtavyaæ pratyahaæ pÃtre  Yj_1.203a
dÃtavyÃ savratÃya ca  Yj_1.108b
dÃtÃro no 'bhivardhantÃæ  Yj_1.246a
dÃtÃsyÃ÷ svargam Ãpnoti  Yj_1.205a
dÃtÃsyÃ÷ svargam Ãpnoti  Yj_1.206c
dÃtÃ svarge mahÅyate  Yj_1.208d
dÃt­brahmavidÃæ tathÃ  Yj_3.28d
dÃnacchedopavarïanam  Yj_1.320b
dÃnasya phalam aÓnute  Yj_1.48b
dÃnasvÃdhyÃyakarmaïÃm  Yj_1.8b
dÃnaæ damo dayÃ k«Ãnti÷  Yj_1.122c
dÃnaæ dÃtuæ caret k­cchram  Yj_3.274c
dÃnaæ satyam akalkatÃ  Yj_3.312b
dÃne vivÃhe yaj¤e ca  Yj_3.29a
dÃntas tri«avaïasnÃyÅ  Yj_3.48a
dÃpayitvÃ h­taæ dravyaæ  Yj_2.269c
dÃpayed anyathÃ na tu  Yj_2.201d
dÃpayed dviguïaæ damam  Yj_2.306d
dÃpya uttamasÃhasam  Yj_2.241d
dÃpyaÓ cottamasÃhasam  Yj_2.297d
dÃpyas taæ cÃpi sodayam  Yj_2.67b
dÃpyas taæ daï¬am eva ca  Yj_2.35d
dÃpyas tu daÓamaæ bhÃgaæ  Yj_2.194a
dÃpyas tv a«Âaguïaæ yaÓ ca  Yj_2.262c
dÃpya÷ k«emÃya tasya tu  Yj_2.209d
dÃpya÷ pa¤caÓataæ damam  Yj_2.301b
dÃpya÷ prathamasÃhasam  Yj_2.210d
dÃpya÷ sarvaæ n­peïÃrthaæ  Yj_2.20c
dÃpyo daï¬aæ ca tatsamam  Yj_2.66d
dÃpyo daï¬aæ ca yo yasmin  Yj_2.222c
dÃmbhikocchi«ÂabhojinÃm  Yj_1.162d
dÃyakÃlÃh­te vÃpi  Yj_1.97c
dÃyÃdÃnÃæ na tad bhavet  Yj_2.118d
dÃyÃdebhyo na tad dadyÃd  Yj_2.119c
dÃrvalÃbumayÃni ca  Yj_3.60b
dÃ«Åkumbhaæ bahirgrÃmÃn  Yj_3.294a
dÃsa ÃmaraïÃntikam  Yj_2.183b
dÃsÅgarbhavinÃÓak­t  Yj_2.236d
dÃsyaæ na pratilomata÷  Yj_2.183d
dÃhayitvÃgnihotreïa  Yj_1.89a
diglÃbhaæ vÃ digÃgate  Yj_2.254d
dinÃni paÓuromabhi÷  Yj_1.180b
divasaæ mÃrutÃÓana÷  Yj_3.302b
divasÃnekaviæÓatim  Yj_3.320b
divÃsaædhyÃsu karïastha-  Yj_1.16a
divÃ saæprapadair nayet  Yj_3.51b
divyÃnÅha viÓuddhaye  Yj_2.95b
divyÃnyatamam ucyate  Yj_2.22d
dÅpavad ya÷ sthito h­di  Yj_3.166b
dÅyate Óaktyalaæk­tÃ  Yj_1.58b
dÅyamÃnaæ na g­hïÃti  Yj_2.44a
dÅrghatÅvrÃmayagrastaæ  Yj_3.245a
durd­«ÂÃæs tu punar d­«ÂvÃ  Yj_2.305a
durbhik«e dharmakÃrye ca  Yj_2.147a
durv­ttabrahmaviÂk«atra-  Yj_3.268a
durv­tte«u nipÃtayet  Yj_1.354b
duÓcarmÃ gurutalpaga÷  Yj_3.209d
du«Âaæ vÃdu«Âavad yadi  Yj_2.257b
du«Âa÷ sa parikÅrtita÷  Yj_2.15d
du«ÂÃ daÓaguïaæ pÆrvÃt  Yj_1.141c
duhitÌïÃæ prasÆtÃ cec  Yj_2.145c
duhitÌïÃæ sutÃd ­te  Yj_2.134d
du÷kham utpÃdayed yas tu  Yj_2.222a
du÷khe ca ÓoïitotpÃde  Yj_2.225a
du÷khotpÃdi g­he dravyaæ  Yj_2.224a
dÆrÃd ucchi«ÂaviïmÆtra-  Yj_1.154a
dÆrvÃsar«apapu«pÃïÃæ  Yj_1.290c
dÆ«aïe tu karaccheda  Yj_2.288c
dÆ«ayaæs tu m­«Ã Óatam  Yj_1.66d
d­tiæ dhanur bastam aviæ  Yj_3.268c
d­ÓyÃd vÃ tad vibhÃga÷ syÃd  Yj_2.122c
d­«Âam anyena paÓyati  Yj_3.149d
d­«Âi÷ Órotraj¤atÃ tathÃ  Yj_3.202b
d­«ÂvÃ jyotirvido vaidyÃn  Yj_1.333a
d­«ÂvÃ pathi nirÃtaÇkaæ  Yj_3.245c
deyam apy anvahaæ jalam  Yj_1.104b
deyaæ caurah­taæ dravyaæ  Yj_2.36a
deyaæ dÃrasutÃd ­te  Yj_2.175b
deyaæ pratiÓrutaæ caiva  Yj_2.176c
deyaæ ÓaktyÃnupÆrvaÓa÷  Yj_1.107b
deya÷ krau¤ce trihÃyana÷  Yj_3.271d
devatÃrthaæ havi÷ Óigruæ  Yj_1.171a
devatÅrthÃny anukramÃt  Yj_1.19d
devara÷ putrakÃmyayÃ  Yj_1.68b
devartviksnÃtakÃcÃrya-  Yj_1.152a
devalokaæ samÃÓritÃ÷  Yj_3.187b
devÃtithiarcanak­te  Yj_1.216a
devÃn ugrÃn samabhyarcya  Yj_2.112a
devÃn pitÌn samabhyarcya  Yj_1.179c
devÃn saætarpya sa raso  Yj_3.121c
devebhyaÓ ca hutÃd annÃc  Yj_1.103a
deÓakÃlavaya÷Óakti  Yj_2.275c
deÓakÃlÃtipattau ca  Yj_2.169c
deÓaæ kÃlaæ ca bhogaæ ca  Yj_2.181a
deÓaæ kÃlaæ ca yo 'tÅyÃl  Yj_2.195a
deÓaæ kÃlaæ vaya÷ Óaktiæ  Yj_3.293a
deÓÃd deÓÃntaraæ yÃti  Yj_2.13a
deÓÃntaragate prete  Yj_2.264a
deÓÃntarasthe durlekhye  Yj_2.91a
deÓe kÃla upÃyena  Yj_1.6a
deÓe 'ÓucÃv Ãtmani ca  Yj_1.149a
dehÅ vindati vedanÃm  Yj_3.143b
daivaj¤am uditoditam  Yj_1.313b
daivarÃjak­tÃd ­te  Yj_2.59d
daivarÃjapariplutÃ÷  Yj_2.163d
daive pitrye ca bhojaka÷  Yj_2.235b
daive puru«akÃre ca  Yj_1.349a
do«as tv anyathÃ dama÷  Yj_2.288b
do«air mÃtus tathaiva ca  Yj_3.163b
do«ai÷ prayÃti jÅvo 'yaæ  Yj_3.131c
dohyapuæsÃæ parÅk«aïam  Yj_2.177d
dauh­dasyÃpradÃnena  Yj_3.79a
dyÆtam ekamukhaæ kÃryaæ  Yj_2.203a
dyÆtastrÅpÃnasaktÃÓ ca  Yj_2.267c
dyÆtaæ k­«iæ vÃïijyÃæ ca  Yj_1.262c
dravyaprakÃrÃ hi yathÃ  Yj_3.216c
dravyaæ tad aupanidhikaæ  Yj_2.65c
dravyaæ dÃyÃdabÃndhavÃ÷  Yj_2.264b
dravyaæ brÃhmaïasaæpattir  Yj_1.217c
dravyaæ ÓraddhÃsamanvitam  Yj_1.6b
dravyÃïÃæ kuÓalÃ brÆyur  Yj_2.181c
dra«Âavyas tv atha mantavya÷  Yj_3.191c
dra«Âavyo vyavahÃras tu  Yj_2.212c
dra«ÂÃro vyavahÃrÃïÃæ  Yj_2.202a
dvÃtriæÓataæ païÃn daï¬yo  Yj_2.218c
dvÃdaÓÃbdÃni pa¤ca vÃ  Yj_1.36b
dvÃdaÓÃhopavÃsena  Yj_3.320c
dvÃsaptatisahasrÃïi  Yj_3.108a
dviguïatriguïÃ damÃ÷  Yj_2.207b
dviguïas tÆttame«u ca  Yj_2.214b
dviguïaæ triguïaæ vÃpi  Yj_3.200c
dviguïaæ darÓane 's­ja÷  Yj_2.218d
dviguïaæ pratidÃtavyam  Yj_2.56c
dviguïaæ pratidÃpayet  Yj_2.61d
dviguïaæ savanasthe tu  Yj_3.252c
dviguïÃ vÃnyathÃ brÆyu÷  Yj_2.80c
dviguïÃæs tu kuÓÃn dattvÃ hy  Yj_1.233a
dvijas t­ïaidha÷pu«pÃïi  Yj_2.166c
dvijÃÇgu«Âhaæ niveÓayet  Yj_1.238d
dvijÃtihitam Ãcaran  Yj_1.120d
dvijÃn parvasu parvasu  Yj_3.333b
dvijebhyo bhojanaæ budha÷  Yj_1.305b
dvijebhyo 'rdhaæ dvija÷ puna÷  Yj_2.34b
dvijocchi«Âaæ na mÃrjayet  Yj_1.257d
dvijo nityam upasp­Óet  Yj_1.18d
dvitÅyaæ mau¤jibandhanÃt  Yj_1.39b
dvitÅyo madhyamaæ damam  Yj_2.224d
dvinetrabhedino rÃja-  Yj_2.304a
dvipaïaprabh­ti÷ kramÃt  Yj_2.225d
dvipaïe dviÓato daï¬o  Yj_2.248c
dviÓataæ tu damaæ pumÃn  Yj_2.285b
dviÓaphaikaÓaphÃæs tathÃ  Yj_1.262d
dvi«ÂÃdeÓak­tas tathÃ  Yj_2.304b
dvi÷ samo bhÆtavÃdina÷  Yj_3.284b
dve k­«ïale rÆpyamÃ«o  Yj_1.364c
dve ca saædhiÓate tathÃ  Yj_3.102d
dve tathaikÃ yathÃkramam  Yj_1.57b
dve tu mithyÃbhiÓaæsane  Yj_2.289b
dve dve jÃnukapoloru-  Yj_3.87a
dve Óate kharvaÂasya syÃn  Yj_2.167c
dve«o buddhi÷ sukhaæ dh­ti÷  Yj_3.174b
dvaidhÅbhÃvaæ guïÃn etÃn  Yj_1.347c
dvaidhe bahÆnÃæ vacanaæ  Yj_2.78a
dvau daive prÃk traya÷ pitrya  Yj_1.228a
dvau ÓaÇkhakau kapÃlÃni  Yj_3.90a
dhanakÃmo dhanaæ tathÃ  Yj_3.330b
dhanadaï¬o vadhas tathÃ  Yj_1.367b
dhanadhÃnyasamanvitÃ÷  Yj_3.218d
dhanabhÃg uttarottara÷  Yj_2.136b
dhanabhÃg vÃ dhanÅ bhavet  Yj_2.60d
dhanasya daÓavÃr«ikÅ  Yj_2.24d
dhanaæ rÃj¤e ca tatsamam  Yj_2.11b
dhanaæ vedÃn bhi«aksiddhiæ  Yj_1.267a
dhanikasya yathÃruci  Yj_2.55d
dhaninÃm adhamarïika÷  Yj_2.41b
dhanine dÃpayed dhanam  Yj_2.26b
dhanine dhanam eva ca  Yj_2.18d
dhanÅ vopagataæ dadyÃt  Yj_2.93c
dhanu÷Óataæ parÅïÃho  Yj_2.167a
dhane yadi na mok«yate  Yj_2.58b
dhamanÅnÃæ Óate dve tu  Yj_3.100c
dharaïaæ «o¬aÓaiva te  Yj_1.364d
dharaïai÷ palam eva tu  Yj_1.365b
dharmakÃryaæ na kÃrayet  Yj_1.88b
dharmak­d vedavidyÃvit  Yj_3.137c
dharmaj¤Ã÷ Óucayo 'lubdhÃ  Yj_2.191a
dharmaj¤Ã÷ satyavÃdina÷  Yj_2.2b
dharmapradhÃnÃ ­java÷  Yj_2.68c
dharmabhrÃtrekatÅrthina÷  Yj_2.137d
dharmamÆlam idaæ sm­tam  Yj_1.7d
dharmaÓÃstraprayojakÃ÷  Yj_1.5d
dharmaÓÃstram atandritÃ÷  Yj_3.329b
dharmaÓÃstram iti sthiti÷  Yj_2.21d
dharmaÓÃstrÃÇgamiÓritÃ÷  Yj_1.3b
dharmaÓÃstrÃnusÃreïa  Yj_2.1c
dharmasaærak«aïÃya ca  Yj_1.198d
dharmasya ca caturdaÓa  Yj_1.3d
dharma÷ sarva udÃh­ta÷  Yj_3.66d
dharmÃd vicalita÷ svakÃt  Yj_1.358d
dharmÃdharmobhayÃtmakam  Yj_3.68d
dharmÃrthakÃmÃn sve kÃle  Yj_1.115c
dharmÃrthaæ yaÓ cared etac  Yj_3.326c
dharmÃrthaæ vikrayaæ neyÃs  Yj_3.39c
dharmo rÃjak­taÓ ca ya÷  Yj_2.186d
dharmo hi daï¬arÆpeïa  Yj_1.354c
dharmyam apy Ãcaren na tu  Yj_1.156d
dharmya÷ pit­k­ta÷ sm­ta÷  Yj_2.116d
dharmyÃæ v­ttiæ prakalpayet  Yj_3.44d
dhÃnyakupyapaÓusteyam  Yj_3.237a
dhÃnyam abrÃhmaïÃd haret  Yj_3.43b
dhÃnyamiÓro 'tiriktÃ¤ga÷  Yj_3.211a
dhÃnyaæ triguïam eva ca  Yj_2.57b
dhÃraïÃ preraïaæ du÷kham  Yj_3.73c
dhÃraïÃæ dhÃrayan budha÷  Yj_3.201d
dhÃrayet tatra cÃtmÃnaæ  Yj_3.201c
dhÃrmiko 'vyasanaÓ caiva  Yj_1.310c
dhÃvata÷ pÆtigandhe ca  Yj_1.150c
'dhikaæ deyaæ k­te 'dhike  Yj_2.195d
dhigdaï¬as tv atha vÃgdaï¬o  Yj_1.367a
dhÅno daï¬yaÓ ca sa sm­ta÷  Yj_2.16d
dhÆpadÃnaæ sadÅpakam  Yj_1.231d
dhÆpo deyaÓ ca guggulu÷  Yj_1.299b
dhÆmaæ niÓÃæ k­«ïapak«aæ  Yj_3.195c
dhenur dadyÃd daÓÃtha vÃ  Yj_3.267d
dhenuæ vÃdhenum eva vÃ  Yj_1.208b
dhenu÷ ÓaÇkhas tathÃna¬vÃn  Yj_1.306a
dhyÃnayogena saæpaÓyet  Yj_3.64c
dhyeya ÃtmÃ sthito yo 'sau  Yj_3.111c
dhruvas tasya parÃjaya÷  Yj_2.79d
dhvajiveÓyÃnarÃdhipÃ÷  Yj_1.141b
na kaæcin marmaïi sp­Óet  Yj_1.153d
na kuryÃd udakaæ tata÷  Yj_3.1b
na kuryÃd yo na kÃrayet  Yj_2.158b
na k«ayo na ca v­ddhiÓ ca  Yj_2.180c
nakharomïÃæ ca saæbhava÷  Yj_3.80d
nagarasya catu÷Óatam  Yj_2.167d
na gor na narajÃ malÃ÷  Yj_1.194b
nagna÷ snÃtvÃ ca bhuktvÃ ca  Yj_3.290c
na grÃhyas tv anivedita÷  Yj_2.20d
na ca tai÷ saha saævaset  Yj_3.15d
na ca mÆtraæ purÅ«aæ vÃ  Yj_1.135c
na ca saæs­«ÂamaithunÃm  Yj_1.135b
na cÃhÆto vadet kiæcid  Yj_2.16c
na cehÃjÃyate puna÷  Yj_1.50d
na cainam abhilaÇghayet  Yj_1.137d
na tatputrÃ ­ïaæ dadyur  Yj_2.54c
na tatra kÃraïaæ bhuktir  Yj_2.29c
na tatsutas tatsuto vÃ  Yj_2.28c
na tu grÃhya÷ pratigraha÷  Yj_1.202b
na tu mehen nadÅchÃyÃ-  Yj_1.134a
na dattaæ strÅdhanaæ yasyai  Yj_2.148c
na dattaæ strÅdhanaæ yÃsÃæ  Yj_2.115c
na dadÃti hi ya÷ sÃk«yaæ  Yj_2.77a
na dÃpyo 'pah­taæ taæ tu  Yj_2.66a
na nindÃtÃ¬ane kuryÃt  Yj_1.155c
na ni«edhyo 'lpabÃdhas tu  Yj_2.156a
'nantaras tatpara÷ para÷  Yj_1.345b
na paced annam Ãtmane  Yj_1.104d
na pati÷ strÅk­taæ tathÃ  Yj_2.46d
na putreïa k­taæ pitÃ  Yj_2.46b
na pratyagnyarkagosoma-  Yj_1.134c
na brahmacÃriïa÷ kuryur  Yj_3.5c
na bhÃryÃdarÓane 'ÓnÅyÃn  Yj_1.131c
namaskÃrasamanvitai÷  Yj_1.286b
namaskÃreïa mantreïa  Yj_1.121c
namask­tya svayaæbhuve  Yj_3.334d
nayato daï¬akalpanÃ  Yj_2.247d
nayaty ÃtmÃnam eva ca  Yj_1.202d
nayeyur ete sÅmÃnaæ  Yj_2.151a
nayeyu÷ k«itidhÃriïa÷  Yj_2.152d
na yo«itpatiputrÃbhyÃæ  Yj_2.46a
narakÃn prÃpya dÃruïÃn  Yj_3.206b
narakÃn yÃnti dÃruïÃn  Yj_3.221d
nara÷ patanam ­cchati  Yj_3.219d
na rÃj¤a÷ pratig­hïÅyÃl  Yj_1.140c
na rÃjyaæ rÃjanandana÷  Yj_1.275b
na lipyetainasÃ vipro  Yj_3.41c
nava chidrÃïi tÃny eva  Yj_3.99c
navame daÓame vÃpi  Yj_3.83a
nava snÃyuÓatÃni ca  Yj_3.100b
na vÃcyo n­pater bhavet  Yj_2.40b
na vidyayÃ kevalayÃ  Yj_1.200a
na viruddhaprasaÇgena  Yj_1.129c
na vi«aæ na tulÃæ tathÃ  Yj_2.99b
na ÓayÃnaæ prabodhayet  Yj_1.138b
na Ói«yo 'dhyayanaæ tathÃ  Yj_1.276b
na ÓÆdro na dvija÷ kvacit  Yj_3.26b
na«Âaæ bhÃvyam ato 'nyathÃ  Yj_2.171b
na«ÂÃpah­tam ÃsÃdya  Yj_2.169a
na«ÂÃpah­tam Ãh­tam  Yj_2.173b
na«Âo deyo vina«ÂaÓ ca  Yj_2.59c
na«Âonm­«Âe h­te tathÃ  Yj_2.91b
na saæÓayaæ prapadyeta  Yj_1.132a
nasta÷ prÃïÃ diÓa÷ ÓrotrÃt  Yj_3.127c
na stena÷ syÃn na vÃrdhu«Å  Yj_1.132d
na striyai dÃtum arhati  Yj_2.147d
na snÃyÃt paravÃri«u  Yj_1.159b
na sp­ÓantÅha pÃpÃni  Yj_3.310c
na svÃtantryaæ kvacit striyÃ÷  Yj_1.85d
na svÃdhyÃyavirodhyartham  Yj_1.129a
na hanyÃd viniv­ttaæ ca  Yj_1.326c
nÃkasmÃd apriyaæ vadet  Yj_1.132b
nÃkrÃmed raktaviïmÆtra-  Yj_1.152c
nÃk«ai÷ krÅ¬en na dharmaghnair  Yj_1.138c
nÃcak«Åta dhayantÅæ gÃæ  Yj_1.140a
nÃ¬ÅsnÃyuÓirÃyuta÷  Yj_3.81b
nÃta÷ parataro dharmo  Yj_1.323a
nÃtit­ptyÃtha saæviÓet  Yj_1.114d
nÃtinÅcocchritÃsana÷  Yj_3.200b
nÃtmÃnaæ ced viÓodhayet  Yj_2.269b
nÃdaï¬yo nÃma rÃj¤o 'sti  Yj_1.358c
nÃdatte ya÷ pratigraham  Yj_1.213b
nÃdvÃreïa viÓet kvacit  Yj_1.140b
nÃnÃrÆpÃïi kurvÃïas  Yj_3.162c
nÃnnam adyÃd anÃpadi  Yj_1.160d
nÃnyat strÅ dÃtum arhati  Yj_2.49d
nÃnyodaryo dhanaæ haret  Yj_2.139b
nÃnvaye sati sarvasvaæ  Yj_2.175c
nÃpakvakaraïe j¤atÃ  Yj_3.142d
nÃpÃtre vidu«Ã kiæcid  Yj_1.201c
nÃpehÅti prajalpata÷  Yj_2.298b
nÃpnoti paramaæ padam  Yj_3.116b
nÃbhidaghnodakasthasya  Yj_2.108c
nÃbhir ojo gudaæ Óukraæ  Yj_3.93a
nÃbhi÷ kloma yak­t plihÃ  Yj_3.94b
nÃmagotreïa vÃgyatÃ÷  Yj_3.5b
nÃmajÃtisvagotrakai÷  Yj_2.85b
nÃmajÃtyÃdicihnitam  Yj_2.6d
nÃmabhir balimantraiÓ ca  Yj_1.286a
nÃrÃÓaæsÅÓ ca gÃthikÃ÷  Yj_1.45b
nÃryÃ÷ karïÃdikartanam  Yj_2.286d
nÃvaj¤eyÃ÷ kadÃcana  Yj_1.153b
nÃÓam eti sabÃndhava÷  Yj_1.340d
nÃÓucÅ rÃhutÃrakÃ÷  Yj_1.135d
nÃÓaucodakabhÃjanÃ÷  Yj_3.6d
nÃÓrama÷ kÃraïaæ dharme  Yj_3.65a
nÃsahasrÃd dharet phÃlaæ  Yj_2.99a
nÃsÃkarïakarÃdi«u  Yj_2.208d
nÃsikÃ locane jihvÃ tvak  Yj_3.91c
nÃstiko yÃcakas tathÃ  Yj_3.139b
nÃstikyaæ vratalopaÓ ca  Yj_3.236c
nÃhitaæ nÃn­taæ caiva  Yj_1.132c
nik«epasya ca sarvaæ hi  Yj_3.230c
nik«epÃdi«v ayaæ vidhi÷  Yj_2.67d
nijadharmÃvirodhena  Yj_2.186a
nijalÃlÃsamÃyogÃt  Yj_3.147c
nijaæ ÓarÅram uts­jya  Yj_3.202c
nijÃpatyapramÃpaïÅm  Yj_2.279b
nityam ÃcÃram Ãcaret  Yj_1.154d
nityaæ svÃdhyÃyavÃn dvija÷  Yj_1.48d
nidrÃlu÷ krÆrak­l lubdho  Yj_3.139a
ninayeran navaæ ghaÂam  Yj_3.295b
ninayeran svabÃndhavÃ÷  Yj_3.294b
ninditasya ca sevanÃt  Yj_3.219b
ninditÃrthopajÅvanam  Yj_3.236b
nipÃnodyÃnaveÓmasu  Yj_2.154b
nibandho dravyam eva vÃ  Yj_2.121b
nimantrayeta pÆrvedyur  Yj_1.225a
nimittam ak«ara÷  Yj_3.69a
nimittaÓÃkunaj¤Ãna-  Yj_3.171c
nimitte«u viÓe«ata÷  Yj_1.203b
nimÅlitÃk«a÷ sattvastho  Yj_3.199a
nime«aÓ cetanÃ yatna  Yj_3.175c
niyatÃ dvÃri veÓmana÷  Yj_3.12d
niyamÃ guruÓuÓrÆ«Ã  Yj_3.313c
niyogotpÃdita÷ suta÷  Yj_2.127b
nirÃyÃ vyayavantaÓ ca  Yj_2.268c
nirdo«Ã bhÃgahÃriïa÷  Yj_2.141b
nirdhÆtÃdyÃs tv asÃk«iïa÷  Yj_2.71d
nirvapet tu puro¬ÃÓaæ  Yj_3.286c
nirvÃsyÃ vyabhicÃriïya÷  Yj_2.142c
nirh­tyÃpi vratÅ vratÅ  Yj_3.15b
nirhetiæ parasaægatam  Yj_1.326b
nivÃsarÃjani prete  Yj_3.25c
niv­ttaÓ ca pratigrahÃt  Yj_3.48b
nivedya dadyÃd viprebhya÷  Yj_2.307c
niÓÃyÃæ vÃ divÃ vÃpi  Yj_3.307a
niÓÃ÷ Óuddhes tu kÃraïam  Yj_3.20d
ni«iddhabhak«aïaæ jaihmyam  Yj_3.229a
ni«ekÃdyÃ÷ ÓmaÓÃnÃntÃs  Yj_1.10c
ni«kaæ suvarïÃÓ catvÃra÷  Yj_1.365c
nistÅrya tÃm athÃtmÃnaæ  Yj_3.35c
nihnave tu caturguïa÷  Yj_2.230d
nihnave bhÃvito dadyÃd  Yj_2.11a
nihnave sÃk«ibhÃvitam  Yj_2.50d
nihnute tat tamov­ta÷  Yj_2.82b
nihnute likhitaæ naikam  Yj_2.20a
ni÷Óreyasakara÷ para÷  Yj_1.40d
ni÷saranti yathÃ loha-  Yj_3.67a
ni÷sÃre sÃramÃrgaïam  Yj_3.8b
ni÷sÃryate bÃïa iva  Yj_3.83c
nÅcÃbhigamanaæ garbha-  Yj_3.297a
nÅtvÃ hy ubhayam eva vÃ  Yj_1.51d
nÅyate raÓmibhis tata÷  Yj_3.122b
nÅrajastamasÃ sattva-  Yj_3.159a
nÅvÅstanaprÃvaraïa-  Yj_2.284a
n­pates tadanantaram  Yj_2.41d
n­padrohe 'tha pÃtake  Yj_2.96d
n­pabrÃhmaïasaænidhau  Yj_2.97d
n­pÃïÃæ yad raïÃrjitam  Yj_1.323b
n­pÃrthe«v abhiÓÃpe ca  Yj_2.99c
n­peïa dhanine dhanam  Yj_2.33b
n­peïÃdhik­tÃ÷ pÆgÃ÷  Yj_2.30a
n­ÓaæsarÃjarajaka-  Yj_1.164a
nek«etÃrkaæ na nagnÃæ strÅæ  Yj_1.135a
necchantÅ dviguïaæ vahet  Yj_2.292b
nejakas tu parÃæÓukam  Yj_2.238b
netrÃdipratibhedane  Yj_2.220b
naikavÃsÃ na saæsthita÷  Yj_1.131d
naitan mama mataæ yasmÃt  Yj_1.56c
nainaæ pratyabhiyojayet  Yj_2.9b
nair­taæ sa viÓudhyati  Yj_3.280d
nair­tyÃæ cots­jet tanum  Yj_3.259d
naiveÓikaæ svarïadhuryaæ  Yj_1.210c
naiveÓikÃni ca tata÷  Yj_1.333c
nai«Âhiko brahmacÃrÅ tu  Yj_1.49a
noktaæ viprak­tiæ nayet  Yj_2.9d
noccchi«Âo na padÃ sp­Óet  Yj_1.155b
nauv­k«eriïarohaïe  Yj_1.151b
nyastakarmÃ vane vasan  Yj_3.204b
nyÃyÃgatadhanas tattva-  Yj_3.205a
nyÃyena paripÃlayan  Yj_1.335b
nyÃyenÃpi parÃjita÷  Yj_2.306b
nyubjaæ pÃtraæ karoty adha÷  Yj_1.235d
nyÆnÃÇgendriyarogiïÃm  Yj_2.204b
nyÆnÃdhikavibhaktÃnÃæ  Yj_2.116c
pakvÃÓÅ vÃÓmakuÂÂaka÷  Yj_3.49b
pakve«ÂakacitÃni ca  Yj_1.197d
pak«e gate vÃpy aÓnÅyÃn  Yj_3.50c
paÇgubrÃhmaïarogiïÃm  Yj_2.98b
paÇgur unmattako ja¬a÷  Yj_2.140b
pa¤cakaæ ca Óataæ dÃpya÷  Yj_2.42c
pa¤cagavyaæ pibed goghno  Yj_3.263a
pa¤cagrÃmÅ bahi÷ kroÓÃd  Yj_2.272c
pa¤cadaÓyÃæ caturdaÓyÃm  Yj_1.146a
pa¤cadhÃtÆn svayaæ «a«Âha  Yj_3.72c
pa¤cadhÃ saæbh­ta÷ kÃyo  Yj_3.9a
pa¤ca piï¬Ãn anuddh­tya  Yj_1.159a
pa¤ca peÓÅÓatÃni ca  Yj_3.100d
pa¤cabandho damas tasya  Yj_2.171c
pa¤camÃt saptamÃd Ærdhvaæ  Yj_1.53c
pa¤came Óoïitodbhava÷  Yj_3.80b
pa¤camyÃæ ÓrÃvaïasya tu  Yj_1.142d
