Haribhadrasuri: Sastravartasamuccaya, 
Based on the ed. by K. K. Dixit,
Ahmedabad : Lalbhai Dalpatbhai Bharatiya 1969
(L. D. Series, 22)


Input by Yasunori Harada



PADA INDEX



The text has a number of metrical irregularities.
Pada boundaries frequently cut through compounds, and sometimes through words.



REFERENCE SYSTEM:
The reference includes the stabaka and section nos. 
of K.K. Dixit's Vi«ayasÆcÅ [bracketed]:

HSvs_[n.n]nnn = [stabaka.section]verse




___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________






akarmakaæ tathÃ caitat  HSvs_[5.1]393c
te«Ãæ loke 'pi vidyate  HSvs_[3.2]213d
te sadÃ sukhamÃsate  HSvs_[11.3]697d
tair Ãyatyaiva ce«Âate  HSvs_[7.1]505d
-to 'rthas tasyopalabhyate  HSvs_[5.1]382d
-to 'rtho yan nopalabhyate  HSvs_[5.1]377b
tyakta÷ niyativÃda÷ syÃt  HSvs_[2.2]185c
-tyÃ ced buddhiprasÃdhaka÷  HSvs_[4.4]318b
trailokyoparivartina÷  HSvs_[11.3]697b
tvannÅtau coktavan na sa÷  HSvs_[1.2]64d
dagdhe bÅje yathÃtyantaæ  HSvs_[11.3]693a
darbhe na ramate hy ali÷  HSvs_[11.2]688d
darÓanaæ tan na sÃdhakam  HSvs_[2.1]136b
darÓanaæ dharmacÃriïÃm  HSvs_[1.1]7b
darÓanaæ muktibÅjaæ ca  HSvs_[9.1]557a
darÓanÃntarabhedi«u  HSvs_[11.1]647d
darÓanÅyÃ kuÓÃstrÃïÃæ  HSvs_[2.1]161c
darÓitaæ du÷khakÃraïam  HSvs_[1.1]27d
dÃnÃdibuddhikÃle 'pi  HSvs_[1.3]85c
dÃhavad vaidyake spa«Âam  HSvs_[2.1]158c
dÃhaæ dagdho 'bhimanyate  HSvs_[11.1]667b
dÃha÷ kÃryas tu codite  HSvs_[2.1]159b
dÃhÃrtha÷ saæpratÅyate  HSvs_[11.1]667d
divyadarÓanataÓ caiva  HSvs_[1.2]42a
divyo hi sa mahÃmuni÷  HSvs_[3.2]237d
-disaægÃt samayasthite÷  HSvs_[11.1]645d
dÅpaÓ cen na sa sarvathÃ  HSvs_[1.2]77d
dÅpÃdau yujyate nyÃyÃd  HSvs_[5.1]401c
dunoti ceto 'nu«ÂhÃnaæ  HSvs_[9.1]568c
durbodhety apare vidu÷  HSvs_[10.2]628d
durlabhatvÃt pramÃïÃnÃæ  HSvs_[10.2]628c
du«karaæ k«udrasattvÃnÃm  HSvs_[9.1]567a
du÷khabÃhulyadarÓanÃt  HSvs_[2.1]133b
du÷khaæ pÃpÃt sukhaæ dharmÃt  HSvs_[1.1]3a
du÷khÃdyanvayadarÓanÃt  HSvs_[9.1]565b
du÷khÃntak­t sukhÃrambha÷  HSvs_[9.1]557c
du÷khÃbhÃva÷ sadaiva hi  HSvs_[11.3]694d
dÆrotsÃrita eva hi  HSvs_[4.1]244b
-d­Óyakart­samudbhavÃ  HSvs_[10.1]616b
d­Óyate 'dhyak«am evedaæ  HSvs_[2.2]178c
d­Óyate hi himÃsanne  HSvs_[2.1]126c
d­Óyante j¤Ãnino 'pi hi  HSvs_[11.2]679b
d­Óyante hi mahÃkriyÃ÷  HSvs_[11.2]675b
d­ÓyamÃne 'pi cÃÓaÇkÃ-  HSvs_[10.1]616a
d­«Âakautukam udvega÷  HSvs_[4.1]243c
d­«ÂÃ taimirikÃdÅnÃm  HSvs_[5.1]399c
d­«ÂÃntamÃtrata÷ siddhis  HSvs_[5.1]402a
d­«Âe«ÂÃbhyÃæ viruddhatÃ  HSvs_[2.1]161b
d­«Âe«ÂÃbhyÃæ virodhata÷  HSvs_[2.1]140b
d­«Âe«ÂÃbhyÃæ virodhÃc ca  HSvs_[2.1]141a
devatÃyatanÃni ca  HSvs_[10.1]588b
deÓanÃyÃ vineyÃnu-  HSvs_[7.1]539c
dehadharmÃdibhÃvena  HSvs_[1.2]65c
dehabhogena naivÃsya  HSvs_[3.2]220a
dehasparÓÃdisaævittyÃ  HSvs_[3.2]235a
dehÃt p­thaktva evÃsya  HSvs_[3.2]225a
do«Ã api na dÆ«aïam  HSvs_[7.1]518b
do«ÃïÃæ hrÃsad­«Âyeha  HSvs_[10.2]631a
do«Ãs te samiyu÷ katham  HSvs_[7.1]524b
do«o nirdo«atÃpi vÃ  HSvs_[10.2]628b
daurgatyopahato na hi  HSvs_[11.2]687b
dravyaparyÃyayor bhede  HSvs_[7.1]520a
dravyaparyÃyavad vastu  HSvs_[7.1]504c
dravyaparyÃyasaæj¤itau  HSvs_[7.1]507b
dravyasaÇghÃtajÃny api  HSvs_[1.2]56b
dravyÃsatyaæ na bhÃ«ate  HSvs_[6.5]466d
dravyÃæÓasya prajÃyate  HSvs_[4.5]327d
drÃg nabhastas tato na tat  HSvs_[4.3]291d
drÃgnabhasto na jÃtucit  HSvs_[7.1]493b
dvayam anyo'nysaægatam  HSvs_[11.2]685d
dvayor api viyogata÷  HSvs_[4.3]286d
dvayor gahaïam asti va÷  HSvs_[4.6]331d
dvayor gahaïam asty ada÷  HSvs_[4.6]333d
dvÃbhyÃm anye vicak«aïÃ÷  HSvs_[11.2]673d
dvÃbhyÃm anyodayo na sa÷  HSvs_[11.1]656b
dvicandrabhrÃntivad bhrÃntir  HSvs_[5.2]409c
dvitÅyÃdik«aïasthitau  HSvs_[4.2]250b
dvivij¤eyatvabhÃvata÷  HSvs_[4.7]371b
dvivij¤eyatvam ity evaæ  HSvs_[4.7]373c
dvisvabhÃvaæ prasajyate  HSvs_[4.4]317d
dve«Ãgnir upaÓÃmyati  HSvs_[1.1]8d
dharma eva buddhai÷ sadÃ  HSvs_[1.1]11b
dharmabhedasya saæbhavÃt  HSvs_[6.4]461b
dharmasÃdhanatÃ kvacit  HSvs_[2.1]142b
dharmas tac cÃtmadharmatvÃn  HSvs_[9.1]576a
dharmas tadapi cet satyaæ  HSvs_[1.1]22a
dharmasyÃpi Óubho yasmÃd  HSvs_[1.1]17c
dharmahetuprasÃdhanam  HSvs_[1.1]6d
dharmÃdayo 'pi cÃdhyak«Ã÷  HSvs_[10.1]593a
dharmÃdharmak«ayÃnm uktir  HSvs_[1.1]19c
dharmÃdharmak«ayÃn muktir  HSvs_[1.1]26a
dharmÃdharmaparij¤ÃtÃ  HSvs_[10.1]585c
dharmÃdharmavyavasthÃ tu  HSvs_[10.1]584a
dharmÃdharmavyavastheyaæ  HSvs_[10.1]626c
dharmÃdharmau tathÃ pÃÓa÷  HSvs_[1.4]107c
dharmÃntaravivarjitam  HSvs_[7.1]512b
dharmÃvanye tu sarvasya  HSvs_[2.2]193c
dharmibhÃvas tu kalpita÷  HSvs_[4.3]288b
dharmibhÃvo hi bhÃvata÷  HSvs_[4.3]287b
dharmo 'py evaæ mumuk«ubhi÷  HSvs_[1.1]19b
dhÆmaj¤Ãnaæ svabhÃvata÷  HSvs_[4.6]342b
dhyÃnÃdi mok«aphaladaæ  HSvs_[10.1]589c
dhruvam Ãpadyate kvacit  HSvs_[10.1]607b
dhruvam autsargiko do«o  HSvs_[2.1]160c
dhruvaæ tadbhÃvasaægati÷  HSvs_[4.6]355b
dhruvaæ yatas tato 'karma-  HSvs_[5.1]397c
dhrauvyavat taddhiyÃ gate÷  HSvs_[7.1]486b
dhrauvyaæ cobhayaÓÆnyaæ yad  HSvs_[7.1]481c
na kartavyam ata÷ pÃpaæ  HSvs_[1.1]3c
na kaÓcit kenacit kvacit  HSvs_[6.1]425d
na kÃlavyatirekeïa  HSvs_[2.2]165a
na ki¤cid bÃdhyate vibho÷  HSvs_[3.1]202b
na kiryÃ phaladÃ matÃ  HSvs_[11.2]674b
nakhakeÓat­ïÃdi«u  HSvs_[7.1]540b
na g­hïÃtÅti cet tulya÷  HSvs_[6.4]455c
na ghaÂÃnÃÓadharmaka÷  HSvs_[7.1]485b
na ca k«aïika i«yate  HSvs_[11.1]670d
na ca tat karmavaidhurye  HSvs_[2.2]179a
na ca tanmÃtrabhÃvÃder  HSvs_[2.2]182a
na ca tenÃpi rÆpeïa  HSvs_[1.2]33c
na ca nÃÓe 'pi sadyuktyÃ  HSvs_[6.2]439c
na ca nÃsty eva tatra tat  HSvs_[7.1]498d
na ca pÆrvasvabhÃvatvÃt  HSvs_[3.2]224a
na ca prakÃÓamÃtraæ tu  HSvs_[5.1]401a
na ca buddhiviÓe«o 'yam  HSvs_[1.3]85a
na ca bhedo 'pi bÃdhÃyai  HSvs_[7.1]531a
na ca bhrÃntÃpi sadbÃdhÃ-  HSvs_[7.1]538a
na ca bhrÃnto 'yam ity api  HSvs_[4.6]350b
na ca mÆrttÃïusaÇghÃta-  HSvs_[1.2]49a
na carte niyatiæ loke  HSvs_[2.2]175a
na ca lÃvaïyakÃrkaÓya-  HSvs_[1.2]66a
na ca saæsvedajÃdye«u  HSvs_[1.2]73a
na ca sÃd­Óyakalpanam  HSvs_[7.1]537d
na ca sÃdhyasya yat tena  HSvs_[5.1]402c
na ca syÃd an­tÃrthatÃ  HSvs_[11.1]648b
na ca syÃd reïutailavat  HSvs_[1.2]44b
na ca hiæsÃdaya÷ kvacit  HSvs_[3.2]225b
na cÃk­tasya bhoga÷ syÃn  HSvs_[2.2]177c
na cÃgamena yad asau  HSvs_[10.1]582a
na cÃtÅtasya sÃmarthyaæ  HSvs_[6.2]443a
na cÃtmad­«ÂasadbhÃvaæ  HSvs_[1.2]30c
na cÃdhyak«aviruddhatvaæ  HSvs_[6.1]435a
na cÃni«Âir iyaæ yata÷  HSvs_[7.1]542b
na cÃnyatrÃpi cÃnyathÃ  HSvs_[10.1]595d
na cÃnyasacivasyÃpi  HSvs_[6.1]430c
na cÃnyo laukika÷ kaÓcic  HSvs_[6.2]443c
na cÃpi paradarÓane  HSvs_[6.4]458b
na cÃpi svÃnumÃnena  HSvs_[6.4]461a
na cÃpy atÅndriyÃrthatvÃj  HSvs_[10.1]625a
na cÃpy apauru«eyo 'sau  HSvs_[10.1]614a
na cÃpy avyabhicÃri tat  HSvs_[10.1]623d
na cÃyasasya bandhasya  HSvs_[1.1]18a
na cÃyukto 'sya tadvidha÷  HSvs_[4.2]258b
na cÃritrÅ na cetara÷  HSvs_[9.1]577d
na cÃrthasya na yujyate  HSvs_[6.4]463b
na cÃrvÃgdarÓinÃ tasyÃt-  HSvs_[10.1]599c
na cÃvasthÃniv­ttyeha  HSvs_[9.1]578a
na cÃÓaÇkÃ nivartate  HSvs_[10.1]609b
na cÃsad eva taddhetur  HSvs_[5.2]411a
na cÃsÃv iti sadyuktyÃ  HSvs_[2.2]187c
na cÃsiddhamado bhÆta-  HSvs_[1.2]59c
na cÃsau tatsvarÆpaj¤o  HSvs_[11.2]688a
na cÃsau tatsvarÆpeïa  HSvs_[1.2]36a
na cÃsau bhÆtabhinno yat  HSvs_[1.2]38a
na cÃsau yujyate kvacit  HSvs_[6.2]442b
na cÃsyÃtatsvabhÃvatve  HSvs_[6.1]421a
na cÃsyÃdarÓane 'py adya  HSvs_[10.2]633a
na ced atrÃpy ada÷ samam  HSvs_[10.1]592d
na ced bhedo na yujyate  HSvs_[4.4]322d
na cel lÃvaïyasadbhÃvo  HSvs_[1.2]67a
na ceha laukiko mÃrga÷  HSvs_[1.2]64a
na caikasyÃstu saægatÃ  HSvs_[4.4]315b
na caikaikata eveha  HSvs_[2.2]192a
na caitat bÃdhyate yuktyÃ  HSvs_[8.1]551a
na caitad api na nyÃyyaæ  HSvs_[6.5]466a
na caitad d­Óyate loke  HSvs_[2.1]133a
na caivaæ bhÆtasaÇghÃta-  HSvs_[1.2]51a
na cotpÃdavyayau na sto  HSvs_[7.1]486a
na cobhayÃdibhÃvasya  HSvs_[6.1]434a
na jalasyaikarÆpasya  HSvs_[2.2]183a
na jÃti÷ pÃramÃrthikÅ  HSvs_[11.1]649b
na j¤Ãnaæ phaladaæ matam  HSvs_[11.2]678b
na j¤ÃnÃt sukhino bhavet  HSvs_[11.2]678d
na tajjananasvabhÃvÃÓ cet  HSvs_[1.2]48a
na tatas tadasiddhita÷  HSvs_[11.1]654d
na tato 'pi na do«a÷ syÃt  HSvs_[2.1]159c
na tatra ki¤cid bhavati  HSvs_[4.2]269c
na tatsaÇghÃtabhedayo÷  HSvs_[1.2]60b
na tatsattvaprasaægata÷  HSvs_[4.7]372d
na tatsattvaæ tadanyavat  HSvs_[4.3]276d
na tatsattvaæ tadanyavat  HSvs_[4.3]282d
na tathÃ pÃÂavÃbhÃvÃd  HSvs_[4.2]262c
na tathÃbhÃvakalpanam  HSvs_[4.6]331b
na tathÃbhÃvakalpanam  HSvs_[4.6]343d
na tathÃbhÃvinaæ hetum  HSvs_[1.2]75a
na tathÃsti prayojanam  HSvs_[4.3]280d
na tadutpattir apy alam  HSvs_[11.1]646d
na tad eva ghaÂÃbhÃvo  HSvs_[4.2]265c
na tad eva tad ity evaæ  HSvs_[4.4]313c
na tadgater gatis tasya  HSvs_[4.2]266a
na taddharmo na tatphalam  HSvs_[1.2]31b
na tad bhavati cet kiæ na  HSvs_[4.2]252a
na tanniyamahetutÃ  HSvs_[4.3]294d
na tayos tulyataikasya  HSvs_[4.6]337a
na tasyÃ upapadyate  HSvs_[11.2]684d
na tasyÃtiprasaægata÷  HSvs_[5.1]383d
na tasyÃm eva saædehÃt  HSvs_[1.2]71a
na tasyaikÃntanityatÃ  HSvs_[3.2]217d
na tÃdÃtmyaæ dvayÃbhÃva-  HSvs_[11.1]645a
na tucche tatsvabhÃvatÃ  HSvs_[4.2]256b
na tu tadbhÃvasaægati÷  HSvs_[7.1]499d
na tu tailÃdyata÷ siddha  HSvs_[6.3]448c
na tu dravyaæ tato na sa÷  HSvs_[7.1]522b
na tu pratyak«am Åk«ate  HSvs_[11.1]666d
na tu yuktyÃ na yujyate  HSvs_[1.3]84d
na tulyÃnÃæ viÓi«ÂatÃ  HSvs_[1.2]54d
na tu saæj¤Ãnayogakam  HSvs_[1.1]26d
na tv atÅndriyadarÓanam  HSvs_[4.6]345d
na tvartho yuktyayogata÷  HSvs_[5.1]384b
na tv itthaæ tattvato na tat  HSvs_[7.1]499b
na tv evam itarasya ca  HSvs_[4.6]337d
na daï¬Ãd daï¬ivad gati÷  HSvs_[11.1]651b
na do«Ã no na cÃnye 'pi  HSvs_[11.1]658c
na dvivij¤eyatÃ bhavet  HSvs_[4.7]368b
na dharmÅ kalpito dharma-  HSvs_[4.3]288a
na dhÆmaj¤ÃnatÃæ yata÷  HSvs_[4.6]348b
na dhÆmÃdigrahÃd eva hy  HSvs_[4.6]335c
na na bhÃve 'sya mÃtari  HSvs_[1.2]72d
na nÃsti dhrauvyam apy evam  HSvs_[7.1]487a
na nityaæ nÃpy anityaæ yad  HSvs_[6.6]467c
nanu cintÃ nirarthikÃ  HSvs_[5.2]412b
nanu nÃdvaitam eveti  HSvs_[8.1]548c
nanu nyÃyÃn nidarÓitam  HSvs_[6.1]423d
nanu bhinnasvabhÃvatÃ  HSvs_[1.2]57b
nanu mÃnaæ na vidyate  HSvs_[5.1]398d
nanu vyartha÷ pariÓrama÷  HSvs_[6.6]473d
nanu sarvam idaæ samam  HSvs_[1.3]82b
nanv asiddho 'nvaya÷ katham  HSvs_[6.2]441d
na paÂÃdÅtyayuktimat  HSvs_[2.2]172d
na payo 'tti dadhivrata÷  HSvs_[7.1]479b
na paÓcÃd api sÃ neti  HSvs_[4.2]251c
na puïyÃd iti na pramÃ  HSvs_[10.1]617b
na punas tata evaitad  HSvs_[2.1]139c
na puna÷ kriyate ki¤cit  HSvs_[6.1]418a
na pÆrvam uttaraæ ceha  HSvs_[4.6]345a
na pratÅtyaikasÃmarthyaæ  HSvs_[4.4]310a
na pratyak«aæ yato 'bhÃvÃ-  HSvs_[5.1]376a
na prÃïÃdir asau mÃnaæ  HSvs_[1.2]68a
na prÃmÃïyaæ na yujyate  HSvs_[2.1]115d
na bhavaty etad evÃsya  HSvs_[4.2]252c
na bhavaty eva kevalam  HSvs_[4.2]269d
nabha÷pÃtÃd asatsattva-  HSvs_[4.3]300c
na bhÃvo bhavatÅty uktam  HSvs_[4.2]270c
na bhÆtÃtmaka evÃtmety  HSvs_[1.4]94c
na bhÆyo nalikÃdinÃ  HSvs_[1.2]69b
na bhedÃd vo 'pi tÃd­Óam  HSvs_[11.1]651d
na bhokt­vyatirekeïa  HSvs_[2.2]177a
na mÃnaæ mÃnam eva yat  HSvs_[7.1]483d
na mÃnaæ mÃnam eveti  HSvs_[7.1]496a
na yat tasyÃnyato bhavet  HSvs_[2.1]162b
na yat samyak prasÃdhanam  HSvs_[9.1]568b
na yathoktÃtmalak«aïam  HSvs_[1.4]89d
na yÃty evety atyuktimat  HSvs_[3.2]235b
na yuktÃ yuktivaikalya-  HSvs_[4.3]292c
na yuktÃ vÃsanÃnyathÃ  HSvs_[1.4]103d
na yukto 'tiprasaÇgata÷  HSvs_[1.2]46d
na yujyate ca sannyÃyÃd  HSvs_[7.1]533a
narakÃdiphale kÃæÓcit  HSvs_[3.1]198a
narÃdirÆpaæ taccitram  HSvs_[1.4]91c
na rohati bhavÃÇkura÷  HSvs_[11.3]693d
na loko hi vigÃnatvÃt  HSvs_[10.1]617c
na laukikapadÃrthena  HSvs_[10.1]601a
na vij¤Ãnadvayaæ yathÃ  HSvs_[4.6]332b
na vij¤ÃnÃt p­thag mata÷  HSvs_[5.2]405b
na vineha svabhÃvena  HSvs_[2.2]171a
na vibhramabalÃd api  HSvs_[7.1]537b
na viruddhaæ mithastrayam  HSvs_[7.1]485d
na virodho 'sti kaÓcana  HSvs_[10.2]635b
na viviktaæ dvayaæ samyag  HSvs_[11.2]690a
na visaævÃdakaæ bhavet  HSvs_[10.2]637b
na v­ddhasampradÃyena  HSvs_[10.1]599a
na vedayati vedo 'pi  HSvs_[10.1]604c
na vai tasyetyayogata÷  HSvs_[4.3]279d
na vai bhoga÷ kadÃcana  HSvs_[3.2]223d
naÓvarÃdiviniÓcaya÷  HSvs_[4.6]351b
'naÓvaro vÃ vikalpya yat  HSvs_[6.1]415b
na sa tanmÃtrahetuka÷  HSvs_[1.2]67b
na satsvabhÃvajanakas  HSvs_[6.1]433a
na sadÃ sarvadehinÃm  HSvs_[9.1]553d
na samyagupapadyate  HSvs_[5.1]375b
na sarve«v etad apy asat  HSvs_[1.2]53d
na saæsÃrÃpavargayo÷  HSvs_[5.2]403b
na sÃ tanmÃtrajÃ nanu  HSvs_[1.2]62d
na sÃnyÃrthÃ bhavi«yati  HSvs_[4.7]365b
na stastadadharmatvÃc ca  HSvs_[6.1]427c
na syÃt prav­ttir arthe«u  HSvs_[11.1]647c
na svabhÃvÃtirekeïa  HSvs_[2.2]169a
na svasattvaæ parÃsattvaæ  HSvs_[7.1]498a
na svasaædhÃraïe nyÃyÃt  HSvs_[6.2]439a
na hi tatsarvasÃmarthyaæ  HSvs_[4.4]311c
na hi loke 'Óvam Ã«Ãde÷  HSvs_[5.1]381c
na hiæsyÃd iha bhÆtÃni  HSvs_[2.1]158a
na hÅndudvayadarÓanam  HSvs_[5.2]410d
na hÅndriyam atÅtÃdi-  HSvs_[4.2]264c
na hetuphalabhÃvata÷  HSvs_[4.1]247b
na hetuphalabhÃvata÷  HSvs_[4.5]329b
na hetuphalabhÃvaÓ ca  HSvs_[4.3]286a
na hetuphalabhÃva÷ syÃt  HSvs_[4.3]287c
na hy uktavat svahetos tu  HSvs_[11.1]657a
na hy utpÃdavyayau vinÃ  HSvs_[7.1]492d
na hy ekaæ nÃsti satyÃrthaæ  HSvs_[10.2]638c
nÃkarmaïa÷ kvacij janma  HSvs_[11.3]692c
nÃk«Ãdido«avij¤Ãnaæ  HSvs_[5.1]400a
nÃgo 'sya samaye 'pi hi  HSvs_[11.1]664d
nÃtÅndriyÃrthadra«Ãram  HSvs_[10.1]616c
nÃtmavyÃpÃrajaæ ki¤cit  HSvs_[3.2]213c
nÃtmÃpi loke no siddho  HSvs_[1.2]40a
nÃtra pramÃïam atyak«Ã  HSvs_[4.7]364c
'nÃdiÓuddhaÓ ca sÆribhi÷  HSvs_[3.1]194d
nÃnavasthÃdidÆ«aïam  HSvs_[7.1]514b
nÃnÃkÃryasamutpÃdÃd  HSvs_[4.4]314c
nÃnÃ caikatra tat kuta÷  HSvs_[4.4]313d
nÃnÃtvaæ vÃtha sarvathÃ  HSvs_[1.2]34b
nÃnÃtvÃbÃdhÃnÃcceha  HSvs_[4.5]324a
nÃnÃtve caikam apy ada÷  HSvs_[7.1]534b
nÃnÃtve 'nyasya sÃ yata÷  HSvs_[1.2]34d
nÃnÃ nety atra na pramÃ  HSvs_[7.1]539b
nÃnÃ yogÅ vijÃnÃtya-  HSvs_[7.1]539a
nÃnupÃdÃnam anyasya  HSvs_[3.2]217a
nÃnumÃnaæ tathÃbhÆta-  HSvs_[5.1]376c
nÃnumÃnaæ na vidyate  HSvs_[10.1]593d
nÃnuv­ttiniv­ttibhyÃæ  HSvs_[7.1]528a
nÃnyato hy avagamyate  HSvs_[10.1]620b
nÃnyat tataÓ ca nÃmneha  HSvs_[4.3]280c
nÃnyathÃ kevalitve 'pi  HSvs_[11.2]681c
nÃnyapramÃïasaævÃdÃt  HSvs_[10.1]611a
nÃnyÃrthaæ ce«Âanaæ ca tat  HSvs_[7.1]506b
nÃnyonyavyÃptir ekÃnta-  HSvs_[7.1]508a
nÃpek«Ãsattvata÷ kvacit  HSvs_[4.6]358d
nÃpramÃïaæ yathaiva hi  HSvs_[7.1]541b
nÃprav­tter iyaæ hetu÷  HSvs_[2.1]148a
nÃbhÃvo bhÃvatÃæ yÃti  HSvs_[4.2]248a
nÃbhÃvo bhÃvatÃæ yÃti  HSvs_[4.3]302c
nÃbhÃvo bhÃvam Ãpnoti  HSvs_[1.2]77a
nÃbhÃvo vidyate sata÷  HSvs_[1.2]76b
nÃbhedo bhedarahito  HSvs_[7.1]515a
nÃbhyÃsa evam ÃdÅnÃm  HSvs_[10.1]621a
nÃmÆrtatvena yujyate  HSvs_[3.2]223b
nÃmÆrtaæ mÆrtatÃæ yÃti  HSvs_[3.2]234a
nÃmnÃ vinÃpi tattvena  HSvs_[4.3]281a
nÃyukta÷ sa kadÃcana  HSvs_[4.6]330d
nÃrtha ity atra kÃ pramÃ  HSvs_[10.1]605d
nÃrthas tadvyatirekeïa  HSvs_[4.1]240c
nÃrthÃntaragamo yasmÃt  HSvs_[6.3]445a
nÃrthÃpattyÃpi sarvo 'rthas  HSvs_[10.1]583a
nÃlpasya tamasa÷ phalam  HSvs_[4.7]360d
nÃv­tir vya¤jakaæ yata÷  HSvs_[1.2]36d
nÃÓapak«e 'pi na k«ati÷  HSvs_[6.1]431d
nÃÓahetum avÃpyaivaæ  HSvs_[6.1]431c
nÃÓahetor ayogata÷  HSvs_[4.1]239b
nÃÓahetor ayogÃdi  HSvs_[6.1]414c
nÃÓahetor ayogitvam  HSvs_[6.1]415c
'nÃÓitvÃgo 'nivÃritam  HSvs_[4.2]272b
nÃÓotpÃdavasaÇgatau  HSvs_[4.3]284d
nÃÓotpÃdasthiti«v ayam  HSvs_[7.1]478b
nÃÓotpÃdÃvabhede tu  HSvs_[4.3]285c
nÃÓyamÃÓritya nÃÓasya  HSvs_[6.1]424c
nÃÓvamÃ«asya sÃ yata÷  HSvs_[2.2]171d
nÃsata÷ sattvayogena  HSvs_[4.3]298c
nÃsato bhÃvakart­tvaæ  HSvs_[4.3]296c
nÃsato vidyate bhÃvo  HSvs_[1.2]76a
nÃsattvaæ tadabhÃve tu  HSvs_[4.3]276c
nÃsat sajjÃyate jÃtu  HSvs_[6.3]449a
nÃsat sat jÃyate yasmÃd  HSvs_[6.2]441a
nÃsat sat sadasat katham ?  HSvs_[4.2]254d
nÃsat sthÆlatvam aïvÃdau  HSvs_[1.2]46a
nÃsÃvaniyatÃ yata÷  HSvs_[2.2]175d
nÃsÃv ekak«aïagrÃhi-  HSvs_[4.2]263c
nÃsau nyÃyyo dalaæ vinÃ  HSvs_[6.2]440d
nÃsti ki¤cit prayojanam  HSvs_[10.1]590d
nÃsti j¤Ãnam avÃsitam  HSvs_[1.4]104b
nÃstitve tu tayor dhrauvyaæ  HSvs_[7.1]486c
nÃsthitir yuktyasaægate÷  HSvs_[4.2]251b
nÃsyaiva prÃg asattvata÷  HSvs_[4.3]301b
nÃhetorasya bhavanaæ  HSvs_[4.2]256a
nitya i«Âena bÃdhyate  HSvs_[2.1]143d
nityatvam ca Óruter iva  HSvs_[10.1]594d
nityatvÃpauru«eyatvÃd  HSvs_[10.1]602a
nityam arthakriyÃbhÃvÃt  HSvs_[6.6]468a
nityasyÃrthakriyÃyogo 'py  HSvs_[6.4]462a
nityÃnityaæ yato matam  HSvs_[7.1]531d
nityÃnityÃdi vastuna÷  HSvs_[7.1]542d
nityÃyÃÓ ca na sarvathÃ  HSvs_[3.2]228b
nityetaradato nyÃyÃt  HSvs_[6.3]450a
nityaikayogato vyakti-  HSvs_[7.1]536a
nimittakÃraïaæ j¤Ãne  HSvs_[4.4]316c
nimittatvÃn na bÃdhakam  HSvs_[1.2]73d
niyatatvÃd viviktasya  HSvs_[7.1]514c
niyataæ jÃyate nyÃyÃt  HSvs_[2.2]174c
niyatÃnÃæ samÃnatÃ  HSvs_[2.2]181b
niyatenaiva rÆpeïa  HSvs_[2.2]173a
niyater niyatÃtmatvÃn  HSvs_[2.2]181a
niyatyÃder na yujyate  HSvs_[2.2]180d
niyamÃt saæprasajyate  HSvs_[7.1]495d
niyamÃd gamyate yasmÃt  HSvs_[2.1]141c
niyamÃd vahnisaænidhau  HSvs_[2.1]127b
niyamo 'yaæ vyavasthita÷  HSvs_[2.1]120d
nirarthakam iheÓasya  HSvs_[3.1]199c
niraæÓÃnubhavÃd api  HSvs_[4.2]262b
nirÃsenÃvirodhata÷  HSvs_[1.1]29d
nirÅhasya mahÃtmana÷  HSvs_[10.1]589b
nirïayÃt tadgrahe puna÷  HSvs_[10.1]595b
nirïayÃdiprabhÃvata÷  HSvs_[10.2]632b
nirdi«ÂÃ na tu tattvata÷  HSvs_[8.1]550d
nirbhidya ÓubhabhÃvena  HSvs_[9.1]559c
nirvikalpam avidyayÃ  HSvs_[8.1]545b
nivartate ca paryÃyo  HSvs_[7.1]522a
niv­ttibhedataÓ caiva  HSvs_[4.2]268c
niv­ttir na ca sarvathÃ  HSvs_[9.1]577b
niv­ttis tat tato yata÷  HSvs_[7.1]521b
'niv­ttis tatsvarÆpavat  HSvs_[7.1]522d
niv­ttis tasya yujyate  HSvs_[9.1]578b
niv­ttÅ cintyatÃæ katham  HSvs_[7.1]520d
