Brahma-Purana, Adhyayas 1 - 246

Input by Peter Schreiner and Renate Soehnen-Thieme
for the Tuebingen Purana Project
For further details see www.indologie.unizh.ch/text/text.html

PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarot kiü mahàdeva  BrP_38.21c
vedàt tu laukikaü jyeùñhaü  BrP_170.28c
vedàdànaü kariùyanti  BrP_230.32a
vedàdhyayanatatparam  BrP_163.6b
vedàdhyayananirghoùair  BrP_47.5c
vedàdhyayanam eva ca  BrP_111.8b
vedàn àhåya yatnataþ  BrP_127.35b
vedànàü ca paràbhavaþ  BrP_158.33d
vedànàü vyasanaü tebhyo  BrP_158.34a
vedànàü sthàpanàya ca  BrP_158.31b
vedànàü smaraõaü tatra  BrP_151.23c
vedànàü svargamokùayoþ  BrP_175.26d
vedànàü haraõàrthàya  BrP_60.2a
vedàn uvàca devàpir  BrP_127.36a
vedàntavedibhir viùõuþ  BrP_191.15c
vedàntavedyaü yad upàsitavyaü  BrP_173.39a
vedànteùu ca gãyate  BrP_233.40b
vedànteùu ca gãyate  BrP_237.41d
vedànteùu nigadyate  BrP_51.3b
vedàn dharmaü janàrdanam  BrP_170.45d
vedàn ùaóaïgàn budhyasva  BrP_40.107a
vedà yaj¤àþ sadakùiõàþ  BrP_55.26b
vedàrtha iti taü viduþ  BrP_231.89b
vedàrtha÷ ca mayà sarvo  BrP_161.28a
vedà vadantv etad eva  BrP_127.43a
vedà÷ ca çùayo 'bruvan  BrP_127.60d
vedà÷ ca sarahasyà vai  BrP_72.13c
vedà÷ ca smçtibhir yuktà÷  BrP_175.15c
vedà÷ càpi puro 'bhavan  BrP_127.35d
vedàharaõakàriõe  BrP_59.55d
vedàharaõakàryeõa  BrP_222.33a
vedàharaõatatparaþ  BrP_222.22b
vedàü÷ caiva vicakùaõaþ  BrP_235.4d
vedàüs tathàpnuyàt sarvàn  BrP_220.17c
vedàþ pårvaü dvijàtibhiþ  BrP_230.66b
vedàþ pramàõaü sarvatra  BrP_130.14a
vedàþ sàïgà mayàdhãtàþ  BrP_49.28a
vedàþ sàïgàþ sulakùaõàþ  BrP_46.12b
vedikàyàm upàviùñau  BrP_72.15c
veditavyaü nara÷reùñha  BrP_241.29c
veditavyàni tàni vai  BrP_42.12d
vedinã na jahau munim  BrP_178.78d
vedimaõóapakuõóàdi  BrP_104.71a
vediskandho havirgandho  BrP_213.37a
vediü dãkùàü samit sruvam  BrP_213.14d
vedãü cakre satoraõàm  BrP_72.9b
vede ca ni÷cito màrgaþ  BrP_88.10c
vede ca pariniùñhitam  BrP_75.47b
vede ca vihito màrgaþ  BrP_80.75c
vedena gãyate yas tu  BrP_130.8a
vedena càpi tat proktam  BrP_145.14c
vedenàrcitam ojasà  BrP_169.11b
vede 'pi dåùitaü karma  BrP_171.38a
vede puràõe çùibhiþ prasiddhà  BrP_174.29a
vedebhyas tan nivedaya  BrP_127.34d
vede ÷àstre ca bhàrate  BrP_1.17b
vedeùu sapuràõeùu  BrP_5.56a
vedeùu sapuràõeùu  BrP_30.53a
vedeùu sàükhyeùu tathaiva yoge  BrP_240.105b
vedoktavidhinà hariþ  BrP_219.48b
vedoktavidhivarjitam  BrP_67.19d
vedoktaü triùu varõeùu  BrP_67.19a
vedoktibhir athàgryàbhir  BrP_32.92c
vedoktena ca ÷aükaram  BrP_41.63d
vedoditaü ÷rutisakalarahasyam uktaü  BrP_175.78a
vedoditànàm atha laukikànàm  BrP_75.22b
vedo 'pi nityavat påjàü  BrP_169.36c
veddhukàmaü sure÷varaþ  BrP_38.4b
vedmi caitad ahaü punaþ  BrP_210.22b
vedyam ekaü paraü hi tat  BrP_130.10d
vedyaü vedavidàü nityaü  BrP_33.18a
vedyo yo vedaviduùàü  BrP_179.45a
venabàhuü mamanthus te  BrP_141.10a
venasyorur vimathyo 'bhåt  BrP_141.7a
venasyoruü vimathya vai  BrP_141.8b
vepathu÷ ca mahàn ayam  BrP_39.41d
vepamànam avasthitam  BrP_35.40d
velà iva mahàrõave  BrP_240.84d
velàbhir hanyamàna÷ ca  BrP_50.12c
velàm asàdya sàgarãm  BrP_44.54b
velàsamãpe 'pahçto  BrP_8.53c
ve÷ma saümàrjanàdinà  BrP_221.124b
ve÷yà taü vàkyam abravãt  BrP_92.32d
ve÷yeritamatis tv abhåt  BrP_92.6d
veùàn anyàü÷ cakàra ha  BrP_8.47d
veùñitaü tri÷ikhaü hçdi  BrP_58.44b
veùñitàþ ÷astrahastai÷ ca  BrP_44.27a
veùñyamànaü yàmyapà÷air  BrP_125.22c
vaikaïkapramukhà meroþ  BrP_18.32c
vaikuõñhatvaü ca deveùu  BrP_179.71a
vaikuõñhadurganiþ÷reõis  BrP_107.57a
vaikuõñhàrohaõàya sà  BrP_161.62d
vaikhànasair vàlakhilyair  BrP_65.32a
vaiõavãsaügama÷ caiva  BrP_105.24a
vaiõyam evànvapadyata  BrP_4.74b
vaiõyàt prabhçti vai vipràþ  BrP_4.93c
vaitaraõyàü ca yad duþkhaü  BrP_240.30a
vaidarbhà daõóakaiþ saha  BrP_27.56d
vaidikaü laukikaü tathà  BrP_148.9d
vaidikàn niyamàüs tathà  BrP_59.26d
vaidikã cànyagocarà  BrP_95.27b
vaidikã puõyagàthàsti  BrP_120.3a
vaidikair laukikai÷ caiva  BrP_168.32a
vaidikair vividhair mantrais  BrP_129.95c
vaidåryanàlàni saraþsu keùucit  BrP_36.109c
vaidåryaü saptamaü puram  BrP_68.41d
vaidehãü ca samàsàdya  BrP_154.3a
vaidehãü càgninà÷odhya  BrP_176.46c
vaidehyàs tanayàv iti  BrP_154.18b
vaidyutaü mànasaü caiva  BrP_20.29c
vaidyutàdisamudbhavaþ  BrP_234.8b
vaidyutena yathà drumaþ  BrP_190.35d
vaidyuto 'gnir ivàkà÷e  BrP_236.54c
vaidyuto 'gnir ivàkà÷e  BrP_243.60c
vaidyuto jàñhara÷ càgnir  BrP_33.37a
vaidyuto mànasa÷ caiva  BrP_20.23c
vainateyam athàruhya  BrP_136.6c
vainateya÷ ca pakùiõàm  BrP_69.16b
vainateyasya màtaram  BrP_159.17d
vainateyaü namaskçtya  BrP_57.19a
vainateyo 'tha màtaram  BrP_159.5d
vaiparãtyaü tu yad vçttaü  BrP_106.7a
vaiparãtyaü na yujyate  BrP_159.33d
vaibhãùaõir iti khyàtas  BrP_170.56c
vaibhãùaõir udàradhãþ  BrP_170.67b
vaibhràja÷ caiva saptamaþ  BrP_20.7d
vaibhràjaü pa÷cime tadvad  BrP_18.30c
vairaõyàm atha putràõàü  BrP_3.20a
vairaõyàm iti naþ ÷rutam  BrP_3.25d
vairaõyàü pa¤ca vãryavàn  BrP_3.6d
vairaniryàtanaü kàryaü  BrP_142.8c
vairavyàjena duùkaram  BrP_125.34b
vairasyàntaü muni÷reùñhàþ  BrP_13.72a
vairasyànto mahàbhàgàþ  BrP_11.48c
vairàgyam agamat tadà  BrP_81.12d
vairàgyam agamat tadà  BrP_85.4b
vairàgyàn nàgnipåjanam  BrP_99.2d
vairàgyeõa ca yogavit  BrP_235.27b
vairàjasya prajàpateþ  BrP_2.17d
vairàjasya prajàpateþ  BrP_4.11b
vairàjaü brahmasadanaü  BrP_213.59c
vairàjàt puruùàd vãraü  BrP_2.5a
vairàjà yatra te devàþ  BrP_23.14c
vairànubandhaü balavàn  BrP_209.3a
vairiõyàü càkùuùaü manum  BrP_2.16b
vairipakùakùayàya ca  BrP_203.15d
vairã caivàdhvarãvàü÷ ca  BrP_5.45c
vaivarõyàd vyàdhisaüpãóà  BrP_231.45c
vaivasvata mahàbàho  BrP_45.70a
vaivasvatava÷ànugaiþ  BrP_214.22d
vaivasvatava÷ànugaiþ  BrP_214*.22d
vaivasvata÷ ca bho vipràþ  BrP_5.5a
vaivasvatasya tanayà  BrP_7.44a
vaivasvataü pitéõàü ca  BrP_4.5a
vaivasvatànvaye jàta  BrP_78.3a
vaivasvatànvaye jàta  BrP_108.2a
vaivasvatànvaye jàto  BrP_88.2a
vaivasvatàya manave  BrP_4.17c
vaivasvate 'timahati  BrP_3.107c
vaivasvate 'ntare tasmin  BrP_4.93a
vaivàhikam avedayat  BrP_111.39b
vai÷aüpàyanagàlavau  BrP_26.13b
vai÷àkhasya tçtãyàyàü  BrP_220.55a
vai÷àkhasyàsite pakùe  BrP_63.21c
vai÷àkhã ca tathà bhadrà  BrP_14.37a
vai÷àkhe càryamà tathà  BrP_31.19b
vai÷àkhe ÷ukladvàda÷yàü  BrP_205.14a
vai÷yakarma ca yo vipro  BrP_223.16a
vai÷yakarma tathàpadi  BrP_222.19b
vai÷yavçttividhàyibhiþ  BrP_4.120b
vai÷ya÷ådrakulàni ca  BrP_27.47b
vai÷ya÷ådràüs tathaiva ca  BrP_242.24b
vai÷yas tu dhanam akùayyaü  BrP_246.18c
vai÷yasya càpi vai prãtyà  BrP_170.65e
vai÷yasya vacanaü ÷rutvà  BrP_170.57a
vai÷yaþ kùatriyatàü vrajet  BrP_223.32d
vai÷yaþ pa¤cada÷àhena  BrP_220.63c
vai÷yaþ sasmita åcivàn  BrP_170.34b
vai÷yà iva ca ràjanyà  BrP_231.28a
vai÷yàn maddhastam àgatam  BrP_170.22d
vai÷yàya jãvikàü brahmà  BrP_222.11c
vai÷yàs tu mànasàs teùàü  BrP_20.72a
vai÷yàþ kçùivaõijyàdi  BrP_230.36a
vai÷yàþ ÷ådràs tathaiva ca  BrP_11.34b
vai÷yàþ striya÷ ca ÷ådrà÷ ca  BrP_40.136c
vai÷yair api ca vittàóhyair  BrP_4.120a
vai÷yai÷ cànudinaü vi÷uddhakulajaiþ ÷ådrais tathà dhàrmikaiþ  BrP_246.35c
vai÷yaiþ svade÷asaübhåtair  BrP_170.87c
vai÷yo gaïgàü tu yoge÷aü  BrP_170.42a
vai÷yo gacchati ÷ådratàm  BrP_223.8d
vai÷yo gautamam a¤jasà  BrP_170.44b
vai÷yo dadad dvijàtibhyaþ  BrP_218.20a
vai÷yo bahudhanànvitaþ  BrP_86.3d
vai÷yo bhavati ca dvijaþ  BrP_223.40d
vai÷yo bhavati dharmàtmà  BrP_223.52a
vai÷yo màsàrdham eva ca  BrP_221.148b
vai÷yo ràj¤e yathàvçttaü  BrP_170.77c
vai÷yo vacanam abravãt  BrP_170.38f
vai÷yo và kùatriyaþ kena  BrP_223.9a
vai÷yo và dharmacàriõi  BrP_223.19b
vai÷yo và ÷ådratàm iyàt  BrP_223.17b
vai÷yo và ÷ådrayonir và  BrP_170.73a
vai÷yau bràhmaõatàü gatau  BrP_7.42b
vai÷vadevaü ca saumyaü ca  BrP_220.115c
vai÷vadevaü tataþ kuryàd  BrP_221.89c
vai÷vadevàüs tathaiva ca  BrP_240.8b
vai÷vànarasute ubhe  BrP_3.81d
vai÷vànarasuràrcitam  BrP_33.19b
vai÷vànaraþ pulomà ca  BrP_3.77c
vai÷vàmitras tathàùñakaþ  BrP_10.67d
vai÷vàmitraü mahàpràj¤aü  BrP_171.25c
vai÷vàmitrã taduttarà  BrP_173.3d
vai÷vàmitre mahàtmani  BrP_138.24d
vai÷vàmitro dvijottamaþ  BrP_138.3b
vaiùamyabuddhyà tau bàlau  BrP_95.7c
vaiùamyaü naiva dç÷yate  BrP_110.81d
vaiùamyaü putra÷iùyayoþ  BrP_95.8d
vaiùamyeõa guro màü tvam  BrP_95.8a
vaiùamyeõa ca vartante  BrP_95.9a
vaiùamyeõàtha vartantãü  BrP_89.15c
vaiùamyeõaiva nitya÷aþ  BrP_89.14d
vaiùõavaü padam avyayam  BrP_59.79d
vaiùõavaü padam àvi÷at  BrP_176.50d
vaiùõavaü yogam àsthàya  BrP_43.82a
vaiùõavaü yogam àsthàya  BrP_58.77e
vaiùõavaü yogam àsthàya  BrP_64.20c
vaiùõavaü yogam àsthàya  BrP_66.23c
vaiùõavaü yogam àsthàya  BrP_67.80c
vaiùõavaü yogam àsthàya  BrP_176.62c
vaiùõavaü lokaviditaü  BrP_131.25c
vaiùõavaü siddham eva tu  BrP_128.72b
vaiùõavaþ pa÷yato hareþ  BrP_109.27f
vaiùõavaþ sattvasaüpanno  BrP_43.5a
vaiùõavaþ satyasaügaraþ  BrP_60.5d
vaiùõavànàü sukhàvaham  BrP_227.5d
vaiùõavàya mahàtmane  BrP_175.88d
vaiùõavà ye ca kurvanti  BrP_216.57a
vaiùõavi tryambake devi  BrP_85.12c
vaiùõavã paripàlinã  BrP_229.27d
vaiùõavã pàlanã tathà  BrP_130.21b
vaiùõavãm a÷arãriõãm  BrP_161.39d
vaiùõavã mohitaü yayà  BrP_181.37b
vaiùõavena jvareõà÷u  BrP_206.16c
vaiùõavenàntaràtmanà  BrP_216.51b
vaiùõave puruùottame  BrP_45.1b
vaiùõave lokapåjite  BrP_68.22d
vaiùõavo yaþ prayacchati  BrP_216.55b
voóhuü naiva kùamà vayam  BrP_110.18d
vyaktam evàvalambyate  BrP_187.22b
vyaktaråpã jagac ca saþ  BrP_23.43b
vyaktasyaivànuvartanàt  BrP_243.89d
vyaktasvaråpam avyakte  BrP_233.35a
'vyaktasvaråpaþ prakañasvaråpaþ  BrP_234.74b
vyaktaþ sa evam avyaktaþ  BrP_233.44c
vyaktàvyakta namo 'stu te  BrP_40.38b
vyaktàvyaktaparaü prapa¤carahitaü dhyànaikagamyaü vibhum  BrP_1.2c
vyaktàvyaktasvaråpiõã  BrP_233.34d
vyaktàvyaktasvaråpiõã  BrP_233.38d
vyaktàvyaktaü sanàtanam  BrP_45.63d
vyaktàvyaktaþ sanàtanaþ  BrP_30.51b
vyaktàvyaktaþ sanàtanaþ  BrP_33.13b
vyaktàvyaktaþ sanàtanaþ  BrP_33.39d
vyaktàvyaktàtmikà tasmin  BrP_233.45c
vyaktitas tasya ÷abdasya  BrP_16.37a
vyaktibhåtà bhaviùyanti  BrP_243.89c
vyakte tu prakçtau lãne  BrP_233.47c
vyakrãõàd go÷atena vai  BrP_7.107b
vyagamac carituü bahiþ  BrP_107.5d
vyagamad bhåmimaõóalam  BrP_129.7b
vyagaman kapilàntikam  BrP_78.24d
vyagrà gatvà vyapãóayan  BrP_82.5b
vyagràyàm atha tasyàü sa  BrP_184.37c
vyaïgàre 'bhuktavajjane  BrP_222.50b
vyaïginãü varjayet kanyàü  BrP_221.73a
vyacarat tatra càpy atha  BrP_16.30b
vyajanai ratnabhåùaõaiþ  BrP_51.39b
vyajanais tàlavçntai÷ ca  BrP_216.22c
vyajàyata mahàbàhuþ  BrP_8.40c
vyaj¤àpayat svayaü vàkyaü  BrP_90.13a
vyajyate svaü tam àtmànaü  BrP_185.30c
vyatãtàni mahàmate  BrP_123.116d
vyatãtàny atha varùàõi  BrP_104.42a
vyatãte càtivismità  BrP_136.14d
vyatãteùu nçpàtmajaþ  BrP_154.14d
vyatãpàte dinakùaye  BrP_62.10d
vyathitaþ kau÷ikaþ ÷rãmà¤  BrP_93.6c
vyathità bràhmaõàþ pràhur  BrP_74.62c
vyathità màm upàjagmuþ  BrP_160.5a
vyathitàü garbhavedanàt  BrP_124.76d
vyathito lajjayànvitaþ  BrP_90.24f
vyanadanta bhayaükaram  BrP_39.69b
vyapadiùñaü jagattraye  BrP_158.40b
vyapadiùñà tu saptadhà  BrP_173.5b
vyabhicàràt sadoùaü ca  BrP_128.49a
vyabhidyanta mahà÷ailàþ  BrP_32.84c
vyabhre nabhasi devendre  BrP_188.22a
vyabhre sårya ivoditaþ  BrP_226.11d
vyayo durmukha eva ca  BrP_165.30b
vyarthaü tad avabhàti me  BrP_104.13d
vyarthãbhåte tu pauruùe  BrP_139.4b
vyavasàyo dhçtir lobhaþ  BrP_40.51a
vyavasthàü kartum ã÷varaþ  BrP_94.30d
vyavahàropavçttà÷ ca  BrP_231.58c
vyavahàropasaükùayàt  BrP_231.82d
vyavahàrya÷ ca bhavità  BrP_123.83c
vya÷ãryanta mahàmeghà  BrP_32.86c
vyasanàni nçpàtmaja  BrP_171.29d
vyasanàsaktamànasaþ  BrP_108.22b
vyasarjayaü praõãtàü tàü  BrP_161.60a
vyasravat sthàpitaü tat tu  BrP_106.46a
vyàkhyàtaþ kukurodbhavaþ  BrP_15.61b
vyàkhyàtaþ pà¤cabhautikaþ  BrP_237.50d
vyàkhyàtuü tvam ihàrhasi  BrP_2.53d
vyàkhyàto dharmasàgaraþ  BrP_225.63d
vyàkhyàsyàmi kùaràkùarau  BrP_237.3d
vyàghra-çkùatarakùukàn  BrP_220.193b
vyàghracarmaparicchadaþ  BrP_242.12d
vyàghravaktre prave÷yatàm  BrP_234.47b
vyàghreõàbhãùito dvijaþ  BrP_34.63b
vyàghraiþ siühair varàhai÷ ca  BrP_54.6a
vyàjenànãya tau vrajàt  BrP_190.8b
vyàditàsyo mahàraudraþ  BrP_190.35a
vyàdide÷a svayaü tadà  BrP_47.45d
vyàdide÷àyatanàni  BrP_47.44c
vyàdiùñaü kiükaràõàü tu  BrP_206.7a
vyàdeùñum upacakrame  BrP_4.1d
vyàdha÷ ca nityavat påjàü  BrP_169.26a
vyàdhaü dçùñvà kapotakã  BrP_80.65b
vyàdhaü devo mahe÷varaþ  BrP_169.46b
vyàdhaþ paramadàruõaþ  BrP_80.6d
vyàdhaþ paramadhàrmikaþ  BrP_169.6d
vyàdhaþ provàca deve÷aü  BrP_169.46c
vyàdhijàte samidbhi÷ ca  BrP_58.48a
vyàdhito duþkhito dãno  BrP_40.124a
vyàdhibhir na sa bàdhyate  BrP_125.47b
vyàdhibhi÷ ca mahàraudraiþ  BrP_215.16c
vyàdhimanto bhavanty uta  BrP_217.112b
vyàdhimçtyumahàghoraü  BrP_240.61a
vyàdhihà vyàdhipa÷ ca yaþ  BrP_40.78b
vyàdhãnàm àkaro 'karaþ  BrP_40.78d
vyàdho devaü yathà purà  BrP_169.22d
vyàdho màüsena duùñena  BrP_169.30c
vyàdho vigatakalmaùaþ  BrP_169.39d
vyànas tu vyàpyate yena  BrP_179.58c
vyànodànau ca tattvataþ  BrP_240.25d
vyàpakatvàc ca dç÷yate  BrP_236.55b
vyàpàram arisådana  BrP_45.73b
vyàpinaü prakçteþ param  BrP_45.67b
vyàpinaü sarvabhàvinam  BrP_51.13d
vyàpinà mahatà dvijàþ  BrP_240.58d
vyàpine naikaråpaika-  BrP_192.48c
vyàpã vyàpyaþ kriyà kartà  BrP_202.27a
vyàptam etaj jagat sarvaü  BrP_32.6c
vyàptaü sarvam anekadhà  BrP_242.33d
vyàptir màyà uùà ÷ivà  BrP_137.34d
vyàptau ÷akti÷ ca dãyate  BrP_98.14b
vyàpya janma vikalpavat  BrP_196.32b
vyàpya nàràyaõo vibhuþ  BrP_180.17d
vyàpya sarvam avasthitaþ  BrP_189.44d
vyàpya sarvam avasthitaþ  BrP_189.45d
vyàpyaü vyàptaü yataþ sarvaü  BrP_234.65a
vyàmoham àpnuvantãha  BrP_123.161c
vyàyàmaü cakratus tatra  BrP_187.7c
vyàlagràhã yathà vyàlaü  BrP_80.76a
vyàlayaj¤opavãtine  BrP_40.37b
vyàlaþ kaïko bakas tathà  BrP_217.66d
vyàlo bhåtvà tu ùaõ màsàüs  BrP_217.54c
vyàvçttadoùasya sadàsphuñasya  BrP_191.32b
vyàsatãrtham anuttamam  BrP_158.40f
vyàsatãrtham iti khyàtaü  BrP_158.1a
vyàsaprasàdàt tat sarvaü  BrP_246.15c
vyàsavàkyaü ca te sarve  BrP_212.94a
vyàsasya vacanaü ÷rutvà  BrP_179.1a
vyàsasya vadato dvijàþ  BrP_41.1d
vyàsaü te caiva påjitàþ  BrP_246.13b
vyàsaü pra÷asya saüpåjya  BrP_235.30c
vyàsaü matimatàü varam  BrP_26.6b
vyàsaþ provàca bhagavàn  BrP_26.26c
vyàsàdyà bhikùavas tathà  BrP_30.17b
vyàharantau ca nàmabhiþ  BrP_187.3b
vyàharan vaiùõavàn mantràn  BrP_50.17c
vyuùñisaükãrtanaü tathà  BrP_45.85d
vyuùñiü tasya ca bho dvijàþ  BrP_45.84b
vyetu vo mànaso jvaraþ  BrP_79.13b
vyokàràs tàmrakàrà÷ ca  BrP_44.36a
vyomàntargatatàrakaþ  BrP_234.28b
vyomni ÷àlmalitålavat  BrP_203.56d
vyomno jãmåta ucyate  BrP_15.24b
vraja gehaü mameti vai  BrP_193.11d
vrajati divàkaralokam àyuùo 'nte  BrP_32.108d
vrajaty ànakadundubhau  BrP_182.20d
vrajantaü dakùiõàmukham  BrP_65.83b
vrajantaü dakùiõàmukham  BrP_65.84d
vrajantaü dakùiõàmukham  BrP_65.99d
vrajanti te muni÷reùñhà  BrP_227.26a
vrajanti dakùiõaü dvàraü  BrP_215.6c
vrajanti bàlàrkanibhair  BrP_216.36c
vrajanti lokapàlànàü  BrP_227.19c
vrajantu tridive÷atàm  BrP_210.19d
vrajam etya mahàbalau  BrP_184.60d
vrajasthànam abhåd dvijàþ  BrP_184.49b
vrajasya tava ke÷ava  BrP_189.7b
vrajàmi gaïgàü ÷araõaü ÷araõyàm  BrP_157.14b
vrajàmi trida÷àlayam  BrP_178.73b
vrajàmi vi÷ve÷varam ã÷varàõàm  BrP_191.33b
vrajàmi ÷araõaü devaü  BrP_53.26c
vrajàmi ÷araõaü harim  BrP_191.17d
vrajàmo 'nyan mahàvanam  BrP_184.43d
vrajet tatra samàhitaþ  BrP_58.2d
vrajet påyavahaü naraþ  BrP_220.198b
vrajeyaü yadi màü tatra  BrP_110.202c
vrajo vçndàvane tataþ  BrP_184.51d
vrajaukovàsibhir harùa-  BrP_188.18c
vraõadvàràõy adhiùñhàya  BrP_242.47a
vraõavàn asmi nirvraõaþ  BrP_242.49b
vraõàþ phaõe 'bhavaüs tasya  BrP_185.36a
vratacaryàdivarjitàþ  BrP_124.18b
vratacaryàparair gràhyà  BrP_230.66a
vratacaryàsamanvità  BrP_13.103b
vratacàriùu bhikùuùu  BrP_137.22b
vratadànasamàdhinà  BrP_74.3b
vratavanto naràþ kecic  BrP_225.58a
vratasthàü puruùàrthinãm  BrP_107.30d
vrataü garbhasya vardhanam  BrP_124.30b
vrataü niùñhitacetasà  BrP_228.143b
vrataü samàsthàya kalevaraü svaü  BrP_229.85a
vratànàü dhàraõaü tulyaü  BrP_239.9c
vratànàü satyam eva ca  BrP_40.50b
vratàni caratà gràhyo  BrP_222.23c
vratàni sarvavedà÷ ca  BrP_178.93a
vratànte niùkçtiü dadyàü  BrP_228.131c
vratinã ca dçóhavratà  BrP_16.47d
vratena niyamena ca  BrP_57.45b
vratena niyamena ca  BrP_127.18b
vratena niyamena ca  BrP_177.14b
vratair dànai÷ ca kãrtitam  BrP_65.75b
vratopalopako ya÷ ca  BrP_22.26a
vratopavàsaniyamaü  BrP_178.65c
vratopavàsair niyamaiþ  BrP_178.10c
vratopavàsair vividhai÷ ca bhaktyà  BrP_229.38c
vràtanirmålanakùamam  BrP_130.34d
vriyatàü yad abhãpsitam  BrP_162.8d
vriyatàü yan manobhãùñaü  BrP_122.84a
vriyatàü vara ãpsitaþ  BrP_125.33f
vrãóà kathaü bhavati devi niràkçtasya  BrP_203.72d
vrãóànvito 'bhåd atha nàrado 'sau  BrP_229.55c
vrãóiteva tapasvinã  BrP_6.15d
vrãhibãje yathà målaü  BrP_23.38a
÷akañasya viparyayaþ  BrP_184.44d
÷akañaü ca yathàrthataþ  BrP_228.130b
÷akañaü càrcayàm àsa  BrP_184.28c
÷akañaü parivartitam  BrP_184.23b
÷akañaü parivartitam  BrP_184.25b
÷akañaü parivçttaü vai  BrP_184.26c
÷akañaü ÷arkaràvçtam  BrP_228.129b
÷akañaü satyam ãritam  BrP_228.117b
÷akañàropitair bhàõóair  BrP_188.17c
÷akañàropitair bhàõóaiþ  BrP_184.6c
÷akañãvàñaparyanta-  BrP_184.52a
÷akañe parivartite  BrP_190.2d
÷akañair godhanais tathà  BrP_184.47d
÷akalàni samãpataþ  BrP_148.11d
÷akale ca virejatuþ  BrP_190.36d
÷akànàü pahnavànàü ca  BrP_8.32c
÷akà yavanakàmbojàþ  BrP_8.50a
÷akunigràmayàjakaþ  BrP_22.22b
÷akunipramukhàs tasya  BrP_7.46c
÷akunis tasya càtmajaþ  BrP_15.25d
÷akuniþ phalapàtane  BrP_221.130b
÷akunã tridivà kramuþ  BrP_27.32b
÷akuntalàyàü bharato  BrP_13.57c
÷akuntànàm ivàkà÷e  BrP_236.25a
÷akçnmåtramahàpaïka-  BrP_234.12c
÷akçnmåtraü samutsçjan  BrP_190.34b
÷akaiþ sàrdhaü dvijottamàþ  BrP_8.35d
÷aktikàrmuka÷àlinà  BrP_207.19d
÷aktitomaracakràdyaiþ  BrP_214.68a
÷aktitomaracakràdyaiþ  BrP_214*.68a
÷aktitomarapaññi÷aiþ  BrP_215.40b
÷aktibhir bhindipàlai÷ ca  BrP_214.84a
÷aktibhir bhindipàlai÷ ca  BrP_214*.84a
÷aktir apy atra no bhavet  BrP_98.12d
÷aktir màtà trayãmayã  BrP_131.47b
÷aktir yà prerità tu sà  BrP_106.57d
÷aktivajrai÷ ca saükãrõam  BrP_214.98c
÷aktivajrai÷ ca saükãrõam  BrP_214*.98c
÷akti÷ålàïku÷adharàþ  BrP_215.52c
÷akti÷ càpayayau guhaþ  BrP_206.26d
÷aktiü devãü tu bhaktitaþ  BrP_131.46b
÷akto 'pi na jahàra saþ  BrP_16.25d
÷akto 'pi ÷àpàd dhàrdikyam  BrP_17.13c
÷akto yo me gato 'nujaþ  BrP_98.10b
÷akto varùa÷atair api  BrP_177.27d
÷aknoti viùayàturaþ  BrP_146.13b
÷akyaü naiva tvayà vinà  BrP_105.5d
÷akyaü vàlpena kàlena  BrP_240.96a
÷akyà na vettuü samahendrarudraiþ  BrP_229.56c
÷akyo dharmo nivartitum  BrP_223.9d
÷akra godàvarãtãre  BrP_86.21a
÷akragopavad uddhataiþ  BrP_214.62b
÷akragopavad uddhataiþ  BrP_214*.62b
÷akragopavçtà mahã  BrP_184.58d
÷akracàpataóinmàlà-  BrP_192.40c
÷akracàmaradhàriõãm  BrP_228.105b
÷akratãrthaü tad ucyate  BrP_124.138d
÷akratãrthaü pa¤canadaü  BrP_25.29a
÷akratãrthaü sumàlinam  BrP_25.70d
÷akratulyaparàkramaþ  BrP_14.24b
÷akratulyaparàkramaþ  BrP_43.1b
÷akratulyaparàkramaþ  BrP_44.4b
÷akra màyàü paràbhavam  BrP_129.44b
÷akra yudhyasva nirgate  BrP_124.59b
÷akralokam avàpnuyàt  BrP_51.29d
